actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
58,PT07M55.00S,2021-11-28T01:21:12.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,15,7,2021-11-28T01:21:20Z,580000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,
59,PT07M45.00S,2021-11-28T01:21:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,7.835085413929041,47.05882352941176,1610612766,15,9,2021-11-28T01:21:47Z,590000,15.0,21.0,1,left,L. Ball driving Layup (2 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,2.57,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
61,PT07M45.00S,2021-11-28T01:21:30.0Z,1,REGULAR,foul,personal,['1freethrow'],201569,,,1610612766,15,9,2021-11-28T01:22:15Z,610000,,,0,,E. Gordon shooting personal FOUL (1 PF) (Ball 1 FT),"[201569, 1630163]",1610612745.0,HOU,shooting,,,Gordon,E. Gordon,,,,,,,,,,,1628954.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,
63,PT07M45.00S,2021-11-28T01:21:59.7Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,15,9,2021-11-28T01:22:49Z,630000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M45.00S,2021-11-28T01:21:59.7Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,15,9,2021-11-28T01:22:49Z,640000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M45.00S,2021-11-28T01:22:16.7Z,1,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,15,10,2021-11-28T01:22:16Z,650000,,,0,,L. Ball Free Throw 1 of 1 (3 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
66,PT07M28.00S,2021-11-28T01:22:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629726,93.11760840998686,3.431372549019608,1610612745,18,10,2021-11-28T01:22:37Z,660000,-233.0,12.0,1,right,G. Mathews 3PT  (6 PTS) (E. Gordon 3 AST),"[1629726, 201569]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,23.31,Made,6.0,E. Gordon,201569.0,3.0,,,,,,,,,,,,,,,
68,PT07M12.00S,2021-11-28T01:22:47.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,6.652431011826544,45.588235294117645,1610612766,18,10,2021-11-28T01:22:54Z,680000,22.0,10.0,1,left,MISS P. Washington alley-oop Layup,[1629023],1610612766.0,CHA,alley-oop,,,Washington,P. Washington,,,,,2.43,Missed,,,,,,,,,,,,,,,,,,,
69,PT07M12.00S,2021-11-28T01:22:47.0Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,18,10,2021-11-28T01:22:54Z,690000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,
70,PT07M07.00S,2021-11-28T01:22:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629645,94.1688567674113,51.9607843137255,1610612745,20,10,2021-11-28T01:23:00Z,700000,10.0,2.0,1,right,K. Porter Jr. running Layup (3 PTS),[1629645],1610612745.0,HOU,running,,,Porter Jr.,K. Porter Jr.,,,,,1.01,Made,3.0,,,,,,,,,,,,,,,,,,
71,PT07M01.00S,2021-11-28T01:23:03.2Z,1,REGULAR,turnover,out-of-bounds,[],202330,,,1610612766,20,10,2021-11-28T01:23:09Z,710000,,,0,,G. Hayward lost ball out-of-bounds TURNOVER (1 TO),[202330],1610612766.0,CHA,lost ball,,,Hayward,G. Hayward,,,,,,,,,,,1626300.0,,,,,,,,,1.0,,,,,
72,PT07M01.00S,2021-11-28T01:23:08.9Z,1,REGULAR,substitution,out,[],202330,,,1610612745,20,10,2021-11-28T01:23:11Z,720000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M01.00S,2021-11-28T01:23:08.9Z,1,REGULAR,substitution,in,[],1626162,,,1610612745,20,10,2021-11-28T01:23:11Z,730000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M47.00S,2021-11-28T01:23:36.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,20,10,2021-11-28T01:23:36Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M44.00S,2021-11-28T01:23:52.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629726,93.24901445466492,45.588235294117645,1610612745,22,10,2021-11-28T01:23:58Z,750000,-22.0,11.0,1,right,G. Mathews cutting Layup (8 PTS) (E. Gordon 4 AST),"[1629726, 201569]",1610612745.0,HOU,cutting,,,Mathews,G. Mathews,,,,,2.47,Made,8.0,E. Gordon,201569.0,4.0,,,,,,,,,,,,,,,
77,PT06M37.00S,2021-11-28T01:24:04.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,22,10,2021-11-28T01:24:04Z,770000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M37.00S,2021-11-28T01:26:13.3Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,22,10,2021-11-28T01:26:44Z,780000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M37.00S,2021-11-28T01:26:13.3Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,22,10,2021-11-28T01:26:44Z,790000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M37.00S,2021-11-28T01:26:13.3Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,22,10,2021-11-28T01:26:44Z,800000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M37.00S,2021-11-28T01:26:13.3Z,1,REGULAR,substitution,in,[],1628970,,,1610612766,22,10,2021-11-28T01:26:44Z,810000,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M29.00S,2021-11-28T01:27:08.6Z,1,REGULAR,3pt,Jump Shot,[],1628998,7.5722733245729295,96.81372549019608,1610612766,22,13,2021-11-28T01:27:12Z,820000,-234.0,19.0,1,left,C. Martin 3PT  (3 PTS) (M. Bridges 1 AST),"[1628998, 1628970]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,23.48,Made,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,,
84,PT06M11.00S,2021-11-28T01:27:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,92.46057818659659,49.754901960784316,1610612745,22,13,2021-11-28T01:27:31Z,840000,-1.0,18.0,1,right,MISS C. Wood Layup,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,,
85,PT06M11.00S,2021-11-28T01:27:27.0Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,22,13,2021-11-28T01:27:31Z,850000,,,0,,C. Wood REBOUND (Off:3 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,84.0,5.0,2.0,3.0,,,,,,
86,PT06M11.00S,2021-11-28T01:27:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612745,22,13,2021-11-28T01:27:43Z,860000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Wood 2 FT),"[1626162, 1626174]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,1628954.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,
88,PT06M11.00S,2021-11-28T01:27:58.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626174,,,1610612745,22,13,2021-11-28T01:27:58Z,880000,,,0,,MISS C. Wood Free Throw 1 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,,
89,PT06M11.00S,2021-11-28T01:27:58.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,22,13,2021-11-28T01:27:58Z,890000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,
90,PT06M11.00S,2021-11-28T01:28:13.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626174,,,1610612745,23,13,2021-11-28T01:28:13Z,900000,,,0,,C. Wood Free Throw 2 of 2 (7 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
91,PT05M55.00S,2021-11-28T01:28:32.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,24.26084099868594,87.00980392156863,1610612766,23,13,2021-11-28T01:28:38Z,910000,-185.0,176.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
92,PT05M54.00S,2021-11-28T01:28:33.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,23,13,2021-11-28T01:28:38Z,920000,,,0,,C. Wood REBOUND (Off:3 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,91.0,6.0,3.0,3.0,,,,,,
93,PT05M33.00S,2021-11-28T01:28:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,91.80354796320631,35.294117647058826,1610612745,23,13,2021-11-28T01:29:10Z,930000,-74.0,25.0,1,right,MISS K. Porter Jr. 7' turnaround fadeaway Shot,[1629645],1610612745.0,HOU,turnaround fadeaway,,,Porter Jr.,K. Porter Jr.,,,,,7.75,Missed,,,,,,,,,,,,,,,,,,,
94,PT05M31.00S,2021-11-28T01:28:56.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,23,13,2021-11-28T01:29:10Z,940000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,
95,PT05M31.00S,2021-11-28T01:29:03.6Z,1,REGULAR,foul,personal,[],1628998,,,1610612745,23,13,2021-11-28T01:29:08Z,950000,,,0,,C. Martin loose ball personal FOUL (1 PF),"[1628998, 1626174]",1610612766.0,CHA,loose ball,,,Martin,C. Martin,,,,,,,,,,,2004.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,
