actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
21,PT10M14.00S,2021-11-25T01:12:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,82.21090670170827,51.9607843137255,1610612741,6,3,2021-11-25T01:12:55Z,210000,10.0,115.0,1,right,MISS Z. LaVine 11' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,,,11.51,Missed,,,,,,,,,,,,,,,,
22,PT10M09.00S,2021-11-25T01:12:54.2Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,6,3,2021-11-25T01:12:55Z,220000,,,0,,J. Green REBOUND (Off:2 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,21.0,2.0,0.0,2.0,,,,,,,,
23,PT10M09.00S,2021-11-25T01:12:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,94.40999984741211,50.0,1610612741,6,3,2021-11-25T01:12:52Z,230000,0.0,0.0,1,right,MISS J. Green tip Layup,[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
24,PT10M09.00S,2021-11-25T01:12:53.4Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,6,3,2021-11-25T01:12:53Z,240000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,
25,PT10M06.00S,2021-11-25T01:12:57.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,6.258212877792378,51.225490196078425,1610612745,8,3,2021-11-25T01:13:14Z,250000,-6.0,6.0,1,left,J. Green running finger roll Layup (5 PTS),[1630224],1610612745.0,HOU,running finger roll,,,Green,J. Green,,,,,,,0.88,Made,5.0,,,,,,,,,,,,,,,
26,PT09M50.00S,2021-11-25T01:13:12.7Z,1,REGULAR,3pt,Jump Shot,[],201942,92.59198423127464,4.166666666666666,1610612741,8,3,2021-11-25T01:13:17Z,260000,-229.0,17.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,22.98,Missed,,,,,,,,,,,,,,,,
27,PT09M50.00S,2021-11-25T01:13:12.7Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,8,3,2021-11-25T01:13:17Z,270000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,
28,PT09M41.00S,2021-11-25T01:13:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,6.652431011826544,45.83333333333333,1610612745,8,3,2021-11-25T01:13:30Z,280000,21.0,10.0,1,left,MISS K. Porter Jr. driving reverse Layup,[1629645],1610612745.0,HOU,driving reverse,,,Porter Jr.,K. Porter Jr.,,,,,,,2.31,Missed,,,,,,,,,,,,,,,,
29,PT09M40.00S,2021-11-25T01:13:23.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,8,3,2021-11-25T01:13:30Z,290000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M33.00S,2021-11-25T01:13:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,81.8166885676741,50.245098039215684,1610612741,8,3,2021-11-25T01:13:36Z,300000,1.0,118.0,1,right,MISS N. Vucevic 11' floating Shot,[202696],1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,,,11.84,Missed,,,,,,,,,,,,,,,,
31,PT09M33.00S,2021-11-25T01:13:29.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,8,3,2021-11-25T01:13:36Z,310000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,
32,PT09M33.00S,2021-11-25T01:13:35.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,8,3,2021-11-25T01:13:35Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2021-11-25T01:14:03.8Z,1,REGULAR,turnover,out-of-bounds,[],1630256,,,1610612745,8,3,2021-11-25T01:14:10Z,330000,,,0,,J. Tate lost ball out-of-bounds TURNOVER (1 TO),[1630256],1610612745.0,HOU,lost ball,,,Tate,J. Tate,,,,,1627963.0,1.0,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2021-11-25T01:14:21.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,76.16622864651774,12.745098039215685,1610612741,8,6,2021-11-25T01:17:52Z,340000,-186.0,172.0,1,right,Z. LaVine 25' 3PT pullup (3 PTS) (L. Ball 1 AST),"[203897, 1628366]",1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,,,25.32,Made,3.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,
36,PT08M55.00S,2021-11-25T01:14:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,5.732588699080158,42.8921568627451,1610612745,8,6,2021-11-25T01:23:01Z,360000,36.0,1.0,1,left,MISS E. Gordon running Layup - blocked,"[201569, 1629750]",1610612745.0,HOU,running,,,Gordon,E. Gordon,,,,,,,3.55,Missed,,,,,,,,,Green,1629750.0,,,,,,
37,PT08M55.00S,2021-11-25T01:14:29.1Z,1,REGULAR,block,,[],1629750,,,1610612745,8,6,2021-11-25T01:14:31Z,370000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M55.00S,2021-11-25T01:14:29.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,8,6,2021-11-25T01:14:36Z,380000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,
39,PT08M55.00S,2021-11-25T01:14:33.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,8,6,2021-11-25T01:14:33Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M52.00S,2021-11-25T01:14:44.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,29.517082785808146,22.30392156862745,1610612745,8,6,2021-11-25T01:14:49Z,400000,138.0,225.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,26.42,Missed,,,,,,,,,,,,,,,,
41,PT08M50.00S,2021-11-25T01:14:46.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,8,6,2021-11-25T01:14:49Z,410000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,
42,PT08M41.00S,2021-11-25T01:15:00.4Z,1,REGULAR,foul,personal,['2freethrow'],1630256,,,1610612741,8,6,2021-11-25T01:15:06Z,420000,,,0,,J. Tate shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1630256, 201942]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,202027.0,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,
44,PT08M41.00S,2021-11-25T01:15:30.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,8,7,2021-11-25T01:15:30Z,440000,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
45,PT08M41.00S,2021-11-25T01:15:47.2Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,8,8,2021-11-25T01:15:47Z,450000,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
46,PT08M31.00S,2021-11-25T01:16:02.3Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612745,8,8,2021-11-25T01:16:11Z,460000,,,0,,L. Ball shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1628366, 1629645]",1610612741.0,CHI,shooting,,,Ball,L. Ball,,,,,201638.0,,,,,,,,,,,,,,1.0,0.0,Porter Jr.,1629645.0,,
48,PT08M31.00S,2021-11-25T01:16:30.3Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,8,8,2021-11-25T01:16:30Z,480000,,,0,,MISS K. Porter Jr. Free Throw 1 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,
49,PT08M31.00S,2021-11-25T01:16:30.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,8,8,2021-11-25T01:16:30Z,490000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,
50,PT08M31.00S,2021-11-25T01:16:49.2Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,9,8,2021-11-25T01:16:49Z,500000,,,0,,K. Porter Jr. Free Throw 2 of 2 (1 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
51,PT08M22.00S,2021-11-25T01:17:00.7Z,1,REGULAR,3pt,Jump Shot,[],1628366,72.22404730617609,83.33333333333334,1610612741,9,11,2021-11-25T01:17:07Z,510000,167.0,209.0,1,right,L. Ball 26' 3PT  (3 PTS) (Z. LaVine 1 AST),"[1628366, 203897]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,26.7,Made,3.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,
53,PT08M07.00S,2021-11-25T01:17:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.440867279894875,52.450980392156865,1610612745,11,11,2021-11-25T01:17:19Z,530000,-12.0,17.0,1,left,K. Porter Jr. cutting Layup (3 PTS) (J. Green 1 AST),"[1629645, 1630224]",1610612745.0,HOU,cutting,,,Porter Jr.,K. Porter Jr.,,,,,,,2.13,Made,3.0,J. Green,1630224.0,1.0,,,,,,,,,,,,
55,PT07M59.00S,2021-11-25T01:17:24.4Z,1,REGULAR,3pt,Jump Shot,[],202696,67.09921156373193,36.029411764705884,1610612741,11,11,2021-11-25T01:17:31Z,550000,-70.0,257.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,26.61,Missed,,,,,,,,,,,,,,,,
56,PT07M58.00S,2021-11-25T01:17:25.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,11,11,2021-11-25T01:17:31Z,560000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,
57,PT07M42.00S,2021-11-25T01:17:40.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626174,7.046649145860711,48.03921568627451,1610612745,13,11,2021-11-25T01:17:46Z,570000,10.0,14.0,1,left,C. Wood alley-oop DUNK (5 PTS) (K. Porter Jr. 3 AST),"[1626174, 1629645]",1610612745.0,HOU,alley-oop,,,Wood,C. Wood,,,,,,,1.68,Made,5.0,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,,,
59,PT07M25.00S,2021-11-25T01:17:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.24901445466492,47.794117647058826,1610612741,13,13,2021-11-25T01:23:10Z,590000,-11.0,11.0,1,right,N. Vucevic alley-oop Layup (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,alley-oop,,,Vucevic,N. Vucevic,,,,,,,1.56,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,
61,PT07M12.00S,2021-11-25T01:18:10.8Z,1,REGULAR,3pt,Jump Shot,[],1626174,29.517082785808146,72.05882352941177,1610612745,16,13,2021-11-25T01:18:14Z,610000,-110.0,225.0,1,left,C. Wood 25' 3PT  (8 PTS) (K. Porter Jr. 4 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,25.06,Made,8.0,K. Porter Jr.,1629645.0,4.0,,,,,,,,,,,,
63,PT06M55.00S,2021-11-25T01:18:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628366,93.11760840998686,51.470588235294116,1610612741,16,15,2021-11-25T01:18:32Z,630000,7.0,12.0,1,right,L. Ball driving finger roll Layup (5 PTS) (D. DeRozan 2 AST),"[1628366, 201942]",1610612741.0,CHI,driving finger roll,,,Ball,L. Ball,,,,,,,1.43,Made,5.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,
65,PT06M41.00S,2021-11-25T01:18:41.9Z,1,REGULAR,3pt,Jump Shot,[],1630256,8.229303547963205,96.56862745098039,1610612745,16,15,2021-11-25T01:18:47Z,650000,-233.0,25.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,23.41,Missed,,,,,,,,,,,,,,,,
66,PT06M40.00S,2021-11-25T01:18:42.9Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,16,15,2021-11-25T01:18:47Z,660000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,
67,PT06M32.00S,2021-11-25T01:18:51.3Z,1,REGULAR,2pt,Jump Shot,[],202696,79.45137976346912,33.57843137254902,1610612741,16,15,2021-11-25T01:18:58Z,670000,-82.0,141.0,1,right,MISS N. Vucevic 16' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,16.29,Missed,,,,,,,,,,,,,,,,
68,PT06M31.00S,2021-11-25T01:18:52.3Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,16,15,2021-11-25T01:18:58Z,680000,,,0,,J. Green REBOUND (Off:3 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,67.0,3.0,0.0,3.0,,,,,,,,
69,PT06M23.00S,2021-11-25T01:18:59.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203897,83.65637319316689,40.68627450980392,1610612741,16,15,2021-11-25T01:19:05Z,690000,-47.0,101.0,1,right,MISS Z. LaVine 11' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,,,11.13,Missed,,,,,,,,,,,,,,,,
70,PT06M22.00S,2021-11-25T01:19:00.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,16,15,2021-11-25T01:19:05Z,700000,,,0,,C. Wood REBOUND (Off:0 Def:4),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,69.0,4.0,4.0,0.0,,,,,,,,
71,PT06M05.00S,2021-11-25T01:19:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,6.258212877792378,52.69607843137255,1610612745,16,15,2021-11-25T01:19:23Z,710000,-13.0,6.0,1,left,MISS C. Wood driving Layup,[1626174],1610612745.0,HOU,driving,,,Wood,C. Wood,,,,,,,1.49,Missed,,,,,,,,,,,,,,,,
72,PT06M04.00S,2021-11-25T01:19:18.5Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,16,15,2021-11-25T01:19:23Z,720000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,
73,PT05M48.00S,2021-11-25T01:19:34.4Z,1,REGULAR,3pt,Jump Shot,[],1628366,95.48291721419186,3.6764705882352944,1610612741,16,18,2021-11-25T01:19:38Z,730000,-232.0,-10.0,1,right,L. Ball 3PT  (8 PTS) (Z. LaVine 2 AST),"[1628366, 203897]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,23.18,Made,8.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,
75,PT05M32.00S,2021-11-25T01:19:50.6Z,1,REGULAR,3pt,Jump Shot,[],1626174,33.196452036793694,40.44117647058824,1610612745,16,18,2021-11-25T01:19:58Z,750000,48.0,260.0,1,left,MISS C. Wood 26' step back 3PT,[1626174],1610612745.0,HOU,step back,,,Wood,C. Wood,,,,,,,26.39,Missed,,,,,,,,,,,,,,,,
76,PT05M31.00S,2021-11-25T01:19:51.6Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,16,18,2021-11-25T01:19:58Z,760000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,
77,PT05M31.00S,2021-11-25T01:19:56.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,16,18,2021-11-25T01:19:56Z,770000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,out,[],201569,,,1610612741,16,18,2021-11-25T01:22:46Z,780000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,out,[],201942,,,1610612741,16,18,2021-11-25T01:22:46Z,790000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,out,[],202696,,,1610612741,16,18,2021-11-25T01:22:46Z,800000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,in,[],1629717,,,1610612741,16,18,2021-11-25T01:22:46Z,810000,,,0,,SUB in: A. Brooks,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,in,[],1627884,,,1610612741,16,18,2021-11-25T01:22:46Z,820000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M31.00S,2021-11-25T01:22:22.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,16,18,2021-11-25T01:22:46Z,830000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M10.00S,2021-11-25T01:23:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,92.32917214191852,42.64705882352941,1610612741,16,18,2021-11-25T01:25:14Z,840000,-37.0,20.0,1,right,MISS Z. LaVine Layup - blocked,"[203897, 1626174]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,4.17,Missed,,,,,,,,,Wood,1626174.0,,,,,,
85,PT05M10.00S,2021-11-25T01:23:13.4Z,1,REGULAR,block,,[],1626174,,,1610612741,16,18,2021-11-25T01:23:15Z,850000,,,0,,C. Wood BLOCK (1 BLK),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2021-11-25T01:23:15.4Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,16,18,2021-11-25T01:23:20Z,860000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,
87,PT05M03.00S,2021-11-25T01:23:23.1Z,1,REGULAR,foul,offensive,[],1626174,,,1610612745,16,18,2021-11-25T01:23:43Z,870000,,,0,,C. Wood charge offensive FOUL (1 PF),"[1626174, 1629750]",1610612745.0,HOU,charge,,,Wood,C. Wood,,,,,1627963.0,,,,,,,,,,,,,,1.0,0.0,Green,1629750.0,,
89,PT05M03.00S,2021-11-25T01:23:23.1Z,1,REGULAR,turnover,offensive foul,[],1626174,,,1610612745,16,18,2021-11-25T01:23:23Z,890000,,,0,,C. Wood offensive foul TURNOVER (1 TO),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,1627963.0,1.0,,,,,,,,,,,,,,,,,,
90,PT05M03.00S,2021-11-25T01:23:39.3Z,1,REGULAR,substitution,out,[],1630256,,,1610612741,16,18,2021-11-25T01:23:42Z,900000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
