actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M59.00S,2021-11-13T01:12:39.4Z,1,REGULAR,2pt,Jump Shot,[],203081,8.492115637319317,77.69607843137256,1610612757,0,0,2021-11-13T01:16:29Z,160000,-138.0,27.0,1,left,MISS D. Lillard 14' fadeaway Shot,[203081],1610612757.0,POR,,fadeaway,,,Lillard,D. Lillard,,,,,,,,,,,,14.12,Missed,,,,,,,,,,,
17,PT10M57.00S,2021-11-13T01:12:41.4Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,0,2021-11-13T01:13:05Z,170000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M42.00S,2021-11-13T01:12:55.9Z,1,REGULAR,3pt,Jump Shot,[],1628464,67.88764783180025,64.2156862745098,1610612745,3,0,2021-11-13T01:13:22Z,180000,71.0,249.0,1,right,D. Theis 25' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1628464, 1629645]",1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,25.93,Made,,,,,3.0,K. Porter Jr.,1629645.0,1.0,,,
20,PT10M27.00S,2021-11-13T01:13:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,7.178055190538765,49.754901960784316,1610612757,3,0,2021-11-13T01:13:21Z,200000,1.0,15.0,1,left,MISS C. McCollum running Layup - blocked,"[203468, 1626174]",1610612757.0,POR,,running,,,McCollum,C. McCollum,,,,,,,,,,,,1.5,Missed,,,,,,,,,Wood,1626174.0,
22,PT10M27.00S,2021-11-13T01:13:10.3Z,1,REGULAR,block,,[],1626174,,,1610612757,3,0,2021-11-13T01:13:21Z,205000,,,0,,C. Wood BLOCK (1 BLK),[1626174],1610612745.0,HOU,,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2021-11-13T01:13:12.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,3,0,2021-11-13T01:13:21Z,210000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,Green,J. Green,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
23,PT10M22.00S,2021-11-13T01:13:22.9Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612745,3,0,2021-11-13T01:13:38Z,220000,,,0,,N. Powell shooting personal FOUL (1 PF) (Tate 2 FT),"[1626181, 1630256]",1610612757.0,POR,1146.0,shooting,,,Powell,N. Powell,,,,,,,,1.0,0.0,Tate,1630256.0,,,,,,,,,,,,,
25,PT10M22.00S,2021-11-13T01:13:44.5Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,4,0,2021-11-13T01:13:44Z,240000,,,0,,J. Tate Free Throw 1 of 2 (1 PTS),[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,,Made,,,,,1.0,,,,,,
26,PT10M22.00S,2021-11-13T01:14:04.7Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,5,0,2021-11-13T01:14:04Z,250000,,,0,,J. Tate Free Throw 2 of 2 (2 PTS),[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,,Made,,,,,2.0,,,,,,
27,PT10M08.00S,2021-11-13T01:14:20.0Z,1,REGULAR,3pt,Jump Shot,[],203081,32.40801576872536,47.05882352941176,1610612757,5,3,2021-11-13T01:14:29Z,260000,15.0,252.0,1,left,D. Lillard 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[203081, 203468]",1610612757.0,POR,,,,,Lillard,D. Lillard,,,,,,,,,,,,25.25,Made,,,,,3.0,C. McCollum,203468.0,1.0,,,
29,PT09M51.00S,2021-11-13T01:14:37.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,92.06636005256242,4.411764705882353,1610612745,5,3,2021-11-13T01:14:43Z,280000,-228.0,22.0,1,right,MISS C. Wood 3PT,[1626174],1610612745.0,HOU,,,,,Wood,C. Wood,,,,,,,,,,,,22.9,Missed,,,,,,,,,,,
30,PT09M48.00S,2021-11-13T01:14:40.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,5,3,2021-11-13T01:14:43Z,290000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT09M41.00S,2021-11-13T01:14:47.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626181,6.521024967148489,48.77450980392157,1610612757,5,5,2021-11-13T01:14:55Z,300000,6.0,9.0,1,left,N. Powell driving DUNK (2 PTS),[1626181],1610612757.0,POR,,driving,,,Powell,N. Powell,,,,,,,,,,,,1.07,Made,,,,,2.0,,,,,,
32,PT09M19.00S,2021-11-13T01:15:09.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,74.98357424441524,46.568627450980394,1610612745,5,5,2021-11-13T01:21:12Z,310000,-17.0,183.0,1,right,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,,pullup,,,Green,J. Green,,,,,,,,,,,,18.35,Missed,,,,,,,,,,,
33,PT09M19.00S,2021-11-13T01:15:09.7Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,5,5,2021-11-13T01:21:50Z,320000,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,,,32.0,2.0,1.0,1.0,,,,,,,
34,PT09M19.00S,2021-11-13T01:15:16.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,5,5,2021-11-13T01:15:16Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M13.00S,2021-11-13T01:15:29.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630256,66.70499342969777,50.245098039215684,1610612745,5,5,2021-11-13T01:15:36Z,340000,1.0,260.0,1,right,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,26.05,Missed,,,,,,,,,,,
36,PT09M11.00S,2021-11-13T01:15:31.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,5,5,2021-11-13T01:15:31Z,350000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,,Covington,R. Covington,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT09M06.00S,2021-11-13T01:15:42.4Z,1,REGULAR,foul,personal,[],1630256,,,1610612757,5,5,2021-11-13T01:16:00Z,360000,,,0,,J. Tate personal FOUL (2 PF),"[1630256, 203081]",1610612745.0,HOU,2005.0,,,,Tate,J. Tate,,,,,,,,2.0,0.0,Lillard,203081.0,,,,,,,,,,,,,
39,PT08M54.00S,2021-11-13T01:16:05.6Z,1,REGULAR,2pt,Jump Shot,[],203468,21.107095926412615,44.85294117647059,1610612757,5,5,2021-11-13T01:16:16Z,380000,26.0,146.0,1,left,MISS C. McCollum 14' step back Shot,[203468],1610612757.0,POR,,step back,,,McCollum,C. McCollum,,,,,,,,,,,,14.81,Missed,,,,,,,,,,,
40,PT08M53.00S,2021-11-13T01:16:06.6Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,5,5,2021-11-13T01:16:16Z,390000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT08M46.00S,2021-11-13T01:16:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,93.11760840998686,48.03921568627451,1610612745,7,5,2021-11-13T01:16:25Z,400000,-10.0,12.0,1,right,K. Porter Jr. driving finger roll Layup (2 PTS),[1629645],1610612745.0,HOU,,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,1.56,Made,,,,,2.0,,,,,,
42,PT08M32.00S,2021-11-13T01:16:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,5.863994743758213,49.01960784313725,1610612757,7,5,2021-11-13T01:16:36Z,410000,5.0,3.0,1,left,MISS R. Covington cutting Layup,[203496],1610612757.0,POR,,cutting,,,Covington,R. Covington,,,,,,,,,,,,0.55,Missed,,,,,,,,,,,
44,PT08M29.00S,2021-11-13T01:16:30.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,5,2021-11-13T01:16:36Z,430000,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,Green,J. Green,,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,
45,PT08M24.00S,2021-11-13T01:16:36.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628464,69.99014454664915,24.509803921568626,1610612745,7,5,2021-11-13T01:16:52Z,440000,-127.0,230.0,1,right,MISS D. Theis 26' 3PT,[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,26.26,Missed,,,,,,,,,,,
46,PT08M20.00S,2021-11-13T01:16:40.1Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,7,5,2021-11-13T01:16:40Z,450000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,
47,PT08M19.00S,2021-11-13T01:16:42.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629645,92.72339027595268,48.529411764705884,1610612745,9,5,2021-11-13T01:16:55Z,460000,-7.0,16.0,1,right,K. Porter Jr. DUNK (4 PTS),[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,1.75,Made,,,,,4.0,,,,,,
48,PT08M19.00S,2021-11-13T01:16:45.2Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612745,9,5,2021-11-13T01:17:00Z,470000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[203994, 1629645]",1610612757.0,POR,2005.0,shooting,,,Nurkic,J. Nurkic,,,,,,,,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,
50,PT08M19.00S,2021-11-13T01:17:17.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629645,,,1610612745,10,5,2021-11-13T01:17:17Z,490000,,,0,,K. Porter Jr. Free Throw 1 of 1 (5 PTS),[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,Made,,,,,5.0,,,,,,
51,PT08M08.00S,2021-11-13T01:17:32.5Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,10,5,2021-11-13T01:17:45Z,500000,,,0,,J. Nurkic charge offensive FOUL (2 PF),"[203994, 1630256]",1610612757.0,POR,1146.0,charge,,,Nurkic,J. Nurkic,,,,,,,,2.0,0.0,Tate,1630256.0,,,,,,,,,,,,,
53,PT08M08.00S,2021-11-13T01:17:32.5Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,10,5,2021-11-13T01:17:32Z,520000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,1146.0,,,,Nurkic,J. Nurkic,,,,,1.0,,,,,,,,,,,,,,,,,,,
54,PT08M08.00S,2021-11-13T01:17:45.5Z,1,REGULAR,substitution,out,[],203994,,,1610612745,10,5,2021-11-13T01:17:50Z,530000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M08.00S,2021-11-13T01:17:45.5Z,1,REGULAR,substitution,in,[],203469,,,1610612745,10,5,2021-11-13T01:17:50Z,540000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M53.00S,2021-11-13T01:18:09.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628464,86.5473061760841,46.81372549019608,1610612745,10,5,2021-11-13T01:27:45Z,550000,-16.0,74.0,1,right,MISS D. Theis 7' floating Shot,[1628464],1610612745.0,HOU,,floating,,,Theis,D. Theis,,,,,,,,,,,,7.57,Missed,,,,,,,,,,,
58,PT07M48.00S,2021-11-13T01:18:14.4Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612745,10,5,2021-11-13T01:18:16Z,570000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,
60,PT07M48.00S,2021-11-13T01:18:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628464,92.72339027595268,48.28431372549019,1610612745,12,5,2021-11-13T01:18:20Z,590000,-9.0,16.0,1,right,D. Theis Layup (5 PTS),[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,1.81,Made,,,,,5.0,,,,,,
61,PT07M42.00S,2021-11-13T01:18:22.8Z,1,REGULAR,turnover,bad pass,[],203469,,,1610612757,12,5,2021-11-13T01:18:51Z,600000,,,0,,C. Zeller bad pass TURNOVER (1 TO),"[203469, 1628464]",1610612757.0,POR,,,,,Zeller,C. Zeller,,,,,1.0,Theis,1628464.0,,,,,,,,,,,,,,,,,
62,PT07M42.00S,2021-11-13T01:18:22.8Z,1,REGULAR,steal,,[],1628464,,,1610612745,12,5,2021-11-13T01:18:25Z,610000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M40.00S,2021-11-13T01:18:27.2Z,1,REGULAR,foul,personal,[],203496,,,1610612745,12,5,2021-11-13T01:18:38Z,620000,,,0,,R. Covington take personal FOUL (1 PF),"[203496, 1630224]",1610612757.0,POR,2005.0,take,,,Covington,R. Covington,,,,,,,,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,
65,PT07M29.00S,2021-11-13T01:18:56.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,85.89027595269383,14.705882352941178,1610612745,12,5,2021-11-13T01:19:04Z,640000,-176.0,80.0,1,right,MISS J. Green 19' step back Shot,[1630224],1610612745.0,HOU,,step back,,,Green,J. Green,,,,,,,,,,,,19.38,Missed,,,,,,,,,,,
66,PT07M25.00S,2021-11-13T01:19:00.6Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612745,12,5,2021-11-13T01:19:00Z,650000,,,0,,D. Theis REBOUND (Off:2 Def:1),[1628464],1610612745.0,HOU,,,,,Theis,D. Theis,,,,,,,,,,,,,,65.0,3.0,1.0,2.0,,,,,,,
67,PT07M21.00S,2021-11-13T01:19:04.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626174,68.54467805519053,27.696078431372552,1610612745,12,5,2021-11-13T01:19:12Z,660000,-112.0,243.0,1,right,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,,Wood,C. Wood,,,,,,,,,,,,26.75,Missed,,,,,,,,,,,
68,PT07M20.00S,2021-11-13T01:19:05.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,12,5,2021-11-13T01:19:12Z,670000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612757.0,POR,,,,,McCollum,C. McCollum,,,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,
69,PT07M05.00S,2021-11-13T01:19:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,10.463206307490145,57.35294117647059,1610612757,12,7,2021-11-13T01:19:39Z,680000,-37.0,46.0,1,left,C. McCollum step back Jump Shot (2 PTS),[203468],1610612757.0,POR,,step back,,,McCollum,C. McCollum,,,,,,,,,,,,5.88,Made,,,,,2.0,,,,,,
70,PT07M05.00S,2021-11-13T01:19:26.4Z,1,REGULAR,foul,personal,['1freethrow'],1630256,,,1610612757,12,7,2021-11-13T01:19:34Z,690000,,,0,,J. Tate shooting personal FOUL (3 PF) (McCollum 1 FT),"[1630256, 203468]",1610612745.0,HOU,1146.0,shooting,,,Tate,J. Tate,,,,,,,,3.0,0.0,McCollum,203468.0,,,,,,,,,,,,,
72,PT07M05.00S,2021-11-13T01:19:43.6Z,1,REGULAR,substitution,out,[],1630256,,,1610612757,12,7,2021-11-13T01:20:32Z,710000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M05.00S,2021-11-13T01:19:43.6Z,1,REGULAR,substitution,in,[],1630231,,,1610612757,12,7,2021-11-13T01:20:32Z,720000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M05.00S,2021-11-13T01:20:01.5Z,1,REGULAR,freethrow,1 of 1,[],203468,,,1610612757,12,8,2021-11-13T01:20:01Z,730000,,,0,,C. McCollum Free Throw 1 of 1 (3 PTS),[203468],1610612757.0,POR,,,,,McCollum,C. McCollum,,,,,,,,,,,,,Made,,,,,3.0,,,,,,
75,PT07M00.00S,2021-11-13T01:20:15.5Z,1,REGULAR,foul,technical,['1freethrow'],1630256,,,1610612745,12,8,2021-11-13T01:20:36Z,740000,,,0,,J. Tate technical FOUL (1 Tech),[1630256],1610612745.0,HOU,1146.0,,,,Tate,J. Tate,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
76,PT07M00.00S,2021-11-13T01:20:37.0Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612745,12,9,2021-11-13T01:20:37Z,750000,,,0,,D. Lillard technical Free Throw 1 of 1 (4 PTS),[203081],1610612757.0,POR,,technical,,,Lillard,D. Lillard,,,,,,,,,,,,,Made,,,,,4.0,,,,,,
77,PT06M49.00S,2021-11-13T01:21:00.3Z,1,REGULAR,3pt,Jump Shot,[],1629645,68.01905387647832,25.98039215686275,1610612745,12,9,2021-11-13T01:21:16Z,760000,-120.0,248.0,1,right,MISS K. Porter Jr. 27' 3PT,[1629645],1610612745.0,HOU,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,27.56,Missed,,,,,,,,,,,
78,PT06M48.00S,2021-11-13T01:21:04.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,12,9,2021-11-13T01:21:04Z,770000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,
79,PT06M48.00S,2021-11-13T01:21:05.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,12,9,2021-11-13T01:21:05Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M48.00S,2021-11-13T01:21:13.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,12,9,2021-11-13T01:21:13Z,790000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M48.00S,2021-11-13T01:22:47.6Z,1,REGULAR,substitution,out,[],1630224,,,1610612757,12,9,2021-11-13T01:23:57Z,800000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M48.00S,2021-11-13T01:22:47.6Z,1,REGULAR,substitution,in,[],201569,,,1610612757,12,9,2021-11-13T01:23:57Z,810000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M35.00S,2021-11-13T01:24:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612757,12,9,2021-11-13T01:24:27Z,820000,,,0,,C. Wood shooting personal FOUL (1 PF) (Zeller 2 FT),"[1626174, 203469]",1610612745.0,HOU,2005.0,shooting,,,Wood,C. Wood,,,,,,,,1.0,0.0,Zeller,203469.0,,,,,,,,,,,,,
85,PT06M35.00S,2021-11-13T01:24:40.3Z,1,REGULAR,freethrow,1 of 2,[],203469,,,1610612757,12,10,2021-11-13T01:24:40Z,840000,,,0,,C. Zeller Free Throw 1 of 2 (1 PTS),[203469],1610612757.0,POR,,,,,Zeller,C. Zeller,,,,,,,,,,,,,Made,,,,,1.0,,,,,,
86,PT06M35.00S,2021-11-13T01:24:55.0Z,1,REGULAR,freethrow,2 of 2,[],203469,,,1610612757,12,11,2021-11-13T01:24:55Z,850000,,,0,,C. Zeller Free Throw 2 of 2 (2 PTS),[203469],1610612757.0,POR,,,,,Zeller,C. Zeller,,,,,,,,,,,,,Made,,,,,2.0,,,,,,
87,PT06M24.00S,2021-11-13T01:25:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,92.9862023653088,49.50980392156863,1610612745,12,11,2021-11-13T01:25:11Z,860000,-2.0,13.0,1,right,MISS K. Porter Jr. driving Layup,[1629645],1610612745.0,HOU,,driving,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,1.36,Missed,,,,,,,,,,,
88,PT06M22.00S,2021-11-13T01:25:09.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,12,11,2021-11-13T01:25:11Z,870000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,,Lillard,D. Lillard,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,
89,PT06M16.00S,2021-11-13T01:25:14.8Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,12,11,2021-11-13T01:25:18Z,880000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1630231]",1610612757.0,POR,,,,,Lillard,D. Lillard,,,,,1.0,Martin Jr.,1630231.0,,,,,,,,,,,,,,,,,
90,PT06M16.00S,2021-11-13T01:25:14.8Z,1,REGULAR,steal,,[],1630231,,,1610612745,12,11,2021-11-13T01:25:16Z,890000,,,0,,K. Martin Jr. STEAL (1 STL),[1630231],1610612745.0,HOU,,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
91,PT06M13.00S,2021-11-13T01:25:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630231,93.24901445466492,48.03921568627451,1610612745,12,11,2021-11-13T01:25:29Z,900000,-10.0,11.0,1,right,MISS K. Martin Jr. running Layup,[1630231],1610612745.0,HOU,,running,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,1.47,Missed,,,,,,,,,,,
