actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
33,PT08M58.00S,2021-10-24T23:14:04.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,4,2021-10-24T23:14:08Z,330000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,
34,PT08M45.00S,2021-10-24T23:14:17.0Z,1,REGULAR,2pt,Jump Shot,[],1628369,94.43166885676742,25.735294117647058,1610612738,9,6,2021-10-24T23:14:24Z,340000,-121.0,0.0,1,right,J. Tatum 12' step back Jump Shot (6 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,12.13,Made,6.0,,,,,,,,,,,,,,,
35,PT08M37.00S,2021-10-24T23:14:27.4Z,1,REGULAR,foul,personal,[],203935,,,1610612745,9,6,2021-10-24T23:14:34Z,350000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1630224]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Green,1630224.0,
37,PT08M27.00S,2021-10-24T23:14:53.2Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612745,9,6,2021-10-24T23:15:02Z,370000,,,0,,K. Porter Jr. bad pass out-of-bounds TURNOVER (2 TO),[1629645],1610612745.0,HOU,bad pass,,,Porter Jr.,K. Porter Jr.,,,,,2.0,,,,,,,,,,,,,,,1155.0,,,,,
38,PT08M10.00S,2021-10-24T23:15:17.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201143,94.43166885676742,52.20588235294118,1610612738,9,8,2021-10-24T23:15:23Z,380000,11.0,0.0,1,right,A. Horford driving DUNK (2 PTS),[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,,1.1,Made,2.0,,,,,,,,,,,,,,,
39,PT07M50.00S,2021-10-24T23:15:37.7Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,9,8,2021-10-24T23:15:44Z,390000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 203935]",1610612745.0,HOU,,,,Green,J. Green,,,,,1.0,Smart,203935.0,,,,,,,,,,,,,,,,,,
40,PT07M50.00S,2021-10-24T23:15:37.7Z,1,REGULAR,steal,,[],203935,,,1610612738,9,8,2021-10-24T23:15:40Z,400000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M37.00S,2021-10-24T23:15:50.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,87.46714848883047,27.696078431372552,1610612738,9,10,2021-10-24T23:15:56Z,410000,-112.0,65.0,1,right,J. Tatum 12' turnaround fadeaway Jump Shot (8 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,12.92,Made,8.0,,,,,,,,,,,,,,,
42,PT07M12.00S,2021-10-24T23:16:15.4Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,9,10,2021-10-24T23:16:20Z,420000,,,0,,J. Green lost ball TURNOVER (2 TO),"[1630224, 203471]",1610612745.0,HOU,,,,Green,J. Green,,,,,2.0,Schroder,203471.0,,,,,,,,,,,,,,,,,,
43,PT07M12.00S,2021-10-24T23:16:15.4Z,1,REGULAR,steal,,[],203471,,,1610612738,9,10,2021-10-24T23:18:36Z,430000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M08.00S,2021-10-24T23:16:22.9Z,1,REGULAR,foul,personal,[],1629645,,,1610612738,9,10,2021-10-24T23:16:30Z,440000,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 203471]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Schroder,203471.0,
46,PT07M08.00S,2021-10-24T23:16:34.3Z,1,REGULAR,substitution,out,[],201143,,,1610612738,9,10,2021-10-24T23:16:37Z,460000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M08.00S,2021-10-24T23:16:34.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,9,10,2021-10-24T23:16:37Z,470000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M01.00S,2021-10-24T23:16:51.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,78.79434954007884,40.19607843137255,1610612738,9,10,2021-10-24T23:16:57Z,480000,-49.0,147.0,1,right,MISS J. Tatum 15' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,15.48,Missed,,,,,,,,,,,,,,,,
49,PT07M00.00S,2021-10-24T23:16:52.6Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,9,10,2021-10-24T23:16:57Z,490000,,,0,,J. Tate REBOUND (Off:0 Def:2),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,
50,PT06M38.00S,2021-10-24T23:17:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,15.850854139290407,48.28431372549019,1610612745,9,10,2021-10-24T23:17:25Z,500000,9.0,96.0,1,left,MISS D. Theis 9' driving floating Shot,[1628464],1610612745.0,HOU,driving floating,,,Theis,D. Theis,,,,,,,,9.69,Missed,,,,,,,,,,,,,,,,
51,PT06M37.00S,2021-10-24T23:17:15.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,9,10,2021-10-24T23:17:25Z,510000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,
52,PT06M30.00S,2021-10-24T23:17:22.5Z,1,REGULAR,3pt,Jump Shot,[],203471,67.23061760840999,45.09803921568628,1610612738,9,10,2021-10-24T23:17:30Z,520000,-25.0,256.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,25.67,Missed,,,,,,,,,,,,,,,,
53,PT06M30.00S,2021-10-24T23:17:22.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,10,2021-10-24T23:17:30Z,530000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,
54,PT06M30.00S,2021-10-24T23:17:26.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,9,10,2021-10-24T23:17:26Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M30.00S,2021-10-24T23:17:34.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,9,10,2021-10-24T23:17:34Z,550000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M17.00S,2021-10-24T23:20:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,28.728646517739815,15.441176470588236,1610612745,12,10,2021-10-24T23:20:36Z,560000,173.0,218.0,1,left,J. Green 27' 3PT  (6 PTS) (D. Theis 1 AST),"[1630224, 1628464]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,27.78,Made,6.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,
58,PT05M53.00S,2021-10-24T23:20:56.2Z,1,REGULAR,3pt,Jump Shot,[],203935,67.7562417871222,32.59803921568628,1610612738,12,10,2021-10-24T23:21:04Z,580000,-87.0,251.0,1,right,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,26.53,Missed,,,,,,,,,,,,,,,,
59,PT05M52.00S,2021-10-24T23:20:57.2Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,12,10,2021-10-24T23:21:04Z,590000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,
60,PT05M44.00S,2021-10-24T23:21:08.7Z,1,REGULAR,foul,personal,['2freethrow'],203471,,,1610612745,12,10,2021-10-24T23:21:18Z,600000,,,0,,D. Schroder shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[203471, 1629645]",1610612738.0,BOS,shooting,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,1363.0,1.0,0.0,Porter Jr.,1629645.0,
62,PT05M44.00S,2021-10-24T23:21:29.5Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,13,10,2021-10-24T23:21:57Z,620000,,,0,,K. Porter Jr. Free Throw 1 of 2 (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
63,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,13,10,2021-10-24T23:21:43Z,630000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612745,13,10,2021-10-24T23:21:43Z,640000,,,0,,SUB out: D. Theis,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612745,13,10,2021-10-24T23:21:43Z,650000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,13,10,2021-10-24T23:21:43Z,660000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,in,[],201569,,,1610612745,13,10,2021-10-24T23:21:43Z,670000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M44.00S,2021-10-24T23:21:31.1Z,1,REGULAR,substitution,in,[],1626196,,,1610612745,13,10,2021-10-24T23:21:43Z,680000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M44.00S,2021-10-24T23:21:29.5Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,13,10,2021-10-24T23:21:57Z,690000,,,0,,MISS K. Porter Jr. Free Throw 2 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,
70,PT05M44.00S,2021-10-24T23:21:29.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,10,2021-10-24T23:21:57Z,700000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,
71,PT05M31.00S,2021-10-24T23:22:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,93.77463863337714,46.07843137254902,1610612738,13,10,2021-10-24T23:22:13Z,710000,-20.0,6.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,2.05,Missed,,,,,,,,,,,,,,,,
72,PT05M30.00S,2021-10-24T23:22:05.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,13,10,2021-10-24T23:22:13Z,720000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,
73,PT05M22.00S,2021-10-24T23:22:13.7Z,1,REGULAR,3pt,Jump Shot,[],1626174,26.231931668856767,84.31372549019608,1610612745,13,10,2021-10-24T23:22:20Z,730000,-172.0,194.0,1,left,MISS C. Wood 25' pullup 3PT,[1626174],1610612745.0,HOU,pullup,,,Wood,C. Wood,,,,,,,,25.91,Missed,,,,,,,,,,,,,,,,
74,PT05M21.00S,2021-10-24T23:22:14.7Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,13,10,2021-10-24T23:22:20Z,740000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,
75,PT05M17.00S,2021-10-24T23:22:18.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629057,91.01511169513797,50.245098039215684,1610612738,13,12,2021-10-24T23:23:54Z,750000,1.0,32.0,1,right,R. Williams III running DUNK (2 PTS) (D. Schroder 1 AST),"[1629057, 203471]",1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,,,,3.2,Made,2.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,
77,PT05M07.00S,2021-10-24T23:22:29.4Z,1,REGULAR,3pt,Jump Shot,[],201569,34.773324572930356,40.931372549019606,1610612745,13,12,2021-10-24T23:22:36Z,770000,45.0,274.0,1,left,MISS E. Gordon 27' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,,,,27.81,Missed,,,,,,,,,,,,,,,,
78,PT05M06.00S,2021-10-24T23:22:30.4Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,13,12,2021-10-24T23:22:36Z,780000,,,0,,D. Schroder REBOUND (Off:0 Def:2),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,
79,PT04M58.00S,2021-10-24T23:22:40.5Z,1,REGULAR,foul,offensive,[],203471,,,1610612738,13,12,2021-10-24T23:22:59Z,790000,,,0,,D. Schroder offensive FOUL (2 PF),"[203471, 1629645]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,1363.0,2.0,0.0,Porter Jr.,1629645.0,
81,PT04M58.00S,2021-10-24T23:22:40.5Z,1,REGULAR,turnover,offensive foul,[],203471,,,1610612738,13,12,2021-10-24T23:22:40Z,810000,,,0,,D. Schroder offensive foul TURNOVER (1 TO),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,1.0,,,,,,,,,,,,,,,1363.0,,,,,
82,PT04M58.00S,2021-10-24T23:22:54.7Z,1,REGULAR,substitution,out,[],203471,,,1610612745,13,12,2021-10-24T23:23:13Z,820000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2021-10-24T23:22:54.7Z,1,REGULAR,substitution,in,[],1630174,,,1610612745,13,12,2021-10-24T23:23:13Z,830000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M44.00S,2021-10-24T23:23:14.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626174,6.258212877792378,50.49019607843137,1610612745,15,12,2021-10-24T23:23:21Z,840000,-2.0,6.0,1,left,C. Wood cutting DUNK (2 PTS) (A. Sengun 1 AST),"[1626174, 1630578]",1610612745.0,HOU,cutting,,,Wood,C. Wood,,,,,,,,0.68,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,
86,PT04M24.00S,2021-10-24T23:23:33.5Z,1,REGULAR,3pt,Jump Shot,[],1626196,69.72733245729303,21.323529411764707,1610612738,15,12,2021-10-24T23:23:40Z,860000,-143.0,232.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,27.28,Missed,,,,,,,,,,,,,,,,
87,PT04M23.00S,2021-10-24T23:23:34.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,15,12,2021-10-24T23:23:40Z,870000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT04M11.00S,2021-10-24T23:23:47.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,6.258212877792378,45.83333333333333,1610612745,17,12,2021-10-24T23:24:02Z,880000,21.0,6.0,1,left,A. Sengun turnaround bank Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround bank,,,Sengun,A. Sengun,,,,,,,,2.17,Made,2.0,,,,,,,,,,,,,,,
89,PT03M55.00S,2021-10-24T23:24:02.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,66.5735873850197,48.03921568627451,1610612738,17,15,2021-10-24T23:24:07Z,890000,-10.0,262.0,1,right,G. Williams 26' 3PT  (3 PTS) (M. Smart 2 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,26.19,Made,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,,
