actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
24,PT10M28.00S,2021-12-09T01:13:44.4Z,1,REGULAR,freethrow,1 of 1,[],201569,,,1610612745,5,2,2021-12-09T01:18:42Z,240000,,,0,,E. Gordon Free Throw 1 of 1 (5 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
25,PT10M10.00S,2021-12-09T01:14:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,5.469776609724048,53.18627450980392,1610612751,5,2,2021-12-09T01:14:11Z,250000,-16.0,-1.0,1,left,MISS J. Johnson driving reverse Layup,[201949],1610612751.0,BKN,driving reverse,,,Johnson,J. Johnson,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M07.00S,2021-12-09T01:14:06.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,5,2,2021-12-09T01:14:11Z,260000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M57.00S,2021-12-09T01:14:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630256,92.9862023653088,47.05882352941176,1610612745,7,2,2021-12-09T01:14:26Z,270000,-15.0,13.0,1,right,J. Tate driving floating Jump Shot (2 PTS),[1630256],1610612745.0,HOU,driving floating,,,Tate,J. Tate,,,,,1.99,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M57.00S,2021-12-09T01:14:21.6Z,1,REGULAR,foul,personal,['1freethrow'],1627761,,,1610612745,7,2,2021-12-09T01:16:41Z,280000,,,0,,D. Bembry shooting personal FOUL (1 PF) (Tate 1 FT),"[1627761, 1630256]",1610612751.0,BKN,shooting,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Tate,1630256.0,,,,
30,PT09M57.00S,2021-12-09T01:14:46.8Z,1,REGULAR,freethrow,1 of 1,[],1630256,,,1610612745,7,2,2021-12-09T01:16:51Z,300000,,,0,,MISS J. Tate Free Throw 1 of 1,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M57.00S,2021-12-09T01:14:46.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,2,2021-12-09T01:16:51Z,310000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M44.00S,2021-12-09T01:14:58.2Z,1,REGULAR,2pt,Jump Shot,[],201988,23.866622864651774,62.745098039215684,1610612751,7,2,2021-12-09T01:15:06Z,320000,-64.0,172.0,1,left,MISS P. Mills 18' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,18.32,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2021-12-09T01:14:59.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,2,2021-12-09T01:15:06Z,330000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M36.00S,2021-12-09T01:15:06.5Z,1,REGULAR,3pt,Jump Shot,[],1629717,69.99014454664915,74.26470588235294,1610612745,7,2,2021-12-09T01:15:11Z,340000,121.0,230.0,1,right,MISS A. Brooks 25' 3PT,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M35.00S,2021-12-09T01:15:07.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,2,2021-12-09T01:15:11Z,350000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M20.00S,2021-12-09T01:15:22.7Z,1,REGULAR,3pt,Jump Shot,[],201935,32.933639947437584,44.85294117647059,1610612751,7,5,2021-12-09T01:15:27Z,360000,26.0,257.0,1,left,J. Harden 25' 3PT step back (3 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.84,Made,3.0,,,,,,,,,,,,,,,,,,
37,PT09M02.00S,2021-12-09T01:15:41.0Z,1,REGULAR,3pt,Jump Shot,[],1629726,74.85216819973719,12.254901960784313,1610612745,7,5,2021-12-09T01:15:48Z,370000,-189.0,184.0,1,right,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2021-12-09T01:15:43.0Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,7,5,2021-12-09T01:15:48Z,380000,,,0,,C. Wood REBOUND (Off:1 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,,,,,
39,PT08M58.00S,2021-12-09T01:15:45.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630256,72.35545335085413,16.911764705882355,1610612745,7,5,2021-12-09T01:15:50Z,390000,-165.0,207.0,1,right,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M58.00S,2021-12-09T01:15:45.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,7,5,2021-12-09T01:15:50Z,400000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M36.00S,2021-12-09T01:16:06.1Z,1,REGULAR,3pt,Jump Shot,[],201988,25.18068331143233,13.725490196078432,1610612751,7,8,2021-12-09T01:16:11Z,410000,181.0,184.0,1,left,P. Mills 25' 3PT  (3 PTS) (J. Harden 1 AST),"[201988, 201935]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.85,Made,3.0,,,,,,,,,,,,,,,J. Harden,201935.0,1.0,
43,PT08M20.00S,2021-12-09T01:16:22.1Z,1,REGULAR,3pt,Jump Shot,[],201569,72.88107752956637,82.59803921568627,1610612745,7,8,2021-12-09T01:16:26Z,430000,163.0,202.0,1,right,MISS E. Gordon 25' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2021-12-09T01:16:23.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,7,8,2021-12-09T01:16:26Z,440000,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT08M12.00S,2021-12-09T01:16:30.3Z,1,REGULAR,3pt,Jump Shot,[],201988,27.151773981603156,21.07843137254902,1610612751,7,11,2021-12-09T01:16:36Z,450000,145.0,203.0,1,left,P. Mills 24' 3PT  (6 PTS) (J. Johnson 1 AST),"[201988, 201949]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.9,Made,6.0,,,,,,,,,,,,,,,J. Johnson,201949.0,1.0,
47,PT07M51.00S,2021-12-09T01:16:52.1Z,1,REGULAR,3pt,Jump Shot,[],1626174,66.3107752956636,46.81372549019608,1610612745,7,11,2021-12-09T01:16:56Z,470000,-16.0,264.0,1,right,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2021-12-09T01:16:53.1Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,7,11,2021-12-09T01:16:56Z,480000,,,0,,D. Bembry REBOUND (Off:1 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT07M43.00S,2021-12-09T01:17:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.5722733245729295,54.41176470588235,1610612751,7,11,2021-12-09T01:17:07Z,490000,-22.0,19.0,1,left,MISS N. Claxton alley-oop Layup,[1629651],1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,2.89,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M42.00S,2021-12-09T01:17:01.1Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,7,11,2021-12-09T01:17:07Z,500000,,,0,,C. Wood REBOUND (Off:1 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,49.0,4.0,3.0,1.0,,,,,,,,,,,,,,
51,PT07M34.00S,2021-12-09T01:17:08.7Z,1,REGULAR,3pt,Jump Shot,[],1629717,72.48685939553219,79.90196078431373,1610612745,10,11,2021-12-09T01:17:13Z,510000,150.0,206.0,1,right,A. Brooks 25' 3PT  (3 PTS) (J. Tate 1 AST),"[1629717, 1630256]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,25.46,Made,3.0,,,,,,,,,,,,,,,J. Tate,1630256.0,1.0,
53,PT07M12.00S,2021-12-09T01:17:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,10.463206307490145,42.8921568627451,1610612751,10,11,2021-12-09T01:17:44Z,530000,36.0,46.0,1,left,MISS N. Claxton driving Layup - blocked,"[1629651, 1630256]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,5.8,Missed,,,,,,,,,Tate,1630256.0,,,,,,,,,
54,PT07M12.00S,2021-12-09T01:17:30.7Z,1,REGULAR,block,,[],1630256,,,1610612751,10,11,2021-12-09T01:17:34Z,540000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2021-12-09T01:17:34.7Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,10,11,2021-12-09T01:17:44Z,550000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT07M06.00S,2021-12-09T01:17:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629717,70.12155059132719,74.01960784313727,1610612745,10,11,2021-12-09T01:30:58Z,560000,120.0,228.0,1,right,MISS A. Brooks 25' pullup 3PT,[1629717],1610612745.0,HOU,pullup,,,Brooks,A. Brooks,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M05.00S,2021-12-09T01:17:37.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,10,11,2021-12-09T01:17:54Z,570000,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,56.0,4.0,4.0,0.0,,,,,,,,,,,,,,
58,PT06M55.00S,2021-12-09T01:17:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612751,10,11,2021-12-09T01:17:59Z,580000,,,0,,C. Wood shooting personal FOUL (1 PF) (Harden 2 FT),"[1626174, 201935]",1610612745.0,HOU,shooting,,,Wood,C. Wood,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Harden,201935.0,,,,
60,PT06M55.00S,2021-12-09T01:18:02.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,11,2021-12-09T01:18:02Z,600000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2021-12-09T01:21:03.6Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,10,11,2021-12-09T01:21:03Z,610000,,,0,,MISS J. Harden Free Throw 1 of 2,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2021-12-09T01:21:03.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,10,11,2021-12-09T01:21:03Z,620000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,
63,PT06M55.00S,2021-12-09T01:21:17.6Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,10,12,2021-12-09T01:21:17Z,630000,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
64,PT06M37.00S,2021-12-09T01:21:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,94.03745072273325,50.73529411764706,1610612745,12,12,2021-12-09T01:21:42Z,640000,4.0,4.0,1,right,E. Gordon driving Layup (7 PTS) (C. Wood 1 AST),"[201569, 1626174]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,0.51,Made,7.0,,,,,,,,,,,,,,,C. Wood,1626174.0,1.0,
66,PT06M25.00S,2021-12-09T01:21:52.3Z,1,REGULAR,foul,personal,[],1630256,,,1610612751,12,12,2021-12-09T01:23:16Z,660000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 201935]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Harden,201935.0,,,,
68,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,out,[],201988,,,1610612751,12,12,2021-12-09T01:22:13Z,680000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,12,12,2021-12-09T01:22:13Z,690000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,out,[],1627761,,,1610612751,12,12,2021-12-09T01:22:13Z,700000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,12,12,2021-12-09T01:22:13Z,710000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612751,12,12,2021-12-09T01:22:13Z,720000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M25.00S,2021-12-09T01:22:01.6Z,1,REGULAR,substitution,in,[],200794,,,1610612751,12,12,2021-12-09T01:22:13Z,730000,,,0,,SUB in: P. Millsap,[200794],1610612751.0,BKN,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2021-12-09T01:22:27.6Z,1,REGULAR,2pt,Jump Shot,[],1630560,20.97568988173456,69.11764705882352,1610612751,12,14,2021-12-09T01:22:33Z,740000,-96.0,145.0,1,left,C. Thomas 17' pullup Jump Shot (2 PTS) (J. Harden 2 AST),"[1630560, 201935]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,17.34,Made,2.0,,,,,,,,,,,,,,,J. Harden,201935.0,2.0,
76,PT06M05.00S,2021-12-09T01:22:41.7Z,1,REGULAR,foul,personal,['2freethrow'],200794,,,1610612745,12,14,2021-12-09T01:22:59Z,760000,,,0,,P. Millsap shooting personal FOUL (1 PF) (Tate 2 FT),"[200794, 1630256]",1610612751.0,BKN,shooting,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Tate,1630256.0,,,,
78,PT06M05.00S,2021-12-09T01:23:09.8Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,12,14,2021-12-09T01:23:09Z,780000,,,0,,MISS J. Tate Free Throw 1 of 2,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M05.00S,2021-12-09T01:23:09.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,12,14,2021-12-09T01:23:09Z,790000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
80,PT06M05.00S,2021-12-09T01:23:28.4Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,13,14,2021-12-09T01:23:28Z,800000,,,0,,J. Tate Free Throw 2 of 2 (3 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2021-12-09T01:23:48.9Z,1,REGULAR,2pt,Jump Shot,[],200794,14.4053876478318,29.166666666666668,1610612751,13,14,2021-12-09T01:23:55Z,810000,104.0,83.0,1,left,MISS P. Millsap 13' fadeaway Shot,[200794],1610612751.0,BKN,fadeaway,,,Millsap,P. Millsap,,,,,13.32,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M47.00S,2021-12-09T01:23:49.9Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,13,14,2021-12-09T01:23:55Z,820000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M36.00S,2021-12-09T01:24:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629717,92.85479632063075,46.07843137254902,1610612745,15,14,2021-12-09T01:24:06Z,830000,-20.0,15.0,1,right,A. Brooks cutting Layup (5 PTS) (J. Tate 2 AST),"[1629717, 1630256]",1610612745.0,HOU,cutting,,,Brooks,A. Brooks,,,,,2.45,Made,5.0,,,,,,,,,,,,,,,J. Tate,1630256.0,2.0,
85,PT05M21.00S,2021-12-09T01:24:15.7Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,15,14,2021-12-09T01:24:19Z,850000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1629726]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,1.0,Mathews,1629726.0,,,,,,,,,,,
86,PT05M21.00S,2021-12-09T01:24:15.7Z,1,REGULAR,steal,,[],1629726,,,1610612745,15,14,2021-12-09T01:24:17Z,860000,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M09.00S,2021-12-09T01:24:26.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201569,71.82982917214193,78.18627450980392,1610612745,18,14,2021-12-09T01:31:08Z,870000,141.0,212.0,1,right,E. Gordon 25' 3PT pullup (10 PTS),[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,25.48,Made,10.0,,,,,,,,,,,,,,,,,,
88,PT04M59.00S,2021-12-09T01:24:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,13.87976346911958,62.5,1610612751,18,14,2021-12-09T01:24:48Z,880000,-62.0,78.0,1,left,MISS B. Brown 10' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,10.0,Missed,,,,,,,,,,,,,,,,,,,
89,PT04M57.00S,2021-12-09T01:24:41.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,18,14,2021-12-09T01:24:41Z,890000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,
90,PT04M57.00S,2021-12-09T01:24:43.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,18,14,2021-12-09T01:24:43Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M57.00S,2021-12-09T01:24:44.0Z,1,REGULAR,substitution,out,[],1629726,,,1610612745,18,14,2021-12-09T01:24:52Z,910000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
