actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M47.00S,2021-12-06T00:12:34.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,89.96386333771353,85.7843137254902,1610612740,0,0,2021-12-06T00:12:41Z,160000,179.0,42.0,1,right,MISS B. Ingram 18' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,18.37,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2021-12-06T00:12:35.3Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,0,0,2021-12-06T00:12:41Z,170000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M27.00S,2021-12-06T00:12:53.8Z,1,REGULAR,3pt,Jump Shot,[],1628464,32.670827858081466,44.11764705882353,1610612745,3,0,2021-12-06T00:12:59Z,180000,29.0,255.0,1,left,D. Theis 25' 3PT  (3 PTS) (J. Tate 1 AST),"[1628464, 1630256]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,25.63,Made,,,,,,,,,,,3.0,J. Tate,1630256.0,1.0,,,,
20,PT10M09.00S,2021-12-06T00:13:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,91.5407358738502,52.450980392156865,1610612740,3,0,2021-12-06T00:13:24Z,200000,12.0,27.0,1,right,MISS D. Graham finger roll Layup,[1628984],1610612740.0,NOP,finger roll,,,Graham,D. Graham,,,,,2.97,Missed,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2021-12-06T00:13:12.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,0,2021-12-06T00:13:24Z,210000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M57.00S,2021-12-06T00:13:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,9.149145860709593,50.73529411764706,1610612745,5,0,2021-12-06T00:13:38Z,220000,-4.0,34.0,1,left,J. Tate Layup (2 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,3.37,Made,,,,,,,,,,,2.0,,,,,,,
23,PT09M43.00S,2021-12-06T00:13:37.2Z,1,REGULAR,3pt,Jump Shot,[],202066,86.94152431011827,3.431372549019608,1610612740,5,3,2021-12-06T00:13:42Z,230000,-233.0,70.0,1,right,G. Temple 24' 3PT  (3 PTS) (B. Ingram 1 AST),"[202066, 1627742]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,24.32,Made,,,,,,,,,,,3.0,B. Ingram,1627742.0,1.0,,,,
25,PT09M26.00S,2021-12-06T00:13:58.9Z,1,REGULAR,turnover,out-of-bounds,[],1626174,,,1610612745,5,3,2021-12-06T00:14:06Z,250000,,,0,,C. Wood lost ball out-of-bounds TURNOVER (1 TO),[1626174],1610612745.0,HOU,lost ball,,,Wood,C. Wood,,,,,,,,,,,2002.0,1.0,,,,,,,,,,,,
26,PT09M11.00S,2021-12-06T00:14:19.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627742,92.85479632063075,50.73529411764706,1610612740,5,5,2021-12-06T00:14:24Z,260000,4.0,15.0,1,right,B. Ingram driving DUNK (2 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,1.52,Made,,,,,,,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,
28,PT08M59.00S,2021-12-06T00:14:31.5Z,1,REGULAR,turnover,bad pass,[],1630256,,,1610612745,5,5,2021-12-06T00:14:35Z,280000,,,0,,J. Tate bad pass TURNOVER (2 TO),"[1630256, 1630529]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,2.0,,,,,,,,,Jones,1630529.0,,
29,PT08M59.00S,2021-12-06T00:14:31.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,5,5,2021-12-06T00:14:33Z,290000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M56.00S,2021-12-06T00:14:34.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,92.72339027595268,51.225490196078425,1610612740,5,7,2021-12-06T00:14:42Z,300000,6.0,16.0,1,right,H. Jones running DUNK (2 PTS),[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,1.7,Made,,,,,,,,,,,2.0,,,,,,,
31,PT08M38.00S,2021-12-06T00:14:52.3Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612745,5,7,2021-12-06T00:14:58Z,310000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 202066]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,1.0,,,,,,,,,Temple,202066.0,,
32,PT08M38.00S,2021-12-06T00:14:52.3Z,1,REGULAR,steal,,[],202066,,,1610612740,5,7,2021-12-06T00:14:55Z,320000,,,0,,G. Temple STEAL (1 STL),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M32.00S,2021-12-06T00:14:58.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1627742,79.188567674113,32.35294117647059,1610612740,5,9,2021-12-06T00:15:04Z,330000,-88.0,143.0,1,right,B. Ingram 16' pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,16.81,Made,,,,,,,,,,,4.0,,,,,,,
34,PT08M20.00S,2021-12-06T00:15:10.7Z,1,REGULAR,3pt,Jump Shot,[],201569,22.946780551905388,7.352941176470589,1610612745,5,9,2021-12-06T00:15:19Z,340000,213.0,163.0,1,left,MISS E. Gordon 26' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
35,PT08M19.00S,2021-12-06T00:15:11.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,9,2021-12-06T00:15:19Z,350000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M09.00S,2021-12-06T00:15:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.06636005256242,45.34313725490196,1610612740,5,11,2021-12-06T00:15:31Z,360000,-23.0,22.0,1,right,H. Jones cutting Layup (4 PTS) (J. Valanciunas 2 AST),"[1630529, 202685]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,3.21,Made,,,,,,,,,,,4.0,J. Valanciunas,202685.0,2.0,,,,
38,PT08M09.00S,2021-12-06T00:15:27.2Z,1,REGULAR,foul,personal,['1freethrow'],1626174,,,1610612740,5,11,2021-12-06T00:15:36Z,380000,,,0,,C. Wood shooting personal FOUL (1 PF) (Jones 1 FT),"[1626174, 1630529]",1610612745.0,HOU,shooting,,,Wood,C. Wood,,,,,,,,,,,2715.0,,1.0,0.0,Jones,1630529.0,,,,,,,,
40,PT08M09.00S,2021-12-06T00:15:51.9Z,1,REGULAR,freethrow,1 of 1,[],1630529,,,1610612740,5,12,2021-12-06T00:15:51Z,400000,,,0,,H. Jones Free Throw 1 of 1 (5 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Made,,,,,,,,,,,5.0,,,,,,,
41,PT07M54.00S,2021-12-06T00:16:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,6.389618922470433,53.431372549019606,1610612745,5,12,2021-12-06T00:16:19Z,410000,-17.0,8.0,1,left,MISS C. Wood Layup - blocked,"[1626174, 1627742]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,1.88,Missed,,,,,,,,,,,,,,,,,Ingram,1627742.0
42,PT07M54.00S,2021-12-06T00:16:10.8Z,1,REGULAR,block,,[],1627742,,,1610612745,5,12,2021-12-06T00:16:12Z,420000,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M51.00S,2021-12-06T00:16:13.8Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,5,12,2021-12-06T00:16:19Z,430000,,,0,,C. Wood REBOUND (Off:1 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M50.00S,2021-12-06T00:16:14.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626174,7.30946123521682,51.9607843137255,1610612745,7,12,2021-12-06T00:16:25Z,440000,-10.0,16.0,1,left,C. Wood putback DUNK (2 PTS),[1626174],1610612745.0,HOU,putback,,,Wood,C. Wood,,,,,1.89,Made,,,,,,,,,,,2.0,,,,,,,
45,PT07M47.00S,2021-12-06T00:16:23.6Z,1,REGULAR,foul,offensive,[],1630529,,,1610612740,7,12,2021-12-06T00:17:24Z,450000,,,0,,H. Jones offensive FOUL (1 PF),"[1630529, 1629726]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,2002.0,,1.0,0.0,Mathews,1629726.0,,,,,,,,
47,PT07M47.00S,2021-12-06T00:16:23.6Z,1,REGULAR,turnover,offensive foul,[],1630529,,,1610612740,7,12,2021-12-06T00:16:23Z,470000,,,0,,H. Jones offensive foul TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,2002.0,1.0,,,,,,,,,,,,
48,PT07M28.00S,2021-12-06T00:16:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,8.492115637319317,47.794117647058826,1610612745,7,12,2021-12-06T00:17:00Z,480000,11.0,27.0,1,left,MISS J. Tate Layup - blocked,"[1630256, 202685]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,2.94,Missed,,,,,,,,,,,,,,,,,Valanciunas,202685.0
49,PT07M28.00S,2021-12-06T00:16:55.8Z,1,REGULAR,block,,[],202685,,,1610612745,7,12,2021-12-06T00:16:59Z,490000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M27.00S,2021-12-06T00:16:56.8Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,7,12,2021-12-06T00:17:15Z,500000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M21.00S,2021-12-06T00:17:03.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,93.11760840998686,47.30392156862745,1610612740,7,14,2021-12-06T00:18:08Z,510000,-13.0,12.0,1,right,B. Ingram running Layup (6 PTS),[1627742],1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,1.82,Made,,,,,,,,,,,6.0,,,,,,,
52,PT06M59.00S,2021-12-06T00:17:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,16.63929040735874,56.86274509803921,1610612745,9,14,2021-12-06T00:17:34Z,520000,-34.0,104.0,1,left,D. Theis 10' Jump Shot (5 PTS) (E. Gordon 1 AST),"[1628464, 201569]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,10.94,Made,,,,,,,,,,,5.0,E. Gordon,201569.0,1.0,,,,
54,PT06M34.00S,2021-12-06T00:17:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,88.64980289093299,49.26470588235294,1610612740,9,16,2021-12-06T00:17:55Z,540000,-4.0,54.0,1,right,J. Valanciunas turnaround Hook (2 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,5.43,Made,,,,,,,,,,,2.0,D. Graham,1628984.0,1.0,,,,
56,PT06M19.00S,2021-12-06T00:18:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,6.652431011826544,53.18627450980392,1610612745,9,16,2021-12-06T00:18:14Z,560000,-16.0,10.0,1,left,MISS J. Tate driving finger roll Layup,[1630256],1610612745.0,HOU,driving finger roll,,,Tate,J. Tate,,,,,1.88,Missed,,,,,,,,,,,,,,,,,,
57,PT06M19.00S,2021-12-06T00:18:04.4Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,9,16,2021-12-06T00:18:14Z,570000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M14.00S,2021-12-06T00:18:10.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,69.07030223390277,73.2843137254902,1610612740,9,16,2021-12-06T00:18:25Z,580000,116.0,238.0,1,right,MISS B. Ingram 26' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,
59,PT06M11.00S,2021-12-06T00:18:13.3Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,9,16,2021-12-06T00:18:20Z,590000,,,0,,C. Wood REBOUND (Off:1 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,58.0,3.0,2.0,1.0,,,,,,,,,,,,,,
60,PT05M54.00S,2021-12-06T00:18:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.258212877792378,46.07843137254902,1610612745,11,16,2021-12-06T00:18:37Z,600000,20.0,6.0,1,left,E. Gordon driving finger roll Layup (2 PTS) (J. Tate 2 AST),"[201569, 1630256]",1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,2.06,Made,,,,,,,,,,,2.0,J. Tate,1630256.0,2.0,,,,
62,PT05M43.00S,2021-12-06T00:18:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628984,70.25295663600527,82.1078431372549,1610612740,11,16,2021-12-06T00:19:46Z,620000,161.0,227.0,1,right,MISS D. Graham 27' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,27.81,Missed,,,,,,,,,,,,,,,,,,
63,PT05M42.00S,2021-12-06T00:18:41.4Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,11,16,2021-12-06T00:18:47Z,630000,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT05M38.00S,2021-12-06T00:18:46.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,72.09264126149803,60.78431372549019,1610612740,11,16,2021-12-06T00:18:52Z,640000,54.0,210.0,1,right,MISS B. Ingram 21' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,21.66,Missed,,,,,,,,,,,,,,,,,,
65,PT05M36.00S,2021-12-06T00:18:48.2Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,11,16,2021-12-06T00:18:52Z,650000,,,0,,G. Mathews REBOUND (Off:0 Def:2),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT05M28.00S,2021-12-06T00:18:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629726,25.57490144546649,83.33333333333334,1610612745,14,16,2021-12-06T00:19:02Z,660000,-167.0,188.0,1,left,G. Mathews 25' 3PT  (3 PTS) (J. Tate 3 AST),"[1629726, 1630256]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,25.12,Made,,,,,,,,,,,3.0,J. Tate,1630256.0,3.0,,,,
68,PT05M17.00S,2021-12-06T00:19:11.5Z,1,REGULAR,foul,offensive,[],1630529,,,1610612740,14,16,2021-12-06T00:22:07Z,680000,,,0,,H. Jones offensive FOUL (2 PF),"[1630529, 1629726]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,2715.0,,2.0,0.0,Mathews,1629726.0,,,,,,,,
70,PT05M17.00S,2021-12-06T00:19:11.5Z,1,REGULAR,turnover,offensive foul,[],1630529,,,1610612740,14,16,2021-12-06T00:19:11Z,700000,,,0,,H. Jones offensive foul TURNOVER (2 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,2715.0,2.0,,,,,,,,,,,,
71,PT05M17.00S,2021-12-06T00:19:20.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,14,16,2021-12-06T00:19:20Z,710000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,14,16,2021-12-06T00:22:05Z,720000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,out,[],1628464,,,1610612745,14,16,2021-12-06T00:22:05Z,730000,,,0,,SUB out: D. Theis,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,out,[],1630529,,,1610612745,14,16,2021-12-06T00:22:05Z,740000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,out,[],202066,,,1610612745,14,16,2021-12-06T00:22:05Z,750000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,in,[],1627863,,,1610612745,14,16,2021-12-06T00:22:05Z,760000,,,0,,SUB in: D. House Jr.,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,14,16,2021-12-06T00:22:05Z,770000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,in,[],1630530,,,1610612745,14,16,2021-12-06T00:22:05Z,780000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2021-12-06T00:20:32.8Z,1,REGULAR,substitution,in,[],1629638,,,1610612745,14,16,2021-12-06T00:22:05Z,790000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2021-12-06T00:22:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626174,28.465834428383708,19.11764705882353,1610612745,17,16,2021-12-06T00:22:30Z,800000,154.0,215.0,1,left,C. Wood 26' 3PT  (5 PTS) (D. House Jr. 1 AST),"[1626174, 1627863]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.48,Made,,,,,,,,,,,5.0,D. House Jr.,1627863.0,1.0,,,,
82,PT04M41.00S,2021-12-06T00:22:50.3Z,1,REGULAR,2pt,Jump Shot,[],1630530,92.19776609724047,69.36274509803921,1610612740,17,16,2021-12-06T00:23:14Z,820000,97.0,21.0,1,right,MISS T. Murphy III 9' turnaround Shot,[1630530],1610612740.0,NOP,turnaround,,,Murphy III,T. Murphy III,,,,,9.9,Missed,,,,,,,,,,,,,,,,,,
83,PT04M41.00S,2021-12-06T00:22:50.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,17,16,2021-12-06T00:23:01Z,830000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,
84,PT04M41.00S,2021-12-06T00:22:55.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,17,16,2021-12-06T00:22:55Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M41.00S,2021-12-06T00:22:58.6Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,17,16,2021-12-06T00:23:11Z,850000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M41.00S,2021-12-06T00:22:58.6Z,1,REGULAR,substitution,out,[],202685,,,1610612740,17,16,2021-12-06T00:23:11Z,860000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M41.00S,2021-12-06T00:22:58.6Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,17,16,2021-12-06T00:23:11Z,870000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M41.00S,2021-12-06T00:22:58.6Z,1,REGULAR,substitution,in,[],1630184,,,1610612740,17,16,2021-12-06T00:23:11Z,880000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M39.00S,2021-12-06T00:23:21.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,91.40932982917214,13.23529411764706,1610612740,17,16,2021-12-06T00:23:27Z,890000,-184.0,28.0,1,right,MISS B. Ingram 18' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,18.6,Missed,,,,,,,,,,,,,,,,,,
90,PT04M39.00S,2021-12-06T00:23:21.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,17,16,2021-12-06T00:23:27Z,900000,,,0,,C. Wood REBOUND (Off:1 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,89.0,4.0,3.0,1.0,,,,,,,,,,,,,,
