actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
24,PT10M13.00S,2021-12-04T01:14:08.9Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612745,3,2,2021-12-04T01:14:33Z,240000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1628964, 1629645]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,2882.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,
26,PT10M13.00S,2021-12-04T01:14:35.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629645,,,1610612745,3,2,2021-12-04T01:14:35Z,260000,,,0,,MISS K. Porter Jr. Free Throw 1 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M13.00S,2021-12-04T01:14:35.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,3,2,2021-12-04T01:14:35Z,270000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
28,PT10M13.00S,2021-12-04T01:14:50.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629645,,,1610612745,4,2,2021-12-04T01:14:50Z,280000,,,0,,K. Porter Jr. Free Throw 2 of 2 (1 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
29,PT10M00.00S,2021-12-04T01:15:07.5Z,1,REGULAR,3pt,Jump Shot,[],203914,92.85479632063075,97.79411764705883,1610612753,4,5,2021-12-04T01:15:12Z,290000,239.0,15.0,1,right,G. Harris 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.95,Made,,,,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,
31,PT09M47.00S,2021-12-04T01:15:20.1Z,1,REGULAR,3pt,Jump Shot,[],1630256,28.465834428383708,80.3921568627451,1610612745,4,5,2021-12-04T01:15:26Z,310000,-152.0,215.0,1,left,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M47.00S,2021-12-04T01:15:20.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,4,5,2021-12-04T01:15:26Z,320000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M36.00S,2021-12-04T01:15:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,93.51182654402102,46.07843137254902,1610612753,4,7,2021-12-04T01:15:37Z,330000,-20.0,8.0,1,right,W. Carter Jr. cutting finger roll Layup (4 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,cutting finger roll,,,Carter Jr.,W. Carter Jr.,,,,,2.14,Made,,,,,,,,,,4.0,C. Anthony,1630175.0,1.0,,,,,,
35,PT09M18.00S,2021-12-04T01:15:53.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,4,7,2021-12-04T01:15:53Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M16.00S,2021-12-04T01:16:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629726,6.652431011826544,47.05882352941176,1610612745,6,7,2021-12-04T01:16:10Z,360000,15.0,10.0,1,left,G. Mathews cutting Layup (2 PTS) (K. Porter Jr. 2 AST),"[1629726, 1629645]",1610612745.0,HOU,cutting,,,Mathews,G. Mathews,,,,,1.78,Made,,,,,,,,,,2.0,K. Porter Jr.,1629645.0,2.0,,,,,,
38,PT08M53.00S,2021-12-04T01:16:28.2Z,1,REGULAR,3pt,Jump Shot,[],1628964,66.3107752956636,57.107843137254896,1610612753,6,10,2021-12-04T01:16:32Z,380000,36.0,264.0,1,right,M. Bamba 26' 3PT  (3 PTS) (C. Anthony 2 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,26.66,Made,,,,,,,,,,3.0,C. Anthony,1630175.0,2.0,,,,,,
40,PT08M40.00S,2021-12-04T01:16:41.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,30.699737187910642,25.0,1610612745,9,10,2021-12-04T01:16:49Z,400000,125.0,236.0,1,left,K. Porter Jr. 26' 3PT step back (4 PTS) (C. Wood 1 AST),"[1629645, 1626174]",1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,26.71,Made,,,,,,,,,,4.0,C. Wood,1626174.0,1.0,,,,,,
42,PT08M30.00S,2021-12-04T01:16:52.2Z,1,REGULAR,3pt,Jump Shot,[],1630175,66.04796320630749,58.82352941176471,1610612753,9,10,2021-12-04T01:17:23Z,420000,44.0,267.0,1,right,MISS C. Anthony 27' pullup 3PT,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M29.00S,2021-12-04T01:16:53.2Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,9,10,2021-12-04T01:16:58Z,430000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT08M22.00S,2021-12-04T01:17:00.0Z,1,REGULAR,3pt,Jump Shot,[],1629645,25.443495400788436,8.57843137254902,1610612745,9,10,2021-12-04T01:17:09Z,440000,207.0,187.0,1,left,MISS K. Porter Jr. 27' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2021-12-04T01:17:02.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,10,2021-12-04T01:17:09Z,450000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
46,PT08M13.00S,2021-12-04T01:17:08.5Z,1,REGULAR,3pt,Jump Shot,[],1628976,65.91655716162943,52.20588235294118,1610612753,9,10,2021-12-04T01:17:19Z,460000,11.0,268.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.81,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M12.00S,2021-12-04T01:17:09.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,9,10,2021-12-04T01:17:19Z,470000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT08M04.00S,2021-12-04T01:17:18.2Z,1,REGULAR,3pt,Jump Shot,[],1629726,28.33442838370565,18.137254901960784,1610612745,9,10,2021-12-04T01:17:24Z,480000,159.0,214.0,1,left,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M04.00S,2021-12-04T01:17:18.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,10,2021-12-04T01:17:24Z,490000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
65,PT07M51.00S,2021-12-04T01:17:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,94.95729303547962,48.03921568627451,1610612753,9,10,2021-12-04T01:20:17Z,495000,-10.0,-5.0,1,right,MISS F. Wagner driving Layup - blocked,"[1630532, 1630256]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,1.1,Missed,,,,,,,,,,,,,,,Tate,1630256.0,,,
66,PT07M51.00S,2021-12-04T01:17:26.5Z,1,REGULAR,block,,[],1630256,,,1610612753,9,10,2021-12-04T01:20:17Z,497500,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M51.00S,2021-12-04T01:17:26.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,10,2021-12-04T01:20:17Z,498750,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,
51,PT07M35.00S,2021-12-04T01:17:56.7Z,1,REGULAR,3pt,Jump Shot,[],1630256,10.33180026281209,4.166666666666666,1610612745,12,10,2021-12-04T01:20:22Z,510000,229.0,45.0,1,left,J. Tate 3PT  (3 PTS) (C. Wood 2 AST),"[1630256, 1626174]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.35,Made,,,,,,,,,,3.0,C. Wood,1626174.0,2.0,,,,,,
53,PT07M19.00S,2021-12-04T01:18:15.5Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,12,10,2021-12-04T01:18:26Z,530000,,,0,,F. Wagner lost ball out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,lost ball,,,Wagner,F. Wagner,,,,,,,,,,,201245.0,,,,,,,,,1.0,,,,,
115,PT07M19.00S,2021-12-04T01:18:23.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,12,10,2021-12-04T01:27:09Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M07.00S,2021-12-04T01:18:30.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630256,25.969119579500656,15.931372549019606,1610612745,15,10,2021-12-04T01:18:37Z,550000,170.0,192.0,1,left,J. Tate 25' 3PT  (6 PTS) (K. Porter Jr. 3 AST),"[1630256, 1629645]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.63,Made,,,,,,,,,,6.0,K. Porter Jr.,1629645.0,3.0,,,,,,
57,PT06M48.00S,2021-12-04T01:18:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,94.03745072273325,45.588235294117645,1610612753,15,10,2021-12-04T01:18:57Z,570000,-22.0,4.0,1,right,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2021-12-04T01:18:49.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,15,10,2021-12-04T01:18:57Z,580000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT06M41.00S,2021-12-04T01:18:57.3Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,15,10,2021-12-04T01:19:02Z,590000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1630532]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,1.0,,,Wagner,1630532.0,
60,PT06M41.00S,2021-12-04T01:18:57.3Z,1,REGULAR,steal,,[],1630532,,,1610612753,15,10,2021-12-04T01:18:59Z,600000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M39.00S,2021-12-04T01:19:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,93.64323258869908,47.549019607843135,1610612753,15,12,2021-12-04T01:19:14Z,610000,-12.0,7.0,1,right,F. Wagner running Layup (2 PTS),[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,1.43,Made,,,,,,,,,,2.0,,,,,,,,,
62,PT06M39.00S,2021-12-04T01:19:10.9Z,1,REGULAR,foul,personal,['1freethrow'],1629645,,,1610612753,15,12,2021-12-04T01:19:18Z,620000,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Wagner 1 FT),"[1629645, 1630532]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,201245.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,
64,PT06M39.00S,2021-12-04T01:19:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,15,12,2021-12-04T01:20:17Z,640000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2021-12-04T01:21:35.1Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,15,12,2021-12-04T01:22:06Z,650000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M39.00S,2021-12-04T01:21:35.1Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,15,12,2021-12-04T01:22:06Z,660000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M39.00S,2021-12-04T01:22:27.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630532,,,1610612753,15,13,2021-12-04T01:22:27Z,670000,,,0,,F. Wagner Free Throw 1 of 1 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
71,PT06M24.00S,2021-12-04T01:22:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,6.389618922470433,47.05882352941176,1610612745,15,13,2021-12-04T01:22:51Z,680000,15.0,8.0,1,left,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,1.65,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2021-12-04T01:22:44.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,15,13,2021-12-04T01:22:51Z,690000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,71.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
73,PT06M05.00S,2021-12-04T01:23:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,90.09526938239159,49.50980392156863,1610612753,15,13,2021-12-04T01:23:10Z,700000,-2.0,41.0,1,right,MISS W. Carter Jr. Jump Shot - blocked,"[1628976, 201569]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,4.07,Missed,,,,,,,,,,,,,,,Gordon,201569.0,,,
74,PT06M05.00S,2021-12-04T01:23:02.8Z,1,REGULAR,block,,[],201569,,,1610612753,15,13,2021-12-04T01:23:05Z,710000,,,0,,E. Gordon BLOCK (1 BLK),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2021-12-04T01:23:05.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,15,13,2021-12-04T01:23:10Z,720000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
76,PT06M01.00S,2021-12-04T01:23:09.7Z,1,REGULAR,foul,personal,[],1628976,,,1610612745,15,13,2021-12-04T01:23:23Z,730000,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1630256]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,201245.0,1.0,0.0,Tate,1630256.0,,,,,,,,,,
78,PT06M01.00S,2021-12-04T01:23:18.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612745,15,13,2021-12-04T01:23:22Z,750000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M01.00S,2021-12-04T01:23:18.6Z,1,REGULAR,substitution,in,[],203082,,,1610612745,15,13,2021-12-04T01:23:22Z,760000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2021-12-04T01:23:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.5722733245729295,52.450980392156865,1610612745,17,13,2021-12-04T01:23:38Z,770000,-12.0,19.0,1,left,E. Gordon cutting Layup (5 PTS) (K. Porter Jr. 4 AST),"[201569, 1629645]",1610612745.0,HOU,cutting,,,Gordon,E. Gordon,,,,,2.24,Made,,,,,,,,,,5.0,K. Porter Jr.,1629645.0,4.0,,,,,,
82,PT05M43.00S,2021-12-04T01:23:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,81.42247043363994,39.46078431372549,1610612753,17,13,2021-12-04T01:24:01Z,790000,-53.0,122.0,1,right,MISS T. Ross 13' floating Shot,[203082],1610612753.0,ORL,floating,,,Ross,T. Ross,,,,,13.3,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M43.00S,2021-12-04T01:23:48.8Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,17,13,2021-12-04T01:24:01Z,800000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
84,PT05M32.00S,2021-12-04T01:24:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,6.258212877792378,53.18627450980392,1610612745,19,13,2021-12-04T01:24:06Z,810000,-16.0,6.0,1,left,J. Tate driving Layup (8 PTS) (C. Wood 3 AST),"[1630256, 1626174]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.71,Made,,,,,,,,,,8.0,C. Wood,1626174.0,3.0,,,,,,
86,PT05M22.00S,2021-12-04T01:24:10.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629643,93.11760840998686,47.30392156862745,1610612753,19,13,2021-12-04T01:24:23Z,830000,-13.0,12.0,1,right,MISS C. Okeke driving Layup,[1629643],1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,1.82,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M21.00S,2021-12-04T01:24:11.4Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,19,13,2021-12-04T01:24:23Z,840000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,86.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
88,PT05M17.00S,2021-12-04T01:24:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,94.40999984741211,50.0,1610612753,19,15,2021-12-04T01:24:14Z,850000,0.0,0.0,1,right,W. Carter Jr. tip Layup (6 PTS),[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,0.0,Made,,,,,,,,,,6.0,,,,,,,,,
89,PT05M07.00S,2021-12-04T01:24:27.8Z,1,REGULAR,violation,kicked ball,[],1628976,,,1610612745,19,15,2021-12-04T01:24:49Z,860000,,,0,,W. Carter Jr. kicked ball VIOLATION,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,201245.0,,,,,,,,,,,,,,
90,PT05M07.00S,2021-12-04T01:24:32.5Z,1,REGULAR,substitution,out,[],201569,,,1610612745,19,15,2021-12-04T01:24:52Z,870000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M07.00S,2021-12-04T01:24:32.5Z,1,REGULAR,substitution,out,[],1629726,,,1610612745,19,15,2021-12-04T01:24:52Z,880000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
