actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
42,PT07M52.00S,2022-03-31T00:16:27.4Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,13,9,2022-03-31T00:16:29Z,410000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,
43,PT07M48.00S,2022-03-31T00:16:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,93.38042049934296,52.450980392156865,1610612745,13,9,2022-03-31T00:16:42Z,420000,12.0,10.0,1,right,MISS J. Tate driving Layup - blocked,"[1630256, 1627745]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.57,Missed,,,,,,,,,,,,,,Jones,1627745.0,,,,
44,PT07M48.00S,2022-03-31T00:16:32.7Z,1,REGULAR,block,,[],1627745,,,1610612745,13,9,2022-03-31T00:16:35Z,430000,,,0,,D. Jones BLOCK (1 BLK),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M48.00S,2022-03-31T00:16:32.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,13,9,2022-03-31T00:16:42Z,440000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,
46,PT07M48.00S,2022-03-31T00:16:37.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,13,9,2022-03-31T00:16:37Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M43.00S,2022-03-31T00:16:52.0Z,1,REGULAR,foul,personal,[],1630558,,,1610612745,13,9,2022-03-31T00:17:00Z,460000,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1629645]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,200834.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,
49,PT07M36.00S,2022-03-31T00:17:13.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629645,67.62483574244416,38.72549019607843,1610612745,16,9,2022-03-31T00:17:21Z,480000,-56.0,252.0,1,right,K. Porter Jr. 25' 3PT  (5 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,25.8,Made,5.0,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2022-03-31T00:17:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,7.178055190538765,53.92156862745098,1610612758,16,11,2022-03-31T00:17:36Z,490000,-20.0,15.0,1,left,D. Mitchell driving Layup (2 PTS),[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,2.47,Made,2.0,,,,,,,,,,,,,,,,,,
51,PT07M09.00S,2022-03-31T00:17:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629726,68.41327201051249,29.901960784313726,1610612745,16,11,2022-03-31T00:17:45Z,500000,-100.0,244.0,1,right,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M07.00S,2022-03-31T00:17:41.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,16,11,2022-03-31T00:17:45Z,510000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,
53,PT07M07.00S,2022-03-31T00:17:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,16,11,2022-03-31T00:17:45Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M56.00S,2022-03-31T00:17:58.6Z,1,REGULAR,3pt,Jump Shot,[],203200,23.47240473061761,86.51960784313727,1610612758,16,11,2022-03-31T00:18:06Z,530000,-183.0,168.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M53.00S,2022-03-31T00:18:01.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,16,11,2022-03-31T00:18:06Z,540000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,
56,PT06M53.00S,2022-03-31T00:18:06.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,16,11,2022-03-31T00:18:06Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M53.00S,2022-03-31T00:18:11.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,16,11,2022-03-31T00:18:11Z,560000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M52.00S,2022-03-31T00:21:11.5Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612745,16,11,2022-03-31T00:21:11Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M42.00S,2022-03-31T00:21:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.30026281208936,50.49019607843137,1610612745,16,11,2022-03-31T00:21:35Z,580000,2.0,1.0,1,right,MISS J. Green Layup,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,0.27,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M40.00S,2022-03-31T00:21:32.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,16,11,2022-03-31T00:21:35Z,590000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,
61,PT06M32.00S,2022-03-31T00:21:51.5Z,1,REGULAR,foul,technical,['1freethrow'],1630586,,,1610612758,16,11,2022-03-31T00:22:01Z,600000,,,0,,U. Garuba defensive-3-second technical FOUL (1 Tech),[1630586],1610612745.0,HOU,defensive-3-second,,,Garuba,U. Garuba,,,,,,,,200832.0,0.0,1.0,,,,,,,,,,,,,,,
62,PT06M32.00S,2022-03-31T00:22:04.0Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,16,11,2022-03-31T00:22:04Z,610000,,,0,,MISS H. Barnes technical Free Throw 1 of 1,[203084],1610612758.0,SAC,technical,,,Barnes,H. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M32.00S,2022-03-31T00:22:04.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,16,11,2022-03-31T00:22:04Z,620000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,
64,PT06M31.00S,2022-03-31T00:22:20.9Z,1,REGULAR,foul,personal,[],1629645,,,1610612758,16,11,2022-03-31T00:22:26Z,630000,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 203200]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,200832.0,1.0,0.0,Holiday,203200.0,,,,,,,,,,,,,
66,PT06M31.00S,2022-03-31T00:22:26.4Z,1,REGULAR,substitution,out,[],203200,,,1610612758,16,11,2022-03-31T00:22:33Z,650000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2022-03-31T00:22:26.4Z,1,REGULAR,substitution,out,[],1626168,,,1610612758,16,11,2022-03-31T00:22:33Z,660000,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2022-03-31T00:22:26.4Z,1,REGULAR,substitution,in,[],1628978,,,1610612758,16,11,2022-03-31T00:22:33Z,670000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2022-03-31T00:22:26.4Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,16,11,2022-03-31T00:22:33Z,680000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2022-03-31T00:22:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630558,30.699737187910642,31.862745098039213,1610612758,16,11,2022-03-31T00:22:51Z,690000,91.0,236.0,1,left,MISS D. Mitchell 25' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M18.00S,2022-03-31T00:22:50.8Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,16,11,2022-03-31T00:22:50Z,700000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,
72,PT06M09.00S,2022-03-31T00:22:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,71.17279894875165,20.833333333333336,1610612745,16,11,2022-03-31T00:23:05Z,710000,-146.0,218.0,1,right,MISS K. Porter Jr. 26' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2022-03-31T00:23:02.5Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612758,16,11,2022-03-31T00:23:05Z,720000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,
74,PT05M51.00S,2022-03-31T00:23:18.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,7.5722733245729295,49.50980392156863,1610612758,16,13,2022-03-31T00:23:22Z,730000,2.0,19.0,1,left,D. Jones DUNK (8 PTS) (D. Mitchell 2 AST),"[1627745, 1630558]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,1.89,Made,8.0,,,,,,D. Mitchell,1630558.0,2.0,,,,,,,,,,
76,PT05M44.00S,2022-03-31T00:23:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1627745,,,1610612745,16,13,2022-03-31T00:23:37Z,750000,,,0,,D. Jones shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1627745, 1629645]",1610612758.0,SAC,shooting,,,Jones,D. Jones,,,,,,,,200832.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,
78,PT05M44.00S,2022-03-31T00:23:51.4Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,17,13,2022-03-31T00:24:11Z,770000,,,0,,K. Porter Jr. Free Throw 1 of 2 (6 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2022-03-31T00:23:51.4Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,17,13,2022-03-31T00:24:11Z,780000,,,0,,MISS K. Porter Jr. Free Throw 2 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M42.00S,2022-03-31T00:23:53.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,17,13,2022-03-31T00:24:11Z,790000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,
81,PT05M42.00S,2022-03-31T00:24:10.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,17,13,2022-03-31T00:24:10Z,800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2022-03-31T00:24:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629002,7.178055190538765,49.754901960784316,1610612758,17,15,2022-03-31T00:24:34Z,810000,1.0,15.0,1,left,C. Metu Layup (2 PTS) (D. Jones 1 AST),"[1629002, 1627745]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,1.5,Made,2.0,,,,,,D. Jones,1627745.0,1.0,,,,,,,,,,
84,PT05M29.00S,2022-03-31T00:24:33.7Z,1,REGULAR,foul,personal,['1freethrow'],1629645,,,1610612758,17,15,2022-03-31T00:25:11Z,830000,,,0,,K. Porter Jr. shooting personal FOUL (2 PF) (Metu 1 FT),"[1629645, 1629002]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,1628159.0,2.0,0.0,Metu,1629002.0,,,,,,,,,,,,,
86,PT05M29.00S,2022-03-31T00:24:44.7Z,1,REGULAR,substitution,out,[],1630256,,,1610612758,17,15,2022-03-31T00:25:02Z,850000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M29.00S,2022-03-31T00:24:44.7Z,1,REGULAR,substitution,out,[],1629726,,,1610612758,17,15,2022-03-31T00:25:02Z,860000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M29.00S,2022-03-31T00:24:44.7Z,1,REGULAR,substitution,in,[],1630231,,,1610612758,17,15,2022-03-31T00:25:02Z,870000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M29.00S,2022-03-31T00:24:44.7Z,1,REGULAR,substitution,in,[],1630528,,,1610612758,17,15,2022-03-31T00:25:02Z,880000,,,0,,SUB in: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M29.00S,2022-03-31T00:25:12.3Z,1,REGULAR,freethrow,1 of 1,[],1629002,,,1610612758,17,16,2022-03-31T00:25:12Z,890000,,,0,,C. Metu Free Throw 1 of 1 (3 PTS),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
91,PT05M18.00S,2022-03-31T00:25:24.0Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.20170827858082,25.49019607843137,1610612745,20,16,2022-03-31T00:25:29Z,900000,-123.0,237.0,1,right,J. Green 26' 3PT pullup (8 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,26.68,Made,8.0,,,,,,,,,,,,,,,,,,
