actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
48,PT07M27.00S,2022-11-05T21:19:06.9Z,1,REGULAR,2pt,Jump Shot,[],203084,76.5604467805519,74.26470588235294,1610612758,15,6,2022-11-05T21:19:13Z,470000,121.0,168.0,1,right,MISS H. Barnes 20' pullup Shot,[203084],1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Right Center,20.71,Missed,,,,,,,,,,,,,,,,,,
49,PT07M24.00S,2022-11-05T21:19:09.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,15,6,2022-11-05T21:19:13Z,480000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,48.0,4.0,4.0,0.0,,,,,,,,,,,,,,
50,PT07M19.00S,2022-11-05T21:19:15.9Z,1,REGULAR,2pt,Jump Shot,[],1628976,26.363337713534822,51.9607843137255,1610612753,17,6,2022-11-05T21:19:25Z,490000,-10.0,195.0,1,left,W. Carter Jr. 19' pullup Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,19.55,Made,,,,,2.0,,,,F. Wagner,1630532.0,1.0,,,,,,,
52,PT07M05.00S,2022-11-05T21:19:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,91.27792378449409,56.86274509803921,1610612758,17,8,2022-11-05T21:19:37Z,510000,34.0,29.0,1,right,H. Barnes driving Layup (2 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,4.52,Made,,,,,2.0,,,,,,,,,,,,,
53,PT06M50.00S,2022-11-05T21:19:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.492115637319317,47.794117647058826,1610612753,19,8,2022-11-05T21:19:54Z,520000,11.0,27.0,1,left,P. Banchero driving Layup (4 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.94,Made,,,,,4.0,,,,,,,,,,,,,
54,PT06M50.00S,2022-11-05T21:19:51.6Z,1,REGULAR,foul,personal,['1freethrow'],1627734,,,1610612753,19,8,2022-11-05T21:20:20Z,530000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Banchero 1 FT),"[1627734, 1631094]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,Banchero,1631094.0,,
56,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,19,8,2022-11-05T21:20:17Z,550000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,out,[],1628368,,,1610612753,19,8,2022-11-05T21:20:17Z,560000,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,out,[],1631099,,,1610612753,19,8,2022-11-05T21:20:17Z,570000,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,19,8,2022-11-05T21:20:17Z,580000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,in,[],1630558,,,1610612753,19,8,2022-11-05T21:20:17Z,590000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2022-11-05T21:20:01.5Z,1,REGULAR,substitution,in,[],1626168,,,1610612753,19,8,2022-11-05T21:20:17Z,600000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2022-11-05T21:20:24.8Z,1,REGULAR,freethrow,1 of 1,[],1631094,,,1610612753,20,8,2022-11-05T21:20:24Z,610000,,,0,,P. Banchero Free Throw 1 of 1 (5 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
63,PT06M39.00S,2022-11-05T21:20:40.7Z,1,REGULAR,turnover,traveling,[],1628989,,,1610612758,20,8,2022-11-05T21:20:47Z,620000,,,0,,K. Huerter traveling TURNOVER (1 TO),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,203177.0,,,,,,
64,PT06M24.00S,2022-11-05T21:21:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612753,20,8,2022-11-05T21:21:20Z,630000,,,0,,T. Lyles shooting personal FOUL (1 PF) (Wagner 2 FT),"[1626168, 1630532]",1610612758.0,SAC,shooting,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,203177.0,1.0,0.0,Wagner,1630532.0,,
66,PT06M24.00S,2022-11-05T21:21:29.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630532,,,1610612753,21,8,2022-11-05T21:21:29Z,650000,,,0,,F. Wagner Free Throw 1 of 2 (8 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
67,PT06M24.00S,2022-11-05T21:21:30.3Z,1,REGULAR,substitution,out,[],1628989,,,1610612753,21,8,2022-11-05T21:21:36Z,660000,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M24.00S,2022-11-05T21:21:30.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612753,21,8,2022-11-05T21:21:36Z,670000,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2022-11-05T21:21:47.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630532,,,1610612753,22,8,2022-11-05T21:21:47Z,680000,,,0,,F. Wagner Free Throw 2 of 2 (9 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
70,PT06M01.00S,2022-11-05T21:22:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,93.11760840998686,47.05882352941176,1610612758,22,10,2022-11-05T21:22:24Z,690000,-15.0,12.0,1,right,T. Lyles driving Layup (2 PTS),[1626168],1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,1.91,Made,,,,,2.0,,,,,,,,,,,,,
71,PT06M01.00S,2022-11-05T21:22:15.7Z,1,REGULAR,foul,personal,['1freethrow'],1629643,,,1610612758,22,10,2022-11-05T21:22:23Z,700000,,,0,,C. Okeke shooting personal FOUL (1 PF) (Lyles 1 FT),"[1629643, 1626168]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,Lyles,1626168.0,,
73,PT06M01.00S,2022-11-05T21:22:40.2Z,1,REGULAR,freethrow,1 of 1,[],1626168,,,1610612758,22,11,2022-11-05T21:22:40Z,720000,,,0,,T. Lyles Free Throw 1 of 1 (3 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
74,PT05M44.00S,2022-11-05T21:22:58.3Z,1,REGULAR,2pt,Jump Shot,[],1630591,18.347568988173457,68.87254901960785,1610612753,24,11,2022-11-05T21:23:03Z,730000,-94.0,120.0,1,left,J. Suggs 15' pullup Jump Shot (2 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,15.27,Made,,,,,2.0,,,,,,,,,,,,,
75,PT05M35.00S,2022-11-05T21:23:11.3Z,1,REGULAR,foul,personal,[],1629626,,,1610612758,24,11,2022-11-05T21:23:21Z,740000,,,0,,B. Bol personal FOUL (1 PF),"[1629626, 1627734]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Sabonis,1627734.0,,
77,PT05M35.00S,2022-11-05T21:23:19.0Z,1,REGULAR,substitution,out,[],1630532,,,1610612758,24,11,2022-11-05T21:23:22Z,760000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M35.00S,2022-11-05T21:23:19.0Z,1,REGULAR,substitution,in,[],203082,,,1610612758,24,11,2022-11-05T21:23:22Z,770000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M26.00S,2022-11-05T21:23:38.7Z,1,REGULAR,3pt,Jump Shot,[],1626168,66.17936925098554,44.36274509803921,1610612758,24,14,2022-11-05T21:23:45Z,780000,-28.0,265.0,1,right,T. Lyles 26' 3PT  (6 PTS) (M. Monk 1 AST),"[1626168, 1628370]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Center,26.69,Made,,,,,6.0,,,,M. Monk,1628370.0,1.0,,,,,,,
81,PT05M06.00S,2022-11-05T21:23:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,13.091327201051248,46.81372549019608,1610612753,26,14,2022-11-05T21:24:07Z,800000,16.0,71.0,1,left,B. Bol 7' turnaround Jump Shot (8 PTS),[1629626],1610612753.0,ORL,turnaround,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,,,,,8.0,,,,,,,,,,,,,
82,PT04M55.00S,2022-11-05T21:24:10.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,91.67214191852825,46.81372549019608,1610612758,26,16,2022-11-05T21:33:12Z,810000,-16.0,26.0,1,right,D. Sabonis turnaround Hook (3 PTS),[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.03,Made,,,,,3.0,,,,,,,,,,,,,
83,PT04M43.00S,2022-11-05T21:24:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.178055190538765,46.81372549019608,1610612753,26,16,2022-11-05T21:34:25Z,820000,16.0,15.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.19,Missed,,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2022-11-05T21:24:25.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,26,16,2022-11-05T21:24:25Z,830000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT04M37.00S,2022-11-05T21:24:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,92.46057818659659,45.83333333333333,1610612758,26,18,2022-11-05T21:24:35Z,840000,-21.0,18.0,1,right,D. Sabonis running Layup (5 PTS),[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,5.0,,,,,,,,,,,,,
