actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M22.00S,2023-01-21T00:11:52.7Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,2,2023-01-21T00:12:05Z,210000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,
22,PT10M16.00S,2023-01-21T00:11:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,91.93495400788436,52.450980392156865,1610612753,0,2,2023-01-21T00:12:12Z,220000,False,12.0,23.0,1,right,MISS W. Carter Jr. putback Layup,[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2023-01-21T00:12:01.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2023-01-21T00:20:11Z,230000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,
24,PT10M07.00S,2023-01-21T00:12:07.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630529,7.440867279894875,51.9607843137255,1610612740,0,4,2023-01-21T00:12:17Z,240000,False,-10.0,17.0,1,left,H. Jones cutting DUNK (2 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,,,2.0,,,,C. McCollum,203468.0,1.0,,,,,
26,PT09M53.00S,2023-01-21T00:12:24.0Z,1,REGULAR,turnover,out-of-bounds,[],1628365,,,1610612753,0,4,2023-01-21T00:12:35Z,260000,False,,,0,,M. Fultz step out-of-bounds TURNOVER (1 TO),[1628365],1610612753.0,ORL,step,,,Fultz,M. Fultz,,,,,Mid-Range,24+ Right,,,,,,,,,,1.0,,,,,,1830.0,,,,
27,PT09M32.00S,2023-01-21T00:12:55.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202685,18.347568988173457,53.18627450980392,1610612740,0,4,2023-01-21T00:13:02Z,270000,False,-16.0,120.0,1,left,MISS J. Valanciunas 12' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,12.1,Missed,,,,,,,,,,,,,,,,,,
28,PT09M29.00S,2023-01-21T00:12:58.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,4,2023-01-21T00:13:02Z,280000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,
29,PT09M24.00S,2023-01-21T00:13:04.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628976,74.19513797634691,50.73529411764706,1610612753,2,4,2023-01-21T00:14:44Z,290000,False,4.0,190.0,1,right,W. Carter Jr. 19' running Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,19.01,Made,,,,,,,2.0,,,,F. Wagner,1630532.0,1.0,,,,,
31,PT09M12.00S,2023-01-21T00:13:16.0Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612740,2,4,2023-01-21T00:13:24Z,310000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1631094]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Banchero,1631094.0,,,,,,,,
32,PT09M12.00S,2023-01-21T00:13:16.0Z,1,REGULAR,steal,,[],1631094,,,1610612753,2,4,2023-01-21T00:13:18Z,320000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2023-01-21T00:13:25.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,67.23061760840999,45.83333333333333,1610612753,2,4,2023-01-21T00:13:37Z,330000,False,-21.0,256.0,1,right,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,25.63,Missed,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2023-01-21T00:13:28.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,4,2023-01-21T00:13:37Z,340000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,33.0,3.0,3.0,0.0,,,,,,,,,,,,
35,PT08M50.00S,2023-01-21T00:13:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,7.703679369250986,50.49019607843137,1610612740,2,4,2023-01-21T00:13:45Z,350000,False,-2.0,20.0,1,left,MISS C. McCollum driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,,,,,,,,,,,,,,
36,PT08M47.00S,2023-01-21T00:13:41.2Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,4,2023-01-21T00:13:45Z,360000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT08M42.00S,2023-01-21T00:13:46.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,71.30420499342969,25.245098039215684,1610612753,2,4,2023-01-21T00:15:38Z,370000,False,-124.0,217.0,1,right,MISS F. Wagner 25' running 3PT,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2023-01-21T00:13:49.0Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,2,4,2023-01-21T00:13:51Z,380000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,
39,PT08M32.00S,2023-01-21T00:14:09.1Z,1,REGULAR,3pt,Jump Shot,[],203468,28.07161629434954,82.84313725490196,1610612740,2,4,2023-01-21T00:16:51Z,390000,False,-164.0,211.0,1,left,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
40,PT08M30.00S,2023-01-21T00:14:11.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,4,2023-01-21T00:15:32Z,400000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,
41,PT08M14.00S,2023-01-21T00:14:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,91.5407358738502,54.41176470588235,1610612753,4,4,2023-01-21T00:14:32Z,410000,False,22.0,27.0,1,right,G. Harris driving Layup (2 PTS) (M. Fultz 1 AST),"[203914, 1628365]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,3.49,Made,,,,,,,2.0,,,,M. Fultz,1628365.0,1.0,,,,,
44,PT08M01.00S,2023-01-21T00:14:57.8Z,1,REGULAR,foul,technical,['1freethrow'],1631094,,,1610612740,4,4,2023-01-21T00:16:35Z,440000,False,,,0,,P. Banchero defensive-3-second technical FOUL (1 Tech),[1631094],1610612753.0,ORL,defensive-3-second,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,204059.0,0.0,1.0,,
45,PT08M01.00S,2023-01-21T00:15:10.0Z,1,REGULAR,freethrow,1 of 1,[],1630530,,,1610612740,4,5,2023-01-21T00:15:10Z,450000,False,,,0,,T. Murphy III technical Free Throw 1 of 1 (1 PTS),[1630530],1610612740.0,NOP,technical,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
46,PT07M48.00S,2023-01-21T00:15:15.8Z,1,REGULAR,2pt,Jump Shot,[],202685,5.075558475689881,12.5,1610612740,4,7,2023-01-21T00:15:44Z,460000,False,188.0,-5.0,1,left,J. Valanciunas 18' Jump Shot (2 PTS) (C. McCollum 2 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right,18.76,Made,,,,,,,2.0,,,,C. McCollum,203468.0,2.0,,,,,
48,PT07M39.00S,2023-01-21T00:15:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,89.88173455978975,58.55162377450981,1610612753,4,7,2023-01-21T00:17:54Z,480000,False,43.0,43.0,1,right,MISS M. Fultz 6' driving floating bank Shot,[1628365],1610612753.0,ORL,driving floating bank,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2023-01-21T00:15:24.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,4,7,2023-01-21T00:15:48Z,490000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,48.0,4.0,4.0,0.0,,,,,,,,,,,,
50,PT07M28.00S,2023-01-21T00:15:37.5Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612740,4,7,2023-01-21T00:15:52Z,500000,False,,,0,,P. Banchero shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1631094, 202685]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,1.0,Valanciunas,202685.0
52,PT07M28.00S,2023-01-21T00:16:04.6Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,4,7,2023-01-21T00:16:04Z,520000,False,,,0,,MISS J. Valanciunas Free Throw 1 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M28.00S,2023-01-21T00:16:04.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,4,7,2023-01-21T00:16:04Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,
54,PT07M28.00S,2023-01-21T00:16:24.1Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,4,8,2023-01-21T00:16:24Z,540000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
55,PT07M17.00S,2023-01-21T00:16:38.0Z,1,REGULAR,foul,personal,[],1630529,,,1610612753,4,8,2023-01-21T00:17:07Z,550000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1631094]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Banchero,1631094.0
57,PT07M17.00S,2023-01-21T00:16:54.0Z,1,REGULAR,substitution,out,[],1630529,,,1610612753,4,8,2023-01-21T00:17:03Z,570000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M17.00S,2023-01-21T00:16:54.0Z,1,REGULAR,substitution,out,[],1630530,,,1610612753,4,8,2023-01-21T00:17:03Z,580000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M17.00S,2023-01-21T00:16:54.0Z,1,REGULAR,substitution,in,[],1626204,,,1610612753,4,8,2023-01-21T00:17:03Z,590000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M17.00S,2023-01-21T00:16:54.0Z,1,REGULAR,substitution,in,[],1630631,,,1610612753,4,8,2023-01-21T00:17:03Z,600000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M04.00S,2023-01-21T00:17:14.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,86.5473061760841,42.15686274509804,1610612753,6,8,2023-01-21T00:17:33Z,610000,False,-39.0,74.0,1,right,F. Wagner 8' driving Hook (2 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,8.37,Made,,,,,,,2.0,,,,W. Carter Jr.,1628976.0,1.0,,,,,
63,PT06M47.00S,2023-01-21T00:17:41.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,10.643889618922472,55.02450980392157,1610612740,6,10,2023-01-21T00:21:38Z,630000,False,-25.0,48.0,1,left,J. Valanciunas Hook (5 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,,,,,,,5.0,,,,,,,,,,,
64,PT06M27.00S,2023-01-21T00:18:01.7Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,6,10,2023-01-21T00:19:12Z,640000,False,,,0,,P. Banchero bad pass out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,bad pass,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,,,,,,,,,,1.0,,,,,,204059.0,,,,
65,PT06M27.00S,2023-01-21T00:18:24.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612740,6,10,2023-01-21T00:18:24Z,650000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2023-01-21T00:19:19.1Z,1,REGULAR,substitution,out,[],1630532,,,1610612740,6,10,2023-01-21T00:20:43Z,660000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M27.00S,2023-01-21T00:19:19.1Z,1,REGULAR,substitution,in,[],1630591,,,1610612740,6,10,2023-01-21T00:20:43Z,670000,False,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M06.00S,2023-01-21T00:21:09.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,6.783837056504599,53.431372549019606,1610612740,6,12,2023-01-21T00:21:20Z,680000,False,-17.0,11.0,1,left,C. McCollum driving floating bank Jump Shot (4 PTS) (L. Nance Jr. 1 AST),"[203468, 1626204]",1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,,,4.0,,,,L. Nance Jr.,1626204.0,1.0,,,,,
70,PT05M53.00S,2023-01-21T00:21:22.2Z,1,REGULAR,2pt,Jump Shot,[],1628976,74.72076215505913,40.68627450980392,1610612753,6,12,2023-01-21T00:21:29Z,700000,False,-47.0,185.0,1,right,MISS W. Carter Jr. 19' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,19.09,Missed,,,,,,,,,,,,,,,,,,
71,PT05M50.00S,2023-01-21T00:21:25.2Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612740,6,12,2023-01-21T00:21:29Z,710000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Center,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,
72,PT05M41.00S,2023-01-21T00:21:34.1Z,1,REGULAR,2pt,Jump Shot,[],203468,7.35873850197109,90.46415441176471,1610612740,6,12,2023-01-21T00:21:44Z,720000,False,-202.0,17.0,1,left,MISS C. McCollum 20' Jump Shot,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left,20.3,Missed,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2023-01-21T00:21:37.1Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,12,2023-01-21T00:21:44Z,730000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Left,,,,,72.0,4.0,3.0,1.0,,,,,,,,,,,,
74,PT05M30.00S,2023-01-21T00:21:45.2Z,1,REGULAR,2pt,Jump Shot,[],1631094,75.90341655716163,78.18627450980392,1610612753,8,12,2023-01-21T00:21:52Z,740000,False,141.0,174.0,1,right,P. Banchero 22' pullup Jump Shot (2 PTS) (M. Fultz 2 AST),"[1631094, 1628365]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,22.39,Made,,,,,,,2.0,,,,M. Fultz,1628365.0,2.0,,,,,
75,PT05M17.00S,2023-01-21T00:21:58.2Z,1,REGULAR,3pt,Jump Shot,[],202685,32.53942181340342,36.029411764705884,1610612740,8,15,2023-01-21T00:22:03Z,750000,False,70.0,253.0,1,left,J. Valanciunas 26' 3PT  (8 PTS) (J. Alvarado 1 AST),"[202685, 1630631]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,26.29,Made,,,,,,,8.0,,,,J. Alvarado,1630631.0,1.0,,,,,
77,PT04M57.00S,2023-01-21T00:22:18.1Z,1,REGULAR,3pt,Jump Shot,[],1631094,68.15045992115637,30.88235294117647,1610612753,8,15,2023-01-21T00:24:24Z,770000,False,-96.0,247.0,1,right,MISS P. Banchero 26' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
78,PT04M54.00S,2023-01-21T00:22:21.1Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,8,15,2023-01-21T00:22:27Z,780000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,
79,PT04M54.00S,2023-01-21T00:22:24.1Z,1,REGULAR,turnover,out-of-bounds,[],1630631,,,1610612740,8,15,2023-01-21T00:22:34Z,790000,False,,,0,,J. Alvarado bad pass out-of-bounds TURNOVER (1 TO),[1630631],1610612740.0,NOP,bad pass,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,,,,,,204059.0,,,,
80,PT04M54.00S,2023-01-21T00:22:28.4Z,1,REGULAR,substitution,out,[],202685,,,1610612753,8,15,2023-01-21T00:22:41Z,800000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M54.00S,2023-01-21T00:22:28.4Z,1,REGULAR,substitution,in,[],1629637,,,1610612753,8,15,2023-01-21T00:22:41Z,810000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
