actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M37.00S,2022-11-03T23:12:30.7Z,1,REGULAR,3pt,Jump Shot,[],201939,93.38042049934296,3.6764705882352944,1610612744,3,2,2022-11-03T23:12:35Z,180000,-232.0,10.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2022-11-03T23:12:33.7Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,3,2,2022-11-03T23:12:35Z,190000,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Left Corner 3,24+ Left,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M25.00S,2022-11-03T23:12:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,5.995400788436268,46.32352941176471,1610612753,5,2,2022-11-03T23:16:26Z,200000,18.0,4.0,1,left,J. Suggs driving Layup (2 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M06.00S,2022-11-03T23:13:02.4Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,5,2,2022-11-03T23:13:13Z,220000,,,0,,A. Wiggins lost ball TURNOVER (1 TO),"[203952, 1630591]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1.0,Suggs,1630591.0,,,,,,,
23,PT10M06.00S,2022-11-03T23:13:02.4Z,1,REGULAR,steal,,[],1630591,,,1610612753,5,2,2022-11-03T23:19:15Z,230000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2022-11-03T23:13:18.9Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,5,2,2022-11-03T23:13:24Z,240000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 202691]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,,
25,PT09M49.00S,2022-11-03T23:13:18.9Z,1,REGULAR,steal,,[],202691,,,1610612744,5,2,2022-11-03T23:13:22Z,250000,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2022-11-03T23:13:24.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,67.88764783180025,71.56862745098039,1610612744,5,5,2022-11-03T23:13:33Z,260000,108.0,249.0,1,right,K. Thompson 27' 3PT running (3 PTS),[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,27.17,Made,,,,,3.0,,,,,,,,,,,,,
27,PT09M22.00S,2022-11-03T23:13:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,7.966491458607096,49.26470588235294,1610612753,5,5,2022-11-03T23:14:12Z,270000,4.0,22.0,1,left,MISS W. Carter Jr. cutting Layup,[1628976],1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
28,PT09M22.00S,2022-11-03T23:13:46.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,5,5,2022-11-03T23:14:12Z,280000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,27.0,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2022-11-03T23:13:53.6Z,1,REGULAR,foul,personal,[],1626172,,,1610612753,5,5,2022-11-04T02:53:55Z,290000,,,0,,K. Looney loose ball personal FOUL (1 PF),"[1626172, 1628976]",1610612744.0,GSW,loose ball,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627964.0,1.0,0.0,Carter Jr.,1628976.0,,
31,PT09M19.00S,2022-11-03T23:14:23.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,30.042706964520367,33.33333333333333,1610612753,5,5,2022-11-03T23:14:28Z,310000,83.0,230.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,24.45,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2022-11-03T23:14:27.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,5,5,2022-11-03T23:14:28Z,320000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M11.00S,2022-11-03T23:14:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626172,92.59198423127464,54.41176470588235,1610612744,5,7,2022-11-03T23:14:43Z,330000,22.0,17.0,1,right,K. Looney reverse Layup (4 PTS) (D. Green 1 AST),"[1626172, 203110]",1610612744.0,GSW,reverse,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.79,Made,,,,,4.0,D. Green,203110.0,1.0,,,,,,,,,,
35,PT08M56.00S,2022-11-03T23:14:50.7Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612753,5,7,2022-11-03T23:15:10Z,350000,,,0,,S. Curry shooting personal FOUL (1 PF) (Suggs 2 FT),"[201939, 1630591]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Suggs,1630591.0,,
37,PT08M56.00S,2022-11-03T23:15:10.8Z,1,REGULAR,freethrow,1 of 2,[],1630591,,,1610612753,6,7,2022-11-03T23:15:47Z,370000,,,0,,J. Suggs Free Throw 1 of 2 (3 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
38,PT08M56.00S,2022-11-03T23:15:10.8Z,1,REGULAR,freethrow,2 of 2,[],1630591,,,1610612753,6,7,2022-11-03T23:15:47Z,380000,,,0,,MISS J. Suggs Free Throw 2 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT08M53.00S,2022-11-03T23:15:13.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,6,7,2022-11-03T23:15:47Z,390000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M39.00S,2022-11-03T23:15:59.4Z,1,REGULAR,3pt,Jump Shot,[],201939,67.62483574244416,61.274509803921575,1610612744,6,7,2022-11-03T23:16:04Z,400000,56.0,252.0,1,right,MISS S. Curry 25' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,25.8,Missed,,,,,,,,,,,,,,,,,,
41,PT08M36.00S,2022-11-03T23:16:02.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,7,2022-11-03T23:16:04Z,410000,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M30.00S,2022-11-03T23:16:08.5Z,1,REGULAR,2pt,Jump Shot,[],1629626,6.258212877792378,65.93137254901961,1610612753,8,7,2022-11-03T23:16:14Z,420000,-80.0,6.0,1,left,B. Bol 7' turnaround Jump Shot (2 PTS) (P. Banchero 1 AST),"[1629626, 1631094]",1610612753.0,ORL,turnaround,,,Bol,B. Bol,,,,,Mid-Range,0-8 Center,7.99,Made,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,
44,PT08M18.00S,2022-11-03T23:16:22.8Z,1,REGULAR,foul,personal,[],1631094,,,1610612744,8,7,2022-11-03T23:16:32Z,440000,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 203952]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,1627964.0,1.0,0.0,Wiggins,203952.0,,
46,PT08M13.00S,2022-11-03T23:16:43.7Z,1,REGULAR,3pt,Jump Shot,[],202691,66.04796320630749,59.80392156862745,1610612744,8,10,2022-11-03T23:16:48Z,460000,49.0,267.0,1,right,K. Thompson 27' 3PT  (6 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,27.11,Made,,,,,6.0,S. Curry,201939.0,1.0,,,,,,,,,,
48,PT07M54.00S,2022-11-03T23:17:02.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,2.9730617608409986,98.0392156862745,1610612753,8,10,2022-11-03T23:17:07Z,480000,-240.0,-25.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,24.15,Missed,,,,,,,,,,,,,,,,,,
49,PT07M51.00S,2022-11-03T23:17:05.9Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,8,10,2022-11-03T23:17:07Z,490000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M49.00S,2022-11-03T23:17:08.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,68.54467805519053,23.774509803921568,1610612744,8,13,2022-11-03T23:17:17Z,500000,-131.0,243.0,1,right,K. Thompson 27' 3PT running pullup (9 PTS),[202691],1610612744.0,GSW,running pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,27.63,Made,,,,,9.0,,,,,,,,,,,,,
51,PT07M31.00S,2022-11-03T23:17:25.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,26.757555847568987,19.607843137254903,1610612753,8,13,2022-11-03T23:17:30Z,510000,152.0,199.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,25.04,Missed,,,,,,,,,,,,,,,,,,
52,PT07M28.00S,2022-11-03T23:17:28.8Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,8,13,2022-11-03T23:17:30Z,520000,,,0,,K. Thompson REBOUND (Off:0 Def:2),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M16.00S,2022-11-03T23:17:40.9Z,1,REGULAR,3pt,Jump Shot,[],203952,68.15045992115637,68.62745098039215,1610612744,8,16,2022-11-03T23:17:44Z,530000,93.0,247.0,1,right,A. Wiggins 26' 3PT  (3 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,26.39,Made,,,,,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,
55,PT07M15.00S,2022-11-03T23:17:46.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,8,16,2022-11-03T23:17:46Z,550000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M07.00S,2022-11-03T23:20:53.0Z,1,REGULAR,turnover,traveling,[],1628976,,,1610612753,8,16,2022-11-03T23:22:22Z,560000,,,0,,W. Carter Jr. traveling TURNOVER (1 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,,
136,PT06M53.00S,2022-11-03T23:22:58.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,70.87713534822602,22.549019607843135,1610612744,8,16,2022-11-03T23:36:48Z,580000,-137.0,221.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,26.04,Missed,,,,,,,,,,,,,,,,,,
137,PT06M49.00S,2022-11-03T23:23:02.5Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,8,16,2022-11-03T23:36:48Z,590000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,136.0,2.0,1.0,1.0,,,,,,,,,,,,,,
62,PT06M49.00S,2022-11-03T23:22:58.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626172,91.67214191852825,53.67647058823529,1610612744,8,18,2022-11-04T01:00:32Z,595000,18.0,26.0,1,right,K. Looney tip Layup (6 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.17,Made,,,,,6.0,,,,,,,,,,,,,
60,PT06M49.00S,2022-11-03T23:22:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,18,2022-11-04T01:01:13Z,600000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M49.00S,2022-11-03T23:23:46.9Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,8,18,2022-11-03T23:39:17Z,630000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2022-11-03T23:23:46.9Z,1,REGULAR,substitution,out,[],1629626,,,1610612753,8,18,2022-11-03T23:39:17Z,640000,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2022-11-03T23:23:46.9Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,8,18,2022-11-03T23:39:17Z,650000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2022-11-03T23:23:46.9Z,1,REGULAR,substitution,in,[],1630284,,,1610612753,8,18,2022-11-03T23:39:17Z,660000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M41.00S,2022-11-03T23:24:43.1Z,1,REGULAR,foul,personal,[],203110,,,1610612753,8,18,2022-11-03T23:24:56Z,670000,,,0,,D. Green personal FOUL (1 PF),"[203110, 1628976]",1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627964.0,1.0,0.0,Carter Jr.,1628976.0,,
69,PT06M41.00S,2022-11-03T23:24:53.9Z,1,REGULAR,foul,technical,['1freethrow'],203110,,,1610612753,8,18,2022-11-03T23:25:22Z,690000,,,0,,D. Green technical FOUL (1 Tech),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1162.0,1.0,1.0,,,,
70,PT06M41.00S,2022-11-03T23:25:24.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612753,8,18,2022-11-03T23:25:46Z,700000,,,0,,TEAM delay-of-game VIOLATION,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,1627964.0,,,,,,
71,PT06M41.00S,2022-11-03T23:25:33.4Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,9,18,2022-11-03T23:25:33Z,710000,,,0,,F. Wagner technical Free Throw 1 of 1 (1 PTS),[1630532],1610612753.0,ORL,technical,,,Wagner,F. Wagner,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
72,PT06M39.00S,2022-11-03T23:25:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629643,25.57490144546649,18.38235294117647,1610612753,12,18,2022-11-03T23:25:50Z,720000,158.0,188.0,1,left,C. Okeke 24' 3PT  (3 PTS) (J. Suggs 2 AST),"[1629643, 1630591]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Right Center,24.56,Made,,,,,3.0,J. Suggs,1630591.0,2.0,,,,,,,,,,
74,PT06M23.00S,2022-11-03T23:26:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,80.76544021024968,41.42156862745098,1610612744,12,20,2022-11-03T23:26:10Z,740000,-43.0,128.0,1,right,D. Green 13' floating Jump Shot (2 PTS) (K. Thompson 2 AST),"[203110, 202691]",1610612744.0,GSW,floating,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,13.53,Made,,,,,2.0,K. Thompson,202691.0,2.0,,,,,,,,,,
76,PT06M02.00S,2022-11-03T23:26:22.8Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,12,20,2022-11-03T23:26:28Z,760000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 203110]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Green,203110.0,,,,,,,
77,PT06M02.00S,2022-11-03T23:26:22.8Z,1,REGULAR,steal,,[],203110,,,1610612744,12,20,2022-11-03T23:26:24Z,770000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M53.00S,2022-11-03T23:26:31.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202691,92.46057818659659,11.27450980392157,1610612744,12,20,2022-11-03T23:26:35Z,780000,-194.0,18.0,1,right,MISS K. Thompson 19' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left,19.45,Missed,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2022-11-03T23:26:34.2Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,12,20,2022-11-03T23:26:34Z,790000,,,0,,A. Wiggins REBOUND (Off:1 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Left,,,78.0,3.0,2.0,1.0,,,,,,,,,,,,,,
80,PT05M48.00S,2022-11-03T23:26:36.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201939,70.90998685939553,80.63725490196079,1610612744,12,23,2022-11-03T23:26:40Z,800000,153.0,221.0,1,right,S. Curry 26' 3PT  (3 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,26.88,Made,,,,,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
82,PT05M32.00S,2022-11-03T23:26:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629643,31.09395532194481,30.88235294117647,1610612753,15,23,2022-11-03T23:26:56Z,820000,96.0,240.0,1,left,C. Okeke 25' 3PT  (6 PTS) (J. Suggs 3 AST),"[1629643, 1630591]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Right Center,25.82,Made,,,,,6.0,J. Suggs,1630591.0,3.0,,,,,,,,,,
84,PT05M19.00S,2022-11-03T23:27:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.59198423127464,45.09803921568628,1610612744,15,23,2022-11-03T23:27:09Z,840000,-25.0,17.0,1,right,MISS S. Curry driving Layup,[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
85,PT05M17.00S,2022-11-03T23:27:07.2Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,15,23,2022-11-03T23:27:09Z,850000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT05M11.00S,2022-11-03T23:27:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,11.777266754270697,37.5,1610612753,15,23,2022-11-03T23:27:21Z,860000,62.0,58.0,1,left,MISS J. Suggs 8' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Right,8.54,Missed,,,,,,,,,,,,,,,,,,
87,PT05M05.00S,2022-11-03T23:27:19.7Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,15,23,2022-11-03T23:27:21Z,870000,,,0,,C. Okeke REBOUND (Off:1 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,In The Paint (Non-RA),8-16 Right,,,86.0,2.0,1.0,1.0,,,,,,,,,,,,,,
88,PT05M05.00S,2022-11-03T23:27:18.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629643,5.590000152587891,50.0,1610612753,17,23,2022-11-03T23:27:24Z,880000,0.0,0.0,1,left,C. Okeke tip Layup (8 PTS),[1629643],1610612753.0,ORL,tip,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,8.0,,,,,,,,,,,,,
89,PT04M59.00S,2022-11-03T23:27:30.4Z,1,REGULAR,foul,personal,[],1629643,,,1610612744,17,23,2022-11-03T23:27:43Z,890000,,,0,,C. Okeke personal FOUL (1 PF),"[1629643, 201939]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Curry,201939.0,,
