actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId
71,PT05M18.00S,2023-03-10T00:23:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1629659,,,1610612753,11,20,2023-03-10T00:23:21Z,710000,False,,,0,,T. Horton-Tucker shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629659, 1629021]",1610612762.0,UTA,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,,,,,,Wagner,1629021.0
73,PT05M18.00S,2023-03-10T00:23:32.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629021,,,1610612753,12,20,2023-03-10T00:23:32Z,730000,False,,,0,,M. Wagner Free Throw 1 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
74,PT05M18.00S,2023-03-10T00:23:49.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629021,,,1610612753,13,20,2023-03-10T00:23:49Z,740000,False,,,0,,M. Wagner Free Throw 2 of 2 (2 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
75,PT05M02.00S,2023-03-10T00:24:08.9Z,1,REGULAR,3pt,Jump Shot,[],203482,2.3160315374507228,97.30392156862744,1610612762,13,20,2023-03-10T00:24:13Z,750000,False,-237.0,-31.0,1,left,MISS K. Olynyk 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Left Corner 3,24+ Left,23.85,Missed,,,,,,,,,,,,,,,,,,
76,PT04M59.00S,2023-03-10T00:24:11.9Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,13,20,2023-03-10T00:24:13Z,760000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
77,PT04M55.00S,2023-03-10T00:24:15.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630175,76.5604467805519,77.69607843137256,1610612753,13,20,2023-03-10T00:24:22Z,770000,False,138.0,168.0,1,right,MISS C. Anthony 21' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,Mid-Range,16-24 Right Center,21.76,Missed,,,,,,,,,,,,,,,,,,
78,PT04M52.00S,2023-03-10T00:24:18.8Z,1,REGULAR,rebound,offensive,[],1629021,,,1610612753,13,20,2023-03-10T00:24:18Z,780000,False,,,0,,M. Wagner REBOUND (Off:1 Def:3),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,16-24 Right Center,,,,,,,77.0,4.0,3.0,1.0,,,,,,,,,,
79,PT04M44.00S,2023-03-10T00:24:26.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628365,80.6340341655716,28.431372549019606,1610612753,13,20,2023-03-10T00:24:32Z,790000,False,-108.0,130.0,1,right,MISS M. Fultz 16' step back Shot,[1628365],1610612753.0,ORL,step back,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Left Center,16.85,Missed,,,,,,,,,,,,,,,,,,
80,PT04M42.00S,2023-03-10T00:24:28.5Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,13,20,2023-03-10T00:24:32Z,800000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,16-24 Left Center,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,
81,PT04M35.00S,2023-03-10T00:24:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,12.434296977660972,45.588235294117645,1610612762,13,22,2023-03-10T00:24:44Z,810000,False,22.0,64.0,1,left,T. Horton-Tucker 6' driving Layup (4 PTS),[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,4.0,,,,,,,,,,,,,,,,,
82,PT04M23.00S,2023-03-10T00:24:49.6Z,1,REGULAR,foul,personal,[],1631323,,,1610612753,13,22,2023-03-10T00:44:06Z,820000,False,,,0,,S. Fontecchio personal FOUL (1 PF),"[1631323, 203914]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,Harris,203914.0
84,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,out,[],203914,,,1610612753,13,22,2023-03-10T00:25:17Z,840000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,out,[],1629659,,,1610612753,13,22,2023-03-10T00:25:17Z,850000,False,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,out,[],1631117,,,1610612753,13,22,2023-03-10T00:25:17Z,860000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,out,[],203482,,,1610612753,13,22,2023-03-10T00:25:17Z,870000,False,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,in,[],1630591,,,1610612753,13,22,2023-03-10T00:25:17Z,880000,False,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,in,[],200752,,,1610612753,13,22,2023-03-10T00:25:17Z,890000,False,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,in,[],1627739,,,1610612753,13,22,2023-03-10T00:25:17Z,900000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M23.00S,2023-03-10T00:25:02.5Z,1,REGULAR,substitution,in,[],1627745,,,1610612753,13,22,2023-03-10T00:25:17Z,910000,False,,,0,,SUB in: D. Jones,[1627745],1610612762.0,UTA,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M14.00S,2023-03-10T00:25:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,84.70762155059133,37.254901960784316,1610612753,13,22,2023-03-10T00:51:06Z,920000,False,-64.0,91.0,1,right,MISS P. Banchero 11' driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Left,11.12,Missed,,,,,,,,,,,,,,,,,,
93,PT04M10.00S,2023-03-10T00:25:33.2Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,13,22,2023-03-10T00:43:58Z,930000,False,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,
94,PT04M06.00S,2023-03-10T00:25:37.3Z,1,REGULAR,3pt,Jump Shot,[],1631323,28.203022339027594,74.01960784313727,1610612762,13,22,2023-03-10T00:25:46Z,940000,False,-120.0,213.0,1,left,MISS S. Fontecchio 24' pullup 3PT,[1631323],1610612762.0,UTA,pullup,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,24.42,Missed,,,,,,,,,,,,,,,,,,
95,PT04M02.00S,2023-03-10T00:25:41.6Z,1,REGULAR,rebound,offensive,[],1627739,,,1610612762,13,22,2023-03-10T00:25:41Z,950000,False,,,0,,K. Dunn REBOUND (Off:1 Def:0),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,94.0,1.0,0.0,1.0,,,,,,,,,,
96,PT03M59.00S,2023-03-10T00:25:43.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631323,6.1268068331143235,55.392156862745104,1610612762,13,24,2023-03-10T00:25:50Z,960000,False,-27.0,5.0,1,left,S. Fontecchio driving DUNK (2 PTS) (K. Dunn 1 AST),"[1631323, 1627739]",1610612762.0,UTA,driving,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,K. Dunn,1627739.0,1.0,,,,,,,,,,,,,,
98,PT03M58.00S,2023-03-10T00:25:50.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,13,24,2023-03-10T01:31:29Z,980000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,13,24,2023-03-10T00:28:21Z,990000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,out,[],1628365,,,1610612753,13,24,2023-03-10T00:28:21Z,1000000,False,,,0,,SUB out: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,out,[],1629021,,,1610612753,13,24,2023-03-10T00:28:21Z,1010000,False,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,in,[],1629048,,,1610612753,13,24,2023-03-10T00:28:21Z,1020000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,13,24,2023-03-10T00:28:21Z,1030000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M58.00S,2023-03-10T00:26:06.1Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,13,24,2023-03-10T00:28:21Z,1040000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M45.00S,2023-03-10T00:29:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,81.42247043363994,52.94117647058824,1610612753,15,24,2023-03-10T00:29:13Z,1060000,False,15.0,122.0,1,right,F. Wagner 12' driving floating Jump Shot (4 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,12.3,Made,4.0,,,,,,,,,,,,,,,,,
107,PT03M22.00S,2023-03-10T00:29:30.5Z,1,REGULAR,2pt,Jump Shot,[],1630534,12.828515111695138,68.87254901960785,1610612762,15,24,2023-03-10T00:29:34Z,1070000,False,-94.0,68.0,1,left,MISS O. Agbaji 11' driving floating bank Shot,[1630534],1610612762.0,UTA,driving floating bank,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Left,11.64,Missed,,,,,,,,,,,,,,,,,,
108,PT03M21.00S,2023-03-10T00:29:31.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,15,24,2023-03-10T00:29:34Z,1080000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Left,,,,,,,107.0,1.0,1.0,0.0,,,,,,,,,,
109,PT03M02.00S,2023-03-10T00:29:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,88.51839684625493,57.84313725490197,1610612753,15,24,2023-03-10T00:29:59Z,1090000,False,39.0,55.0,1,right,MISS J. Suggs 6' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,6.79,Missed,,,,,,,,,,,,,,,,,,
110,PT02M59.00S,2023-03-10T00:29:54.3Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,15,24,2023-03-10T00:29:59Z,1100000,False,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,109.0,2.0,2.0,0.0,,,,,,,,,,
111,PT02M53.00S,2023-03-10T00:29:58.7Z,1,REGULAR,3pt,Jump Shot,[],200752,31.750985545335087,67.8921568627451,1610612762,15,24,2023-03-10T00:30:03Z,1110000,False,-89.0,246.0,1,left,MISS R. Gay 26' pullup 3PT,[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
112,PT02M51.00S,2023-03-10T00:30:00.7Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,15,24,2023-03-10T00:30:03Z,1120000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Left Center,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,,
114,PT02M44.00S,2023-03-10T00:30:11.4Z,1,REGULAR,substitution,out,[],1630534,,,1610612753,15,24,2023-03-10T00:30:21Z,1140000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M44.00S,2023-03-10T00:30:11.4Z,1,REGULAR,substitution,in,[],1628374,,,1610612753,15,24,2023-03-10T00:30:21Z,1150000,False,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M29.00S,2023-03-10T00:30:38.7Z,1,REGULAR,turnover,lost ball,[],1629048,,,1610612753,15,24,2023-03-10T00:48:16Z,1160000,False,,,0,,G. Bitadze lost ball TURNOVER (1 TO),"[1629048, 1631323]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Fontecchio,1631323.0,,
117,PT02M29.00S,2023-03-10T00:30:38.7Z,1,REGULAR,steal,,[],1631323,,,1610612762,15,24,2023-03-10T00:30:40Z,1170000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT02M25.00S,2023-03-10T00:30:44.6Z,1,REGULAR,foul,offensive,[],200752,,,1610612762,15,24,2023-03-10T00:31:03Z,1180000,False,,,0,,R. Gay charge offensive FOUL (1 PF),"[200752, 1630175]",1610612762.0,UTA,charge,,,Gay,R. Gay,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1146.0,1.0,0.0,,,,,,Anthony,1630175.0
120,PT02M25.00S,2023-03-10T00:30:44.6Z,1,REGULAR,turnover,offensive foul,[],200752,,,1610612762,15,24,2023-03-10T00:30:44Z,1200000,False,,,0,,R. Gay offensive foul TURNOVER (1 TO),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1146.0,,,,,1.0,,,,
121,PT02M09.00S,2023-03-10T00:31:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630175,93.11760840998686,61.51960784313726,1610612753,15,24,2023-03-10T00:31:29Z,1210000,False,58.0,12.0,1,right,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,,,,,,,,,,,,,,,,,,
122,PT02M07.00S,2023-03-10T00:31:21.0Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,15,24,2023-03-10T00:31:29Z,1220000,False,,,0,,K. Dunn REBOUND (Off:1 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,121.0,2.0,1.0,1.0,,,,,,,,,,
123,PT02M07.00S,2023-03-10T00:31:38.4Z,1,REGULAR,foul,personal,['2freethrow'],1629626,,,1610612762,15,24,2023-03-10T00:32:09Z,1230000,False,,,0,,B. Bol shooting personal FOUL (1 PF) (Fontecchio 2 FT),"[1629626, 1631323]",1610612753.0,ORL,shooting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,,,,,,Fontecchio,1631323.0
125,PT02M07.00S,2023-03-10T00:31:54.2Z,1,REGULAR,freethrow,1 of 2,[],1631323,,,1610612762,15,25,2023-03-10T00:31:54Z,1250000,False,,,0,,S. Fontecchio Free Throw 1 of 2 (3 PTS),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
126,PT02M07.00S,2023-03-10T00:32:27.7Z,1,REGULAR,freethrow,2 of 2,[],1631323,,,1610612762,15,26,2023-03-10T00:32:27Z,1260000,False,,,0,,S. Fontecchio Free Throw 2 of 2 (4 PTS),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
127,PT01M51.00S,2023-03-10T00:32:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.9862023653088,48.28431372549019,1610612753,17,26,2023-03-10T00:32:52Z,1270000,False,-9.0,13.0,1,right,F. Wagner driving reverse Layup (6 PTS) (G. Bitadze 1 AST),"[1630532, 1629048]",1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.59,Made,6.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
129,PT01M37.00S,2023-03-10T00:32:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200752,18.873193166885677,39.46078431372549,1610612762,17,26,2023-03-10T00:33:01Z,1290000,False,53.0,125.0,1,left,MISS R. Gay 13' pullup Shot,[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,In The Paint (Non-RA),8-16 Center,13.56,Missed,,,,,,,,,,,,,,,,,,
130,PT01M35.00S,2023-03-10T00:33:00.1Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,17,26,2023-03-10T00:33:01Z,1300000,False,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,129.0,2.0,2.0,0.0,,,,,,,,,,
131,PT01M31.00S,2023-03-10T00:33:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,91.27792378449409,45.83333333333333,1610612753,19,26,2023-03-10T00:33:12Z,1310000,False,-21.0,29.0,1,right,J. Suggs running Layup (2 PTS) (B. Bol 1 AST),"[1630591, 1629626]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,B. Bol,1629626.0,1.0,,,,,,,,,,,,,,
133,PT01M23.00S,2023-03-10T00:33:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,11.777266754270697,43.627450980392155,1610612762,19,26,2023-03-10T00:33:20Z,1330000,False,32.0,58.0,1,left,MISS L. Markkanen 6' driving Layup - blocked,"[1628374, 1629626]",1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,6.64,Missed,,,,,,,,,,,,Bol,1629626.0,,,,,
134,PT01M23.00S,2023-03-10T00:33:11.9Z,1,REGULAR,block,,[],1629626,,,1610612762,19,26,2023-03-10T00:33:14Z,1340000,False,,,0,,B. Bol BLOCK (1 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT01M20.00S,2023-03-10T00:33:14.9Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,19,26,2023-03-10T00:33:20Z,1350000,False,,,0,,B. Bol REBOUND (Off:0 Def:3),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,133.0,3.0,3.0,0.0,,,,,,,,,,
136,PT01M16.00S,2023-03-10T00:33:18.6Z,1,REGULAR,3pt,Jump Shot,[],1630532,90.75229960578186,3.9215686274509802,1610612753,19,26,2023-03-10T00:33:27Z,1360000,False,-230.0,34.0,1,right,MISS F. Wagner 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
137,PT01M12.00S,2023-03-10T00:33:22.6Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612762,19,26,2023-03-10T00:33:27Z,1370000,False,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612762.0,UTA,,,,Jones,D. Jones,,,,,Left Corner 3,24+ Left,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,
138,PT01M05.00S,2023-03-10T00:33:30.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,11.695137976346912,50.02297794117647,1610612762,19,26,2023-03-10T00:33:37Z,1380000,False,0.0,57.0,1,left,MISS L. Markkanen driving Layup,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,,,,,,,,,,,,,,,,,,
139,PT01M05.00S,2023-03-10T00:33:30.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,19,26,2023-03-10T00:33:37Z,1390000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,138.0,,,,,,,,,,,,,
141,PT00M48.00S,2023-03-10T00:33:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630175,70.90998685939553,79.65686274509804,1610612753,22,26,2023-03-10T00:33:59Z,1410000,False,148.0,221.0,1,right,C. Anthony 26' 3PT  (3 PTS) (G. Bitadze 2 AST),"[1630175, 1629048]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,26.61,Made,3.0,G. Bitadze,1629048.0,2.0,,,,,,,,,,,,,,
143,PT00M32.50S,2023-03-10T00:34:29.5Z,1,REGULAR,3pt,Jump Shot,[],1627745,8.492115637319317,4.6568627450980395,1610612762,22,29,2023-03-10T00:34:33Z,1430000,False,227.0,27.0,1,left,D. Jones 3PT  (3 PTS) (K. Dunn 2 AST),"[1627745, 1627739]",1610612762.0,UTA,,,,Jones,D. Jones,,,,,Right Corner 3,24+ Right,22.83,Made,3.0,K. Dunn,1627739.0,2.0,,,,,,,,,,,,,,
145,PT00M12.10S,2023-03-10T00:34:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630532,67.36202365308804,61.76470588235294,1610612753,25,29,2023-03-10T00:35:00Z,1450000,False,59.0,254.0,1,right,F. Wagner 26' 3PT step back (9 PTS),[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,26.1,Made,9.0,,,,,,,,,,,,,,,,,
146,PT00M01.40S,2023-03-10T00:35:18.4Z,1,REGULAR,foul,offensive,[],1627745,,,1610612762,25,29,2023-03-10T00:44:52Z,1460000,False,,,0,,D. Jones charge offensive FOUL (1 PF),"[1627745, 1630591]",1610612762.0,UTA,charge,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203593.0,1.0,0.0,,,,,,Suggs,1630591.0
148,PT00M01.40S,2023-03-10T00:35:18.4Z,1,REGULAR,turnover,offensive foul,[],1627745,,,1610612762,25,29,2023-03-10T00:35:18Z,1480000,False,,,0,,D. Jones offensive foul TURNOVER (1 TO),[1627745],1610612762.0,UTA,,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203593.0,,,,,1.0,,,,
149,PT00M00.00S,2023-03-10T00:35:29.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,83.13074901445466,96.32352941176471,1610612753,28,29,2023-03-10T00:35:43Z,1490000,False,232.0,106.0,1,right,F. Wagner 25' 3PT  (12 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,25.47,Made,12.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
151,PT00M00.00S,2023-03-10T00:35:42.1Z,1,REGULAR,period,end,[],0,,,1610612762,28,29,2023-03-10T00:35:42Z,1510000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-03-10T00:37:21.0Z,2,REGULAR,substitution,out,['startperiod'],1631323,,,1610612762,28,29,2023-03-10T00:38:05Z,1520000,False,,,0,,SUB out: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-03-10T00:37:21.0Z,2,REGULAR,substitution,in,['startperiod'],1630548,,,1610612762,28,29,2023-03-10T00:38:05Z,1530000,False,,,0,,SUB in: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-03-10T00:38:27.3Z,2,REGULAR,period,start,[],0,,,1610612753,28,29,2023-03-10T00:38:27Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M43.00S,2023-03-10T00:38:43.5Z,2,REGULAR,2pt,Jump Shot,[],1630532,74.58935611038108,76.7156862745098,1610612753,28,29,2023-03-10T00:38:50Z,1550000,False,134.0,186.0,1,right,MISS F. Wagner 22' step back Shot,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,22.93,Missed,,,,,,,,,,,,,,,,,,
