actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
425,PT03M54.00S,2022-12-01T01:36:12.2Z,3,REGULAR,rebound,defensive,[],1631216,,,1610612753,71,90,2022-12-01T01:36:12Z,4210000,False,,,0,,C. Houstan REBOUND (Off:0 Def:5),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,424.0,5.0,5.0,0.0,,,,
426,PT03M49.00S,2022-12-01T01:36:17.2Z,3,REGULAR,3pt,Jump Shot,[],1631216,70.77693663508131,21.323529411764707,1610612753,71,90,2022-12-01T01:36:24Z,4220000,False,-143.0,222.0,1,right,MISS C. Houstan 26' 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
427,PT03M46.00S,2022-12-01T01:36:20.2Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,71,90,2022-12-01T01:36:24Z,4230000,False,,,0,,C. Capela REBOUND (Off:5 Def:7),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,426.0,12.0,7.0,5.0,,,,
428,PT03M36.00S,2022-12-01T01:36:30.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.4392231002587055,48.28431372549019,1610612737,71,92,2022-12-01T01:36:45Z,4240000,False,9.0,17.0,1,left,T. Young driving finger roll Layup (28 PTS),[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.94,Made,28.0,,,,,,,,,,,,,,,,,
429,PT03M17.00S,2022-12-01T01:36:49.1Z,3,REGULAR,turnover,bad pass,[],1630175,,,1610612753,71,92,2022-12-01T01:36:53Z,4250000,False,,,0,,C. Anthony bad pass TURNOVER (2 TO),"[1630175, 1627749]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,2.0,,,,,Murray,1627749.0,,
430,PT03M17.00S,2022-12-01T01:36:49.1Z,3,REGULAR,steal,,[],1627749,,,1610612737,71,92,2022-12-01T01:36:51Z,4260000,False,,,0,,D. Murray STEAL (2 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
431,PT03M03.00S,2022-12-01T01:37:04.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,20.054203389352004,90.44117647058823,1610612737,71,92,2022-12-01T01:37:08Z,4270000,False,-202.0,136.0,1,left,MISS T. Young 24' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,24.37,Missed,,,,,,,,,,,,,,,,,,
432,PT03M00.00S,2022-12-01T01:37:07.3Z,3,REGULAR,rebound,defensive,[],1629021,,,1610612753,71,92,2022-12-01T01:37:08Z,4280000,False,,,0,,M. Wagner REBOUND (Off:0 Def:4),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,431.0,4.0,4.0,0.0,,,,
433,PT02M55.00S,2022-12-01T01:37:13.8Z,3,REGULAR,foul,personal,['2freethrow'],1630249,,,1610612753,71,92,2022-12-01T01:37:23Z,4290000,False,,,0,,V. Krejci shooting personal FOUL (3 PF) (Banchero 2 FT),"[1630249, 1631094]",1610612737.0,ATL,shooting,,,Krejci,V. Krejci,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,3.0,1.0,Banchero,1631094.0,,,,,,,,,
435,PT02M55.00S,2022-12-01T01:37:29.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,71,92,2022-12-01T01:37:29Z,4310000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,out,[],1631216,,,1610612753,71,92,2022-12-01T01:39:59Z,4320000,False,,,0,,SUB out: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
437,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,out,[],1630284,,,1610612753,71,92,2022-12-01T01:39:59Z,4330000,False,,,0,,SUB out: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
438,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,out,[],1627749,,,1610612753,71,92,2022-12-01T01:39:59Z,4340000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
439,PT02M55.00S,2022-12-01T01:37:52.4Z,3,REGULAR,substitution,out,[],203991,,,1610612753,71,92,2022-12-01T01:39:59Z,4350000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
