actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
23,PT10M00.00S,2023-01-26T00:13:33.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626167,92.46057818659659,42.8921568627451,1610612754,9,0,2023-01-26T00:14:42Z,230000,False,-36.0,18.0,1,right,MISS M. Turner driving Hook,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,4.0,,,,,,,,,,,
24,PT09M58.00S,2023-01-26T00:13:35.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,0,2023-01-26T00:13:37Z,240000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,
25,PT09M54.00S,2023-01-26T00:13:42.1Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612753,9,0,2023-01-26T00:14:10Z,250000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Banchero 2 FT),"[1630174, 1631094]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,202901.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,,,,,,,
27,PT09M54.00S,2023-01-26T00:14:14.0Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,10,0,2023-01-26T00:14:14Z,270000,False,,,0,,P. Banchero Free Throw 1 of 2 (5 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
28,PT09M54.00S,2023-01-26T00:15:28.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,10,0,2023-01-26T00:15:28Z,280000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2023-01-26T00:17:18.2Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,11,0,2023-01-26T00:17:18Z,290000,False,,,0,,P. Banchero Free Throw 2 of 2 (6 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
30,PT09M44.00S,2023-01-26T00:17:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,92.72339027595268,56.372549019607845,1610612754,11,2,2023-01-26T00:17:43Z,300000,False,32.0,16.0,1,right,T. McConnell driving Layup (2 PTS),[204456],1610612754.0,IND,driving,,,McConnell,T. McConnell,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,3.56,,,,,,,,,,,
31,PT09M44.00S,2023-01-26T00:17:39.6Z,1,REGULAR,foul,personal,['1freethrow'],1628365,,,1610612754,11,2,2023-01-26T00:17:52Z,310000,False,,,0,,M. Fultz shooting personal FOUL (1 PF) (McConnell 1 FT),"[1628365, 204456]",1610612753.0,ORL,shooting,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,202901.0,1.0,0.0,McConnell,204456.0,,,,,,,,,,,,,,,
33,PT09M44.00S,2023-01-26T00:17:53.2Z,1,REGULAR,freethrow,1 of 1,[],204456,,,1610612754,11,3,2023-01-26T00:17:53Z,330000,False,,,0,,T. McConnell Free Throw 1 of 1 (3 PTS),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
34,PT09M28.00S,2023-01-26T00:18:11.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,5.469776609724048,50.0,1610612753,13,3,2023-01-26T00:18:17Z,340000,False,0.0,-1.0,1,left,W. Carter Jr. driving DUNK (2 PTS) (M. Fultz 1 AST),"[1628976, 1628365]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,0.11,M. Fultz,1628365.0,1.0,,,,,,,,
36,PT09M10.00S,2023-01-26T00:18:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630174,78.53153745072274,6.127450980392156,1610612754,13,3,2023-01-26T00:18:35Z,360000,False,-219.0,149.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.54,,,,,,,,,,,
37,PT09M08.00S,2023-01-26T00:18:31.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,13,3,2023-01-26T00:18:35Z,370000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,
38,PT09M01.00S,2023-01-26T00:18:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.338370565045992,48.77450980392157,1610612753,15,3,2023-01-26T00:18:47Z,380000,False,6.0,-2.0,1,left,F. Wagner reverse Layup (4 PTS) (M. Fultz 2 AST),"[1630532, 1628365]",1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,0.65,M. Fultz,1628365.0,2.0,,,,,,,,
40,PT08M37.00S,2023-01-26T00:19:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,79.84559789750328,37.99019607843137,1610612754,15,5,2023-01-26T00:19:07Z,400000,False,-60.0,137.0,1,right,B. Hield 14' pullup Jump Shot (2 PTS) (C. Duarte 1 AST),"[1627741, 1630537]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,14.96,C. Duarte,1630537.0,1.0,,,,,,,,
41,PT08M24.00S,2023-01-26T00:19:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,4.812746386333772,96.56862745098039,1610612753,18,5,2023-01-26T00:19:20Z,410000,False,-233.0,-7.0,1,left,W. Carter Jr. 3PT  (5 PTS) (M. Fultz 3 AST),"[1628976, 1628365]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,,Made,5.0,,23.29,M. Fultz,1628365.0,3.0,,,,,,,,
43,PT08M10.00S,2023-01-26T00:19:32.0Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612754,18,5,2023-01-26T00:19:58Z,430000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Turner 2 FT),"[1628976, 1626167]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,,,,,,
45,PT08M10.00S,2023-01-26T00:20:00.9Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,18,6,2023-01-26T00:20:21Z,450000,False,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
47,PT08M10.00S,2023-01-26T00:20:00.9Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,18,6,2023-01-26T00:20:21Z,460000,False,,,0,,MISS M. Turner Free Throw 2 of 2,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
48,PT08M07.00S,2023-01-26T00:20:03.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,18,6,2023-01-26T00:20:21Z,470000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,47.0,3.0,3.0,0.0,,,,
49,PT07M55.00S,2023-01-26T00:20:31.6Z,1,REGULAR,turnover,bad pass,[],1628976,,,1610612753,18,6,2023-01-26T00:20:37Z,480000,False,,,0,,W. Carter Jr. bad pass TURNOVER (1 TO),"[1628976, 1627741]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,,,,,,,,,Hield,1627741.0,,
50,PT07M55.00S,2023-01-26T00:20:31.6Z,1,REGULAR,steal,,[],1627741,,,1610612754,18,6,2023-01-26T00:20:34Z,490000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2023-01-26T00:20:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630537,93.51182654402102,54.90196078431373,1610612754,18,8,2023-01-26T00:20:44Z,500000,False,25.0,8.0,1,right,C. Duarte running reverse Layup (2 PTS) (T. McConnell 1 AST),"[1630537, 204456]",1610612754.0,IND,running reverse,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.59,T. McConnell,204456.0,1.0,,,,,,,,
53,PT07M44.00S,2023-01-26T00:20:42.7Z,1,REGULAR,3pt,Jump Shot,[],203914,26.231931668856767,82.84313725490196,1610612753,21,8,2023-01-26T00:22:48Z,520000,False,-164.0,194.0,1,left,G. Harris 25' 3PT pullup (6 PTS) (M. Fultz 4 AST),"[203914, 1628365]",1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,,25.42,M. Fultz,1628365.0,4.0,,,,,,,,
55,PT07M35.00S,2023-01-26T00:20:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.24901445466492,54.65686274509803,1610612754,21,10,2023-01-26T00:21:03Z,540000,False,23.0,11.0,1,right,M. Turner Layup (3 PTS) (C. Duarte 2 AST),"[1626167, 1630537]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,Made,3.0,,2.58,C. Duarte,1630537.0,2.0,,,,,,,,
58,PT07M19.00S,2023-01-26T00:22:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,7.178055190538765,46.81372549019608,1610612753,21,10,2023-01-26T00:22:09Z,570000,False,16.0,15.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.19,,,,,,,,,,,
59,PT07M15.00S,2023-01-26T00:22:05.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,21,10,2023-01-26T00:22:09Z,580000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,58.0,4.0,3.0,1.0,,,,
60,PT07M15.00S,2023-01-26T00:22:05.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628976,5.590000152587891,50.0,1610612753,23,10,2023-01-26T00:23:49Z,590000,False,0.0,0.0,1,left,W. Carter Jr. tip DUNK (7 PTS),[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,7.0,,0.0,,,,,,,,,,,
61,PT07M05.00S,2023-01-26T00:22:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,91.01511169513797,50.73529411764706,1610612754,23,10,2023-01-26T00:22:23Z,600000,False,4.0,32.0,1,right,MISS M. Turner Layup - blocked,"[1626167, 1628976]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.22,,,,,,,,,,Carter Jr.,1628976.0
62,PT07M05.00S,2023-01-26T00:22:14.8Z,1,REGULAR,block,,[],1628976,,,1610612754,23,10,2023-01-26T00:22:17Z,610000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M04.00S,2023-01-26T00:22:15.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,23,10,2023-01-26T00:22:23Z,620000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,61.0,1.0,0.0,1.0,,,,
64,PT07M04.00S,2023-01-26T00:22:21.3Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612754,23,10,2023-01-26T00:22:41Z,630000,False,,,0,,P. Banchero shooting personal FOUL (1 PF) (Turner 2 FT),"[1631094, 1626167]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,,,,,,
66,PT07M04.00S,2023-01-26T00:22:42.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626167,,,1610612754,23,11,2023-01-26T00:22:42Z,650000,False,,,0,,M. Turner Free Throw 1 of 2 (4 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
67,PT07M04.00S,2023-01-26T00:22:43.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612754,23,11,2023-01-26T00:22:52Z,660000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M04.00S,2023-01-26T00:22:43.6Z,1,REGULAR,substitution,in,[],1628371,,,1610612754,23,11,2023-01-26T00:22:52Z,670000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M04.00S,2023-01-26T00:23:05.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626167,,,1610612754,23,12,2023-01-26T00:23:05Z,680000,False,,,0,,M. Turner Free Throw 2 of 2 (5 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
70,PT06M49.00S,2023-01-26T00:23:23.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,21.76412614980289,90.93137254901961,1610612753,23,12,2023-01-26T00:25:37Z,690000,False,-205.0,152.0,1,left,MISS P. Banchero 25' step back 3PT,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.5,,,,,,,,,,,
71,PT06M47.00S,2023-01-26T00:23:25.4Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,23,12,2023-01-26T00:23:28Z,700000,False,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,
72,PT06M40.00S,2023-01-26T00:23:32.1Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.83639947437582,58.57843137254902,1610612754,23,15,2023-01-26T00:25:57Z,710000,False,43.0,259.0,1,right,B. Hield 26' 3PT pullup (5 PTS) (C. Duarte 3 AST),"[1627741, 1630537]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,Made,5.0,,26.27,C. Duarte,1630537.0,3.0,,,,,,,,
74,PT06M26.00S,2023-01-26T00:23:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,7.440867279894875,46.32352941176471,1610612753,23,15,2023-01-26T00:23:50Z,730000,False,18.0,17.0,1,left,MISS G. Harris driving Layup - blocked,"[203914, 1626167]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.53,,,,,,,,,,Turner,1626167.0
75,PT06M26.00S,2023-01-26T00:23:46.2Z,1,REGULAR,block,,[],1626167,,,1610612753,23,15,2023-01-26T00:23:48Z,740000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT06M23.00S,2023-01-26T00:23:49.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,23,15,2023-01-26T00:23:50Z,750000,False,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,74.0,2.0,1.0,1.0,,,,
77,PT06M15.00S,2023-01-26T00:24:01.1Z,1,REGULAR,foul,personal,[],1631094,,,1610612754,23,15,2023-01-26T00:25:07Z,760000,False,,,0,,P. Banchero personal FOUL (2 PF),"[1631094, 1630174]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,,,,
79,PT06M11.00S,2023-01-26T00:24:27.5Z,1,REGULAR,turnover,discontinued dribble,[],1627741,,,1610612754,23,15,2023-01-26T00:27:19Z,780000,False,,,0,,B. Hield discontinued dribble TURNOVER (1 TO),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,1628953.0,,,,,,,1.0,,,,,,,,,,,,
80,PT06M02.00S,2023-01-26T00:24:41.0Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612753,23,15,2023-01-26T00:24:58Z,790000,False,,,0,,A. Nesmith shooting personal FOUL (2 PF) (Banchero 2 FT),"[1630174, 1631094]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,202901.0,2.0,0.0,Banchero,1631094.0,,,,,,,,,,,,,,,
82,PT06M02.00S,2023-01-26T00:25:15.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631094,,,1610612753,24,15,2023-01-26T00:25:15Z,810000,False,,,0,,P. Banchero Free Throw 1 of 2 (7 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
83,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,out,[],1630537,,,1610612753,24,15,2023-01-26T00:25:42Z,820000,False,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,out,[],204456,,,1610612753,24,15,2023-01-26T00:25:42Z,830000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,out,[],1630174,,,1610612753,24,15,2023-01-26T00:25:42Z,840000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,in,[],1631097,,,1610612753,24,15,2023-01-26T00:25:42Z,850000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,in,[],1630678,,,1610612753,24,15,2023-01-26T00:25:42Z,860000,False,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M02.00S,2023-01-26T00:25:17.0Z,1,REGULAR,substitution,in,[],1630243,,,1610612753,24,15,2023-01-26T00:25:42Z,870000,False,,,0,,SUB in: T. Queen,[1630243],1610612754.0,IND,,,,Queen,T. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
