actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
29,PT08M47.00S,2022-11-27T23:14:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,92.59034005163846,58.333333333333336,1610612755,9,10,2022-11-27T23:14:28Z,290000,False,42.0,17.0,1,right,M. Harrell Layup (5 PTS),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,4.51,Made,,,,,,,5.0,,,,,,,,,,
30,PT08M39.00S,2022-11-27T23:14:31.4Z,1,REGULAR,3pt,Jump Shot,[],203914,3.759853849273161,5.392156862745098,1610612753,9,10,2022-11-27T23:14:36Z,300000,False,223.0,-17.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,22.37,Missed,,,,,,,,,,,,,,,,,
31,PT08M37.00S,2022-11-27T23:14:33.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,9,10,2022-11-27T23:14:36Z,310000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT08M29.00S,2022-11-27T23:14:45.4Z,1,REGULAR,foul,personal,[],1631094,,,1610612755,9,10,2022-11-27T23:15:03Z,320000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 1626149]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1628487.0,,,,,,,,,,,,,1.0,0.0,Harrell,1626149.0,,,
34,PT08M21.00S,2022-11-27T23:15:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,91.40768564953598,49.754901960784316,1610612755,9,12,2022-11-27T23:15:12Z,340000,False,-1.0,28.0,1,right,T. Harris driving finger roll Layup (2 PTS),[202699],1610612755.0,PHI,driving finger roll,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,2.83,Made,,,,,,,2.0,,,,,,,,,,
35,PT08M06.00S,2022-11-27T23:15:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,8.490471457683148,59.068627450980394,1610612753,11,12,2022-11-27T23:15:27Z,350000,False,-45.0,27.0,1,left,B. Bol driving floating Jump Shot (2 PTS),[1629626],1610612753.0,ORL,driving floating,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,5.29,Made,,,,,,,2.0,,,,,,,,,,
36,PT07M46.00S,2022-11-27T23:15:40.0Z,1,REGULAR,3pt,Jump Shot,[],202699,71.43396685847159,80.14705882352942,1610612755,11,15,2022-11-27T23:15:44Z,360000,False,151.0,216.0,1,right,T. Harris 26' 3PT  (5 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,26.34,Made,,,,,,,5.0,,,,,,,,,,
37,PT07M29.00S,2022-11-27T23:15:57.0Z,1,REGULAR,2pt,Jump Shot,[],1631094,15.980616004332294,21.813725490196077,1610612753,13,15,2022-11-27T23:16:02Z,370000,False,141.0,98.0,1,left,P. Banchero 17' Jump Shot (6 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right,,17.15,Made,,,,,,,6.0,,,,,,,,,,
38,PT07M12.00S,2022-11-27T23:16:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626149,90.88206147082374,48.77450980392157,1610612755,13,15,2022-11-27T23:16:20Z,380000,False,-6.0,33.0,1,right,MISS M. Harrell driving Layup - blocked,"[1626149, 1628964]",1610612755.0,PHI,driving,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,3.38,Missed,Bamba,1628964.0,,,,,,,,,,,,,,,
39,PT07M12.00S,2022-11-27T23:16:13.9Z,1,REGULAR,block,,[],1628964,,,1610612755,13,15,2022-11-27T23:16:16Z,390000,False,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT07M12.00S,2022-11-27T23:16:13.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,13,15,2022-11-27T23:18:03Z,400000,False,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT07M06.00S,2022-11-27T23:16:20.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,22.682324282913108,9.313725490196079,1610612753,16,15,2022-11-27T23:16:26Z,410000,False,203.0,161.0,1,left,F. Wagner 25' 3PT running (5 PTS) (G. Harris 3 AST),"[1630532, 203914]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,25.92,Made,,,,,,,5.0,G. Harris,203914.0,3.0,,,,,,,
43,PT06M49.00S,2022-11-27T23:16:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,85.88863177305765,54.166666666666664,1610612755,16,17,2022-11-27T23:16:53Z,430000,False,21.0,80.0,1,right,T. Harris 8' driving floating Jump Shot (7 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,8.28,Made,,,,,,,7.0,,,,,,,,,,
44,PT06M38.00S,2022-11-27T23:17:01.8Z,1,REGULAR,turnover,out-of-bounds,[],1628964,,,1610612753,16,17,2022-11-27T23:17:10Z,440000,False,,,0,,M. Bamba bad pass out-of-bounds TURNOVER (1 TO),[1628964],1610612753.0,ORL,bad pass,,,Bamba,M. Bamba,,,,,Mid-Range,8-16 Right,1155.0,,,,,,,,,,,,,,,,,1.0,,
46,PT06M38.00S,2022-11-27T23:17:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,17,2022-11-27T23:17:19Z,460000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M21.00S,2022-11-27T23:20:12.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,70.25131245636909,79.41176470588235,1610612755,16,17,2022-11-27T23:20:19Z,470000,False,147.0,227.0,1,right,MISS D. Melton 27' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,27.06,Missed,,,,,,,,,,,,,,,,,
48,PT06M20.00S,2022-11-27T23:20:13.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,16,17,2022-11-27T23:20:19Z,480000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,47.0,,,,,,,,,,,,,,
50,PT06M07.00S,2022-11-27T23:20:35.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,30.960905097630587,25.735294117647058,1610612753,16,17,2022-11-27T23:20:41Z,500000,False,121.0,239.0,1,left,MISS M. Bamba 26' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Right Center,,26.76,Missed,,,,,,,,,,,,,,,,,
51,PT06M03.00S,2022-11-27T23:20:39.3Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,16,17,2022-11-27T23:20:41Z,510000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT05M59.00S,2022-11-27T23:20:45.4Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612755,16,17,2022-11-27T23:21:01Z,520000,False,,,0,,M. Bamba shooting personal FOUL (1 PF) (Harris 2 FT),"[1628964, 202699]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,202041.0,,,,,,,,,,,,,1.0,0.0,Harris,202699.0,,,
54,PT05M59.00S,2022-11-27T23:21:07.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202699,,,1610612755,16,18,2022-11-27T23:21:49Z,540000,False,,,0,,T. Harris Free Throw 1 of 2 (8 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,
55,PT05M59.00S,2022-11-27T23:21:10.4Z,1,REGULAR,substitution,out,[],1628964,,,1610612755,16,18,2022-11-27T23:21:18Z,550000,False,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT05M59.00S,2022-11-27T23:21:10.4Z,1,REGULAR,substitution,out,[],1629003,,,1610612755,16,18,2022-11-27T23:21:18Z,560000,False,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M59.00S,2022-11-27T23:21:10.4Z,1,REGULAR,substitution,in,[],1629021,,,1610612755,16,18,2022-11-27T23:21:18Z,570000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M59.00S,2022-11-27T23:21:10.4Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,16,18,2022-11-27T23:21:18Z,580000,False,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M59.00S,2022-11-27T23:21:07.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202699,,,1610612755,16,19,2022-11-27T23:21:49Z,590000,False,,,0,,T. Harris Free Throw 2 of 2 (9 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,
60,PT05M51.00S,2022-11-27T23:21:46.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,29.646844650850035,24.264705882352942,1610612753,16,19,2022-11-27T23:21:52Z,600000,False,129.0,226.0,1,left,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,26.03,Missed,,,,,,,,,,,,,,,,,
61,PT05M48.00S,2022-11-27T23:21:49.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,16,19,2022-11-27T23:21:52Z,610000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,
62,PT05M29.00S,2022-11-27T23:22:08.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626149,85.49441363902349,49.01960784313725,1610612755,16,19,2022-11-27T23:22:15Z,620000,False,-5.0,84.0,1,right,MISS M. Harrell 8' turnaround Hook,[1626149],1610612755.0,PHI,turnaround,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),8-16 Center,,8.4,Missed,,,,,,,,,,,,,,,,,
63,PT05M25.00S,2022-11-27T23:22:12.5Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,16,19,2022-11-27T23:22:15Z,630000,False,,,0,,G. Harris REBOUND (Off:0 Def:2),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,
64,PT05M19.00S,2022-11-27T23:22:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.490471457683148,50.245098039215684,1610612753,18,19,2022-11-27T23:22:27Z,640000,False,-1.0,27.0,1,left,F. Wagner cutting Layup (7 PTS) (M. Wagner 1 AST),"[1630532, 1629021]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,2.73,Made,,,,,,,7.0,M. Wagner,1629021.0,1.0,,,,,,,
66,PT05M19.00S,2022-11-27T23:22:23.9Z,1,REGULAR,foul,personal,['1freethrow'],1629001,,,1610612753,18,19,2022-11-27T23:22:35Z,660000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Wagner 1 FT),"[1629001, 1630532]",1610612755.0,PHI,shooting,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,1.0,0.0,Wagner,1630532.0,,,
68,PT05M19.00S,2022-11-27T23:22:46.3Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,18,19,2022-11-27T23:22:49Z,680000,False,,,0,,MISS F. Wagner Free Throw 1 of 1,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
69,PT05M16.00S,2022-11-27T23:22:49.3Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612755,18,19,2022-11-27T23:22:49Z,690000,False,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
70,PT05M02.00S,2022-11-27T23:23:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,91.01346751550182,49.50980392156863,1610612755,18,21,2022-11-27T23:23:07Z,700000,False,-2.0,32.0,1,right,D. Melton driving Layup (5 PTS),[1629001],1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,3.21,Made,,,,,,,5.0,,,,,,,,,,
71,PT04M49.00S,2022-11-27T23:23:17.6Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612753,18,21,2022-11-27T23:23:24Z,710000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Harris 2 FT),"[200782, 203914]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,,,,,,,,,,,,1.0,0.0,Harris,203914.0,,,
73,PT04M49.00S,2022-11-27T23:23:42.3Z,1,REGULAR,freethrow,1 of 2,[],203914,,,1610612753,19,21,2022-11-27T23:23:42Z,730000,False,,,0,,G. Harris Free Throw 1 of 2 (1 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
74,PT04M49.00S,2022-11-27T23:24:00.9Z,1,REGULAR,freethrow,2 of 2,[],203914,,,1610612753,20,21,2022-11-27T23:24:00Z,740000,False,,,0,,G. Harris Free Throw 2 of 2 (2 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,
76,PT04M39.00S,2022-11-27T23:24:19.0Z,1,REGULAR,substitution,out,[],1626149,,,1610612755,20,21,2022-11-27T23:24:29Z,760000,False,,,0,,SUB out: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M39.00S,2022-11-27T23:24:19.0Z,1,REGULAR,substitution,out,[],202699,,,1610612755,20,21,2022-11-27T23:24:29Z,770000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M39.00S,2022-11-27T23:24:19.0Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,20,21,2022-11-27T23:24:29Z,780000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M39.00S,2022-11-27T23:24:19.0Z,1,REGULAR,substitution,in,[],1630194,,,1610612755,20,21,2022-11-27T23:24:29Z,790000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M30.00S,2022-11-27T23:24:59.0Z,1,REGULAR,foul,personal,[],1629021,,,1610612755,20,21,2022-11-27T23:25:16Z,810000,False,,,0,,M. Wagner personal FOUL (1 PF),"[1629021, 1627788]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,16-24 Right Center,202041.0,,,,,,,,,,,,,1.0,0.0,Korkmaz,1627788.0,,,
83,PT04M15.00S,2022-11-27T23:25:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629001,88.38534662194071,95.34313725490196,1610612755,20,21,2022-11-27T23:25:37Z,830000,False,227.0,57.0,1,right,MISS D. Melton 3PT - blocked,"[1629001, 1629626]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,,23.37,Missed,Bol,1629626.0,,,,,,,,,,,,,,,
84,PT04M15.00S,2022-11-27T23:25:30.1Z,1,REGULAR,block,,[],1629626,,,1610612755,20,21,2022-11-27T23:25:33Z,840000,False,,,0,,B. Bol BLOCK (2 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
85,PT04M15.00S,2022-11-27T23:25:30.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,20,21,2022-11-27T23:25:37Z,850000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Right Corner 3,24+ Right,,,,,,83.0,,,,,,,,,,,,,,
87,PT04M15.00S,2022-11-27T23:25:39.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,20,21,2022-11-27T23:25:46Z,870000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1628487.0,,,,,,,,,,,,,,,,,,,
88,PT03M58.00S,2022-11-27T23:25:58.6Z,1,REGULAR,foul,personal,['2freethrow'],1627777,,,1610612753,20,21,2022-11-27T23:26:10Z,880000,False,,,0,,G. Niang shooting personal FOUL (1 PF) (Wagner 2 FT),"[1627777, 1629021]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Left,202041.0,,,,,,,,,,,,,1.0,0.0,Wagner,1629021.0,,,
