actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
31,PT09M19.00S,2022-10-22T23:16:09.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,4,2022-10-22T23:16:15Z,310000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,30.0,3.0,1.0,2.0,,,,,,,,,,,,,,
32,PT09M08.00S,2022-10-22T23:16:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630532,28.991458607095925,24.754901960784316,1610612753,9,4,2022-10-22T23:27:27Z,320000,126.0,220.0,1,left,MISS F. Wagner 25' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2022-10-22T23:16:25.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,9,4,2022-10-22T23:16:28Z,330000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M01.00S,2022-10-22T23:16:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.64323258869908,50.245098039215684,1610612738,9,6,2022-10-22T23:16:38Z,340000,1.0,7.0,1,right,J. Tatum running Layup (4 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,4.0,,,,M. Smart,203935.0,1.0,,,,,,,
36,PT08M44.00S,2022-10-22T23:16:45.6Z,1,REGULAR,turnover,bad pass,[],1628976,,,1610612753,9,6,2022-10-22T23:16:50Z,360000,,,0,,W. Carter Jr. bad pass TURNOVER (1 TO),"[1628976, 1628401]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,White,1628401.0,,,,,,,,,,
37,PT08M44.00S,2022-10-22T23:16:45.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,9,6,2022-10-22T23:16:47Z,370000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2022-10-22T23:16:52.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,85.10183968462549,94.6078431372549,1610612738,9,6,2022-10-22T23:16:59Z,380000,223.0,88.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,23.96,Missed,,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2022-10-22T23:16:57.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,6,2022-10-22T23:16:59Z,390000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Right Corner 3,24+ Right,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M26.00S,2022-10-22T23:17:03.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630175,14.4053876478318,37.00980392156863,1610612753,11,6,2022-10-22T23:28:39Z,400000,65.0,83.0,1,left,C. Anthony 10' driving floating Jump Shot (4 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Right,10.53,Made,,,,,4.0,,,,,,,,,,,,,
41,PT08M07.00S,2022-10-22T23:17:21.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,80.3712220762155,8.088235294117647,1610612738,11,9,2022-10-22T23:17:26Z,410000,-210.0,132.0,1,right,J. Tatum 24' 3PT  (7 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.77,Made,,,,,7.0,,,,D. White,1628401.0,2.0,,,,,,,
43,PT07M45.00S,2022-10-22T23:17:44.3Z,1,REGULAR,3pt,Jump Shot,[],203082,6.57030223390276,94.87591911764706,1610612753,14,9,2022-10-22T23:17:51Z,430000,-224.0,9.0,1,left,T. Ross 3PT  (8 PTS) (P. Banchero 2 AST),"[203082, 1631094]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,Left Corner 3,24+ Left,22.46,Made,,,,,8.0,,,,P. Banchero,1631094.0,2.0,,,,,,,
45,PT07M34.00S,2022-10-22T23:17:54.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,84.70762155059133,96.56862745098039,1610612738,14,12,2022-10-22T23:17:59Z,450000,233.0,91.0,1,right,D. White 25' 3PT  (5 PTS) (M. Smart 2 AST),"[1628401, 203935]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right,25.0,Made,,,,,5.0,,,,M. Smart,203935.0,2.0,,,,,,,
47,PT07M17.00S,2022-10-22T23:18:11.5Z,1,REGULAR,3pt,Jump Shot,[],1631094,33.85348226018397,53.92156862745098,1610612753,14,12,2022-10-22T23:29:45Z,470000,-20.0,266.0,1,left,MISS P. Banchero 26' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,26.64,Missed,,,,,,,,,,,,,,,,,,
48,PT07M15.00S,2022-10-22T23:18:13.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,14,12,2022-10-22T23:18:16Z,480000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M10.00S,2022-10-22T23:18:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,87.33574244415243,97.79411764705883,1610612738,14,15,2022-10-22T23:18:27Z,490000,239.0,67.0,1,right,M. Smart 24' 3PT running (3 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,24.81,Made,,,,,3.0,,,,J. Brown,1627759.0,2.0,,,,,,,
51,PT06M50.00S,2022-10-22T23:18:38.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,25.837713534822605,86.02941176470588,1610612753,14,15,2022-10-22T23:18:47Z,510000,-180.0,190.0,1,left,MISS P. Banchero 26' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.21,Missed,,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2022-10-22T23:18:41.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,15,2022-10-22T23:18:47Z,520000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT06M43.00S,2022-10-22T23:18:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,90.09526938239159,54.65686274509803,1610612738,14,15,2022-10-22T23:18:52Z,530000,23.0,41.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,4.68,Missed,,,,,,,,,,,,,,,,,,
54,PT06M43.00S,2022-10-22T23:18:46.1Z,1,REGULAR,rebound,offensive,[],203943,,,1610612738,14,15,2022-10-22T23:18:52Z,540000,,,0,,N. Vonleh REBOUND (Off:1 Def:0),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,In The Paint (Non-RA),0-8 Center,,,53.0,1.0,0.0,1.0,,,,,,,,,,,,,,
55,PT06M39.00S,2022-10-22T23:18:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203943,91.19579500657031,46.77925857843137,1610612738,14,15,2022-10-22T23:19:23Z,550000,-16.0,30.0,1,right,MISS N. Vonleh Layup - blocked,"[203943, 1628976]",1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,,,,,,Carter Jr.,1628976.0,,,,,
56,PT06M39.00S,2022-10-22T23:18:49.9Z,1,REGULAR,block,,[],1628976,,,1610612738,14,15,2022-10-22T23:18:53Z,560000,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M39.00S,2022-10-22T23:18:49.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,14,15,2022-10-22T23:18:57Z,570000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M34.00S,2022-10-22T23:18:55.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630532,7.703679369250986,50.0,1610612753,14,15,2022-10-22T23:19:38Z,580000,0.0,20.0,1,left,MISS F. Wagner running pullup Shot,[1630532],1610612753.0,ORL,running pullup,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
59,PT06M32.00S,2022-10-22T23:18:57.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,15,2022-10-22T23:19:03Z,590000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT06M29.00S,2022-10-22T23:19:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.51182654402102,53.431372549019606,1610612738,14,17,2022-10-22T23:19:10Z,600000,17.0,8.0,1,right,J. Tatum running Layup (9 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.92,Made,,,,,9.0,,,,,,,,,,,,,
141,PT06M29.00S,2022-10-22T23:19:35.5Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,14,17,2022-10-22T23:32:39Z,605000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M29.00S,2022-10-22T23:20:11.0Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,14,17,2022-10-22T23:21:46Z,610000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M29.00S,2022-10-22T23:20:11.0Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,14,17,2022-10-22T23:21:46Z,620000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M29.00S,2022-10-22T23:20:11.0Z,1,REGULAR,substitution,in,[],1628964,,,1610612753,14,17,2022-10-22T23:21:46Z,630000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M29.00S,2022-10-22T23:20:11.0Z,1,REGULAR,substitution,in,[],1630284,,,1610612753,14,17,2022-10-22T23:21:46Z,640000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2022-10-22T23:22:13.8Z,1,REGULAR,2pt,Jump Shot,[],1628976,9.543363994743759,20.588235294117645,1610612753,16,17,2022-10-22T23:22:18Z,650000,147.0,37.0,1,left,W. Carter Jr. 15' pullup Jump Shot (2 PTS),[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,15.17,Made,,,,,2.0,,,,,,,,,,,,,
67,PT06M00.00S,2022-10-22T23:22:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,47.794117647058826,1610612738,16,17,2022-10-22T23:22:31Z,660000,-11.0,7.0,1,right,MISS J. Brown driving reverse Layup,[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.32,Missed,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-10-22T23:22:28.8Z,1,REGULAR,rebound,defensive,[],1630284,,,1610612753,16,17,2022-10-22T23:22:31Z,670000,,,0,,K. Harris REBOUND (Off:0 Def:1),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT05M48.00S,2022-10-22T23:22:38.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,15.850854139290407,40.68627450980392,1610612753,16,17,2022-10-22T23:22:44Z,680000,47.0,96.0,1,left,MISS W. Carter Jr. 10' driving Hook,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.72,Missed,,,,,,,,,,,,,,,,,,
70,PT05M46.00S,2022-10-22T23:22:40.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,17,2022-10-22T23:22:44Z,690000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT05M41.00S,2022-10-22T23:22:45.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,70.90998685939553,75.49019607843137,1610612738,16,20,2022-10-22T23:22:53Z,700000,127.0,221.0,1,right,J. Tatum 25' 3PT running (12 PTS) (J. Brown 3 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,12.0,,,,J. Brown,1627759.0,3.0,,,,,,,
73,PT05M24.00S,2022-10-22T23:23:01.5Z,1,REGULAR,3pt,Jump Shot,[],1630175,26.757555847568987,80.63725490196079,1610612753,19,20,2022-10-22T23:23:06Z,720000,-153.0,199.0,1,left,C. Anthony 25' 3PT  (7 PTS) (M. Bamba 1 AST),"[1630175, 1628964]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,25.11,Made,,,,,7.0,,,,M. Bamba,1628964.0,1.0,,,,,,,
75,PT05M07.00S,2022-10-22T23:23:18.9Z,1,REGULAR,3pt,Jump Shot,[],203935,67.7562417871222,35.78431372549019,1610612738,19,20,2022-10-22T23:23:24Z,740000,-71.0,251.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,,
76,PT05M05.00S,2022-10-22T23:23:20.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,19,20,2022-10-22T23:23:24Z,750000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,75.0,4.0,2.0,2.0,,,,,,,,,,,,,,
77,PT04M58.00S,2022-10-22T23:23:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630175,10.33180026281209,52.69607843137255,1610612753,19,20,2022-10-22T23:23:36Z,760000,-13.0,45.0,1,left,MISS C. Anthony running Layup,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,
78,PT04M56.00S,2022-10-22T23:23:30.2Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,19,20,2022-10-22T23:23:36Z,770000,,,0,,N. Vonleh REBOUND (Off:1 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,In The Paint (Non-RA),0-8 Center,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,
79,PT04M47.00S,2022-10-22T23:23:38.5Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,19,20,2022-10-22T23:23:44Z,780000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 203082]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Ross,203082.0,,,,,,,,,,
80,PT04M47.00S,2022-10-22T23:23:38.5Z,1,REGULAR,steal,,[],203082,,,1610612753,19,20,2022-10-22T23:23:40Z,790000,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT04M41.00S,2022-10-22T23:23:44.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630175,27.020367936925098,16.911764705882355,1610612753,19,20,2022-10-22T23:23:49Z,800000,165.0,201.0,1,left,MISS C. Anthony 26' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
82,PT04M38.00S,2022-10-22T23:23:47.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,19,20,2022-10-22T23:23:49Z,810000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,
