actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
32,PT09M14.00S,2023-02-26T00:14:06.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,24.917871222076215,84.31372549019608,1610612753,5,6,2023-02-26T00:14:13Z,310000,False,-172.0,182.0,1,left,MISS P. Banchero 24' step back 3PT,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2023-02-26T00:14:09.4Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,5,6,2023-02-26T00:14:13Z,320000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,
34,PT09M02.00S,2023-02-26T00:14:19.3Z,1,REGULAR,2pt,Jump Shot,[],1630174,95.6143232588699,68.38235294117648,1610612754,5,6,2023-02-26T00:14:23Z,330000,False,92.0,-11.0,1,right,MISS A. Nesmith 9' driving floating Shot,[1630174],1610612754.0,IND,driving floating,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,9.26,Missed,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2023-02-26T00:14:21.3Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,5,6,2023-02-26T00:14:23Z,340000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Mid-Range,8-16 Right,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M53.00S,2023-02-26T00:14:30.5Z,1,REGULAR,turnover,out-of-bounds,[],1628365,,,1610612753,5,6,2023-02-26T00:14:39Z,350000,False,,,0,,M. Fultz bad pass out-of-bounds TURNOVER (1 TO),[1628365],1610612753.0,ORL,bad pass,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Left,,,,,,,,1148.0,,,,,,,,1.0,,,,
37,PT08M40.00S,2023-02-26T00:14:46.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626167,85.49605781865965,49.01960784313725,1610612754,5,6,2023-02-26T00:14:51Z,360000,False,-5.0,84.0,1,right,MISS M. Turner 8' turnaround Hook,[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,8.39,Missed,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2023-02-26T00:14:49.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,6,2023-02-26T00:14:51Z,370000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,37.0,3.0,3.0,0.0,,,,,,,,,,,,,
39,PT08M31.00S,2023-02-26T00:14:57.0Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612753,5,6,2023-02-26T00:15:25Z,380000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1626167, 1628976]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,
41,PT08M31.00S,2023-02-26T00:15:40.1Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,5,6,2023-02-26T00:15:40Z,400000,False,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT08M31.00S,2023-02-26T00:15:40.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,5,6,2023-02-26T00:15:40Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,
43,PT08M31.00S,2023-02-26T00:16:02.9Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,6,6,2023-02-26T00:16:02Z,420000,False,,,0,,W. Carter Jr. Free Throw 2 of 2 (3 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
44,PT08M15.00S,2023-02-26T00:16:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,89.83245729303549,43.13725490196079,1610612754,6,6,2023-02-26T00:16:25Z,430000,False,-34.0,43.0,1,right,MISS T. Haliburton driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,,,,,,,,,,,,,,
45,PT08M12.00S,2023-02-26T00:16:21.5Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,6,6,2023-02-26T00:16:59Z,440000,False,,,0,,M. Fultz REBOUND (Off:1 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,
46,PT08M08.00S,2023-02-26T00:16:26.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,30.699737187910642,74.75490196078431,1610612753,6,6,2023-02-26T00:16:34Z,450000,False,-124.0,236.0,1,left,MISS W. Carter Jr. 26' 3PT - blocked,"[1628976, 1630169]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,26.66,Missed,,,,,,,,,,,,,,,Haliburton,1630169.0,,
47,PT08M08.00S,2023-02-26T00:16:26.1Z,1,REGULAR,block,,[],1630169,,,1610612753,6,6,2023-02-26T00:16:30Z,460000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2023-02-26T00:16:32.1Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,6,6,2023-02-26T00:16:34Z,470000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,46.0,4.0,3.0,1.0,,,,,,,,,,,,,
49,PT08M02.00S,2023-02-26T00:16:35.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203914,3.235873850197109,3.9215686274509802,1610612753,6,6,2023-02-26T00:16:41Z,480000,False,230.0,-22.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
50,PT08M02.00S,2023-02-26T00:16:39.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,6,6,2023-02-26T00:16:39Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Right Corner 3,24+ Right,,,,49.0,,,,,,,,,,,,,,,,
51,PT08M02.00S,2023-02-26T00:16:40.2Z,1,REGULAR,foul,personal,[],1629614,,,1610612753,6,6,2023-02-26T00:16:54Z,500000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1628976]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,1201.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,
53,PT07M52.00S,2023-02-26T00:17:00.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,30.17411300919842,69.85294117647058,1610612753,6,6,2023-02-26T00:17:06Z,520000,False,-99.0,231.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
54,PT07M47.00S,2023-02-26T00:17:05.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,6,6,2023-02-26T00:17:06Z,530000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M32.00S,2023-02-26T00:17:23.5Z,1,REGULAR,foul,personal,[],1628976,,,1610612754,6,6,2023-02-26T00:17:35Z,540000,False,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 1630169]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1201.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,
57,PT07M19.00S,2023-02-26T00:17:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,92.46057818659659,61.029411764705884,1610612754,6,6,2023-02-26T00:21:13Z,560000,False,55.0,18.0,1,right,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
58,PT07M17.00S,2023-02-26T00:17:52.7Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,6,6,2023-02-26T00:17:55Z,570000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,57.0,3.0,2.0,1.0,,,,,,,,,,,,,
59,PT07M17.00S,2023-02-26T00:17:55.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,6,6,2023-02-26T00:18:02Z,580000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,1201.0,,,,,,,,,,,,
76,PT07M07.00S,2023-02-26T00:18:07.7Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,6,6,2023-02-26T00:25:47Z,585000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,,
60,PT07M07.00S,2023-02-26T00:18:19.7Z,1,REGULAR,foul,personal,[],1628976,,,1610612754,6,6,2023-02-26T00:25:47Z,590000,False,,,0,,W. Carter Jr. loose ball personal FOUL (2 PF),"[1628976, 1626167]",1610612753.0,ORL,loose ball,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,101283.0,2.0,0.0,Turner,1626167.0,,,,,,,,
63,PT07M07.00S,2023-02-26T00:18:40.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,6,6,2023-02-26T00:25:47Z,620000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,,,,,,
64,PT06M54.00S,2023-02-26T00:18:49.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626167,91.80354796320631,48.77450980392157,1610612754,6,8,2023-02-26T00:26:50Z,630000,False,-6.0,25.0,1,right,M. Turner cutting DUNK (2 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,2.52,Made,2.0,,,,,,,,,,T. Haliburton,1630169.0,3.0,,,,,
66,PT06M48.00S,2023-02-26T00:18:55.6Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,6,8,2023-02-26T00:19:13Z,650000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1627741]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Hield,1627741.0
67,PT06M48.00S,2023-02-26T00:18:55.6Z,1,REGULAR,steal,,[],1627741,,,1610612754,6,8,2023-02-26T00:18:58Z,660000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2023-02-26T00:19:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,94.03745072273325,4.411764705882353,1610612754,6,8,2023-02-26T00:19:16Z,670000,False,-228.0,4.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
69,PT06M39.00S,2023-02-26T00:19:05.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,8,2023-02-26T00:19:05Z,680000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,68.0,5.0,4.0,1.0,,,,,,,,,,,,,
70,PT06M34.00S,2023-02-26T00:19:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,10.463206307490145,37.5,1610612753,8,8,2023-02-26T00:27:39Z,690000,False,62.0,46.0,1,left,M. Fultz 7' fadeaway Jump Shot (2 PTS),[1628365],1610612753.0,ORL,fadeaway,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,7.75,Made,2.0,,,,,,,,,,,,,,,,,
71,PT06M14.00S,2023-02-26T00:19:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,88.12417871222075,49.754901960784316,1610612754,8,10,2023-02-26T00:19:44Z,700000,False,-1.0,59.0,1,right,T. Haliburton driving floating Jump Shot (2 PTS),[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,2.0,,,,,,,,,,,,,,,,,
72,PT06M14.00S,2023-02-26T00:19:35.5Z,1,REGULAR,foul,personal,['1freethrow'],1628976,,,1610612754,8,10,2023-02-26T00:22:17Z,710000,False,,,0,,W. Carter Jr. shooting personal FOUL (3 PF) (Haliburton 1 FT),"[1628976, 1630169]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1148.0,3.0,0.0,Haliburton,1630169.0,,,,,,,,
74,PT06M14.00S,2023-02-26T00:19:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,8,10,2023-02-26T00:19:50Z,730000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2023-02-26T00:21:57.8Z,1,REGULAR,substitution,out,[],1631094,,,1610612754,8,10,2023-02-26T00:22:15Z,740000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M14.00S,2023-02-26T00:21:57.8Z,1,REGULAR,substitution,out,[],1628976,,,1610612754,8,10,2023-02-26T00:22:15Z,750000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2023-02-26T00:21:57.8Z,1,REGULAR,substitution,in,[],1629626,,,1610612754,8,10,2023-02-26T00:22:15Z,760000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M14.00S,2023-02-26T00:21:57.8Z,1,REGULAR,substitution,in,[],1629021,,,1610612754,8,10,2023-02-26T00:22:15Z,770000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2023-02-26T00:22:39.9Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,8,11,2023-02-26T00:22:39Z,780000,False,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2023-02-26T00:22:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.178055190538765,45.34313725490196,1610612753,10,11,2023-02-26T00:23:00Z,790000,False,23.0,15.0,1,left,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.77,Made,2.0,,,,,,,,,,,,,,,,,
83,PT05M50.00S,2023-02-26T00:23:06.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,78.9257555847569,94.11764705882352,1610612754,10,11,2023-02-26T00:23:12Z,800000,False,221.0,146.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,,
84,PT05M46.00S,2023-02-26T00:23:10.1Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,10,11,2023-02-26T00:23:12Z,810000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,
