actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
24,PT10M08.00S,2022-04-09T22:14:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.67214191852825,48.77450980392157,1610612763,4,2,2022-04-09T22:14:06Z,240000,-6.0,26.0,1,right,J. Morant driving finger roll Layup (2 PTS) (S. Adams 1 AST),"[1629630, 203500]",1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,,,,,Made,2.0,2.65,,,,,,S. Adams,203500.0,1.0,,,,,
26,PT09M53.00S,2022-04-09T22:14:20.0Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612740,4,2,2022-04-09T22:14:30Z,260000,,,0,,D. Bane shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[1630217, 1626195]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,200833.0,1.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,
28,PT09M53.00S,2022-04-09T22:14:44.9Z,1,REGULAR,freethrow,1 of 2,[],1626195,,,1610612740,4,2,2022-04-09T22:14:44Z,280000,,,0,,MISS W. Hernangomez Free Throw 1 of 2,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,Missed,,,,,,,,,,,,,,,
29,PT09M53.00S,2022-04-09T22:14:44.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,4,2,2022-04-09T22:14:44Z,290000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,
30,PT09M53.00S,2022-04-09T22:15:02.2Z,1,REGULAR,freethrow,2 of 2,[],1626195,,,1610612740,4,3,2022-04-09T22:15:02Z,300000,,,0,,W. Hernangomez Free Throw 2 of 2 (1 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
31,PT09M40.00S,2022-04-09T22:15:16.6Z,1,REGULAR,2pt,Jump Shot,[],1628415,81.42247043363994,30.14705882352941,1610612763,4,3,2022-04-09T22:15:19Z,310000,-99.0,122.0,1,right,MISS D. Brooks 15' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,,,,,,Missed,,15.74,,,,,,,,,,,,,
32,PT09M38.00S,2022-04-09T22:15:18.6Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,4,3,2022-04-09T22:15:19Z,320000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M32.00S,2022-04-09T22:15:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629637,30.699737187910642,65.68627450980392,1610612740,4,3,2022-04-09T22:15:29Z,330000,-78.0,236.0,1,left,MISS J. Hayes 24' 3PT,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,Missed,,24.88,,,,,,,,,,,,,
34,PT09M29.00S,2022-04-09T22:15:28.2Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,3,2022-04-09T22:15:29Z,340000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,
35,PT09M27.00S,2022-04-09T22:15:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,4,3,2022-04-09T22:15:35Z,350000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,200833.0,,,,,,,,,,,,1.0,,,,,,,,
36,PT09M12.00S,2022-04-09T22:15:52.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629637,6.389618922470433,48.03921568627451,1610612740,4,5,2022-04-09T22:16:00Z,360000,10.0,8.0,1,left,J. Hayes driving DUNK (2 PTS) (W. Hernangomez 1 AST),"[1629637, 1626195]",1610612740.0,NOP,driving,,,Hayes,J. Hayes,,,,,,,,,,Made,2.0,1.24,,,,,,W. Hernangomez,1626195.0,1.0,,,,,
38,PT08M46.00S,2022-04-09T22:16:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.72339027595268,47.794117647058826,1610612763,6,5,2022-04-09T22:16:22Z,380000,-11.0,16.0,1,right,J. Jackson Jr. driving finger roll Layup (4 PTS) (S. Adams 2 AST),"[1628991, 203500]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,4.0,1.93,,,,,,S. Adams,203500.0,2.0,,,,,
40,PT08M30.00S,2022-04-09T22:16:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,11.908672798948752,40.19607843137255,1610612740,6,5,2022-04-09T22:16:37Z,400000,49.0,59.0,1,left,MISS H. Jones 7' driving floating Shot - blocked,"[1630529, 1628991]",1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,,,,,,Missed,,7.7,,,,,,,,,Jackson Jr.,1628991.0,,,
41,PT08M30.00S,2022-04-09T22:16:34.6Z,1,REGULAR,block,,[],1628991,,,1610612740,6,5,2022-04-09T22:16:36Z,410000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2022-04-09T22:16:36.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,5,2022-04-09T22:16:37Z,420000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
43,PT08M23.00S,2022-04-09T22:16:42.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,91.80354796320631,4.166666666666666,1610612763,6,5,2022-04-09T22:16:49Z,430000,-229.0,25.0,1,right,MISS J. Morant step back 3PT,[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,,,,,,Missed,,23.05,,,,,,,,,,,,,
44,PT08M20.00S,2022-04-09T22:16:45.7Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,6,5,2022-04-09T22:16:49Z,440000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,
45,PT08M13.00S,2022-04-09T22:16:52.6Z,1,REGULAR,2pt,Jump Shot,[],203468,22.158344283837057,44.6078431372549,1610612740,6,5,2022-04-09T22:16:56Z,450000,27.0,156.0,1,left,MISS C. McCollum 15' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,,,,,,Missed,,15.81,,,,,,,,,,,,,
46,PT08M10.00S,2022-04-09T22:16:55.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,5,2022-04-09T22:17:10Z,460000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT08M09.00S,2022-04-09T22:16:57.5Z,1,REGULAR,foul,personal,[],203468,,,1610612763,6,5,2022-04-09T22:17:03Z,470000,,,0,,C. McCollum take personal FOUL (1 PF),"[203468, 1629630]",1610612740.0,NOP,take,,,McCollum,C. McCollum,,,,,1627964.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,,,,,,,
49,PT07M57.00S,2022-04-09T22:17:27.1Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,6,5,2022-04-09T22:17:30Z,490000,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1630529]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,1.0,,,,,,Jones,1630529.0,
50,PT07M57.00S,2022-04-09T22:17:27.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,6,5,2022-04-09T22:17:29Z,500000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M53.00S,2022-04-09T22:17:33.4Z,1,REGULAR,foul,personal,['3freethrow'],1629630,,,1610612740,6,5,2022-04-09T22:17:45Z,510000,,,0,,J. Morant shooting personal FOUL (1 PF) (Graham 3 FT),"[1629630, 1628984]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,201640.0,1.0,0.0,Graham,1628984.0,,,,,,,,,,,,,,,,
53,PT07M53.00S,2022-04-09T22:18:04.6Z,1,REGULAR,freethrow,1 of 3,"['fromturnover', 'fastbreak']",1628984,,,1610612740,6,6,2022-04-09T22:18:04Z,530000,,,0,,D. Graham Free Throw 1 of 3 (3 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
54,PT07M53.00S,2022-04-09T22:18:23.2Z,1,REGULAR,freethrow,2 of 3,"['fastbreak', 'fromturnover']",1628984,,,1610612740,6,7,2022-04-09T22:18:23Z,540000,,,0,,D. Graham Free Throw 2 of 3 (4 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
55,PT07M53.00S,2022-04-09T22:18:38.5Z,1,REGULAR,freethrow,3 of 3,"['fastbreak', 'fromturnover']",1628984,,,1610612740,6,7,2022-04-09T22:18:38Z,550000,,,0,,MISS D. Graham Free Throw 3 of 3,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Missed,,,,,,,,,,,,,,,
56,PT07M51.00S,2022-04-09T22:18:39.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,7,2022-04-09T22:18:39Z,560000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,
57,PT07M36.00S,2022-04-09T22:18:53.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,91.14651773981603,55.392156862745104,1610612763,6,7,2022-04-09T22:18:57Z,570000,27.0,31.0,1,right,MISS S. Adams driving Hook,[203500],1610612763.0,MEM,driving,,,Adams,S. Adams,,,,,,,,,,Missed,,4.09,,,,,,,,,,,,,
58,PT07M34.00S,2022-04-09T22:18:55.6Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,6,7,2022-04-09T22:18:57Z,580000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,
59,PT07M24.00S,2022-04-09T22:19:05.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628415,89.30683311432325,68.13725490196079,1610612763,8,7,2022-04-09T22:19:09Z,590000,91.0,48.0,1,right,D. Brooks 10' driving floating bank Jump Shot (2 PTS),[1628415],1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,,,,,,Made,2.0,10.26,,,,,,,,,,,,,
60,PT07M05.00S,2022-04-09T22:19:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,15.982260183968464,38.48039215686275,1610612740,8,9,2022-04-09T22:19:26Z,600000,58.0,98.0,1,left,C. McCollum 11' driving floating Jump Shot (2 PTS) (W. Hernangomez 2 AST),"[203468, 1626195]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,,,,,,Made,2.0,11.34,,,,,,W. Hernangomez,1626195.0,2.0,,,,,
61,PT06M47.00S,2022-04-09T22:19:42.0Z,1,REGULAR,3pt,Jump Shot,[],1628991,70.77858081471747,77.69607843137256,1610612763,11,9,2022-04-09T22:19:45Z,610000,138.0,222.0,1,right,J. Jackson Jr. 26' 3PT  (7 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,Made,7.0,26.18,,,,,,D. Brooks,1628415.0,1.0,,,,,
63,PT06M22.00S,2022-04-09T22:20:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629637,5.206964520367937,96.56862745098039,1610612740,11,9,2022-04-09T22:20:11Z,630000,-233.0,-4.0,1,left,MISS J. Hayes 3PT,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,Missed,,23.28,,,,,,,,,,,,,
64,PT06M18.00S,2022-04-09T22:20:12.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,11,9,2022-04-09T22:20:11Z,640000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,
65,PT06M07.00S,2022-04-09T22:20:22.2Z,1,REGULAR,2pt,Jump Shot,[],1629630,70.64717477003943,39.21568627450981,1610612763,11,9,2022-04-09T22:22:07Z,650000,-54.0,223.0,1,right,MISS J. Morant 22' step back Shot,[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,,,,,,Missed,,22.98,,,,,,,,,,,,,
66,PT06M05.00S,2022-04-09T22:20:24.2Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,11,9,2022-04-09T22:20:25Z,660000,,,0,,W. Hernangomez REBOUND (Off:0 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,
68,PT06M00.00S,2022-04-09T22:20:32.3Z,1,REGULAR,foul,offensive,[],1626195,,,1610612740,11,9,2022-04-09T22:20:38Z,680000,,,0,,W. Hernangomez offensive FOUL (1 PF),"[1626195, 1628415]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,1627964.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,,,,,
70,PT06M00.00S,2022-04-09T22:20:32.3Z,1,REGULAR,turnover,offensive foul,[],1626195,,,1610612740,11,9,2022-04-09T22:20:32Z,700000,,,0,,W. Hernangomez offensive foul TURNOVER (1 TO),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,1627964.0,,,,,,,,,,,,1.0,,,,,,,,
72,PT06M00.00S,2022-04-09T22:22:41.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,11,9,2022-04-09T22:22:41Z,710000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2022-04-09T22:22:54.1Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,11,9,2022-04-09T22:23:20Z,720000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M00.00S,2022-04-09T22:22:54.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,11,9,2022-04-09T22:23:20Z,730000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M00.00S,2022-04-09T22:22:54.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612763,11,9,2022-04-09T22:23:20Z,740000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2022-04-09T22:22:54.1Z,1,REGULAR,substitution,in,[],203937,,,1610612763,11,9,2022-04-09T22:23:20Z,750000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2022-04-09T22:23:46.8Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612763,11,9,2022-04-09T22:23:57Z,760000,,,0,,J. Hayes shooting personal FOUL (1 PF) (Morant 2 FT),"[1629637, 1629630]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,1627964.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,,,,,,,
79,PT05M50.00S,2022-04-09T22:24:09.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629630,,,1610612763,11,9,2022-04-09T22:24:09Z,780000,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Missed,,,,,,,,,,,,,,,
80,PT05M50.00S,2022-04-09T22:24:09.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,11,9,2022-04-09T22:24:09Z,790000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,
81,PT05M50.00S,2022-04-09T22:24:27.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629630,,,1610612763,12,9,2022-04-09T22:24:27Z,800000,,,0,,J. Morant Free Throw 2 of 2 (3 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
82,PT05M38.00S,2022-04-09T22:24:40.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629637,12.697109067017081,58.57843137254902,1610612740,12,9,2022-04-09T22:24:45Z,810000,-43.0,67.0,1,left,MISS J. Hayes 7' Hook,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,Missed,,7.95,,,,,,,,,,,,,
83,PT05M35.00S,2022-04-09T22:24:43.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,12,9,2022-04-09T22:24:45Z,820000,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,
84,PT05M23.00S,2022-04-09T22:24:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,90.48948751642575,50.0,1610612763,12,9,2022-04-09T22:25:00Z,830000,0.0,37.0,1,right,MISS J. Morant driving finger roll Layup,[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,,,,,Missed,,3.69,,,,,,,,,,,,,
85,PT05M22.00S,2022-04-09T22:24:55.9Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,12,9,2022-04-09T22:25:00Z,840000,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,84.0,2.0,1.0,1.0,,,,,,,,,
86,PT05M14.00S,2022-04-09T22:25:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629630,90.88370565045992,52.94117647058824,1610612763,12,9,2022-04-09T22:25:09Z,850000,15.0,33.0,1,right,MISS J. Morant driving finger roll Layup,[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,,,,,Missed,,3.63,,,,,,,,,,,,,
87,PT05M12.00S,2022-04-09T22:25:06.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,12,9,2022-04-09T22:25:06Z,860000,,,0,,S. Adams REBOUND (Off:2 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,86.0,5.0,3.0,2.0,,,,,,,,,
88,PT05M11.00S,2022-04-09T22:25:07.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203500,83.13074901445466,44.36274509803921,1610612763,14,9,2022-04-09T22:25:12Z,870000,-28.0,106.0,1,right,S. Adams 10' turnaround Hook (2 PTS),[203500],1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,,,,,,Made,2.0,10.98,,,,,,,,,,,,,
89,PT05M02.00S,2022-04-09T22:25:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629637,10.33180026281209,58.82352941176471,1610612740,14,11,2022-04-09T22:25:22Z,880000,-44.0,45.0,1,left,J. Hayes 6' turnaround bank Jump Shot (4 PTS) (D. Graham 1 AST),"[1629637, 1628984]",1610612740.0,NOP,turnaround bank,,,Hayes,J. Hayes,,,,,,,,,,Made,4.0,6.27,,,,,,D. Graham,1628984.0,1.0,,,,,
