actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT10M47.00S,2021-11-25T01:12:14.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,0,2021-11-25T01:12:17Z,150000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M37.00S,2021-11-25T01:12:23.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,87.33574244415243,3.6764705882352944,1610612761,2,3,2021-11-25T01:12:29Z,160000,-232.0,67.0,1,right,P. Siakam 24' 3PT  (3 PTS) (P. Achiuwa 1 AST),"[1627783, 1630173]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,24.1,Made,3.0,,,,,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,
18,PT10M31.00S,2021-11-25T01:12:31.9Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612763,2,3,2021-11-25T01:12:48Z,180000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Brooks 2 FT),"[1627783, 1628415]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,,,,,203591.0,1.0,0.0,Brooks,1628415.0,,,,,,
20,PT10M31.00S,2021-11-25T01:12:59.7Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,3,3,2021-11-25T01:12:59Z,200000,,,0,,D. Brooks Free Throw 1 of 2 (1 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2021-11-25T01:13:20.7Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,4,3,2021-11-25T01:13:20Z,210000,,,0,,D. Brooks Free Throw 2 of 2 (2 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2021-11-25T01:13:36.4Z,1,REGULAR,3pt,Jump Shot,[],1627832,76.5604467805519,87.5,1610612761,4,6,2021-11-25T01:13:43Z,220000,188.0,168.0,1,right,F. VanVleet 25' 3PT pullup (3 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.16,Made,3.0,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2021-11-25T01:13:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,9.937582128777924,49.754901960784316,1610612763,4,6,2021-11-25T01:14:03Z,230000,1.0,41.0,1,left,MISS J. Morant driving Layup - blocked,"[1629630, 1627832]",1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,4.09,Missed,,,,,,,,,,,,,,VanVleet,1627832.0,,,,
24,PT10M05.00S,2021-11-25T01:13:49.7Z,1,REGULAR,block,,[],1627832,,,1610612763,4,6,2021-11-25T01:13:52Z,240000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2021-11-25T01:13:49.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,4,6,2021-11-25T01:14:03Z,250000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2021-11-25T01:13:54.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,4,6,2021-11-25T01:13:54Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2021-11-25T01:14:03.2Z,1,REGULAR,2pt,Jump Shot,[],1629018,76.03482260183968,50.73529411764706,1610612761,4,8,2021-11-25T01:14:10Z,270000,4.0,173.0,1,right,G. Trent Jr. 17' pullup Jump Shot (2 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,17.28,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2021-11-25T01:14:18.7Z,1,REGULAR,foul,personal,[],1627832,,,1610612763,4,8,2021-11-25T01:14:27Z,280000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1629630]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,1148.0,1.0,0.0,Morant,1629630.0,,,,,,
30,PT09M39.00S,2021-11-25T01:14:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,5.995400788436268,52.450980392156865,1610612763,6,8,2021-11-25T01:14:51Z,300000,-12.0,4.0,1,left,J. Morant driving reverse Layup (2 PTS) (D. Brooks 1 AST),"[1629630, 1628415]",1610612763.0,MEM,driving reverse,,,Morant,J. Morant,,,,,1.29,Made,2.0,,,,,D. Brooks,1628415.0,1.0,,,,,,,,,,,
32,PT09M30.00S,2021-11-25T01:14:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,85.10183968462549,48.529411764705884,1610612761,6,10,2021-11-25T01:15:00Z,320000,-7.0,88.0,1,right,F. VanVleet 8' driving floating Jump Shot (5 PTS),[1627832],1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,8.78,Made,5.0,,,,,,,,,,,,,,,,,,
33,PT09M21.00S,2021-11-25T01:15:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628415,29.517082785808146,73.77450980392157,1610612763,6,10,2021-11-25T01:15:07Z,330000,-119.0,225.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2021-11-25T01:15:05.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,10,2021-11-25T01:15:07Z,340000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M14.00S,2021-11-25T01:15:09.2Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,6,10,2021-11-25T01:15:17Z,350000,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 1628991]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,1.0,Jackson Jr.,1628991.0,
36,PT09M14.00S,2021-11-25T01:15:09.2Z,1,REGULAR,steal,,[],1628991,,,1610612763,6,10,2021-11-25T01:15:11Z,360000,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2021-11-25T01:15:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,6,10,2021-11-25T01:15:22Z,370000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M00.00S,2021-11-25T01:18:20.6Z,1,REGULAR,foul,personal,[],1630173,,,1610612763,6,10,2021-11-25T01:18:31Z,380000,,,0,,P. Achiuwa personal FOUL (1 PF),"[1630173, 203500]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,203591.0,1.0,0.0,Adams,203500.0,,,,,,
40,PT08M55.00S,2021-11-25T01:18:47.3Z,1,REGULAR,turnover,traveling,[],1629630,,,1610612763,6,10,2021-11-25T01:19:04Z,400000,,,0,,J. Morant traveling TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,203591.0,,,,,,,1.0,,,
41,PT08M44.00S,2021-11-25T01:19:12.4Z,1,REGULAR,foul,personal,[],1630217,,,1610612761,6,10,2021-11-25T01:19:26Z,410000,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1629018]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,1148.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,
43,PT08M37.00S,2021-11-25T01:19:38.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,73.27529566360053,18.872549019607842,1610612761,6,10,2021-11-25T01:19:46Z,430000,-156.0,199.0,1,right,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2021-11-25T01:19:42.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,6,10,2021-11-25T01:19:46Z,440000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M28.00S,2021-11-25T01:19:50.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,6,10,2021-11-25T01:19:50Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M25.00S,2021-11-25T01:20:03.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628415,5.863994743758213,48.529411764705884,1610612763,8,10,2021-11-25T01:20:10Z,460000,7.0,3.0,1,left,D. Brooks cutting DUNK (4 PTS) (S. Adams 1 AST),"[1628415, 203500]",1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,0.78,Made,4.0,,,,,S. Adams,203500.0,1.0,,,,,,,,,,,
48,PT08M11.00S,2021-11-25T01:20:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,70.38436268068331,72.79411764705883,1610612761,8,10,2021-11-25T01:20:23Z,480000,114.0,226.0,1,right,MISS S. Barnes 25' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M08.00S,2021-11-25T01:20:19.2Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,8,10,2021-11-25T01:20:23Z,490000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M01.00S,2021-11-25T01:20:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,29.38567674113009,72.05882352941177,1610612763,11,10,2021-11-25T01:20:34Z,500000,-110.0,224.0,1,left,D. Bane 24' 3PT  (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.94,Made,3.0,,,,,J. Morant,1629630.0,1.0,,,,,,,,,,,
52,PT07M53.00S,2021-11-25T01:20:36.9Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612761,11,10,2021-11-25T01:20:50Z,520000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Siakam 2 FT),"[1628991, 1627783]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,1628480.0,1.0,0.0,Siakam,1627783.0,,,,,,
54,PT07M53.00S,2021-11-25T01:21:08.0Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,11,11,2021-11-25T01:21:08Z,540000,,,0,,P. Siakam Free Throw 1 of 2 (4 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
55,PT07M53.00S,2021-11-25T01:21:27.5Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,11,12,2021-11-25T01:21:27Z,550000,,,0,,P. Siakam Free Throw 2 of 2 (5 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
56,PT07M39.00S,2021-11-25T01:21:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.697109067017081,47.794117647058826,1610612763,13,12,2021-11-25T01:21:53Z,560000,11.0,67.0,1,left,J. Morant 6' floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,floating,,,Morant,J. Morant,,,,,6.78,Made,4.0,,,,,,,,,,,,,,,,,,
57,PT07M24.00S,2021-11-25T01:21:57.9Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,13,12,2021-11-25T01:22:03Z,570000,,,0,,S. Barnes bad pass TURNOVER (2 TO),"[1630567, 1629630]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,2.0,Morant,1629630.0,
58,PT07M24.00S,2021-11-25T01:21:57.9Z,1,REGULAR,steal,,[],1629630,,,1610612763,13,12,2021-11-25T01:21:59Z,580000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2021-11-25T01:22:11.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,9.411957950065702,51.9607843137255,1610612763,15,12,2021-11-25T01:22:17Z,590000,-10.0,36.0,1,left,J. Jackson Jr. driving finger roll Layup (4 PTS) (D. Brooks 2 AST),"[1628991, 1628415]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,3.73,Made,4.0,,,,,D. Brooks,1628415.0,2.0,,,,,,,,,,,
61,PT06M56.00S,2021-11-25T01:22:25.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,67.62483574244416,62.99019607843137,1610612761,15,12,2021-11-25T01:22:30Z,610000,65.0,252.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2021-11-25T01:22:28.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,15,12,2021-11-25T01:22:30Z,620000,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,
63,PT06M46.00S,2021-11-25T01:22:38.4Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612763,15,12,2021-11-25T01:22:46Z,630000,,,0,,P. Achiuwa shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[1630173, 1628991]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,1148.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,,
65,PT06M46.00S,2021-11-25T01:23:03.7Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,16,12,2021-11-25T01:23:03Z,650000,,,0,,J. Jackson Jr. Free Throw 1 of 2 (5 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
66,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,out,[],1628415,,,1610612763,16,12,2021-11-25T01:23:19Z,660000,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,out,[],1630173,,,1610612763,16,12,2021-11-25T01:23:19Z,670000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612763,16,12,2021-11-25T01:23:19Z,680000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,in,[],1630533,,,1610612763,16,12,2021-11-25T01:23:19Z,690000,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,in,[],1630625,,,1610612763,16,12,2021-11-25T01:23:19Z,700000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M46.00S,2021-11-25T01:23:04.5Z,1,REGULAR,substitution,in,[],1628449,,,1610612763,16,12,2021-11-25T01:23:19Z,710000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M46.00S,2021-11-25T01:23:30.0Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,17,12,2021-11-25T01:23:30Z,720000,,,0,,J. Jackson Jr. Free Throw 2 of 2 (6 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2021-11-25T01:23:49.2Z,1,REGULAR,foul,personal,[],1630533,,,1610612761,17,12,2021-11-25T01:24:02Z,730000,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1630625]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,203591.0,1.0,0.0,Banton,1630625.0,,,,,,
75,PT06M34.00S,2021-11-25T01:23:57.7Z,1,REGULAR,substitution,out,[],1628991,,,1610612761,17,12,2021-11-25T01:24:01Z,750000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M34.00S,2021-11-25T01:23:57.7Z,1,REGULAR,substitution,in,[],203937,,,1610612761,17,12,2021-11-25T01:24:01Z,760000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M25.00S,2021-11-25T01:24:17.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,96.40275952693824,95.58823529411765,1610612761,17,15,2021-11-25T01:24:29Z,770000,228.0,-19.0,1,right,F. VanVleet 3PT  (8 PTS) (D. Banton 1 AST),"[1627832, 1630625]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,22.87,Made,8.0,,,,,D. Banton,1630625.0,1.0,,,,,,,,,,,
79,PT06M00.00S,2021-11-25T01:24:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,18.74178712220762,60.5392156862745,1610612763,17,15,2021-11-25T01:24:48Z,790000,-53.0,124.0,1,left,MISS J. Morant 13' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,13.45,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M56.00S,2021-11-25T01:24:46.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,17,15,2021-11-25T01:24:48Z,800000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT05M56.00S,2021-11-25T01:24:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,5.590000152587891,50.0,1610612763,19,15,2021-11-25T01:24:46Z,810000,0.0,0.0,1,left,S. Adams tip Layup (2 PTS),[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
82,PT05M38.00S,2021-11-25T01:25:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630625,68.41327201051249,69.36274509803921,1610612761,19,15,2021-11-25T01:25:10Z,820000,97.0,244.0,1,right,MISS D. Banton 26' 3PT,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2021-11-25T01:25:07.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,19,15,2021-11-25T01:25:10Z,830000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
84,PT05M25.00S,2021-11-25T01:25:22.2Z,1,REGULAR,turnover,backcourt,[],1630217,,,1610612763,19,15,2021-11-25T01:29:06Z,840000,,,0,,D. Bane backcourt TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,1148.0,,,,,,,1.0,,,
85,PT05M25.00S,2021-11-25T01:25:28.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612761,19,15,2021-11-25T01:25:37Z,850000,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,,,,
86,PT05M18.00S,2021-11-25T01:26:03.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629018,85.62746386333771,68.13725490196079,1610612761,19,15,2021-11-25T01:26:11Z,860000,91.0,83.0,1,right,MISS G. Trent Jr. 12' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,12.27,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M15.00S,2021-11-25T01:26:06.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,19,15,2021-11-25T01:26:11Z,870000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,,,,,,
88,PT05M05.00S,2021-11-25T01:26:15.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629630,6.1268068331143235,49.01960784313725,1610612763,21,15,2021-11-25T01:26:21Z,880000,5.0,5.0,1,left,J. Morant driving DUNK (6 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,0.71,Made,6.0,,,,,,,,,,,,,,,,,,
89,PT04M55.00S,2021-11-25T01:26:24.5Z,1,REGULAR,3pt,Jump Shot,[],1628449,66.83639947437582,54.65686274509803,1610612761,21,15,2021-11-25T01:26:32Z,890000,23.0,259.0,1,right,MISS C. Boucher 26' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
