actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M30.00S,2021-11-11T01:12:20.9Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,6,3,2021-11-11T01:12:20Z,170000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M27.00S,2021-11-11T01:12:24.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,96.27135348226018,3.431372549019608,1610612766,6,6,2021-11-11T01:12:29Z,180000,-233.0,-17.0,1,right,L. Ball 3PT  (3 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,,,,23.35,Made,3.0,Ball,L. Ball,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
20,PT10M10.00S,2021-11-11T01:12:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,18.74178712220762,57.107843137254896,1610612763,6,6,2021-11-11T01:12:45Z,200000,-36.0,124.0,1,left,MISS D. Bane 12' turnaround Shot,[1630217],1610612763.0,MEM,turnaround,,,,,,12.87,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2021-11-11T01:12:42.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,6,6,2021-11-11T01:12:45Z,210000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,
22,PT10M02.00S,2021-11-11T01:12:48.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,14.273981603153747,40.44117647058824,1610612763,8,6,2021-11-11T01:12:51Z,220000,48.0,82.0,1,left,J. Morant 9' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,9.47,Made,4.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2021-11-11T01:12:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,90.75229960578186,50.98039215686274,1610612766,8,6,2021-11-11T01:13:04Z,230000,5.0,34.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,,,,3.47,Missed,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2021-11-11T01:13:01.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,8,6,2021-11-11T01:13:04Z,240000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,
25,PT09M44.00S,2021-11-11T01:13:06.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629630,13.222733245729303,50.98039215686274,1610612763,10,6,2021-11-11T01:13:10Z,250000,-5.0,72.0,1,left,J. Morant 7' driving floating Jump Shot (6 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,7.2,Made,6.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2021-11-11T01:13:21.9Z,1,REGULAR,foul,technical,['1freethrow'],203500,,,1610612766,10,6,2021-11-11T01:13:30Z,260000,,,0,,S. Adams defensive-3-second technical FOUL (1 Tech),[203500],1610612763.0,MEM,defensive-3-second,,,,,,,,,Adams,S. Adams,,,,,,,,1146.0,0.0,1.0,,,,,,,,
27,PT09M32.00S,2021-11-11T01:13:42.6Z,1,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,10,6,2021-11-11T01:13:42Z,270000,,,0,,MISS L. Ball technical Free Throw 1 of 1,[1630163],1610612766.0,CHA,technical,,,,,,,Missed,,Ball,L. Ball,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2021-11-11T01:13:42.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,10,6,2021-11-11T01:13:42Z,280000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,
30,PT09M26.00S,2021-11-11T01:13:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,69.99014454664915,21.568627450980394,1610612766,10,6,2021-11-11T01:14:03Z,290000,-142.0,230.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,,,,27.01,Missed,,Ball,L. Ball,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2021-11-11T01:14:01.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,10,6,2021-11-11T01:14:03Z,300000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,30.0,3.0,2.0,1.0,,,,,,,,,,,
32,PT09M08.00S,2021-11-11T01:14:16.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.882391590013142,32.59803921568628,1610612763,13,6,2021-11-11T01:14:22Z,310000,87.0,247.0,1,left,J. Morant 26' 3PT pullup (9 PTS),[1629630],1610612763.0,MEM,pullup,,,,,,26.21,Made,9.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
33,PT08M53.00S,2021-11-11T01:14:31.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.20170827858082,70.09803921568627,1610612766,13,9,2021-11-11T01:14:35Z,320000,100.0,237.0,1,right,M. Bridges 25' 3PT step back (3 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,step back,,,,,,25.74,Made,3.0,Bridges,M. Bridges,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
35,PT08M40.00S,2021-11-11T01:14:44.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,3.235873850197109,97.05882352941177,1610612763,16,9,2021-11-11T01:14:48Z,340000,-235.0,-22.0,1,left,J. Jackson Jr. 3PT  (5 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,,,,,,,23.63,Made,5.0,Jackson Jr.,J. Jackson Jr.,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,,
37,PT08M26.00S,2021-11-11T01:14:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,93.38042049934296,49.01960784313725,1610612766,16,9,2021-11-11T01:15:03Z,360000,-5.0,10.0,1,right,MISS T. Rozier cutting Layup,[1626179],1610612766.0,CHA,cutting,,,,,,1.09,Missed,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
38,PT08M23.00S,2021-11-11T01:15:01.6Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,16,9,2021-11-11T01:15:01Z,370000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,,,,,,,Melton,D. Melton,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,
39,PT08M20.00S,2021-11-11T01:15:04.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,32.40801576872536,38.72549019607843,1610612763,16,9,2021-11-11T01:15:09Z,380000,56.0,252.0,1,left,MISS D. Melton 25' running pullup 3PT,[1629001],1610612763.0,MEM,running pullup,,,,,,25.83,Missed,,Melton,D. Melton,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2021-11-11T01:15:07.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,16,9,2021-11-11T01:15:09Z,390000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,
41,PT08M05.00S,2021-11-11T01:15:19.7Z,1,REGULAR,3pt,Jump Shot,[],1626179,72.7496714848883,78.67647058823529,1610612766,16,12,2021-11-11T01:15:24Z,400000,143.0,204.0,1,right,T. Rozier 24' 3PT step back (3 PTS) (G. Hayward 1 AST),"[1626179, 202330]",1610612766.0,CHA,step back,,,,,,24.91,Made,3.0,Rozier,T. Rozier,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
43,PT07M45.00S,2021-11-11T01:15:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,13.091327201051248,42.8921568627451,1610612763,18,12,2021-11-11T01:15:43Z,420000,36.0,71.0,1,left,J. Morant 7' driving floating Jump Shot (11 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,7.9,Made,11.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
44,PT07M33.00S,2021-11-11T01:15:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,94.1688567674113,49.50980392156863,1610612766,18,14,2021-11-11T01:15:55Z,430000,-2.0,2.0,1,right,G. Hayward cutting finger roll Layup (5 PTS) (M. Plumlee 2 AST),"[202330, 203486]",1610612766.0,CHA,cutting finger roll,,,,,,0.34,Made,5.0,Hayward,G. Hayward,M. Plumlee,203486.0,2.0,,,,,,,,,,,,,,,
46,PT07M16.00S,2021-11-11T01:16:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,14.4053876478318,59.80392156862745,1610612763,20,14,2021-11-11T01:16:14Z,450000,-49.0,83.0,1,left,J. Morant 9' floating Jump Shot (13 PTS),[1629630],1610612763.0,MEM,floating,,,,,,9.63,Made,13.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
47,PT07M15.00S,2021-11-11T01:16:13.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,20,14,2021-11-11T01:16:13Z,460000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M15.00S,2021-11-11T01:17:58.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612766,20,14,2021-11-11T01:19:09Z,470000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
49,PT07M15.00S,2021-11-11T01:17:58.5Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,20,14,2021-11-11T01:19:09Z,480000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
50,PT07M15.00S,2021-11-11T01:17:58.5Z,1,REGULAR,substitution,in,[],203937,,,1610612766,20,14,2021-11-11T01:19:09Z,490000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,
51,PT07M15.00S,2021-11-11T01:17:58.5Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,20,14,2021-11-11T01:19:09Z,500000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2021-11-11T01:19:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203486,81.68528252299606,48.77450980392157,1610612766,20,16,2021-11-11T01:19:39Z,510000,-6.0,120.0,1,right,M. Plumlee 11' driving floating Jump Shot (2 PTS),[203486],1610612766.0,CHA,driving floating,,,,,,11.99,Made,2.0,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,
53,PT06M40.00S,2021-11-11T01:19:55.9Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,20,16,2021-11-11T01:19:59Z,520000,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 1628970]",1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,,,,,,,,1.0,Bridges,1628970.0,,,,,
54,PT06M40.00S,2021-11-11T01:19:55.9Z,1,REGULAR,steal,,[],1628970,,,1610612766,20,16,2021-11-11T01:22:12Z,530000,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
55,PT06M34.00S,2021-11-11T01:20:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628998,93.9060446780552,51.71568627450981,1610612766,20,18,2021-11-11T01:20:07Z,540000,9.0,5.0,1,right,C. Martin running finger roll Layup (2 PTS) (M. Bridges 1 AST),"[1628998, 1628970]",1610612766.0,CHA,running finger roll,,,,,,0.98,Made,2.0,Martin,C. Martin,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,,
57,PT06M12.00S,2021-11-11T01:20:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,11.383048620236531,95.83333333333334,1610612763,20,18,2021-11-11T01:20:31Z,560000,-229.0,55.0,1,left,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,,,,23.56,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
58,PT06M07.00S,2021-11-11T01:20:29.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,20,18,2021-11-11T01:20:31Z,570000,,,0,,S. Adams REBOUND (Off:2 Def:2),[203500],1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,57.0,4.0,2.0,2.0,,,,,,,,,,,
59,PT06M07.00S,2021-11-11T01:20:31.3Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612763,20,18,2021-11-11T01:21:34Z,580000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Adams 2 FT),"[203486, 203500]",1610612766.0,CHA,shooting,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,1146.0,1.0,0.0,,,,Adams,203500.0,,,
61,PT06M07.00S,2021-11-11T01:21:02.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203500,,,1610612763,21,18,2021-11-11T01:21:30Z,600000,,,0,,S. Adams Free Throw 1 of 2 (1 PTS),[203500],1610612763.0,MEM,,,,,,,,Made,1.0,Adams,S. Adams,,,,,,,,,,,,,,,,,,
64,PT06M07.00S,2021-11-11T01:21:02.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203500,,,1610612763,21,18,2021-11-11T01:21:30Z,605000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612763.0,MEM,,,,,,,,Missed,,Adams,S. Adams,,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2021-11-11T01:21:02.1Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612763,21,18,2021-11-11T01:21:30Z,607500,,,0,,D. Melton REBOUND (Off:1 Def:1),[1629001],1610612763.0,MEM,,,,,,,,,,Melton,D. Melton,,,,64.0,2.0,1.0,1.0,,,,,,,,,,,
62,PT06M07.00S,2021-11-11T01:21:02.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,21,18,2021-11-11T01:21:30Z,610000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
63,PT06M07.00S,2021-11-11T01:21:02.8Z,1,REGULAR,substitution,in,[],1628415,,,1610612763,21,18,2021-11-11T01:21:30Z,620000,,,0,,SUB in: D. Brooks,[1628415],1610612763.0,MEM,,,,,,,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,
66,PT05M54.00S,2021-11-11T01:21:39.6Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612763,21,18,2021-11-11T01:21:45Z,630000,,,0,,D. Brooks lost ball out-of-bounds TURNOVER (1 TO),[1628415],1610612763.0,MEM,lost ball,,,,,,,,,Brooks,D. Brooks,,,,,,,,202035.0,,,1.0,,,,,,,
67,PT05M45.00S,2021-11-11T01:21:53.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202330,92.85479632063075,50.73529411764706,1610612766,21,20,2021-11-11T01:21:57Z,640000,4.0,15.0,1,right,G. Hayward driving floating bank Jump Shot (7 PTS),[202330],1610612766.0,CHA,driving floating bank,,,,,,1.52,Made,7.0,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,
68,PT05M45.00S,2021-11-11T01:21:56.9Z,1,REGULAR,foul,personal,['1freethrow'],1628415,,,1610612766,21,20,2021-11-11T01:22:05Z,650000,,,0,,D. Brooks shooting personal FOUL (1 PF) (Hayward 1 FT),"[1628415, 202330]",1610612763.0,MEM,shooting,,,,,,,,,Brooks,D. Brooks,,,,,,,,202035.0,1.0,0.0,,,,Hayward,202330.0,,,
70,PT05M45.00S,2021-11-11T01:22:16.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202330,,,1610612766,21,21,2021-11-11T01:22:16Z,670000,,,0,,G. Hayward Free Throw 1 of 1 (8 PTS),[202330],1610612766.0,CHA,,,,,,,,Made,8.0,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,
71,PT05M35.00S,2021-11-11T01:22:27.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,30.699737187910642,26.47058823529412,1610612763,21,21,2021-11-11T01:22:34Z,680000,118.0,236.0,1,left,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,,,,26.38,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2021-11-11T01:22:28.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,21,21,2021-11-11T01:22:34Z,690000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,
73,PT05M34.00S,2021-11-11T01:22:34.8Z,1,REGULAR,foul,personal,[],203486,,,1610612763,21,21,2021-11-11T01:22:40Z,700000,,,0,,M. Plumlee loose ball personal FOUL (2 PF),"[203486, 203500]",1610612766.0,CHA,loose ball,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,202035.0,2.0,0.0,,,,Adams,203500.0,,,
75,PT05M34.00S,2021-11-11T01:22:48.8Z,1,REGULAR,substitution,out,[],203486,,,1610612763,21,21,2021-11-11T01:22:55Z,720000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2021-11-11T01:22:48.8Z,1,REGULAR,substitution,in,[],1630208,,,1610612763,21,21,2021-11-11T01:22:55Z,730000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,,,,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2021-11-11T01:23:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,8.492115637319317,44.6078431372549,1610612763,21,21,2021-11-11T01:23:19Z,740000,27.0,27.0,1,left,MISS D. Brooks driving finger roll Layup - blocked,"[1628415, 1630208]",1610612763.0,MEM,driving finger roll,,,,,,3.84,Missed,,Brooks,D. Brooks,,,,,,,,,,,,,,,,Richards,1630208.0,
78,PT05M23.00S,2021-11-11T01:23:12.2Z,1,REGULAR,block,,[],1630208,,,1610612763,21,21,2021-11-11T01:23:15Z,750000,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,,,,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,
79,PT05M21.00S,2021-11-11T01:23:14.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,21,21,2021-11-11T01:23:19Z,760000,,,0,,S. Adams REBOUND (Off:3 Def:2),[203500],1610612763.0,MEM,,,,,,,,,,Adams,S. Adams,,,,77.0,5.0,2.0,3.0,,,,,,,,,,,
80,PT05M21.00S,2021-11-11T01:23:18.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,7.703679369250986,48.529411764705884,1610612763,23,21,2021-11-11T01:23:22Z,770000,7.0,20.0,1,left,S. Adams putback Layup (3 PTS),[203500],1610612763.0,MEM,putback,,,,,,2.12,Made,3.0,Adams,S. Adams,,,,,,,,,,,,,,,,,,
81,PT05M21.00S,2021-11-11T01:23:20.4Z,1,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612763,23,21,2021-11-11T01:23:25Z,780000,,,0,,N. Richards shooting personal FOUL (1 PF) (Adams 1 FT),"[1630208, 203500]",1610612766.0,CHA,shooting,,,,,,,,,Richards,N. Richards,,,,,,,,1146.0,1.0,0.0,,,,Adams,203500.0,,,
83,PT05M21.00S,2021-11-11T01:23:42.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203500,,,1610612763,23,21,2021-11-11T01:23:42Z,800000,,,0,,MISS S. Adams Free Throw 1 of 1,[203500],1610612763.0,MEM,,,,,,,,Missed,,Adams,S. Adams,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2021-11-11T01:23:43.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,23,21,2021-11-11T01:23:43Z,810000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,,,,,,,Hayward,G. Hayward,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,
85,PT05M11.00S,2021-11-11T01:23:55.7Z,1,REGULAR,violation,kicked ball,[],1628415,,,1610612766,23,21,2021-11-11T01:23:59Z,820000,,,0,,D. Brooks kicked ball VIOLATION,[1628415],1610612763.0,MEM,,,,,,,,,,Brooks,D. Brooks,,,,,,,,2002.0,,,,,,,,,,
86,PT05M11.00S,2021-11-11T01:24:00.4Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,23,21,2021-11-11T01:24:04Z,830000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
87,PT05M11.00S,2021-11-11T01:24:00.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,23,21,2021-11-11T01:24:04Z,840000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
88,PT05M03.00S,2021-11-11T01:24:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630208,80.23981603153744,49.50980392156863,1610612766,23,23,2021-11-11T01:24:21Z,850000,-2.0,133.0,1,right,N. Richards 13' pullup Jump Shot (2 PTS),[1630208],1610612766.0,CHA,pullup,,,,,,13.32,Made,2.0,Richards,N. Richards,,,,,,,,,,,,,,,,,,
89,PT04M52.00S,2021-11-11T01:24:28.8Z,1,REGULAR,3pt,Jump Shot,[],1629630,30.699737187910642,64.95098039215686,1610612763,23,23,2021-11-11T01:24:32Z,860000,-75.0,236.0,1,left,MISS J. Morant 24' 3PT,[1629630],1610612763.0,MEM,,,,,,,24.77,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
