actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT10M58.00S,2022-01-01T01:11:31.8Z,1,REGULAR,foul,personal,['1freethrow'],203926,,,1610612763,4,0,2022-01-01T01:11:56Z,150000,,,0,,D. McDermott shooting personal FOUL (1 PF) (Adams 1 FT),"[203926, 203500]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,,,,,,,,1201.0,1.0,0.0,Adams,203500.0,,,,,,,,,
17,PT10M58.00S,2022-01-01T01:12:01.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203500,,,1610612763,4,0,2022-01-01T01:12:01Z,170000,,,0,,MISS S. Adams Free Throw 1 of 1,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M56.00S,2022-01-01T01:12:02.4Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,4,0,2022-01-01T01:12:02Z,180000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M46.00S,2022-01-01T01:12:10.9Z,1,REGULAR,3pt,Jump Shot,[],1629640,66.44218134034165,48.28431372549019,1610612759,4,0,2022-01-01T01:12:14Z,190000,-9.0,263.0,1,right,MISS K. Johnson 26' pullup 3PT,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M44.00S,2022-01-01T01:12:12.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,0,2022-01-01T01:12:14Z,200000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT10M43.00S,2022-01-01T01:12:16.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628991,7.440867279894875,47.30392156862745,1610612763,4,0,2022-01-01T01:16:33Z,205000,13.0,17.0,1,left,MISS J. Jackson Jr. running Layup - blocked,"[1628991, 1628401]",1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,2.2,Missed,,,,,,,,,,,White,1628401.0,,,,,,,
40,PT10M43.00S,2022-01-01T01:12:16.3Z,1,REGULAR,block,,[],1628401,,,1610612763,4,0,2022-01-01T01:16:27Z,207500,,,0,,D. White BLOCK (1 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT10M41.00S,2022-01-01T01:12:18.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,4,0,2022-01-01T01:16:33Z,208750,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2022-01-01T01:12:21.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,4,0,2022-01-01T01:12:21Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2022-01-01T01:12:41.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629630,11.514454664914586,30.14705882352941,1610612763,4,0,2022-01-01T01:16:27Z,220000,99.0,56.0,1,left,MISS J. Morant 11' fadeaway Shot,[1629630],1610612763.0,MEM,fadeaway,,,Morant,J. Morant,,,,,11.39,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2022-01-01T01:12:44.5Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,4,0,2022-01-01T01:12:45Z,230000,,,0,,S. Adams REBOUND (Off:2 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,22.0,3.0,1.0,2.0,,,,,,,,,,,,,,
24,PT10M24.00S,2022-01-01T01:12:47.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,32.53942181340342,26.225490196078432,1610612763,7,0,2022-01-01T01:12:51Z,240000,119.0,253.0,1,left,J. Jackson Jr. 27' 3PT  (3 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,27.99,Made,3.0,,,,,,,,,,,,S. Adams,203500.0,1.0,,,,
26,PT10M10.00S,2022-01-01T01:13:01.1Z,1,REGULAR,3pt,Jump Shot,[],1629640,68.67608409986859,65.19607843137256,1610612759,7,0,2022-01-01T01:13:07Z,260000,76.0,242.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-01-01T01:13:06.6Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,7,0,2022-01-01T01:13:06Z,270000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT10M02.00S,2022-01-01T01:13:10.4Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612759,7,0,2022-01-01T01:13:19Z,280000,,,0,,S. Adams shooting personal FOUL (1 PF) (Poeltl 2 FT),"[203500, 1627751]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,,1201.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
30,PT10M02.00S,2022-01-01T01:13:38.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,7,0,2022-01-01T01:13:38Z,300000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
31,PT10M02.00S,2022-01-01T01:13:38.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,7,0,2022-01-01T01:13:38Z,310000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
32,PT10M02.00S,2022-01-01T01:13:58.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,7,0,2022-01-01T01:13:58Z,320000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT10M00.00S,2022-01-01T01:13:59.7Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,7,0,2022-01-01T01:13:59Z,330000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M55.00S,2022-01-01T01:14:04.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,31.09395532194481,31.372549019607842,1610612763,7,0,2022-01-01T01:14:12Z,340000,93.0,240.0,1,left,MISS D. Bane 25' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M51.00S,2022-01-01T01:14:08.5Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,7,0,2022-01-01T01:14:08Z,350000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,
36,PT09M43.00S,2022-01-01T01:14:16.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,16.245072273324574,54.166666666666664,1610612763,9,0,2022-01-01T01:14:21Z,360000,-21.0,100.0,1,left,J. Morant 10' driving floating Jump Shot (2 PTS) (D. Bane 1 AST),"[1629630, 1630217]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,10.23,Made,2.0,,,,,,,,,,,,D. Bane,1630217.0,1.0,,,,
38,PT09M42.00S,2022-01-01T01:14:20.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,9,0,2022-01-01T01:14:20Z,380000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M30.00S,2022-01-01T01:17:24.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,72.35545335085413,80.3921568627451,1610612759,9,3,2022-01-01T01:17:28Z,390000,152.0,207.0,1,right,D. White 25' 3PT  (3 PTS) (K. Johnson 1 AST),"[1628401, 1629640]",1610612759.0,SAS,,,,White,D. White,,,,,25.71,Made,3.0,,,,,,,,,,,,K. Johnson,1629640.0,1.0,,,,
44,PT09M13.00S,2022-01-01T01:17:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,10.726018396846255,45.34313725490196,1610612763,9,3,2022-01-01T01:17:44Z,410000,23.0,48.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,5.36,Missed,,,,,,,,,,,,,,,,,,,
45,PT09M11.00S,2022-01-01T01:17:42.1Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,9,3,2022-01-01T01:17:44Z,420000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,,
46,PT09M02.00S,2022-01-01T01:17:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.03745072273325,51.225490196078425,1610612759,9,5,2022-01-01T01:17:54Z,430000,6.0,4.0,1,right,J. Poeltl cutting finger roll Layup (2 PTS) (D. White 1 AST),"[1627751, 1628401]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,0.7,Made,2.0,,,,,,,,,,,,D. White,1628401.0,1.0,,,,
48,PT08M55.00S,2022-01-01T01:17:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,5.469776609724048,49.01960784313725,1610612763,11,5,2022-01-01T01:18:03Z,450000,5.0,-1.0,1,left,S. Adams running Layup (6 PTS) (J. Morant 1 AST),"[203500, 1629630]",1610612763.0,MEM,running,,,Adams,S. Adams,,,,,0.5,Made,6.0,,,,,,,,,,,,J. Morant,1629630.0,1.0,,,,
50,PT08M42.00S,2022-01-01T01:18:11.9Z,1,REGULAR,2pt,Jump Shot,[],1628966,86.81011826544021,8.57843137254902,1610612759,11,5,2022-01-01T01:18:18Z,470000,-207.0,71.0,1,right,MISS K. Bates-Diop 21' Jump Shot,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,21.91,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M42.00S,2022-01-01T01:18:13.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,11,5,2022-01-01T01:18:13Z,480000,,,0,,J. Poeltl REBOUND (Off:2 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,50.0,2.0,0.0,2.0,,,,,,,,,,,,,,
52,PT08M42.00S,2022-01-01T01:18:15.5Z,1,REGULAR,foul,personal,['2freethrow'],203937,,,1610612759,11,5,2022-01-01T01:18:24Z,490000,,,0,,K. Anderson shooting personal FOUL (1 PF) (Poeltl 2 FT),"[203937, 1627751]",1610612763.0,MEM,shooting,,,Anderson,K. Anderson,,,,,,,,,,,,1151.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
54,PT08M42.00S,2022-01-01T01:18:39.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,11,5,2022-01-01T01:18:39Z,510000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
55,PT08M42.00S,2022-01-01T01:18:39.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,11,5,2022-01-01T01:18:39Z,520000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
56,PT08M42.00S,2022-01-01T01:18:53.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,11,6,2022-01-01T01:18:53Z,530000,,,0,,J. Poeltl Free Throw 2 of 2 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
57,PT08M27.00S,2022-01-01T01:19:13.0Z,1,REGULAR,3pt,Jump Shot,[],203937,29.25427069645204,73.2843137254902,1610612763,11,6,2022-01-01T01:19:16Z,540000,-116.0,222.0,1,left,MISS K. Anderson 25' 3PT,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
58,PT08M23.00S,2022-01-01T01:19:17.0Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,11,6,2022-01-01T01:19:16Z,550000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:3),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,,,
59,PT08M08.00S,2022-01-01T01:19:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.72339027595268,53.18627450980392,1610612759,11,8,2022-01-01T01:19:34Z,560000,16.0,16.0,1,right,J. Poeltl cutting Layup (5 PTS) (D. White 2 AST),"[1627751, 1628401]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,2.25,Made,5.0,,,,,,,,,,,,D. White,1628401.0,2.0,,,,
61,PT07M44.00S,2022-01-01T01:19:55.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,17.427726675427067,51.71568627450981,1610612763,11,8,2022-01-01T01:19:59Z,580000,-9.0,111.0,1,left,MISS J. Morant 11' fadeaway Shot - blocked,"[1629630, 1628966]",1610612763.0,MEM,fadeaway,,,Morant,J. Morant,,,,,11.16,Missed,,,,,,,,,,,Bates-Diop,1628966.0,,,,,,,
62,PT07M44.00S,2022-01-01T01:19:55.2Z,1,REGULAR,block,,[],1628966,,,1610612763,11,8,2022-01-01T01:19:58Z,590000,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M41.00S,2022-01-01T01:19:58.2Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,11,8,2022-01-01T01:19:59Z,600000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:4),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,61.0,5.0,4.0,1.0,,,,,,,,,,,,,,
64,PT07M39.00S,2022-01-01T01:20:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629640,94.30026281208936,50.98039215686274,1610612759,11,8,2022-01-01T01:20:04Z,610000,5.0,1.0,1,right,MISS K. Johnson running finger roll Layup,[1629640],1610612759.0,SAS,running finger roll,,,Johnson,K. Johnson,,,,,0.5,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M34.00S,2022-01-01T01:20:05.2Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,11,8,2022-01-01T01:20:04Z,620000,,,0,,K. Bates-Diop REBOUND (Off:2 Def:4),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,64.0,6.0,4.0,2.0,,,,,,,,,,,,,,
66,PT07M34.00S,2022-01-01T01:20:04.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628966,94.40999984741211,50.0,1610612759,11,10,2022-01-01T01:20:06Z,630000,0.0,0.0,1,right,K. Bates-Diop tip Layup (2 PTS),[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
67,PT07M30.00S,2022-01-01T01:20:09.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,29.517082785808146,75.98039215686273,1610612763,11,10,2022-01-01T01:20:17Z,640000,-130.0,225.0,1,left,MISS D. Bane 25' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
68,PT07M29.00S,2022-01-01T01:20:10.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,11,10,2022-01-01T01:20:17Z,650000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
69,PT07M29.00S,2022-01-01T01:20:19.1Z,1,REGULAR,foul,personal,[],1628991,,,1610612759,11,10,2022-01-01T01:24:52Z,660000,,,0,,J. Jackson Jr. loose ball personal FOUL (1 PF),"[1628991, 1628966]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,1201.0,1.0,0.0,Bates-Diop,1628966.0,,,,,,,,,
71,PT07M15.00S,2022-01-01T01:20:43.5Z,1,REGULAR,3pt,Jump Shot,[],203926,68.54467805519053,68.38235294117648,1610612759,11,13,2022-01-01T01:20:47Z,680000,92.0,243.0,1,right,D. McDermott 26' 3PT  (3 PTS) (K. Johnson 2 AST),"[203926, 1629640]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,26.0,Made,3.0,,,,,,,,,,,,K. Johnson,1629640.0,2.0,,,,
73,PT06M51.00S,2022-01-01T01:21:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.09395532194481,65.93137254901961,1610612763,14,13,2022-01-01T01:21:11Z,700000,-80.0,240.0,1,left,J. Morant 25' 3PT pullup (5 PTS) (D. Bane 2 AST),"[1629630, 1630217]",1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,25.27,Made,5.0,,,,,,,,,,,,D. Bane,1630217.0,2.0,,,,
75,PT06M41.00S,2022-01-01T01:21:20.5Z,1,REGULAR,turnover,out-of-bounds,[],203926,,,1610612759,14,13,2022-01-01T01:21:26Z,720000,,,0,,D. McDermott step out-of-bounds TURNOVER (1 TO),[203926],1610612759.0,SAS,step,,,McDermott,D. McDermott,,,,,,,,,,,,1628485.0,,,,,,,,,,1.0,,,
76,PT06M41.00S,2022-01-01T01:21:23.0Z,1,REGULAR,substitution,out,[],203937,,,1610612763,14,13,2022-01-01T01:21:28Z,730000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M41.00S,2022-01-01T01:21:23.0Z,1,REGULAR,substitution,in,[],1629681,,,1610612763,14,13,2022-01-01T01:21:28Z,740000,,,0,,SUB in: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2022-01-01T01:21:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,11.645860709592641,39.705882352941174,1610612763,14,13,2022-01-01T01:21:56Z,750000,51.0,57.0,1,left,MISS J. Jackson Jr. 7' driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,7.68,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M22.00S,2022-01-01T01:21:55.7Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,14,13,2022-01-01T01:21:56Z,760000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M17.00S,2022-01-01T01:22:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,92.9862023653088,52.20588235294118,1610612759,14,15,2022-01-01T01:22:04Z,770000,11.0,13.0,1,right,D. White running finger roll Layup (5 PTS),[1628401],1610612759.0,SAS,running finger roll,,,White,D. White,,,,,1.73,Made,5.0,,,,,,,,,,,,,,,,,,
81,PT05M59.00S,2022-01-01T01:22:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,5.995400788436268,48.77450980392157,1610612763,16,15,2022-01-01T01:22:26Z,780000,6.0,4.0,1,left,D. Bane driving reverse Layup (2 PTS) (S. Adams 2 AST),"[1630217, 203500]",1610612763.0,MEM,driving reverse,,,Bane,D. Bane,,,,,0.72,Made,2.0,,,,,,,,,,,,S. Adams,203500.0,2.0,,,,
83,PT05M46.00S,2022-01-01T01:22:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,84.05059132720105,48.03921568627451,1610612759,16,15,2022-01-01T01:22:36Z,800000,-10.0,97.0,1,right,MISS K. Johnson 9' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,9.79,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M45.00S,2022-01-01T01:22:33.2Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,16,15,2022-01-01T01:22:33Z,810000,,,0,,J. Poeltl REBOUND (Off:3 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,83.0,3.0,0.0,3.0,,,,,,,,,,,,,,
85,PT05M43.00S,2022-01-01T01:22:34.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627751,81.42247043363994,36.76470588235294,1610612759,16,15,2022-01-01T01:22:39Z,820000,-66.0,122.0,1,right,MISS J. Poeltl 13' Jump Shot,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,13.89,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M43.00S,2022-01-01T01:22:34.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,16,15,2022-01-01T01:22:39Z,830000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
87,PT05M36.00S,2022-01-01T01:22:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,8.09789750328515,45.34313725490196,1610612763,18,15,2022-01-01T01:22:46Z,840000,23.0,24.0,1,left,J. Morant running Layup (7 PTS),[1629630],1610612763.0,MEM,running,,,Morant,J. Morant,,,,,3.32,Made,7.0,,,,,,,,,,,,,,,,,,
