actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT11M01.00S,2022-03-29T00:12:48.1Z,1,REGULAR,freethrow,3 of 3,[],1629673,,,1610612744,0,5,2022-03-29T00:12:48Z,170000,,,0,,J. Poole Free Throw 3 of 3 (3 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
18,PT10M46.00S,2022-03-29T00:13:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,13.61695137976347,48.529411764705884,1610612763,0,5,2022-03-29T00:13:06Z,180000,7.0,75.0,1,left,MISS T. Jones 7' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,7.59,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2022-03-29T00:13:05.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,5,2022-03-29T00:13:06Z,190000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M35.00S,2022-03-29T00:13:18.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,5,2022-03-29T00:13:18Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M32.00S,2022-03-29T00:13:56.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,0,5,2022-03-29T00:13:56Z,230000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2022-03-29T00:14:17.9Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612744,0,5,2022-03-29T00:16:35Z,250000,,,0,,,[],1610612763.0,MEM,overturned,,,,,,,,,,,,,,,,,,,2004.0,,,,,No Foul on D. Brooks,,,,,
26,PT10M22.00S,2022-03-29T00:17:46.9Z,1,REGULAR,3pt,Jump Shot,[],203952,68.41327201051249,31.372549019607842,1610612744,0,5,2022-03-29T00:17:59Z,260000,-93.0,244.0,1,right,MISS A. Wiggins 26' step back 3PT,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,26.15,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M22.00S,2022-03-29T00:17:46.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,5,2022-03-29T00:17:59Z,270000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
28,PT10M22.00S,2022-03-29T00:17:50.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,0,5,2022-03-29T00:18:05Z,280000,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,2004.0,,,,,,,,,,
29,PT10M15.00S,2022-03-29T00:18:09.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,5,2022-03-29T00:18:09Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M07.00S,2022-03-29T00:18:30.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630217,18.347568988173457,48.03921568627451,1610612763,0,5,2022-03-29T00:18:34Z,300000,10.0,120.0,1,left,MISS D. Bane 12' pullup Shot - blocked,"[1630217, 1627780]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,12.04,Missed,,,,,,,,,,,,,,,Payton II,1627780.0,,,
31,PT10M07.00S,2022-03-29T00:18:30.9Z,1,REGULAR,block,,[],1627780,,,1610612763,0,5,2022-03-29T00:18:33Z,310000,,,0,,G. Payton II BLOCK (1 BLK),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT10M04.00S,2022-03-29T00:18:33.9Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,5,2022-03-29T00:18:34Z,320000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
33,PT10M03.00S,2022-03-29T00:18:35.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",203500,13.485545335085414,49.01960784313725,1610612763,0,5,2022-03-29T00:18:38Z,330000,5.0,74.0,1,left,MISS S. Adams 7' turnaround Hook,[203500],1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,7.45,Missed,,,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2022-03-29T00:18:37.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,5,2022-03-29T00:18:38Z,340000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
35,PT09M52.00S,2022-03-29T00:18:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,94.43166885676742,51.71568627450981,1610612744,0,5,2022-03-29T00:18:55Z,350000,9.0,0.0,1,right,MISS J. Poole cutting finger roll Layup,[1629673],1610612744.0,GSW,cutting finger roll,,,Poole,J. Poole,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M48.00S,2022-03-29T00:18:54.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,0,5,2022-03-29T00:18:54Z,360000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,
37,PT09M48.00S,2022-03-29T00:18:56.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,5,2022-03-29T00:18:56Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M36.00S,2022-03-29T00:19:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,9.149145860709593,54.65686274509803,1610612763,2,5,2022-03-29T00:19:16Z,380000,-23.0,34.0,1,left,K. Anderson driving floating Jump Shot (2 PTS) (T. Jones 1 AST),"[203937, 1626145]",1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,4.08,Made,,,,,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,,
40,PT09M13.00S,2022-03-29T00:19:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,91.14651773981603,38.72549019607843,1610612744,2,5,2022-03-29T00:20:52Z,400000,-56.0,31.0,1,right,MISS J. Kuminga 6' fadeaway Shot - blocked,"[1630228, 203937]",1610612744.0,GSW,fadeaway,,,Kuminga,J. Kuminga,,,,,6.42,Missed,,,,,,,,,,,,,,,Anderson,203937.0,,,
41,PT09M13.00S,2022-03-29T00:19:35.7Z,1,REGULAR,block,,[],203937,,,1610612744,2,5,2022-03-29T00:19:38Z,410000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M10.00S,2022-03-29T00:19:38.7Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,2,5,2022-03-29T00:26:45Z,420000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
43,PT09M07.00S,2022-03-29T00:19:44.1Z,1,REGULAR,foul,personal,[],1627780,,,1610612763,2,5,2022-03-29T00:19:48Z,430000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1626145]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,202035.0,1.0,0.0,Jones,1626145.0,,,,,,
45,PT09M01.00S,2022-03-29T00:20:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,13.091327201051248,61.274509803921575,1610612763,2,5,2022-03-29T00:20:10Z,450000,-56.0,71.0,1,left,MISS T. Jones 9' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,9.04,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M56.00S,2022-03-29T00:20:11.6Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,2,5,2022-03-29T00:20:10Z,460000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M55.00S,2022-03-29T00:20:18.4Z,1,REGULAR,foul,personal,[],1628415,,,1610612744,2,5,2022-03-29T00:20:22Z,470000,,,0,,D. Brooks personal FOUL (2 PF),"[1628415, 1627780]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,1155.0,2.0,0.0,Payton II,1627780.0,,,,,,
49,PT08M55.00S,2022-03-29T00:20:28.7Z,1,REGULAR,substitution,out,[],1628415,,,1610612744,2,5,2022-03-29T00:20:38Z,490000,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M55.00S,2022-03-29T00:20:28.7Z,1,REGULAR,substitution,in,[],1630533,,,1610612744,2,5,2022-03-29T00:20:38Z,500000,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M50.00S,2022-03-29T00:20:54.6Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,2,5,2022-03-29T00:20:58Z,510000,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 203500]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,1.0,Adams,203500.0
52,PT08M50.00S,2022-03-29T00:20:54.6Z,1,REGULAR,steal,,[],203500,,,1610612763,2,5,2022-03-29T00:20:56Z,520000,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M43.00S,2022-03-29T00:21:01.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203937,14.14257555847569,4.166666666666666,1610612763,2,5,2022-03-29T00:21:06Z,530000,229.0,80.0,1,left,MISS K. Anderson 24' step back 3PT,[203937],1610612763.0,MEM,step back,,,Anderson,K. Anderson,,,,,24.29,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M38.00S,2022-03-29T00:21:06.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,2,5,2022-03-29T00:21:06Z,540000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
55,PT08M27.00S,2022-03-29T00:21:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,94.1688567674113,49.01960784313725,1610612744,2,7,2022-03-29T00:21:22Z,550000,-5.0,2.0,1,right,G. Payton II cutting finger roll Layup (2 PTS) (J. Poole 1 AST),"[1627780, 1629673]",1610612744.0,GSW,cutting finger roll,,,Payton II,G. Payton II,,,,,0.54,Made,,,,,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,
57,PT08M03.00S,2022-03-29T00:21:41.9Z,1,REGULAR,3pt,Jump Shot,[],1626145,10.068988173455978,94.85294117647058,1610612763,2,7,2022-03-29T00:21:47Z,570000,-224.0,42.0,1,left,MISS T. Jones 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
58,PT08M03.00S,2022-03-29T00:21:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,7,2022-03-29T00:21:47Z,580000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,
59,PT08M03.00S,2022-03-29T00:21:47.2Z,1,REGULAR,foul,personal,[],1626172,,,1610612763,2,7,2022-03-29T00:21:53Z,590000,,,0,,K. Looney loose ball personal FOUL (1 PF),"[1626172, 203500]",1610612744.0,GSW,loose ball,,,Looney,K. Looney,,,,,,,,,,,,,,,202035.0,1.0,0.0,Adams,203500.0,,,,,,
61,PT07M50.00S,2022-03-29T00:22:16.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630217,15.850854139290407,50.49019607843137,1610612763,4,7,2022-03-29T00:22:20Z,610000,-2.0,96.0,1,left,D. Bane 9' driving floating Jump Shot (2 PTS) (Z. Williams 1 AST),"[1630217, 1630533]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,9.65,Made,,,,,2.0,Z. Williams,1630533.0,1.0,,,,,,,,,,,
63,PT07M35.00S,2022-03-29T00:22:30.8Z,1,REGULAR,3pt,Jump Shot,[],203952,68.9388961892247,30.637254901960787,1610612744,4,7,2022-03-29T00:22:34Z,630000,-97.0,239.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M32.00S,2022-03-29T00:22:33.8Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,4,7,2022-03-29T00:22:34Z,640000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
65,PT07M24.00S,2022-03-29T00:22:42.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630228,69.07030223390277,29.166666666666668,1610612744,4,7,2022-03-29T00:22:46Z,650000,-104.0,238.0,1,right,MISS J. Kuminga 26' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
66,PT07M20.00S,2022-03-29T00:22:46.5Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,4,7,2022-03-29T00:22:46Z,660000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
67,PT07M19.00S,2022-03-29T00:22:48.8Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612763,4,7,2022-03-29T00:22:58Z,670000,,,0,,J. Poole shooting personal FOUL (1 PF) (Williams 2 FT),"[1629673, 1630533]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,,,,,,,,,,,2004.0,1.0,0.0,Williams,1630533.0,,,,,,
69,PT07M19.00S,2022-03-29T00:23:15.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630533,,,1610612763,5,7,2022-03-29T00:23:15Z,690000,,,0,,Z. Williams Free Throw 1 of 2 (1 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
70,PT07M19.00S,2022-03-29T00:23:33.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630533,,,1610612763,6,7,2022-03-29T00:23:33Z,700000,,,0,,Z. Williams Free Throw 2 of 2 (2 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
71,PT07M06.00S,2022-03-29T00:23:50.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,93.64323258869908,49.754901960784316,1610612744,6,9,2022-03-29T00:23:54Z,710000,-1.0,7.0,1,right,J. Kuminga driving DUNK (2 PTS),[1630228],1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,0.74,Made,,,,,2.0,,,,,,,,,,,,,,
72,PT06M52.00S,2022-03-29T00:24:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,18.2161629434954,48.03921568627451,1610612763,8,9,2022-03-29T00:24:06Z,720000,10.0,119.0,1,left,T. Jones 11' driving floating Jump Shot (2 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,11.91,Made,,,,,2.0,,,,,,,,,,,,,,
73,PT06M37.00S,2022-03-29T00:24:18.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.06373193166885,81.61764705882352,1610612744,8,9,2022-03-29T00:24:26Z,730000,158.0,191.0,1,right,MISS J. Poole 24' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2022-03-29T00:24:21.8Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,8,9,2022-03-29T00:24:26Z,740000,,,0,,T. Jones REBOUND (Off:0 Def:2),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT06M33.00S,2022-03-29T00:24:26.0Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612763,8,9,2022-03-29T00:24:36Z,750000,,,0,,K. Looney shooting personal FOUL (2 PF) (Anderson 2 FT),"[1626172, 203937]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,1155.0,2.0,0.0,Anderson,203937.0,,,,,,
77,PT06M33.00S,2022-03-29T00:24:59.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203937,,,1610612763,9,9,2022-03-29T00:24:59Z,770000,,,0,,K. Anderson Free Throw 1 of 2 (3 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
78,PT06M33.00S,2022-03-29T00:24:59.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,9,9,2022-03-29T00:25:04Z,780000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M33.00S,2022-03-29T00:24:59.8Z,1,REGULAR,substitution,in,[],1629001,,,1610612763,9,9,2022-03-29T00:25:04Z,790000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M33.00S,2022-03-29T00:25:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,9,9,2022-03-29T00:25:07Z,800000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M33.00S,2022-03-29T00:27:23.7Z,1,REGULAR,substitution,out,[],1626172,,,1610612763,9,9,2022-03-29T00:27:50Z,810000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M33.00S,2022-03-29T00:27:23.7Z,1,REGULAR,substitution,in,[],202357,,,1610612763,9,9,2022-03-29T00:27:50Z,820000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M33.00S,2022-03-29T00:28:18.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203937,,,1610612763,10,9,2022-03-29T00:28:18Z,830000,,,0,,K. Anderson Free Throw 2 of 2 (4 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
84,PT06M14.00S,2022-03-29T00:28:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,83.39356110381078,59.068627450980394,1610612744,10,9,2022-03-29T00:28:47Z,840000,45.0,104.0,1,right,MISS J. Poole 11' driving floating Shot,[1629673],1610612744.0,GSW,driving floating,,,Poole,J. Poole,,,,,11.31,Missed,,,,,,,,,,,,,,,,,,,
85,PT06M10.00S,2022-03-29T00:28:45.8Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,10,9,2022-03-29T00:28:47Z,850000,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
86,PT05M58.00S,2022-03-29T00:28:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,6.258212877792378,49.26470588235294,1610612763,10,9,2022-03-29T00:29:01Z,860000,4.0,6.0,1,left,MISS K. Anderson cutting Layup,[203937],1610612763.0,MEM,cutting,,,Anderson,K. Anderson,,,,,0.73,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M55.00S,2022-03-29T00:29:00.7Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,10,9,2022-03-29T00:29:01Z,870000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
88,PT05M48.00S,2022-03-29T00:29:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,91.27792378449409,49.26470588235294,1610612744,10,9,2022-03-29T00:29:12Z,880000,-4.0,29.0,1,right,MISS J. Kuminga driving floating Shot,[1630228],1610612744.0,GSW,driving floating,,,Kuminga,J. Kuminga,,,,,2.97,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M45.00S,2022-03-29T00:29:11.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,10,9,2022-03-29T00:29:12Z,890000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
90,PT05M39.00S,2022-03-29T00:29:16.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,18.347568988173457,3.9215686274509802,1610612763,13,9,2022-03-29T00:29:20Z,900000,230.0,120.0,1,left,D. Melton 25' 3PT  (3 PTS) (T. Jones 2 AST),"[1629001, 1626145]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,25.98,Made,,,,,3.0,T. Jones,1626145.0,2.0,,,,,,,,,,,
92,PT05M16.00S,2022-03-29T00:29:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,88.51839684625493,44.11764705882353,1610612744,13,11,2022-03-29T00:29:44Z,920000,-29.0,55.0,1,right,A. Wiggins 6' turnaround Jump Shot (4 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,6.27,Made,,,,,4.0,,,,,,,,,,,,,,
