actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT11M11.00S,2021-12-12T01:12:37.2Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,1,2021-12-12T01:12:38Z,160000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT11M06.00S,2021-12-12T01:12:42.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,12.040078843626807,3.6764705882352944,1610612763,0,1,2021-12-12T01:12:47Z,170000,232.0,61.0,1,left,MISS D. Brooks 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,Missed,,,,,,23.94,,,,,,,,
18,PT11M02.00S,2021-12-12T01:12:46.3Z,1,REGULAR,rebound,offensive,[],1626145,,,1610612763,0,1,2021-12-12T01:16:56Z,180000,,,0,,T. Jones REBOUND (Off:1 Def:0),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,
19,PT11M01.00S,2021-12-12T01:12:47.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,30.56833114323259,64.4607843137255,1610612763,3,1,2021-12-12T01:12:50Z,190000,-72.0,235.0,1,left,T. Jones 24' 3PT  (3 PTS),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,Made,3.0,,,,,24.57,,,,,,,,
21,PT10M45.00S,2021-12-12T01:13:03.6Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612745,3,1,2021-12-12T01:13:09Z,210000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 1626145]",1610612745.0,HOU,,,,Theis,D. Theis,,,,,,1.0,,,,,,,,,,,,Jones,1626145.0,,,,,,
22,PT10M45.00S,2021-12-12T01:13:03.6Z,1,REGULAR,steal,,[],1626145,,,1610612763,3,1,2021-12-12T01:13:05Z,220000,,,0,,T. Jones STEAL (1 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M40.00S,2021-12-12T01:13:08.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203937,5.863994743758213,50.245098039215684,1610612763,5,1,2021-12-12T01:13:14Z,230000,-1.0,3.0,1,left,K. Anderson running DUNK (2 PTS) (T. Jones 1 AST),"[203937, 1626145]",1610612763.0,MEM,running,,,Anderson,K. Anderson,,,,,,,,,,,Made,2.0,,,,,0.29,,,T. Jones,1626145.0,1.0,,,
24,PT10M19.00S,2021-12-12T01:13:29.4Z,1,REGULAR,turnover,bad pass,[],201571,,,1610612745,5,1,2021-12-12T01:13:33Z,240000,,,0,,D. Augustin bad pass TURNOVER (1 TO),"[201571, 1626145]",1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,1.0,,,,,,,,,,,,Jones,1626145.0,,,,,,
25,PT10M19.00S,2021-12-12T01:13:29.4Z,1,REGULAR,steal,,[],1626145,,,1610612763,5,1,2021-12-12T01:13:31Z,250000,,,0,,T. Jones STEAL (2 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2021-12-12T01:13:36.6Z,1,REGULAR,foul,personal,[],1629726,,,1610612763,5,1,2021-12-12T01:13:51Z,260000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 1630217]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,202037.0,,1.0,0.0,Bane,1630217.0,,,,,,,,,,,,,,,
28,PT10M04.00S,2021-12-12T01:14:10.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203500,11.777266754270697,51.225490196078425,1610612763,7,1,2021-12-12T01:14:13Z,280000,-6.0,58.0,1,left,S. Adams turnaround Hook (2 PTS) (D. Brooks 1 AST),"[203500, 1628415]",1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,,,,,,,Made,2.0,,,,,5.85,,,D. Brooks,1628415.0,1.0,,,
30,PT09M54.00S,2021-12-12T01:14:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629726,67.62483574244416,64.4607843137255,1610612745,7,1,2021-12-12T01:14:24Z,300000,72.0,252.0,1,right,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,Missed,,,,,,26.2,,,,,,,,
31,PT09M51.00S,2021-12-12T01:14:23.2Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,7,1,2021-12-12T01:14:24Z,310000,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M45.00S,2021-12-12T01:14:30.4Z,1,REGULAR,turnover,lost ball,[],203937,,,1610612763,7,1,2021-12-12T01:14:33Z,320000,,,0,,K. Anderson lost ball TURNOVER (1 TO),"[203937, 1626174]",1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,1.0,,,,,,,,,,,,Wood,1626174.0,,,,,,
33,PT09M45.00S,2021-12-12T01:14:30.4Z,1,REGULAR,steal,,[],1626174,,,1610612745,7,1,2021-12-12T01:14:31Z,330000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M33.00S,2021-12-12T01:14:43.4Z,1,REGULAR,turnover,traveling,[],1630256,,,1610612745,7,1,2021-12-12T01:14:47Z,340000,,,0,,J. Tate traveling TURNOVER (1 TO),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,202037.0,1.0,,,,,,,,,,,,,,,,,,,
35,PT09M21.00S,2021-12-12T01:15:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,5.601182654402102,48.03921568627451,1610612763,9,1,2021-12-12T01:15:08Z,350000,10.0,0.0,1,left,D. Bane driving Layup (2 PTS) (T. Jones 2 AST),"[1630217, 1626145]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,,,,,,,Made,2.0,,,,,0.98,,,T. Jones,1626145.0,2.0,,,
37,PT09M03.00S,2021-12-12T01:15:20.6Z,1,REGULAR,3pt,Jump Shot,[],1629726,66.96780551905388,60.049019607843135,1610612745,9,1,2021-12-12T01:15:24Z,370000,50.0,258.0,1,right,MISS G. Mathews 26' pullup 3PT,[1629726],1610612745.0,HOU,pullup,,,Mathews,G. Mathews,,,,,,,,,,,Missed,,,,,,26.28,,,,,,,,
38,PT09M01.00S,2021-12-12T01:15:22.6Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,9,1,2021-12-12T01:15:24Z,380000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT08M55.00S,2021-12-12T01:15:30.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,21.50131406044678,36.51960784313725,1610612763,11,1,2021-12-12T01:15:55Z,390000,67.0,150.0,1,left,D. Bane 16' pullup Jump Shot (4 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,,,,,,Made,4.0,,,,,16.41,,,,,,,,
40,PT08M53.00S,2021-12-12T01:15:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,1,2021-12-12T01:15:34Z,400000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M39.00S,2021-12-12T01:18:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,93.51182654402102,44.85294117647059,1610612745,11,1,2021-12-12T01:25:49Z,410000,-26.0,8.0,1,right,MISS J. Tate driving Hook,[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,,,,,,,Missed,,,,,,2.71,,,,,,,,
43,PT08M37.00S,2021-12-12T01:18:44.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,11,1,2021-12-12T01:18:46Z,420000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,
44,PT08M29.00S,2021-12-12T01:18:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,6.783837056504599,55.392156862745104,1610612763,11,1,2021-12-12T01:24:44Z,430000,-27.0,11.0,1,left,MISS D. Brooks driving finger roll Layup - blocked,"[1628415, 1628464]",1610612763.0,MEM,driving finger roll,,,Brooks,D. Brooks,,,,,,,,,,,Missed,,,,,,2.93,,,,,,Theis,1628464.0,
45,PT08M29.00S,2021-12-12T01:18:53.2Z,1,REGULAR,block,,[],1628464,,,1610612763,11,1,2021-12-12T01:18:56Z,440000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M25.00S,2021-12-12T01:18:57.2Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,11,1,2021-12-12T01:19:01Z,450000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
47,PT08M21.00S,2021-12-12T01:19:01.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201571,73.40670170827858,16.42156862745098,1610612745,11,4,2021-12-12T01:21:06Z,460000,-168.0,197.0,1,right,D. Augustin 25' 3PT  (3 PTS),[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,Made,3.0,,,,,25.92,,,,,,,,
49,PT08M06.00S,2021-12-12T01:19:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,17.296320630749015,42.8921568627451,1610612763,13,4,2021-12-12T01:19:20Z,480000,36.0,110.0,1,left,T. Jones 11' driving floating Jump Shot (5 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,,,,,,,Made,5.0,,,,,11.57,,,,,,,,
50,PT07M51.00S,2021-12-12T01:19:31.5Z,1,REGULAR,turnover,bad pass,[],201571,,,1610612745,13,4,2021-12-12T01:19:35Z,490000,,,0,,D. Augustin bad pass TURNOVER (2 TO),"[201571, 1626145]",1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,2.0,,,,,,,,,,,,Jones,1626145.0,,,,,,
51,PT07M51.00S,2021-12-12T01:19:31.5Z,1,REGULAR,steal,,[],1626145,,,1610612763,13,4,2021-12-12T01:19:33Z,500000,,,0,,T. Jones STEAL (3 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M51.00S,2021-12-12T01:19:36.4Z,1,REGULAR,foul,personal,[],1630256,,,1610612763,13,4,2021-12-12T01:19:52Z,510000,,,0,,J. Tate take personal FOUL (1 PF),"[1630256, 1628415]",1610612745.0,HOU,take,,,Tate,J. Tate,,,,,1627529.0,,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,,,,
54,PT07M40.00S,2021-12-12T01:20:02.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,33.196452036793694,30.637254901960787,1610612763,16,4,2021-12-12T01:20:06Z,530000,97.0,260.0,1,left,D. Bane 27' 3PT  (7 PTS) (K. Anderson 1 AST),"[1630217, 203937]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,Made,7.0,,,,,27.7,,,K. Anderson,203937.0,1.0,,,
56,PT07M23.00S,2021-12-12T01:20:20.0Z,1,REGULAR,foul,personal,['2freethrow'],203937,,,1610612745,16,4,2021-12-12T01:20:27Z,550000,,,0,,K. Anderson shooting personal FOUL (1 PF) (Wood 2 FT),"[203937, 1626174]",1610612763.0,MEM,shooting,,,Anderson,K. Anderson,,,,,1146.0,,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,,,,
58,PT07M23.00S,2021-12-12T01:20:48.4Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,16,5,2021-12-12T01:20:48Z,570000,,,0,,C. Wood Free Throw 1 of 2 (2 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
59,PT07M23.00S,2021-12-12T01:20:48.4Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,16,5,2021-12-12T01:21:08Z,580000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Missed,,,,,,,,,,,,,,
60,PT07M20.00S,2021-12-12T01:20:51.4Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,16,5,2021-12-12T01:21:08Z,590000,,,0,,K. Anderson REBOUND (Off:0 Def:3),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,
61,PT07M18.00S,2021-12-12T01:21:09.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628415,5.469776609724048,50.73529411764706,1610612763,18,5,2021-12-12T01:21:22Z,600000,-4.0,-1.0,1,left,D. Brooks running DUNK (2 PTS) (K. Anderson 2 AST),"[1628415, 203937]",1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,,,,,,,Made,2.0,,,,,0.39,,,K. Anderson,203937.0,2.0,,,
63,PT06M55.00S,2021-12-12T01:21:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,81.68528252299606,49.754901960784316,1610612745,18,5,2021-12-12T01:21:34Z,620000,-1.0,120.0,1,right,MISS D. Theis 11' pullup Shot,[1628464],1610612745.0,HOU,pullup,,,Theis,D. Theis,,,,,,,,,,,Missed,,,,,,11.97,,,,,,,,
64,PT06M53.00S,2021-12-12T01:21:33.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,18,5,2021-12-12T01:21:34Z,630000,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,
65,PT06M45.00S,2021-12-12T01:21:41.9Z,1,REGULAR,3pt,Jump Shot,[],1628415,29.517082785808146,68.62745098039215,1610612763,21,5,2021-12-12T01:21:46Z,640000,-93.0,225.0,1,left,D. Brooks 24' 3PT  (5 PTS) (K. Anderson 3 AST),"[1628415, 203937]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,Made,5.0,,,,,24.35,,,K. Anderson,203937.0,3.0,,,
67,PT06M24.00S,2021-12-12T01:22:07.6Z,1,REGULAR,foul,personal,[],203937,,,1610612745,21,5,2021-12-12T01:22:10Z,660000,,,0,,K. Anderson personal FOUL (2 PF),"[203937, 1626174]",1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,1627529.0,,2.0,0.0,Wood,1626174.0,,,,,,,,,,,,,,,
69,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,out,[],203937,,,1610612745,21,5,2021-12-12T01:22:23Z,680000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612745,21,5,2021-12-12T01:22:23Z,690000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,out,[],1629726,,,1610612745,21,5,2021-12-12T01:22:23Z,700000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,21,5,2021-12-12T01:22:23Z,710000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612745,21,5,2021-12-12T01:22:23Z,720000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,in,[],1629681,,,1610612745,21,5,2021-12-12T01:22:23Z,730000,,,0,,SUB in: K. Tillie,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,in,[],1629717,,,1610612745,21,5,2021-12-12T01:22:23Z,740000,,,0,,SUB in: A. Brooks,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M24.00S,2021-12-12T01:22:12.1Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,21,5,2021-12-12T01:22:23Z,750000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2021-12-12T01:22:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,94.03745072273325,50.245098039215684,1610612745,21,7,2021-12-12T01:22:48Z,760000,1.0,4.0,1,right,D. Theis cutting finger roll Layup (2 PTS) (C. Wood 1 AST),"[1628464, 1626174]",1610612745.0,HOU,cutting finger roll,,,Theis,D. Theis,,,,,,,,,,,Made,2.0,,,,,0.37,,,C. Wood,1626174.0,1.0,,,
79,PT06M00.00S,2021-12-12T01:22:53.1Z,1,REGULAR,3pt,Jump Shot,[],1626145,30.699737187910642,30.88235294117647,1610612763,21,7,2021-12-12T01:22:56Z,780000,96.0,236.0,1,left,MISS T. Jones 25' pullup 3PT,[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,,,,,,,Missed,,,,,,25.47,,,,,,,,
80,PT05M58.00S,2021-12-12T01:22:55.1Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,21,7,2021-12-12T01:22:56Z,790000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT05M53.00S,2021-12-12T01:23:02.4Z,1,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612745,21,7,2021-12-12T01:23:18Z,800000,,,0,,D. Melton shooting personal FOUL (1 PF) (Wood 2 FT),"[1629001, 1626174]",1610612763.0,MEM,shooting,,,Melton,D. Melton,,,,,1146.0,,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,,,,
83,PT05M53.00S,2021-12-12T01:23:27.0Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,21,8,2021-12-12T01:23:27Z,820000,,,0,,C. Wood Free Throw 1 of 2 (3 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
84,PT05M53.00S,2021-12-12T01:23:48.9Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,21,9,2021-12-12T01:23:48Z,830000,,,0,,C. Wood Free Throw 2 of 2 (4 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
85,PT05M38.00S,2021-12-12T01:24:04.6Z,1,REGULAR,2pt,Jump Shot,[],1629001,8.229303547963205,11.27450980392157,1610612763,23,9,2021-12-12T01:24:07Z,840000,194.0,25.0,1,left,D. Melton 19' pullup Jump Shot (2 PTS) (K. Tillie 1 AST),"[1629001, 1629681]",1610612763.0,MEM,pullup,,,Melton,D. Melton,,,,,,,,,,,Made,2.0,,,,,19.52,,,K. Tillie,1629681.0,1.0,,,
87,PT05M21.00S,2021-12-12T01:24:24.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628415,,,1610612745,23,9,2021-12-12T01:24:34Z,860000,,,0,,D. Brooks personal FOUL (1 PF) (Wood 2 FT),"[1628415, 1626174]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,202037.0,,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,,,,
89,PT05M21.00S,2021-12-12T01:24:56.5Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612745,23,10,2021-12-12T01:24:56Z,880000,,,0,,C. Wood Free Throw 1 of 2 (5 PTS),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
90,PT05M21.00S,2021-12-12T01:24:57.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612745,23,10,2021-12-12T01:25:02Z,890000,,,0,,SUB out: D. Theis,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M21.00S,2021-12-12T01:24:57.6Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,23,10,2021-12-12T01:25:02Z,900000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M21.00S,2021-12-12T01:25:16.0Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612745,23,10,2021-12-12T01:25:16Z,910000,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,Missed,,,,,,,,,,,,,,
93,PT05M19.00S,2021-12-12T01:25:17.0Z,1,REGULAR,rebound,defensive,[],1629681,,,1610612763,23,10,2021-12-12T01:25:17Z,920000,,,0,,K. Tillie REBOUND (Off:0 Def:1),[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,
94,PT05M05.00S,2021-12-12T01:25:31.6Z,1,REGULAR,3pt,Jump Shot,[],1629681,27.94021024967148,16.666666666666664,1610612763,23,10,2021-12-12T01:25:35Z,930000,167.0,210.0,1,left,MISS K. Tillie 26' 3PT,[1629681],1610612763.0,MEM,,,,Tillie,K. Tillie,,,,,,,,,,,Missed,,,,,,26.82,,,,,,,,
