actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
19,PT11M02.00S,2021-11-28T23:12:07.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628415,,,1610612763,4,0,2021-11-28T23:12:07Z,190000,,,0,,D. Brooks Free Throw 1 of 2 (1 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT11M02.00S,2021-11-28T23:12:08.4Z,1,REGULAR,substitution,out,[],1629056,,,1610612763,4,0,2021-11-28T23:12:15Z,200000,,,0,,SUB out: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT11M02.00S,2021-11-28T23:12:08.4Z,1,REGULAR,substitution,in,[],1627741,,,1610612763,4,0,2021-11-28T23:12:15Z,210000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT11M02.00S,2021-11-28T23:12:22.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628415,,,1610612763,5,0,2021-11-28T23:12:22Z,220000,,,0,,D. Brooks Free Throw 2 of 2 (2 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT10M51.00S,2021-11-28T23:12:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629002,94.03745072273325,46.32352941176471,1610612758,5,0,2021-11-28T23:12:37Z,230000,-18.0,4.0,1,right,MISS C. Metu driving Layup - blocked,"[1629002, 203500]",1610612758.0,SAC,driving,,,Metu,C. Metu,,,,,1.87,Missed,,,,,,,,,,,,,,,Adams,203500.0,,,
24,PT10M51.00S,2021-11-28T23:12:33.1Z,1,REGULAR,block,,[],203500,,,1610612758,5,0,2021-11-28T23:12:35Z,240000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M47.00S,2021-11-28T23:12:37.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,5,0,2021-11-28T23:12:37Z,250000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
26,PT10M42.00S,2021-11-28T23:12:42.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.376478318002626,54.41176470588235,1610612763,7,0,2021-11-28T23:12:50Z,260000,-22.0,101.0,1,left,D. Brooks 10' pullup Jump Shot (4 PTS) (D. Bane 1 AST),"[1628415, 1630217]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,10.38,Made,4.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,,
28,PT10M25.00S,2021-11-28T23:12:59.1Z,1,REGULAR,3pt,Jump Shot,[],1627741,69.46452036793693,70.09803921568627,1610612758,7,0,2021-11-28T23:13:03Z,280000,100.0,235.0,1,right,MISS B. Hield 25' pullup 3PT,[1627741],1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
29,PT10M23.00S,2021-11-28T23:13:01.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,7,0,2021-11-28T23:13:03Z,290000,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,
30,PT10M15.00S,2021-11-28T23:13:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612763,7,0,2021-11-28T23:13:26Z,300000,,,0,,D. Fox shooting personal FOUL (1 PF) (Brooks 2 FT),"[1628368, 1628415]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,,,,,,,203177.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,
32,PT10M15.00S,2021-11-28T23:13:34.7Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,8,0,2021-11-28T23:13:34Z,320000,,,0,,D. Brooks Free Throw 1 of 2 (5 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
33,PT10M15.00S,2021-11-28T23:13:49.1Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,9,0,2021-11-28T23:13:49Z,330000,,,0,,D. Brooks Free Throw 2 of 2 (6 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
34,PT10M15.00S,2021-11-28T23:13:55.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612758,9,0,2021-11-28T23:14:01Z,340000,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,201638.0,,,,,,,,,,,,,,
35,PT10M03.00S,2021-11-28T23:14:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,86.94152431011827,49.754901960784316,1610612758,9,0,2021-11-28T23:14:16Z,350000,-1.0,70.0,1,right,MISS T. Haliburton 7' driving floating Shot,[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,7.02,Missed,,,,,,,,,,,,,,,,,,,
36,PT10M01.00S,2021-11-28T23:14:15.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,9,0,2021-11-28T23:14:16Z,360000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT09M57.00S,2021-11-28T23:14:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,6.1268068331143235,51.225490196078425,1610612763,11,0,2021-11-28T23:14:23Z,370000,-6.0,5.0,1,left,D. Bane running finger roll Layup (5 PTS),[1630217],1610612763.0,MEM,running finger roll,,,Bane,D. Bane,,,,,0.8,Made,5.0,,,,,,,,,,,,,,,,,,
38,PT09M50.00S,2021-11-28T23:14:31.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,11,0,2021-11-28T23:14:31Z,380000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M40.00S,2021-11-28T23:17:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,91.40932982917214,3.1862745098039214,1610612758,11,3,2021-11-28T23:17:34Z,390000,-234.0,28.0,1,right,D. Fox 3PT pullup (3 PTS) (T. Haliburton 1 AST),"[1628368, 1630169]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,23.58,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
41,PT09M29.00S,2021-11-28T23:17:43.1Z,1,REGULAR,foul,personal,[],203458,,,1610612763,11,3,2021-11-28T23:17:49Z,410000,,,0,,A. Len personal FOUL (2 PF),"[203458, 203500]",1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,201638.0,2.0,0.0,Adams,203500.0,,,,,,,,,,
43,PT09M29.00S,2021-11-28T23:17:55.4Z,1,REGULAR,substitution,out,[],203458,,,1610612763,11,3,2021-11-28T23:18:02Z,430000,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M29.00S,2021-11-28T23:17:55.4Z,1,REGULAR,substitution,in,[],202684,,,1610612763,11,3,2021-11-28T23:18:02Z,440000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M21.00S,2021-11-28T23:18:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,6.783837056504599,51.71568627450981,1610612763,11,3,2021-11-28T23:18:23Z,450000,-9.0,11.0,1,left,MISS S. Adams alley-oop Layup - blocked,"[203500, 202684]",1610612763.0,MEM,alley-oop,,,Adams,S. Adams,,,,,1.42,Missed,,,,,,,,,,,,,,,Thompson,202684.0,,,
46,PT09M21.00S,2021-11-28T23:18:19.7Z,1,REGULAR,block,,[],202684,,,1610612763,11,3,2021-11-28T23:18:22Z,460000,,,0,,T. Thompson BLOCK (1 BLK),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT09M18.00S,2021-11-28T23:18:22.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,11,3,2021-11-28T23:18:23Z,470000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,
48,PT09M15.00S,2021-11-28T23:18:25.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628991,3.7614980289093296,65.68627450980392,1610612763,11,3,2021-11-28T23:18:29Z,480000,-78.0,-17.0,1,left,MISS J. Jackson Jr. 8' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,8.02,Missed,,,,,,,,,,,,,,,,,,,
49,PT09M12.00S,2021-11-28T23:18:28.6Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,11,3,2021-11-28T23:18:29Z,490000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,
50,PT09M01.00S,2021-11-28T23:18:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.9060446780552,51.470588235294116,1610612758,11,3,2021-11-28T23:18:43Z,500000,7.0,5.0,1,right,MISS B. Hield driving reverse Layup,[1627741],1610612758.0,SAC,driving reverse,,,Hield,B. Hield,,,,,0.88,Missed,,,,,,,,,,,,,,,,,,,
51,PT09M00.00S,2021-11-28T23:18:40.2Z,1,REGULAR,rebound,offensive,[],202684,,,1610612758,11,3,2021-11-28T23:18:43Z,510000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,
52,PT08M59.00S,2021-11-28T23:18:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,93.77463863337714,49.26470588235294,1610612758,11,5,2021-11-28T23:18:50Z,520000,-4.0,6.0,1,right,T. Thompson putback Layup (2 PTS),[202684],1610612758.0,SAC,putback,,,Thompson,T. Thompson,,,,,0.7,Made,2.0,,,,,,,,,,,,,,,,,,
53,PT08M49.00S,2021-11-28T23:18:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,6.258212877792378,51.71568627450981,1610612763,11,5,2021-11-28T23:18:55Z,530000,-9.0,6.0,1,left,MISS D. Bane driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,1.07,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M47.00S,2021-11-28T23:18:53.3Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,11,5,2021-11-28T23:18:55Z,540000,,,0,,C. Metu REBOUND (Off:0 Def:2),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,
55,PT08M43.00S,2021-11-28T23:18:59.5Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612758,11,5,2021-11-28T23:19:10Z,550000,,,0,,D. Bane shooting personal FOUL (1 PF) (Metu 2 FT),"[1630217, 1629002]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,,,,,,,203177.0,1.0,0.0,Metu,1629002.0,,,,,,,,,,
57,PT08M43.00S,2021-11-28T23:19:32.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629002,,,1610612758,11,6,2021-11-28T23:19:32Z,570000,,,0,,C. Metu Free Throw 1 of 2 (1 PTS),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
58,PT08M43.00S,2021-11-28T23:19:50.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629002,,,1610612758,11,7,2021-11-28T23:19:50Z,580000,,,0,,C. Metu Free Throw 2 of 2 (2 PTS),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
59,PT08M30.00S,2021-11-28T23:20:06.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628415,6.1268068331143235,49.50980392156863,1610612763,13,7,2021-11-28T23:20:11Z,590000,2.0,5.0,1,left,D. Brooks driving DUNK (8 PTS) (S. Adams 2 AST),"[1628415, 203500]",1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,0.57,Made,8.0,S. Adams,203500.0,2.0,,,,,,,,,,,,,,,
61,PT08M21.00S,2021-11-28T23:20:15.4Z,1,REGULAR,2pt,Jump Shot,[],1630169,90.48948751642575,74.26470588235294,1610612758,13,9,2021-11-28T23:20:20Z,610000,121.0,37.0,1,right,T. Haliburton 12' pullup Jump Shot (2 PTS),[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,12.68,Made,2.0,,,,,,,,,,,,,,,,,,
62,PT08M03.00S,2021-11-28T23:20:32.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,15.982260183968464,44.36274509803921,1610612763,13,9,2021-11-28T23:20:37Z,620000,28.0,98.0,1,left,MISS J. Jackson Jr. 10' turnaround Hook - blocked,"[1628991, 1629002]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,10.17,Missed,,,,,,,,,,,,,,,Metu,1629002.0,,,
63,PT08M03.00S,2021-11-28T23:20:32.0Z,1,REGULAR,block,,[],1629002,,,1610612763,13,9,2021-11-28T23:20:34Z,630000,,,0,,C. Metu BLOCK (1 BLK),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M59.00S,2021-11-28T23:20:36.0Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,13,9,2021-11-28T23:20:37Z,640000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,62.0,2.0,1.0,1.0,,,,,
65,PT07M59.00S,2021-11-28T23:20:36.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,5.590000152587891,50.0,1610612763,15,9,2021-11-28T23:20:36Z,650000,0.0,0.0,1,left,J. Jackson Jr. putback Layup (2 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
66,PT07M46.00S,2021-11-28T23:20:50.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,70.90998685939553,76.7156862745098,1610612758,15,9,2021-11-28T23:20:54Z,660000,134.0,221.0,1,right,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M42.00S,2021-11-28T23:20:54.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,15,9,2021-11-28T23:20:54Z,670000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,
68,PT07M37.00S,2021-11-28T23:20:58.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,32.276609724047304,26.96078431372549,1610612763,15,9,2021-11-28T23:21:02Z,680000,115.0,251.0,1,left,MISS J. Jackson Jr. 27' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,27.61,Missed,,,,,,,,,,,,,,,,,,,
69,PT07M33.00S,2021-11-28T23:21:02.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,15,9,2021-11-28T23:21:02Z,690000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,
70,PT07M32.00S,2021-11-28T23:21:03.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629002,93.77463863337714,49.26470588235294,1610612758,15,11,2021-11-28T23:21:08Z,700000,-4.0,6.0,1,right,C. Metu running DUNK (4 PTS) (D. Fox 1 AST),"[1629002, 1628368]",1610612758.0,SAC,running,,,Metu,C. Metu,,,,,0.7,Made,4.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,,
72,PT07M15.00S,2021-11-28T23:21:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,11.777266754270697,59.068627450980394,1610612763,15,11,2021-11-28T23:21:23Z,720000,-45.0,58.0,1,left,MISS T. Jones 7' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,7.38,Missed,,,,,,,,,,,,,,,,,,,
73,PT07M13.00S,2021-11-28T23:21:22.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,15,11,2021-11-28T23:21:23Z,730000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,
74,PT07M05.00S,2021-11-28T23:21:31.9Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612758,15,11,2021-11-28T23:21:43Z,740000,,,0,,S. Adams shooting personal FOUL (1 PF) (Thompson 2 FT),"[203500, 202684]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,202027.0,1.0,0.0,Thompson,202684.0,,,,,,,,,,
76,PT07M05.00S,2021-11-28T23:21:59.8Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612758,15,11,2021-11-28T23:21:59Z,760000,,,0,,MISS T. Thompson Free Throw 1 of 2,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
77,PT07M05.00S,2021-11-28T23:21:59.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,15,11,2021-11-28T23:21:59Z,770000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,
78,PT07M05.00S,2021-11-28T23:22:00.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612758,15,11,2021-11-28T23:22:06Z,780000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT07M05.00S,2021-11-28T23:22:00.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612758,15,11,2021-11-28T23:22:06Z,790000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT07M05.00S,2021-11-28T23:22:00.9Z,1,REGULAR,substitution,in,[],1629001,,,1610612758,15,11,2021-11-28T23:22:06Z,800000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT07M05.00S,2021-11-28T23:22:00.9Z,1,REGULAR,substitution,in,[],203937,,,1610612758,15,11,2021-11-28T23:22:06Z,810000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT07M05.00S,2021-11-28T23:22:26.9Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612758,15,12,2021-11-28T23:22:27Z,820000,,,0,,T. Thompson Free Throw 2 of 2 (3 PTS),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
83,PT06M52.00S,2021-11-28T23:22:41.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,30.042706964520367,68.87254901960785,1610612763,15,12,2021-11-28T23:22:45Z,830000,-94.0,230.0,1,left,MISS D. Brooks 24' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
84,PT06M49.00S,2021-11-28T23:22:44.4Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,15,12,2021-11-28T23:22:45Z,840000,,,0,,C. Metu REBOUND (Off:0 Def:3),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,83.0,3.0,3.0,0.0,,,,,
85,PT06M43.00S,2021-11-28T23:22:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629002,66.5735873850197,42.8921568627451,1610612758,15,12,2021-11-28T23:22:57Z,850000,-36.0,262.0,1,right,MISS C. Metu 26' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
86,PT06M38.00S,2021-11-28T23:22:56.1Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,15,12,2021-11-28T23:22:57Z,860000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,
87,PT06M31.00S,2021-11-28T23:23:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,17.427726675427067,44.6078431372549,1610612763,17,12,2021-11-28T23:23:05Z,870000,27.0,111.0,1,left,T. Jones 11' driving floating Jump Shot (2 PTS),[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,11.45,Made,2.0,,,,,,,,,,,,,,,,,,
88,PT06M20.00S,2021-11-28T23:23:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.06636005256242,45.34313725490196,1610612758,17,14,2021-11-28T23:23:19Z,880000,-23.0,22.0,1,right,T. Thompson cutting Layup (5 PTS) (C. Metu 1 AST),"[202684, 1629002]",1610612758.0,SAC,cutting,,,Thompson,T. Thompson,,,,,3.21,Made,5.0,C. Metu,1629002.0,1.0,,,,,,,,,,,,,,,
