actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
18,PT10M57.00S,2022-03-01T01:12:05.7Z,1,REGULAR,3pt,Jump Shot,[],1629640,68.9388961892247,67.64705882352942,1610612759,0,4,2022-03-01T01:12:11Z,180000,88.0,239.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,25.52,Missed,,,,,,,,,,,,,,,,
19,PT10M55.00S,2022-03-01T01:12:07.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,4,2022-03-01T01:12:11Z,190000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,18.0,,,,1.0,1.0,0.0,,,,,,
20,PT10M48.00S,2022-03-01T01:12:17.5Z,1,REGULAR,foul,personal,[],1630170,,,1610612763,0,4,2022-03-01T01:12:32Z,200000,,,0,,D. Vassell personal FOUL (1 PF),"[1630170, 1629630]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Morant,1629630.0,
22,PT10M46.00S,2022-03-01T01:12:33.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,30.699737187910642,34.068627450980394,1610612763,3,4,2022-03-01T01:12:37Z,220000,80.0,236.0,1,left,J. Jackson Jr. 24' 3PT  (3 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,24.92,Made,3.0,,,,D. Bane,1630217.0,1.0,,,,,,,,,
24,PT10M27.00S,2022-03-01T01:12:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,93.24901445466492,48.77450980392157,1610612759,3,4,2022-03-01T01:12:55Z,240000,-6.0,11.0,1,right,MISS K. Johnson driving Layup - blocked,"[1629640, 1628991]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,,,,1.26,Missed,,Jackson Jr.,1628991.0,,,,,,,,,,,,,
25,PT10M27.00S,2022-03-01T01:12:51.5Z,1,REGULAR,block,,[],1628991,,,1610612759,3,4,2022-03-01T01:12:53Z,250000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M25.00S,2022-03-01T01:12:53.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,3,4,2022-03-01T01:15:17Z,260000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,24.0,,,,1.0,1.0,0.0,,,,,,
27,PT10M22.00S,2022-03-01T01:12:58.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612763,3,4,2022-03-01T01:13:07Z,270000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Bane 2 FT),"[1627751, 1630217]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,202026.0,1.0,0.0,Bane,1630217.0,
29,PT10M22.00S,2022-03-01T01:13:20.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630217,,,1610612763,4,4,2022-03-01T01:13:20Z,290000,,,0,,D. Bane Free Throw 1 of 2 (1 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
30,PT10M22.00S,2022-03-01T01:13:37.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630217,,,1610612763,4,4,2022-03-01T01:13:37Z,300000,,,0,,MISS D. Bane Free Throw 2 of 2,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Missed,,,,,,,,,,,,,,,,
31,PT10M19.00S,2022-03-01T01:13:39.7Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,4,4,2022-03-01T01:13:39Z,310000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,30.0,,,,1.0,1.0,0.0,,,,,,
32,PT10M11.00S,2022-03-01T01:13:47.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,93.11760840998686,48.77450980392157,1610612759,4,6,2022-03-01T01:13:50Z,320000,-6.0,12.0,1,right,J. Poeltl cutting DUNK (4 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,,,,1.36,Made,4.0,,,,D. Murray,1627749.0,1.0,,,,,,,,,
34,PT09M57.00S,2022-03-01T01:14:00.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,10.33180026281209,36.51960784313725,1610612763,6,6,2022-03-01T01:14:04Z,340000,67.0,45.0,1,left,J. Jackson Jr. 8' turnaround Hook (5 PTS) (D. Bane 2 AST),"[1628991, 1630217]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,8.08,Made,5.0,,,,D. Bane,1630217.0,2.0,,,,,,,,,
36,PT09M51.00S,2022-03-01T01:14:07.4Z,1,REGULAR,3pt,Jump Shot,[],1630170,92.9862023653088,2.941176470588235,1610612759,6,9,2022-03-01T01:14:11Z,360000,-235.0,13.0,1,right,D. Vassell 3PT  (3 PTS) (D. McDermott 1 AST),"[1630170, 203926]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,23.57,Made,3.0,,,,D. McDermott,203926.0,1.0,,,,,,,,,
38,PT09M33.00S,2022-03-01T01:14:26.0Z,1,REGULAR,turnover,bad pass,[],1628991,,,1610612763,6,9,2022-03-01T01:14:29Z,380000,,,0,,J. Jackson Jr. bad pass TURNOVER (1 TO),"[1628991, 1630170]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,1.0,Vassell,1630170.0,,,,,,,,,,,,,,,,,,
39,PT09M33.00S,2022-03-01T01:14:26.0Z,1,REGULAR,steal,,[],1630170,,,1610612759,6,9,2022-03-01T01:14:27Z,390000,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M27.00S,2022-03-01T01:14:31.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627749,89.17542706964521,95.83333333333334,1610612759,6,9,2022-03-01T01:14:36Z,400000,229.0,49.0,1,right,MISS D. Murray 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,23.44,Missed,,,,,,,,,,,,,,,,
41,PT09M23.00S,2022-03-01T01:14:35.9Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,9,2022-03-01T01:14:36Z,410000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,40.0,,,,1.0,1.0,0.0,,,,,,
42,PT09M22.00S,2022-03-01T01:14:39.4Z,1,REGULAR,foul,personal,['2freethrow'],203926,,,1610612763,6,9,2022-03-01T01:14:56Z,420000,,,0,,D. McDermott shooting personal FOUL (1 PF) (Morant 2 FT),"[203926, 1629630]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Morant,1629630.0,
44,PT09M22.00S,2022-03-01T01:15:07.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,7,9,2022-03-01T01:16:20Z,440000,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
45,PT09M22.00S,2022-03-01T01:15:07.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,7,9,2022-03-01T01:16:20Z,450000,,,0,,MISS J. Morant Free Throw 2 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,Missed,,,,,,,,,,,,,,,,
49,PT09M19.00S,2022-03-01T01:15:10.8Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,7,9,2022-03-01T02:16:48Z,460000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,45.0,,,,2.0,1.0,1.0,,,,,,
66,PT09M18.00S,2022-03-01T01:15:41.3Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,7,9,2022-03-01T02:17:06Z,461250,,,0,,J. Jackson Jr. lost ball TURNOVER (2 TO),"[1628991, 1629640]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,2.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,,
539,PT09M18.00S,2022-03-01T01:15:41.3Z,1,REGULAR,steal,,[],1629640,,,1610612759,7,9,2022-03-01T02:51:43Z,461875,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT09M18.00S,2022-03-01T01:16:14.8Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,7,9,2022-03-01T02:17:06Z,462500,,,0,,Jump Ball K. Johnson vs. J. Jackson Jr.: Tip to D. Vassell,"[1630170, 1629640, 1628991]",1610612759.0,SAS,heldball,D. Vassell,1630170.0,Vassell,D. Vassell,Johnson,1629640.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,
50,PT09M09.00S,2022-03-01T01:16:20.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,75.24638633377135,86.27450980392157,1610612759,7,12,2022-03-01T01:19:07Z,500000,181.0,180.0,1,right,K. Johnson 25' 3PT  (3 PTS) (D. Vassell 2 AST),"[1629640, 1630170]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,25.57,Made,3.0,,,,D. Vassell,1630170.0,2.0,,,,,,,,,
52,PT08M54.00S,2022-03-01T01:16:34.8Z,1,REGULAR,3pt,Jump Shot,[],1630533,3.7614980289093296,95.58823529411765,1610612763,7,12,2022-03-01T01:16:38Z,520000,-228.0,-17.0,1,left,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,22.85,Missed,,,,,,,,,,,,,,,,
53,PT08M51.00S,2022-03-01T01:16:37.8Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,7,12,2022-03-01T01:16:38Z,530000,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,52.0,,,,2.0,2.0,0.0,,,,,,
54,PT08M45.00S,2022-03-01T01:16:43.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629640,72.7496714848883,17.401960784313726,1610612759,7,12,2022-03-01T01:16:47Z,540000,-163.0,204.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,26.09,Missed,,,,,,,,,,,,,,,,
55,PT08M42.00S,2022-03-01T01:16:46.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,7,12,2022-03-01T01:16:47Z,550000,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,54.0,,,,2.0,2.0,0.0,,,,,,
56,PT08M38.00S,2022-03-01T01:16:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,6.783837056504599,53.431372549019606,1610612763,9,12,2022-03-01T01:16:55Z,560000,-17.0,11.0,1,left,J. Morant running finger roll Layup (3 PTS),[1629630],1610612763.0,MEM,running finger roll,,,Morant,J. Morant,,,,,,,,2.06,Made,3.0,,,,,,,,,,,,,,,
57,PT08M26.00S,2022-03-01T01:17:02.9Z,1,REGULAR,3pt,Jump Shot,[],203926,70.77858081471747,77.69607843137256,1610612759,9,15,2022-03-01T01:17:06Z,570000,138.0,222.0,1,right,D. McDermott 26' 3PT  (3 PTS) (D. Murray 2 AST),"[203926, 1627749]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,26.18,Made,3.0,,,,D. Murray,1627749.0,2.0,,,,,,,,,
59,PT08M11.00S,2022-03-01T01:17:25.5Z,1,REGULAR,foul,personal,[],1629640,,,1610612763,9,15,2022-03-01T01:19:39Z,590000,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1630217]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Bane,1630217.0,
61,PT07M57.00S,2022-03-01T01:17:55.7Z,1,REGULAR,3pt,Jump Shot,[],1629630,38.05847568988173,22.30392156862745,1610612763,12,15,2022-03-01T01:17:59Z,610000,138.0,305.0,1,left,J. Morant 33' 3PT pullup (6 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,,,,33.52,Made,6.0,,,,,,,,,,,,,,,
62,PT07M40.00S,2022-03-01T01:18:12.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,82.21090670170827,27.450980392156865,1610612759,12,15,2022-03-01T01:18:15Z,620000,-113.0,115.0,1,right,MISS D. Murray 16' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,16.08,Missed,,,,,,,,,,,,,,,,
63,PT07M37.00S,2022-03-01T01:18:15.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,12,15,2022-03-01T01:18:15Z,630000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,62.0,,,,1.0,1.0,0.0,,,,,,
64,PT07M31.00S,2022-03-01T01:18:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,9.411957950065702,55.88235294117647,1610612763,14,15,2022-03-01T01:18:24Z,640000,-29.0,36.0,1,left,J. Morant driving floating Jump Shot (8 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,,,,4.65,Made,8.0,,,,,,,,,,,,,,,
65,PT07M31.00S,2022-03-01T01:18:25.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,14,15,2022-03-01T01:18:25Z,650000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M13.00S,2022-03-01T01:21:47.2Z,1,REGULAR,2pt,Jump Shot,[],1630170,72.61826544021025,57.35294117647059,1610612759,14,15,2022-03-01T01:21:52Z,660000,37.0,205.0,1,right,MISS D. Vassell 20' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,,,,20.82,Missed,,,,,,,,,,,,,,,,
68,PT07M08.00S,2022-03-01T01:21:52.2Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,14,15,2022-03-01T01:21:52Z,670000,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,67.0,,,,1.0,0.0,1.0,,,,,,
69,PT07M02.00S,2022-03-01T01:21:58.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,69.85873850197109,72.79411764705883,1610612759,14,15,2022-03-01T01:22:02Z,680000,114.0,231.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,25.74,Missed,,,,,,,,,,,,,,,,
70,PT06M58.00S,2022-03-01T01:22:02.0Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,14,15,2022-03-01T01:22:02Z,690000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,69.0,,,,2.0,2.0,0.0,,,,,,
71,PT06M49.00S,2022-03-01T01:22:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.521024967148489,48.77450980392157,1610612763,16,15,2022-03-01T01:22:13Z,700000,6.0,9.0,1,left,J. Morant driving finger roll Layup (10 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,,,,1.07,Made,10.0,,,,,,,,,,,,,,,
72,PT06M40.00S,2022-03-01T01:22:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.72339027595268,48.28431372549019,1610612759,16,15,2022-03-01T01:22:23Z,710000,-9.0,16.0,1,right,MISS D. Murray driving finger roll Layup,[1627749],1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,,,,1.81,Missed,,,,,,,,,,,,,,,,
73,PT06M38.00S,2022-03-01T01:22:21.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,16,15,2022-03-01T01:22:23Z,720000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,72.0,,,,3.0,2.0,1.0,,,,,,
74,PT06M33.00S,2022-03-01T01:22:26.6Z,1,REGULAR,turnover,lost ball,[],1629630,,,1610612763,16,15,2022-03-01T01:22:29Z,730000,,,0,,J. Morant lost ball TURNOVER (2 TO),"[1629630, 1629640]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,2.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,,
75,PT06M33.00S,2022-03-01T01:22:26.6Z,1,REGULAR,steal,,[],1629640,,,1610612759,16,15,2022-03-01T01:22:28Z,740000,,,0,,K. Johnson STEAL (2 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M33.00S,2022-03-01T01:22:29.0Z,1,REGULAR,foul,personal,[],203500,,,1610612759,16,15,2022-03-01T01:22:41Z,750000,,,0,,S. Adams take personal FOUL (1 PF),"[203500, 1629640]",1610612763.0,MEM,take,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,202026.0,1.0,0.0,Johnson,1629640.0,
78,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612759,16,15,2022-03-01T01:22:56Z,770000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,out,[],1628991,,,1610612759,16,15,2022-03-01T01:22:56Z,780000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,out,[],203926,,,1610612759,16,15,2022-03-01T01:22:56Z,790000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,in,[],203937,,,1610612759,16,15,2022-03-01T01:22:56Z,800000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,in,[],1629001,,,1610612759,16,15,2022-03-01T01:22:56Z,810000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M33.00S,2022-03-01T01:22:40.1Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,16,15,2022-03-01T01:22:56Z,820000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M19.00S,2022-03-01T01:23:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629022,94.95729303547962,54.41176470588235,1610612759,16,15,2022-03-01T01:23:12Z,830000,22.0,-5.0,1,right,MISS L. Walker IV driving Layup - blocked,"[1629022, 203500]",1610612759.0,SAS,driving,,,Walker IV,L. Walker IV,,,,,,,,2.27,Missed,,Adams,203500.0,,,,,,,,,,,,,
85,PT06M19.00S,2022-03-01T01:23:07.6Z,1,REGULAR,block,,[],203500,,,1610612759,16,15,2022-03-01T01:23:09Z,840000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M14.00S,2022-03-01T01:23:12.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,16,15,2022-03-01T01:23:12Z,850000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,84.0,,,,2.0,2.0,0.0,,,,,,
87,PT06M03.00S,2022-03-01T01:23:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,6.1268068331143235,47.05882352941176,1610612763,16,15,2022-03-01T01:23:28Z,860000,15.0,5.0,1,left,MISS J. Morant driving reverse Layup,[1629630],1610612763.0,MEM,driving reverse,,,Morant,J. Morant,,,,,,,,1.56,Missed,,,,,,,,,,,,,,,,
88,PT06M00.00S,2022-03-01T01:23:26.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,16,15,2022-03-01T01:23:28Z,870000,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,87.0,,,,2.0,2.0,0.0,,,,,,
89,PT05M45.00S,2022-03-01T01:23:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,85.89027595269383,41.42156862745098,1610612759,16,17,2022-03-01T01:23:46Z,880000,-43.0,80.0,1,right,J. Poeltl 9' floating Jump Shot (6 PTS),[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,,,,9.09,Made,6.0,,,,,,,,,,,,,,,
