actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
20,PT10M54.00S,2022-03-25T00:11:49.0Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,0,2022-03-25T00:11:49Z,200000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M52.00S,2022-03-25T00:11:51.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628991,31.35676741130092,62.5,1610612763,2,0,2022-03-25T00:11:56Z,210000,-62.0,242.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,
22,PT10M52.00S,2022-03-25T00:11:51.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,0,2022-03-25T00:11:56Z,220000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
23,PT10M51.00S,2022-03-25T00:11:56.3Z,1,REGULAR,foul,personal,[],1629048,,,1610612763,2,0,2022-03-25T00:12:06Z,230000,,,0,,G. Bitadze loose ball personal FOUL (1 PF),"[1629048, 203500]",1610612754.0,IND,loose ball,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Adams,203500.0
25,PT10M43.00S,2022-03-25T00:12:17.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630217,30.042706964520367,27.941176470588236,1610612763,5,0,2022-03-25T00:12:22Z,250000,110.0,230.0,1,left,D. Bane 25' 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1630217, 1628991]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,25.5,Made,,,,,3.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,
27,PT10M29.00S,2022-03-25T00:12:31.8Z,1,REGULAR,3pt,Jump Shot,[],1626147,64.99671484888306,30.14705882352941,1610612754,5,0,2022-03-25T00:12:36Z,270000,-99.0,277.0,1,right,MISS J. Anderson 29' 3PT,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,29.38,Missed,,,,,,,,,,,,,,,,,,
28,PT10M27.00S,2022-03-25T00:12:33.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,5,0,2022-03-25T00:12:36Z,280000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,PT10M05.00S,2022-03-25T00:12:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.485545335085414,44.85294117647059,1610612763,5,0,2022-03-25T00:13:03Z,290000,26.0,74.0,1,left,MISS J. Jackson Jr. 7' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,7.86,Missed,,,,,,,,,,,,,,,,,,
30,PT10M01.00S,2022-03-25T00:13:00.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,5,0,2022-03-25T00:13:00Z,300000,,,0,,S. Adams REBOUND (Off:2 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,29.0,3.0,1.0,2.0,,,,,,,,,,,,,,
46,PT10M01.00S,2022-03-25T00:12:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,7.046649145860711,49.754901960784316,1610612763,5,0,2022-03-25T00:17:09Z,305000,1.0,14.0,1,left,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,1.38,Missed,,,,,,,,,,,,,,,,,,
47,PT10M01.00S,2022-03-25T00:12:58.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,5,0,2022-03-25T00:17:09Z,307500,,,0,,S. Adams REBOUND (Off:3 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,46.0,4.0,1.0,3.0,,,,,,,,,,,,,,
31,PT10M01.00S,2022-03-25T00:13:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,5.590000152587891,50.0,1610612763,5,0,2022-03-25T00:16:51Z,310000,0.0,0.0,1,left,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
32,PT10M00.00S,2022-03-25T00:13:01.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,5,0,2022-03-25T00:15:07Z,320000,,,0,,S. Adams REBOUND (Off:4 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,31.0,5.0,1.0,4.0,,,,,,,,,,,,,,
33,PT09M58.00S,2022-03-25T00:13:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,6.389618922470433,49.26470588235294,1610612763,7,0,2022-03-25T00:13:13Z,330000,4.0,8.0,1,left,S. Adams reverse Layup (4 PTS),[203500],1610612763.0,MEM,reverse,,,Adams,S. Adams,,,,,0.85,Made,,,,,4.0,,,,,,,,,,,,,
34,PT09M47.00S,2022-03-25T00:13:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,82.60512483574244,54.65686274509803,1610612754,7,0,2022-03-25T00:14:38Z,340000,23.0,111.0,1,right,MISS T. Haliburton 11' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,11.34,Missed,,,,,,,,,,,,,,,,,,
35,PT09M46.00S,2022-03-25T00:13:15.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,7,0,2022-03-25T00:13:21Z,350000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M41.00S,2022-03-25T00:13:20.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,26.806833114323254,82.32996323529412,1610612763,10,0,2022-03-25T00:15:55Z,360000,-162.0,199.0,1,left,D. Bane 25' 3PT step back (6 PTS),[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,25.67,Made,,,,,6.0,,,,,,,,,,,,,
37,PT09M23.00S,2022-03-25T00:13:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629048,84.57621550591328,52.94117647058824,1610612754,10,2,2022-03-25T00:13:45Z,370000,15.0,92.0,1,right,G. Bitadze 9' floating Jump Shot (2 PTS) (B. Hield 1 AST),"[1629048, 1627741]",1610612754.0,IND,floating,,,Bitadze,G. Bitadze,,,,,9.37,Made,,,,,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,
39,PT09M09.00S,2022-03-25T00:13:51.9Z,1,REGULAR,3pt,Jump Shot,[],1628991,5.601182654402102,3.9215686274509802,1610612763,13,2,2022-03-25T00:13:56Z,390000,230.0,0.0,1,left,J. Jackson Jr. 3PT  (3 PTS) (Z. Williams 1 AST),"[1628991, 1630533]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,23.04,Made,,,,,3.0,Z. Williams,1630533.0,1.0,,,,,,,,,,
41,PT09M00.00S,2022-03-25T00:14:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,93.51182654402102,51.71568627450981,1610612754,13,2,2022-03-25T00:14:06Z,410000,9.0,8.0,1,right,MISS B. Hield driving finger roll Layup - blocked,"[1627741, 1628991]",1610612754.0,IND,driving finger roll,,,Hield,B. Hield,,,,,1.21,Missed,,,,,,,,,Jackson Jr.,1628991.0,,,,,,,,
45,PT09M00.00S,2022-03-25T00:14:00.9Z,1,REGULAR,block,,[],1628991,,,1610612754,13,2,2022-03-25T00:15:24Z,415000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M58.00S,2022-03-25T00:14:02.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,13,2,2022-03-25T00:14:06Z,420000,,,0,,S. Adams REBOUND (Off:4 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,41.0,6.0,2.0,4.0,,,,,,,,,,,,,,
43,PT08M54.00S,2022-03-25T00:14:07.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630217,5.732588699080158,49.26470588235294,1610612763,15,2,2022-03-25T00:14:27Z,430000,4.0,1.0,1,left,D. Bane running reverse Layup (8 PTS),[1630217],1610612763.0,MEM,running reverse,,,Bane,D. Bane,,,,,0.4,Made,,,,,8.0,,,,,,,,,,,,,
44,PT08M54.00S,2022-03-25T00:14:15.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,2,2022-03-25T00:14:15Z,440000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M37.00S,2022-03-25T00:17:17.5Z,1,REGULAR,2pt,Jump Shot,[],1630169,86.5473061760841,31.61764705882353,1610612754,15,2,2022-03-25T00:17:24Z,450000,-92.0,74.0,1,right,MISS T. Haliburton 11' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,11.8,Missed,,,,,,,,,,,,,,,,,,
49,PT08M36.00S,2022-03-25T00:17:18.5Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,15,2,2022-03-25T00:17:24Z,460000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT08M33.00S,2022-03-25T00:17:21.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629052,68.54467805519053,35.049019607843135,1610612754,15,2,2022-03-25T00:17:27Z,470000,-75.0,243.0,1,right,MISS O. Brissett 25' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
51,PT08M33.00S,2022-03-25T00:17:21.7Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,15,2,2022-03-25T00:17:27Z,480000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT08M23.00S,2022-03-25T00:17:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,10.33180026281209,44.11764705882353,1610612763,17,2,2022-03-25T00:17:38Z,490000,29.0,45.0,1,left,J. Jackson Jr. driving floating Jump Shot (5 PTS),[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,5.34,Made,,,,,5.0,,,,,,,,,,,,,
54,PT08M15.00S,2022-03-25T00:17:46.9Z,1,REGULAR,foul,personal,[],1628991,,,1610612754,17,2,2022-03-25T00:27:34Z,510000,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 1629052]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Brissett,1629052.0
56,PT08M15.00S,2022-03-25T00:17:51.4Z,1,REGULAR,substitution,out,[],1629048,,,1610612754,17,2,2022-03-25T00:17:55Z,530000,,,0,,SUB out: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M15.00S,2022-03-25T00:17:51.4Z,1,REGULAR,substitution,in,[],1630678,,,1610612754,17,2,2022-03-25T00:17:55Z,540000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M10.00S,2022-03-25T00:18:04.8Z,1,REGULAR,2pt,Jump Shot,[],1627741,73.40670170827858,60.5392156862745,1610612754,17,4,2022-03-25T00:18:09Z,550000,53.0,197.0,1,right,B. Hield 20' pullup Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,20.44,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
60,PT07M49.00S,2022-03-25T00:18:34.1Z,1,REGULAR,foul,personal,[],1629052,,,1610612763,17,4,2022-03-25T00:18:45Z,570000,,,0,,O. Brissett personal FOUL (1 PF),"[1629052, 1628991]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Jackson Jr.,1628991.0
62,PT07M47.00S,2022-03-25T00:18:46.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,31.882391590013142,48.03921568627451,1610612763,20,4,2022-03-25T00:18:50Z,590000,10.0,247.0,1,left,J. Jackson Jr. 24' 3PT  (8 PTS) (Z. Williams 2 AST),"[1628991, 1630533]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.74,Made,,,,,8.0,Z. Williams,1630533.0,2.0,,,,,,,,,,
64,PT07M33.00S,2022-03-25T00:19:00.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626147,93.24901445466492,50.73529411764706,1610612754,20,4,2022-03-25T00:19:04Z,610000,4.0,11.0,1,right,MISS J. Anderson DUNK - blocked,"[1626147, 203500]",1610612754.0,IND,,,,Anderson,J. Anderson,,,,,1.16,Missed,,,,,,,,,Adams,203500.0,,,,,,,,
65,PT07M33.00S,2022-03-25T00:19:00.9Z,1,REGULAR,block,,[],203500,,,1610612754,20,4,2022-03-25T00:19:03Z,620000,,,0,,S. Adams BLOCK (2 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M30.00S,2022-03-25T00:19:03.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,20,4,2022-03-25T00:19:04Z,630000,,,0,,S. Adams REBOUND (Off:4 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,64.0,7.0,3.0,4.0,,,,,,,,,,,,,,
67,PT07M26.00S,2022-03-25T00:19:10.0Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,20,4,2022-03-25T00:19:19Z,640000,,,0,,J. Jackson Jr. bad pass out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,bad pass,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,1.0,,,202049.0,,,,
68,PT07M26.00S,2022-03-25T00:19:18.7Z,1,REGULAR,substitution,out,[],1630217,,,1610612754,20,4,2022-03-25T00:19:20Z,650000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M26.00S,2022-03-25T00:19:18.7Z,1,REGULAR,substitution,in,[],1629001,,,1610612754,20,4,2022-03-25T00:19:20Z,660000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M12.00S,2022-03-25T00:19:37.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627741,81.68528252299606,39.950980392156865,1610612754,20,6,2022-03-25T00:19:44Z,670000,-50.0,120.0,1,right,B. Hield 12' step back Jump Shot (4 PTS),[1627741],1610612754.0,IND,step back,,,Hield,B. Hield,,,,,12.98,Made,,,,,4.0,,,,,,,,,,,,,
72,PT06M52.00S,2022-03-25T00:19:56.8Z,1,REGULAR,3pt,Jump Shot,[],1629001,32.013797634691194,27.205882352941174,1610612763,20,6,2022-03-25T00:20:02Z,690000,114.0,248.0,1,left,MISS D. Melton 27' pullup 3PT,[1629001],1610612763.0,MEM,pullup,,,Melton,D. Melton,,,,,27.33,Missed,,,,,,,,,,,,,,,,,,
73,PT06M51.00S,2022-03-25T00:19:57.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,20,6,2022-03-25T00:20:02Z,700000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,
74,PT06M51.00S,2022-03-25T00:20:02.0Z,1,REGULAR,foul,personal,[],1630678,,,1610612763,20,6,2022-03-25T00:20:10Z,710000,,,0,,T. Taylor loose ball personal FOUL (1 PF),"[1630678, 203500]",1610612754.0,IND,loose ball,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Adams,203500.0
76,PT06M44.00S,2022-03-25T00:20:27.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,30.56833114323259,31.372549019607842,1610612763,23,6,2022-03-25T00:20:32Z,730000,93.0,235.0,1,left,T. Jones 25' 3PT pullup (3 PTS),[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,25.26,Made,,,,,3.0,,,,,,,,,,,,,
77,PT06M36.00S,2022-03-25T00:20:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,92.72339027595268,52.69607843137255,1610612754,23,8,2022-03-25T00:20:50Z,740000,13.0,16.0,1,right,T. Haliburton driving Layup (2 PTS),[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,2.09,Made,,,,,2.0,,,,,,,,,,,,,
78,PT06M36.00S,2022-03-25T00:20:44.2Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612754,23,8,2022-03-25T00:20:53Z,750000,,,0,,J. Jackson Jr. shooting personal FOUL (2 PF) (Haliburton 1 FT),"[1628991, 1630169]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Haliburton,1630169.0
80,PT06M36.00S,2022-03-25T00:20:48.3Z,1,REGULAR,substitution,out,[],1628991,,,1610612754,23,8,2022-03-25T00:21:22Z,770000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M36.00S,2022-03-25T00:20:48.3Z,1,REGULAR,substitution,in,[],203937,,,1610612754,23,8,2022-03-25T00:21:22Z,780000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M36.00S,2022-03-25T00:21:12.3Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,23,9,2022-03-25T00:21:12Z,790000,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
83,PT06M25.00S,2022-03-25T00:21:25.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,4.28712220762155,95.58823529411765,1610612763,23,9,2022-03-25T00:21:29Z,800000,-228.0,-12.0,1,left,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,
84,PT06M22.00S,2022-03-25T00:21:28.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,23,9,2022-03-25T00:21:29Z,810000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT06M13.00S,2022-03-25T00:21:36.8Z,1,REGULAR,3pt,Jump Shot,[],1630678,95.48291721419186,94.6078431372549,1610612754,23,12,2022-03-25T00:21:41Z,820000,223.0,-10.0,1,right,T. Taylor 3PT  (3 PTS) (J. Anderson 1 AST),"[1630678, 1626147]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,22.32,Made,,,,,3.0,J. Anderson,1626147.0,1.0,,,,,,,,,,
87,PT06M03.00S,2022-03-25T00:21:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,11.777266754270697,47.549019607843135,1610612763,25,12,2022-03-25T00:21:50Z,840000,12.0,58.0,1,left,K. Anderson driving floating Jump Shot (2 PTS) (D. Melton 1 AST),"[203937, 1629001]",1610612763.0,MEM,driving floating,,,Anderson,K. Anderson,,,,,5.95,Made,,,,,2.0,D. Melton,1629001.0,1.0,,,,,,,,,,
89,PT05M51.00S,2022-03-25T00:21:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,87.86136662286465,46.81372549019608,1610612754,25,12,2022-03-25T00:22:04Z,860000,-16.0,62.0,1,right,MISS B. Hield 6' fadeaway Shot,[1627741],1610612754.0,IND,fadeaway,,,Hield,B. Hield,,,,,6.36,Missed,,,,,,,,,,,,,,,,,,
90,PT05M49.00S,2022-03-25T00:22:01.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,25,12,2022-03-25T00:22:04Z,870000,,,0,,S. Adams REBOUND (Off:4 Def:4),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,89.0,8.0,4.0,4.0,,,,,,,,,,,,,,
