actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
17,PT10M55.00S,2022-04-10T23:19:10.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,3,2022-04-10T23:19:10Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2022-04-10T23:19:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203937,91.80354796320631,56.86274509803921,1610612763,0,3,2022-04-10T23:20:34Z,180000,34.0,25.0,1,right,MISS K. Anderson driving finger roll Layup,[203937],1610612763.0,MEM,driving finger roll,,,Anderson,K. Anderson,,,,,,,,4.22,Missed,,,,,,,,,,,,,,,,
19,PT10M46.00S,2022-04-10T23:19:27.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,3,2022-04-10T23:19:37Z,190000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M36.00S,2022-04-10T23:19:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,5.995400788436268,46.32352941176471,1610612738,0,5,2022-04-10T23:19:42Z,200000,18.0,4.0,1,left,A. Horford Layup (2 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,1.88,Made,,,,,,,,,,2.0,,,,,,
21,PT10M17.00S,2022-04-10T23:19:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630533,73.01248357424441,78.43137254901961,1610612763,0,5,2022-04-10T23:20:00Z,210000,142.0,201.0,1,right,MISS Z. Williams 24' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,24.64,Missed,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-04-10T23:19:58.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,5,2022-04-10T23:20:00Z,220000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M07.00S,2022-04-10T23:20:07.0Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,0,5,2022-04-10T23:20:11Z,230000,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 203937]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,Anderson,203937.0,,,,,,,,,,,,,,,,,,
24,PT10M07.00S,2022-04-10T23:20:07.0Z,1,REGULAR,steal,,[],203937,,,1610612763,0,5,2022-04-10T23:20:57Z,240000,,,0,,K. Anderson STEAL (1 STL),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M03.00S,2022-04-10T23:20:12.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612763,0,5,2022-04-10T23:20:20Z,250000,,,0,,J. Brown shooting personal FOUL (1 PF) (Anderson 2 FT),"[1627759, 203937]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,201245.0,1.0,0.0,Anderson,203937.0,,,,,,,
27,PT10M03.00S,2022-04-10T23:20:40.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203937,,,1610612763,0,5,2022-04-10T23:20:40Z,270000,,,0,,MISS K. Anderson Free Throw 1 of 2,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,Missed,,,,,,,,,,,,,,,,
28,PT10M03.00S,2022-04-10T23:20:40.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,0,5,2022-04-10T23:20:40Z,280000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,
29,PT10M03.00S,2022-04-10T23:20:54.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203937,,,1610612763,1,5,2022-04-10T23:20:54Z,290000,,,0,,K. Anderson Free Throw 2 of 2 (1 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,Made,,,,,,,,,,1.0,,,,,,
30,PT09M51.00S,2022-04-10T23:21:07.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,6.389618922470433,50.49019607843137,1610612738,1,7,2022-04-10T23:21:14Z,300000,-2.0,8.0,1,left,J. Tatum alley-oop DUNK (2 PTS) (D. Theis 2 AST),"[1628369, 1628464]",1610612738.0,BOS,alley-oop,,,Tatum,J. Tatum,,,,,,,,0.8,Made,,,,,,,,,,2.0,D. Theis,1628464.0,2.0,,,
32,PT09M35.00S,2022-04-10T23:21:22.9Z,1,REGULAR,3pt,Jump Shot,[],1629723,71.96123521681997,18.627450980392158,1610612763,1,7,2022-04-10T23:21:28Z,320000,-157.0,211.0,1,right,MISS J. Konchar 26' pullup 3PT,[1629723],1610612763.0,MEM,pullup,,,Konchar,J. Konchar,,,,,,,,26.3,Missed,,,,,,,,,,,,,,,,
33,PT09M32.00S,2022-04-10T23:21:25.9Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,1,7,2022-04-10T23:21:28Z,330000,,,0,,K. Anderson REBOUND (Off:1 Def:0),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,
34,PT09M28.00S,2022-04-10T23:21:30.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629001,91.27792378449409,95.34313725490196,1610612763,4,7,2022-04-10T23:21:34Z,340000,227.0,29.0,1,right,D. Melton 3PT  (3 PTS) (K. Anderson 1 AST),"[1629001, 203937]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,22.86,Made,,,,,,,,,,3.0,K. Anderson,203937.0,1.0,,,
36,PT09M23.00S,2022-04-10T23:21:35.2Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,4,7,2022-04-10T23:21:38Z,360000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629723]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.0,Konchar,1629723.0,,,,,,,,,,,,,,,,,,
37,PT09M23.00S,2022-04-10T23:21:35.2Z,1,REGULAR,steal,,[],1629723,,,1610612763,4,7,2022-04-10T23:21:37Z,370000,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M21.00S,2022-04-10T23:21:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629723,93.24901445466492,44.6078431372549,1610612763,4,7,2022-04-10T23:21:42Z,380000,-27.0,11.0,1,right,MISS J. Konchar driving Layup,[1629723],1610612763.0,MEM,driving,,,Konchar,J. Konchar,,,,,,,,2.92,Missed,,,,,,,,,,,,,,,,
39,PT09M19.00S,2022-04-10T23:21:39.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,7,2022-04-10T23:21:42Z,390000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
40,PT09M08.00S,2022-04-10T23:21:51.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.107095926412615,81.61764705882352,1610612738,4,9,2022-04-10T23:22:00Z,400000,-158.0,146.0,1,left,J. Brown 21' step back Jump Shot (5 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,21.51,Made,,,,,,,,,,5.0,,,,,,
41,PT08M59.00S,2022-04-10T23:21:59.7Z,1,REGULAR,3pt,Jump Shot,[],1629001,86.67871222076215,95.58823529411765,1610612763,4,9,2022-04-10T23:22:04Z,410000,228.0,73.0,1,right,MISS D. Melton pullup 3PT,[1629001],1610612763.0,MEM,pullup,,,Melton,D. Melton,,,,,,,,23.92,Missed,,,,,,,,,,,,,,,,
42,PT08M55.00S,2022-04-10T23:22:03.4Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612763,4,9,2022-04-10T23:22:03Z,420000,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,
43,PT08M53.00S,2022-04-10T23:22:05.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203937,73.40670170827858,17.892156862745097,1610612763,7,9,2022-04-10T23:22:10Z,430000,-161.0,197.0,1,right,K. Anderson 25' 3PT pullup (4 PTS) (D. Melton 1 AST),"[203937, 1629001]",1610612763.0,MEM,pullup,,,Anderson,K. Anderson,,,,,,,,25.45,Made,,,,,,,,,,4.0,D. Melton,1629001.0,1.0,,,
45,PT08M36.00S,2022-04-10T23:22:22.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,25.57490144546649,18.38235294117647,1610612738,7,9,2022-04-10T23:22:26Z,450000,158.0,188.0,1,left,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,24.56,Missed,,,,,,,,,,,,,,,,
46,PT08M33.00S,2022-04-10T23:22:25.4Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,7,9,2022-04-10T23:22:26Z,460000,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT08M28.00S,2022-04-10T23:22:33.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,7,9,2022-04-10T23:22:33Z,470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M22.00S,2022-04-10T23:22:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,91.80354796320631,40.19607843137255,1610612763,7,9,2022-04-10T23:23:01Z,480000,-49.0,25.0,1,right,MISS K. Anderson driving Layup,[203937],1610612763.0,MEM,driving,,,Anderson,K. Anderson,,,,,,,,5.48,Missed,,,,,,,,,,,,,,,,
49,PT08M18.00S,2022-04-10T23:23:00.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,9,2022-04-10T23:23:01Z,490000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT08M14.00S,2022-04-10T23:23:03.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,6.521024967148489,53.431372549019606,1610612738,7,11,2022-04-10T23:23:11Z,500000,-17.0,9.0,1,left,J. Tatum running finger roll Layup (4 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,,,,1.93,Made,,,,,,,,,,4.0,M. Smart,203935.0,1.0,,,
52,PT08M05.00S,2022-04-10T23:23:16.4Z,1,REGULAR,foul,offensive,[],1630214,,,1610612763,7,11,2022-04-10T23:23:23Z,520000,,,0,,X. Tillman offensive FOUL (1 PF),"[1630214, 203935]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,2882.0,1.0,0.0,Smart,203935.0,,,,,,,
54,PT08M05.00S,2022-04-10T23:23:16.4Z,1,REGULAR,turnover,offensive foul,[],1630214,,,1610612763,7,11,2022-04-10T23:23:16Z,540000,,,0,,X. Tillman offensive foul TURNOVER (1 TO),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,1.0,,,,,,,,,2882.0,,,,,,,,,,,
55,PT08M05.00S,2022-04-10T23:23:39.2Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,7,11,2022-04-10T23:24:33Z,550000,,,0,,,[],,,stands,,,,,,,,,,,,,,,,,,2882.0,,,,,,,,,Common Foul Upheld,,
57,PT07M52.00S,2022-04-10T23:25:14.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,7.046649145860711,74.26470588235294,1610612738,7,11,2022-04-10T23:25:40Z,570000,-121.0,14.0,1,left,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,,12.21,Missed,,,,,,,,,,,,,,,,
58,PT07M49.00S,2022-04-10T23:25:17.0Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,7,11,2022-04-10T23:25:17Z,580000,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,
59,PT07M40.00S,2022-04-10T23:25:26.2Z,1,REGULAR,3pt,Jump Shot,[],1630533,76.2976346911958,87.25490196078431,1610612763,7,11,2022-04-10T23:25:43Z,590000,186.0,170.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,25.24,Missed,,,,,,,,,,,,,,,,
60,PT07M38.00S,2022-04-10T23:25:28.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,11,2022-04-10T23:25:43Z,600000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,
62,PT07M29.00S,2022-04-10T23:25:40.9Z,1,REGULAR,foul,personal,[],1629001,,,1610612738,7,11,2022-04-10T23:25:46Z,620000,,,0,,D. Melton personal FOUL (2 PF),"[1629001, 1627759]",1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,2530.0,2.0,0.0,Brown,1627759.0,,,,,,,
64,PT07M29.00S,2022-04-10T23:25:56.5Z,1,REGULAR,substitution,out,[],1629001,,,1610612738,7,11,2022-04-10T23:25:59Z,640000,,,0,,SUB out: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M29.00S,2022-04-10T23:25:56.5Z,1,REGULAR,substitution,in,[],1629633,,,1610612738,7,11,2022-04-10T23:25:59Z,650000,,,0,,SUB in: J. Culver,[1629633],1610612763.0,MEM,,,,Culver,J. Culver,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M21.00S,2022-04-10T23:26:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.652431011826544,42.15686274509804,1610612738,7,11,2022-04-10T23:37:53Z,660000,39.0,10.0,1,left,MISS J. Tatum reverse Layup - blocked,"[1628369, 203937]",1610612738.0,BOS,reverse,,,Tatum,J. Tatum,,,,,,,,4.05,Missed,,,,,,,,,,,,,,,Anderson,203937.0
67,PT07M21.00S,2022-04-10T23:26:09.0Z,1,REGULAR,block,,[],203937,,,1610612738,7,11,2022-04-10T23:26:11Z,670000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M16.00S,2022-04-10T23:26:14.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,7,11,2022-04-10T23:26:23Z,680000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,,,,,,,,
69,PT07M16.00S,2022-04-10T23:26:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628464,5.590000152587891,50.0,1610612738,7,13,2022-04-10T23:26:13Z,690000,0.0,0.0,1,left,D. Theis tip Layup (2 PTS),[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,,,,0.0,Made,,,,,,,,,,2.0,,,,,,
70,PT07M09.00S,2022-04-10T23:26:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629633,86.28449408672799,44.36274509803921,1610612763,7,13,2022-04-10T23:27:36Z,700000,-28.0,76.0,1,right,MISS J. Culver 8' driving floating Shot,[1629633],1610612763.0,MEM,driving floating,,,Culver,J. Culver,,,,,,,,8.14,Missed,,,,,,,,,,,,,,,,
71,PT07M09.00S,2022-04-10T23:26:21.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,13,2022-04-10T23:26:26Z,710000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,
72,PT07M00.00S,2022-04-10T23:26:29.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,7,13,2022-04-10T23:26:34Z,720000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203937]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1.0,Anderson,203937.0,,,,,,,,,,,,,,,,,,
73,PT07M00.00S,2022-04-10T23:26:29.6Z,1,REGULAR,steal,,[],203937,,,1610612763,7,13,2022-04-10T23:27:44Z,730000,,,0,,K. Anderson STEAL (2 STL),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M54.00S,2022-04-10T23:26:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629633,92.72339027595268,42.8921568627451,1610612763,7,13,2022-04-10T23:26:47Z,740000,-36.0,16.0,1,right,MISS J. Culver running Layup,[1629633],1610612763.0,MEM,running,,,Culver,J. Culver,,,,,,,,3.89,Missed,,,,,,,,,,,,,,,,
75,PT06M52.00S,2022-04-10T23:26:38.0Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,7,13,2022-04-10T23:26:38Z,750000,,,0,,X. Tillman REBOUND (Off:1 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,,,,
76,PT06M52.00S,2022-04-10T23:26:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629723,92.32917214191852,53.67647058823529,1610612763,9,13,2022-04-10T23:27:00Z,760000,18.0,20.0,1,right,J. Konchar cutting finger roll Layup (2 PTS) (X. Tillman 1 AST),"[1629723, 1630214]",1610612763.0,MEM,cutting finger roll,,,Konchar,J. Konchar,,,,,,,,2.69,Made,,,,,,,,,,2.0,X. Tillman,1630214.0,1.0,,,
78,PT06M52.00S,2022-04-10T23:26:42.4Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612763,9,13,2022-04-10T23:27:38Z,780000,,,0,,J. Brown shooting personal FOUL (2 PF) (Konchar 1 FT),"[1627759, 1629723]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,201245.0,2.0,0.0,Konchar,1629723.0,,,,,,,
80,PT06M52.00S,2022-04-10T23:27:02.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,9,13,2022-04-10T23:27:44Z,800000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M52.00S,2022-04-10T23:29:41.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612763,9,13,2022-04-10T23:29:56Z,810000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M52.00S,2022-04-10T23:29:41.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612763,9,13,2022-04-10T23:29:56Z,820000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M52.00S,2022-04-10T23:30:10.9Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1629723,,,1610612763,9,13,2022-04-10T23:30:10Z,830000,,,0,,MISS J. Konchar Free Throw 1 of 1,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,Missed,,,,,,,,,,,,,,,,
84,PT06M50.00S,2022-04-10T23:30:12.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,13,2022-04-10T23:30:12Z,840000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,
85,PT06M37.00S,2022-04-10T23:30:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,10.85742444152431,37.745098039215684,1610612738,9,15,2022-04-10T23:30:32Z,850000,61.0,50.0,1,left,J. Tatum 7' driving Layup (6 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,7.89,Made,,,,,,,,,,6.0,D. White,1628401.0,1.0,,,
87,PT06M17.00S,2022-04-10T23:30:46.0Z,1,REGULAR,3pt,Jump Shot,[],1629633,76.5604467805519,86.02941176470588,1610612763,9,15,2022-04-10T23:30:51Z,870000,180.0,168.0,1,right,MISS J. Culver 24' pullup 3PT,[1629633],1610612763.0,MEM,pullup,,,Culver,J. Culver,,,,,,,,24.62,Missed,,,,,,,,,,,,,,,,
88,PT06M13.00S,2022-04-10T23:30:50.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,9,15,2022-04-10T23:30:51Z,880000,,,0,,D. Theis REBOUND (Off:1 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,87.0,4.0,3.0,1.0,,,,,,,,,,,,
89,PT05M59.00S,2022-04-10T23:31:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.488173455978973,42.40196078431372,1610612738,9,18,2022-04-10T23:31:07Z,890000,38.0,243.0,1,left,J. Tatum 24' 3PT  (9 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,24.64,Made,,,,,,,,,,9.0,M. Smart,203935.0,2.0,,,
91,PT05M43.00S,2022-04-10T23:31:18.7Z,1,REGULAR,3pt,Jump Shot,[],1630533,71.30420499342969,76.47058823529412,1610612763,12,18,2022-04-10T23:31:23Z,910000,132.0,217.0,1,right,Z. Williams 25' 3PT  (3 PTS) (J. Konchar 1 AST),"[1630533, 1629723]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,25.44,Made,,,,,,,,,,3.0,J. Konchar,1629723.0,1.0,,,
93,PT05M23.00S,2022-04-10T23:31:39.9Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,12,18,2022-04-10T23:31:44Z,930000,,,0,,A. Horford bad pass TURNOVER (2 TO),"[201143, 1630214]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,2.0,Tillman,1630214.0,,,,,,,,,,,,,,,,,,
