actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT11M05.00S,2025-12-30T00:11:49.5Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,0,0,2025-12-30T00:11:51Z,170000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,16.0,,,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M58.00S,2025-12-30T00:11:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,30.56833114323259,66.66666666666666,1610612749,0,0,2025-12-30T00:12:01Z,180000,False,-83.0,235.0,1,left,MISS K. Porter Jr. 24' 3PT,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.91,Missed,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2025-12-30T00:11:59.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2025-12-30T00:12:01Z,190000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,18.0,,,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M48.00S,2025-12-30T00:12:07.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,90.75229960578186,4.166666666666666,1610612766,3,0,2025-12-30T00:15:49Z,200000,False,-229.0,34.0,1,right,L. Ball 3PT running (3 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,23.18,Made,,,,,,,3.0,B. Miller,1641706.0,1.0,,,,,,,,
22,PT10M31.00S,2025-12-30T00:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],1629645,21.632720105124836,89.2156862745098,1610612749,3,3,2025-12-30T00:12:28Z,220000,False,-196.0,151.0,1,left,K. Porter Jr. 24' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1629645, 203507]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.74,Made,,,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,
24,PT10M23.00S,2025-12-30T00:12:37.4Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612766,3,3,2025-12-30T00:12:48Z,240000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Ball 2 FT),"[1626167, 1630163]",1610612749.0,MIL,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1151.0,1.0,0.0,Ball,1630163.0,,,
26,PT10M23.00S,2025-12-30T00:13:01.0Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,4,3,2025-12-30T00:13:01Z,260000,False,,,0,,L. Ball Free Throw 1 of 2 (4 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
27,PT10M23.00S,2025-12-30T00:13:15.6Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,5,3,2025-12-30T00:13:15Z,270000,False,,,0,,L. Ball Free Throw 2 of 2 (5 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
28,PT10M03.00S,2025-12-30T00:13:37.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,30.962549277266753,66.17647058823529,1610612749,5,6,2025-12-30T00:13:44Z,280000,False,-81.0,239.0,1,left,M. Turner 25' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1626167, 203507]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,25.18,Made,,,,,,,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,
30,PT09M45.00S,2025-12-30T00:13:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.70499342969777,69.6078431372549,1610612766,5,6,2025-12-30T00:14:01Z,300000,False,98.0,260.0,1,right,MISS L. Ball 27' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,27.83,Missed,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2025-12-30T00:13:58.8Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,5,6,2025-12-30T00:14:01Z,310000,False,,,0,,A. Green REBOUND (Off:0 Def:2),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,,,30.0,,,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M33.00S,2025-12-30T00:14:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.258212877792378,46.568627450980394,1610612749,5,8,2025-12-30T00:14:10Z,320000,False,17.0,6.0,1,left,G. Antetokounmpo driving DUNK (2 PTS) (K. Porter Jr. 1 AST),"[203507, 1629645]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.83,Made,,,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,
34,PT09M27.00S,2025-12-30T00:14:16.8Z,1,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612766,5,8,2025-12-30T00:14:25Z,340000,False,,,0,,A. Green shooting personal FOUL (1 PF) (Miller 2 FT),"[1631260, 1641706]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1201.0,1.0,0.0,Miller,1641706.0,,,
36,PT09M27.00S,2025-12-30T00:14:36.0Z,1,REGULAR,freethrow,1 of 2,[],1641706,,,1610612766,6,8,2025-12-30T00:14:52Z,360000,False,,,0,,B. Miller Free Throw 1 of 2 (1 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
37,PT09M27.00S,2025-12-30T00:14:36.0Z,1,REGULAR,freethrow,2 of 2,[],1641706,,,1610612766,6,8,2025-12-30T00:14:52Z,370000,False,,,0,,MISS B. Miller Free Throw 2 of 2,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M23.00S,2025-12-30T00:14:40.0Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,6,8,2025-12-30T00:14:52Z,380000,False,,,0,,B. Miller REBOUND (Off:1 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,37.0,,,2.0,1.0,1.0,,,,,,,,,,,,
39,PT09M11.00S,2025-12-30T00:15:03.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,70.51576872536137,81.12745098039215,1610612766,6,8,2025-12-30T00:15:07Z,390000,False,156.0,225.0,1,right,MISS M. Bridges 27' step back 3PT,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,27.33,Missed,,,,,,,,,,,,,,,,,,
40,PT09M09.00S,2025-12-30T00:15:05.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,6,8,2025-12-30T00:15:05Z,400000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,39.0,,,1.0,1.0,0.0,,,,,,,,,,,,
41,PT09M00.00S,2025-12-30T00:15:14.5Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,6,8,2025-12-30T00:25:50Z,410000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1631217]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Diabaté,1631217.0
42,PT09M00.00S,2025-12-30T00:15:14.5Z,1,REGULAR,steal,,[],1631217,,,1610612766,6,8,2025-12-30T00:25:50Z,420000,False,,,0,,M. Diabaté STEAL (1 STL),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M54.00S,2025-12-30T00:15:20.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630163,70.51576872536137,20.34313725490196,1610612766,6,8,2025-12-30T00:23:50Z,430000,False,-148.0,225.0,1,right,MISS L. Ball 26' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.92,Missed,,,,,,,,,,,,,,,,,,
44,PT08M53.00S,2025-12-30T00:15:21.1Z,1,REGULAR,rebound,offensive,[],1642883,,,1610612766,6,8,2025-12-30T00:15:30Z,440000,False,,,0,,S. James REBOUND (Off:1 Def:0),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,Above the Break 3,24+ Left Center,,,43.0,,,1.0,0.0,1.0,,,,,,,,,,,,
45,PT08M53.00S,2025-12-30T00:15:23.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1642883,94.40999984741211,50.0,1610612766,6,8,2025-12-30T00:24:28Z,450000,False,0.0,0.0,1,right,MISS S. James tip Layup,[1642883],1610612766.0,CHA,tip,,,James,S. James,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
46,PT08M53.00S,2025-12-30T00:15:23.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,6,8,2025-12-30T00:15:33Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,45.0,,,,,,,,,,,,,,,,,
48,PT08M37.00S,2025-12-30T00:15:46.3Z,1,REGULAR,2pt,Jump Shot,[],203507,22.552562417871222,55.14705882352941,1610612749,6,8,2025-12-30T00:24:54Z,480000,False,-26.0,159.0,1,left,MISS G. Antetokounmpo 16' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,16.16,Missed,,,,,,,,,,,,,,,,,,
49,PT08M35.00S,2025-12-30T00:15:48.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,8,2025-12-30T00:15:50Z,490000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,48.0,,,2.0,2.0,0.0,,,,,,,,,,,,
50,PT08M16.00S,2025-12-30T00:16:06.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,87.07293035479631,95.34313725490196,1610612766,9,8,2025-12-30T00:16:10Z,500000,False,227.0,69.0,1,right,L. Ball 3PT  (8 PTS) (M. Diabaté 1 AST),"[1630163, 1631217]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,23.7,Made,,,,,,,8.0,M. Diabaté,1631217.0,1.0,,,,,,,,
52,PT08M00.00S,2025-12-30T00:16:23.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.652431011826544,49.50980392156863,1610612749,9,10,2025-12-30T00:16:27Z,520000,False,2.0,10.0,1,left,G. Antetokounmpo driving DUNK (4 PTS) (M. Turner 1 AST),"[203507, 1626167]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,,,4.0,M. Turner,1626167.0,1.0,,,,,,,,
54,PT07M35.00S,2025-12-30T00:16:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631217,91.40932982917214,52.94117647058824,1610612766,9,10,2025-12-30T00:25:43Z,540000,False,15.0,28.0,1,right,MISS M. Diabaté cutting Layup,[1631217],1610612766.0,CHA,cutting,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2025-12-30T00:16:49.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,9,10,2025-12-30T00:16:55Z,550000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,54.0,,,2.0,2.0,0.0,,,,,,,,,,,,
56,PT07M28.00S,2025-12-30T00:16:54.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203507,7.046649145860711,47.794117647058826,1610612749,9,10,2025-12-30T00:27:00Z,560000,False,11.0,14.0,1,left,MISS G. Antetokounmpo running DUNK - blocked,"[203507, 1641706]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.76,Missed,,Miller,1641706.0,,,,,,,,,,,,,,,
57,PT07M28.00S,2025-12-30T00:16:54.0Z,1,REGULAR,block,,[],1641706,,,1610612749,9,10,2025-12-30T00:16:57Z,570000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M28.00S,2025-12-30T00:16:54.0Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612749,9,10,2025-12-30T00:17:09Z,580000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,56.0,,,1.0,0.0,1.0,,,,,,,,,,,,
59,PT07M28.00S,2025-12-30T00:17:08.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629645,5.590000152587891,50.0,1610612749,9,12,2025-12-30T00:17:17Z,590000,False,0.0,0.0,1,left,K. Porter Jr. putback Layup (5 PTS),[1629645],1610612749.0,MIL,putback,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,5.0,,,,,,,,,,,
60,PT07M28.00S,2025-12-30T00:17:29.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,9,12,2025-12-30T00:17:29Z,600000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M28.00S,2025-12-30T00:17:30.8Z,1,REGULAR,substitution,out,[],1642883,,,1610612766,9,12,2025-12-30T00:20:20Z,610000,False,,,0,,SUB out: S. James,[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M28.00S,2025-12-30T00:17:30.8Z,1,REGULAR,substitution,in,[],1630182,,,1610612766,9,12,2025-12-30T00:20:20Z,620000,False,,,0,,SUB in: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M18.00S,2025-12-30T00:20:37.8Z,1,REGULAR,foul,personal,[],1631157,,,1610612766,9,12,2025-12-30T00:20:47Z,630000,False,,,0,,R. Rollins personal FOUL (1 PF),"[1631157, 1630163]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1151.0,1.0,0.0,Ball,1630163.0,,,
65,PT07M10.00S,2025-12-30T00:20:58.6Z,1,REGULAR,2pt,Jump Shot,[],1630163,77.87450722733246,27.205882352941174,1610612766,9,12,2025-12-30T00:21:03Z,650000,False,-114.0,155.0,1,right,MISS L. Ball 19' fadeaway Shot,[1630163],1610612766.0,CHA,fadeaway,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,19.28,Missed,,,,,,,,,,,,,,,,,,
66,PT07M06.00S,2025-12-30T00:21:00.9Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,9,12,2025-12-30T00:21:00Z,660000,False,,,0,,A. Green REBOUND (Off:0 Def:3),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,16-24 Left Center,,,65.0,,,3.0,3.0,0.0,,,,,,,,,,,,
67,PT06M57.00S,2025-12-30T00:21:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612749,9,12,2025-12-30T00:21:25Z,670000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Rollins 2 FT),"[1630163, 1631157]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2004.0,1.0,0.0,Rollins,1631157.0,,,
69,PT06M57.00S,2025-12-30T00:21:36.0Z,1,REGULAR,freethrow,1 of 2,[],1631157,,,1610612749,9,13,2025-12-30T00:21:36Z,690000,False,,,0,,R. Rollins Free Throw 1 of 2 (1 PTS),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
70,PT06M57.00S,2025-12-30T00:21:40.4Z,1,REGULAR,substitution,out,[],1641706,,,1610612749,9,13,2025-12-30T00:21:43Z,700000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M57.00S,2025-12-30T00:21:40.4Z,1,REGULAR,substitution,in,[],1630544,,,1610612749,9,13,2025-12-30T00:21:43Z,710000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M57.00S,2025-12-30T00:21:56.0Z,1,REGULAR,freethrow,2 of 2,[],1631157,,,1610612749,9,14,2025-12-30T00:21:56Z,720000,False,,,0,,R. Rollins Free Throw 2 of 2 (2 PTS),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
73,PT06M51.00S,2025-12-30T00:22:12.2Z,1,REGULAR,foul,offensive,[],1631217,,,1610612766,9,14,2025-12-30T00:22:39Z,730000,False,,,0,,M. Diabaté offensive FOUL (1 PF),"[1631217, 1631157]",1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1201.0,1.0,0.0,Rollins,1631157.0,,,
75,PT06M51.00S,2025-12-30T00:22:12.2Z,1,REGULAR,turnover,offensive foul,[],1631217,,,1610612766,9,14,2025-12-30T00:22:12Z,750000,False,,,0,,M. Diabaté offensive foul TURNOVER (1 TO),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1201.0,,,,,1.0,,
76,PT06M51.00S,2025-12-30T00:22:19.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612749,9,14,2025-12-30T00:22:32Z,760000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M51.00S,2025-12-30T00:22:19.7Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,9,14,2025-12-30T00:22:32Z,770000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M41.00S,2025-12-30T00:22:38.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,31.61957950065703,65.19607843137256,1610612749,9,14,2025-12-30T00:28:45Z,780000,False,-76.0,245.0,1,left,MISS A. Green 25' pullup 3PT,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,,
79,PT06M38.00S,2025-12-30T00:22:43.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,9,14,2025-12-30T00:22:43Z,790000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Center,,,78.0,,,,,,,,,,,,,,,,,
81,PT06M38.00S,2025-12-30T00:22:46.2Z,1,REGULAR,substitution,out,[],203507,,,1610612749,9,14,2025-12-30T00:22:55Z,810000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M38.00S,2025-12-30T00:22:46.2Z,1,REGULAR,substitution,in,[],1628398,,,1610612749,9,14,2025-12-30T00:22:55Z,820000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M30.00S,2025-12-30T00:23:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631260,6.389618922470433,42.64705882352941,1610612749,9,16,2025-12-30T00:23:18Z,830000,False,37.0,8.0,1,left,A. Green driving Layup (2 PTS) (R. Rollins 1 AST),"[1631260, 1631157]",1610612749.0,MIL,driving,,,Green,A. Green,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,,,2.0,R. Rollins,1631157.0,1.0,,,,,,,,
85,PT06M20.00S,2025-12-30T00:23:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630182,80.3712220762155,93.13725490196079,1610612766,9,16,2025-12-30T00:23:39Z,850000,False,216.0,132.0,1,right,MISS J. Green 25' 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
86,PT06M20.00S,2025-12-30T00:23:24.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,9,16,2025-12-30T00:23:39Z,860000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,85.0,,,,,,,,,,,,,,,,,
89,PT06M10.00S,2025-12-30T00:24:16.9Z,1,REGULAR,violation,kicked ball,[],1626167,,,1610612766,9,16,2025-12-30T00:33:14Z,890000,False,,,0,,M. Turner kicked ball VIOLATION,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,1151.0,,,,,,,
90,PT06M01.00S,2025-12-30T00:24:40.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,81.553876478318,93.62745098039215,1610612766,12,16,2025-12-30T00:24:50Z,900000,False,218.0,121.0,1,right,M. Bridges 24' 3PT  (3 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,24.94,Made,,,,,,,3.0,L. Ball,1630163.0,1.0,,,,,,,,
