actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
79,PT09M24.00S,2026-02-12T00:18:31.0Z,1,REGULAR,steal,,[],1642258,,,1610612737,8,4,2026-02-12T00:24:08Z,407500,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M13.00S,2026-02-12T00:18:36.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630168,34.773324572930356,47.05882352941176,1610612737,8,7,2026-02-12T00:24:08Z,410000,False,15.0,274.0,1,left,O. Okongwu 27' 3PT running (5 PTS) (N. Alexander-Walker 1 AST),"[1630168, 1629638]",1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,,,Made,5.0,27.48,,,,,N. Alexander-Walker,1629638.0,1.0,,,,,
43,PT09M01.00S,2026-02-12T00:18:49.6Z,1,REGULAR,turnover,lost ball,[],1641750,,,1610612766,8,7,2026-02-12T00:18:54Z,430000,False,,,0,,R. Kalkbrenner lost ball TURNOVER (2 TO),"[1641750, 1629638]",1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,,,Alexander-Walker,1629638.0
44,PT09M01.00S,2026-02-12T00:18:49.6Z,1,REGULAR,steal,,[],1629638,,,1610612737,8,7,2026-02-12T00:18:51Z,440000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M54.00S,2026-02-12T00:18:55.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630552,5.995400788436268,62.99019607843137,1610612737,8,9,2026-02-12T00:20:31Z,450000,False,-65.0,4.0,1,left,J. Johnson 6' running pullup Jump Shot (2 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,running pullup,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,6.51,,,,,D. Daniels,1630700.0,1.0,,,,,
46,PT08M37.00S,2026-02-12T00:19:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,89.17542706964521,65.19607843137256,1610612766,8,9,2026-02-12T00:19:16Z,460000,False,76.0,49.0,1,right,MISS L. Ball 9' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,9.06,,,,,,,,,,,,
47,PT08M35.00S,2026-02-12T00:19:14.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,8,9,2026-02-12T00:19:16Z,470000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,
48,PT08M30.00S,2026-02-12T00:19:19.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630700,5.863994743758213,46.568627450980394,1610612737,8,11,2026-02-12T00:19:25Z,480000,False,17.0,3.0,1,left,D. Daniels running Layup (2 PTS) (J. Johnson 1 AST),"[1630700, 1630552]",1610612737.0,ATL,running,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.74,,,,,J. Johnson,1630552.0,1.0,,,,,
49,PT08M21.00S,2026-02-12T00:19:28.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,86.41590013140605,95.09803921568627,1610612766,11,11,2026-02-12T00:21:16Z,490000,False,225.0,75.0,1,right,L. Ball 3PT  (3 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.77,,,,,,,,,,,,
50,PT08M17.00S,2026-02-12T00:19:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1641750,,,1610612737,11,11,2026-02-12T00:19:55Z,500000,False,,,0,,R. Kalkbrenner shooting personal FOUL (2 PF) (Daniels 2 FT),"[1641750, 1630700]",1610612766.0,CHA,shooting,,,Kalkbrenner,R. Kalkbrenner,,,,,Restricted Area,0-8 Center,203591.0,2.0,0.0,Daniels,1630700.0,,,,,,,,,,,,,,,
53,PT08M17.00S,2026-02-12T00:20:05.0Z,1,REGULAR,freethrow,1 of 2,[],1630700,,,1610612737,11,11,2026-02-12T00:20:05Z,520000,False,,,0,,MISS D. Daniels Free Throw 1 of 2,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
54,PT08M17.00S,2026-02-12T00:20:05.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,11,11,2026-02-12T00:20:05Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,
56,PT08M17.00S,2026-02-12T00:20:07.6Z,1,REGULAR,substitution,out,[],1641750,,,1610612737,11,11,2026-02-12T00:20:17Z,540000,False,,,0,,SUB out: R. Kalkbrenner,[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M17.00S,2026-02-12T00:20:07.6Z,1,REGULAR,substitution,in,[],1630182,,,1610612737,11,11,2026-02-12T00:20:17Z,550000,False,,,0,,SUB in: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M17.00S,2026-02-12T00:20:30.3Z,1,REGULAR,freethrow,2 of 2,[],1630700,,,1610612737,11,12,2026-02-12T00:20:30Z,560000,False,,,0,,D. Daniels Free Throw 2 of 2 (3 PTS),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
59,PT08M02.00S,2026-02-12T00:20:45.6Z,1,REGULAR,3pt,Jump Shot,[],1642851,87.72996057818659,3.6764705882352944,1610612766,14,12,2026-02-12T00:20:49Z,570000,False,-232.0,63.0,1,right,K. Knueppel 24' 3PT  (6 PTS) (G. Williams 2 AST),"[1642851, 1629684]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Left Corner 3,24+ Left,,,,,,Made,6.0,24.0,,,,,G. Williams,1629684.0,2.0,,,,,
61,PT07M50.00S,2026-02-12T00:20:57.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,10.33180026281209,39.21568627450981,1610612737,14,14,2026-02-12T00:22:11Z,590000,False,54.0,45.0,1,left,O. Okongwu 7' driving Hook (7 PTS) (N. Alexander-Walker 2 AST),"[1630168, 1629638]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,7.0,7.0,,,,,N. Alexander-Walker,1629638.0,2.0,,,,,
63,PT07M38.00S,2026-02-12T00:21:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630182,92.06636005256242,95.83333333333334,1610612766,17,14,2026-02-12T00:21:13Z,610000,False,229.0,22.0,1,right,J. Green 3PT  (3 PTS) (L. Ball 1 AST),"[1630182, 1630163]",1610612766.0,CHA,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.03,,,,,L. Ball,1630163.0,1.0,,,,,
65,PT07M29.00S,2026-02-12T00:21:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,8.229303547963205,56.127450980392155,1610612737,17,14,2026-02-12T00:21:23Z,630000,False,-31.0,25.0,1,left,MISS D. Daniels driving Layup - blocked,"[1630700, 1629684]",1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.95,,,,,,,,,Williams,1629684.0,,
66,PT07M29.00S,2026-02-12T00:21:19.4Z,1,REGULAR,block,,[],1629684,,,1610612737,17,14,2026-02-12T00:21:21Z,640000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT07M26.00S,2026-02-12T00:21:22.4Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612766,17,14,2026-02-12T00:21:23Z,650000,False,,,0,,G. Williams REBOUND (Off:1 Def:2),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,
68,PT07M20.00S,2026-02-12T00:21:28.7Z,1,REGULAR,turnover,bad pass,[],1641706,,,1610612766,17,14,2026-02-12T00:21:33Z,660000,False,,,0,,B. Miller bad pass TURNOVER (1 TO),"[1641706, 1630552]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,,,Johnson,1630552.0
69,PT07M20.00S,2026-02-12T00:21:28.7Z,1,REGULAR,steal,,[],1630552,,,1610612737,17,14,2026-02-12T00:21:30Z,670000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
70,PT07M13.00S,2026-02-12T00:21:35.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1642258,7.440867279894875,4.411764705882353,1610612737,17,17,2026-02-12T00:26:50Z,680000,False,228.0,17.0,1,left,Z. Risacher 3PT running (3 PTS) (J. Johnson 2 AST),"[1642258, 1630552]",1610612737.0,ATL,running,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,22.86,,,,,J. Johnson,1630552.0,2.0,,,,,
72,PT06M48.00S,2026-02-12T00:22:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,83.919185282523,45.09803921568628,1610612766,17,17,2026-02-12T00:22:51Z,700000,False,-25.0,99.0,1,right,MISS B. Miller 10' fadeaway Shot,[1641706],1610612766.0,CHA,fadeaway,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,10.17,,,,,,,,,,,,
73,PT06M48.00S,2026-02-12T00:22:00.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,17,17,2026-02-12T00:22:51Z,710000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,72.0,,,,,,,,,,,
74,PT06M48.00S,2026-02-12T00:22:08.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,17,17,2026-02-12T00:22:15Z,720000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,2003.0,,,,,,,,,,,,,,,,,,,
75,PT06M31.00S,2026-02-12T00:22:37.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630700,6.521024967148489,49.01960784313725,1610612737,17,19,2026-02-12T00:27:44Z,730000,False,5.0,9.0,1,left,D. Daniels cutting DUNK (5 PTS) (J. Johnson 3 AST),"[1630700, 1630552]",1610612737.0,ATL,cutting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,1.01,,,,,J. Johnson,1630552.0,3.0,,,,,
