actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
49,PT08M13.00S,2022-01-22T00:16:44.3Z,1,REGULAR,block,,[],1630175,,,1610612747,7,9,2022-01-22T00:16:47Z,490000,,,0,,C. Anthony BLOCK (2 BLK),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M09.00S,2022-01-22T00:16:48.3Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,7,9,2022-01-22T00:16:49Z,500000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT08M08.00S,2022-01-22T00:16:49.0Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,7,9,2022-01-22T00:16:54Z,510000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 201566]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,
52,PT08M08.00S,2022-01-22T00:16:49.0Z,1,REGULAR,steal,,[],201566,,,1610612747,7,9,2022-01-22T00:16:51Z,520000,,,0,,R. Westbrook STEAL (2 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M05.00S,2022-01-22T00:16:52.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202340,80.02628120893561,93.16023284313727,1610612747,7,12,2022-01-22T00:17:36Z,530000,216.0,135.0,1,right,A. Bradley 25' 3PT  (4 PTS) (R. Westbrook 1 AST),"[202340, 201566]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.47,Made,,,,,,,,,,,,4.0,,,,R. Westbrook,201566.0,1.0,
55,PT07M52.00S,2022-01-22T00:17:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630175,33.459264126149804,48.529411764705884,1610612753,7,12,2022-01-22T00:19:25Z,550000,7.0,262.0,1,left,MISS C. Anthony 26' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M50.00S,2022-01-22T00:17:06.9Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,7,12,2022-01-22T00:17:10Z,560000,,,0,,T. Ariza REBOUND (Off:0 Def:1),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M38.00S,2022-01-22T00:17:19.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2730,91.67214191852825,45.588235294117645,1610612747,7,14,2022-01-22T00:17:25Z,570000,-22.0,26.0,1,right,D. Howard cutting DUNK (4 PTS) (T. Ariza 1 AST),"[2730, 2772]",1610612747.0,LAL,cutting,,,Howard,D. Howard,,,,,3.4,Made,,,,,,,,,,,,4.0,,,,T. Ariza,2772.0,1.0,
59,PT07M37.00S,2022-01-22T00:17:25.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,7,14,2022-01-22T00:17:25Z,590000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M37.00S,2022-01-22T00:17:27.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,7,14,2022-01-22T00:20:37Z,600000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
