actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
52,PT08M03.00S,2022-04-03T22:20:47.9Z,1,REGULAR,freethrow,1 of 1,[],1629628,,,1610612752,3,8,2022-04-03T22:20:52Z,520000,,,0,,MISS R. Barrett Free Throw 1 of 1,[1629628],1610612752.0,NYK,,Barrett,R. Barrett,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-04-03T22:20:52.9Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,3,8,2022-04-03T22:20:52Z,530000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,Okeke,C. Okeke,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M49.00S,2022-04-03T22:20:59.1Z,1,REGULAR,2pt,Jump Shot,[],1629649,27.151773981603156,42.64705882352941,1610612753,5,8,2022-04-03T22:21:04Z,540000,37.0,203.0,1,left,I. Brazdeikis 20' step back Jump Shot (2 PTS),[1629649],1610612753.0,ORL,,Brazdeikis,I. Brazdeikis,step back,20.6,Made,,,,,2.0,,,,,,,,,,,,,
55,PT07M31.00S,2022-04-03T22:21:17.3Z,1,REGULAR,3pt,Jump Shot,[],203095,89.70105124835742,2.696078431372549,1610612752,5,8,2022-04-03T22:23:15Z,550000,-237.0,44.0,1,right,MISS E. Fournier 24' step back 3PT,[203095],1610612752.0,NYK,,Fournier,E. Fournier,step back,24.06,Missed,,,,,,,,,,,,,,,,,,
56,PT07M28.00S,2022-04-03T22:21:20.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,5,8,2022-04-03T22:21:22Z,560000,,,0,,M. Robinson REBOUND (Off:1 Def:3),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,55.0,4.0,3.0,1.0,,,,,,,,,,,,,,
57,PT07M23.00S,2022-04-03T22:21:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630167,91.5407358738502,55.14705882352941,1610612752,5,10,2022-04-03T22:21:31Z,570000,26.0,27.0,1,right,O. Toppin Layup (2 PTS) (A. Burks 1 AST),"[1630167, 202692]",1610612752.0,NYK,,Toppin,O. Toppin,,3.73,Made,,,,,2.0,,,,,,,A. Burks,202692.0,1.0,,,,
59,PT07M08.00S,2022-04-03T22:21:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,6.389618922470433,55.63725490196079,1610612753,7,10,2022-04-03T22:21:50Z,590000,-28.0,8.0,1,left,R. Hampton driving Layup (2 PTS),[1630181],1610612753.0,ORL,,Hampton,R. Hampton,driving,2.92,Made,,,,,2.0,,,,,,,,,,,,,
60,PT07M08.00S,2022-04-03T22:21:49.4Z,1,REGULAR,foul,personal,['1freethrow'],203095,,,1610612753,7,10,2022-04-03T22:21:58Z,600000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Hampton 1 FT),"[203095, 1630181]",1610612752.0,NYK,202007.0,Fournier,E. Fournier,shooting,,,,,,,,1.0,0.0,Hampton,1630181.0,,,,,,,,,
62,PT07M08.00S,2022-04-03T22:22:00.9Z,1,REGULAR,freethrow,1 of 1,[],1630181,,,1610612753,8,10,2022-04-03T22:22:00Z,620000,,,0,,R. Hampton Free Throw 1 of 1 (3 PTS),[1630181],1610612753.0,ORL,,Hampton,R. Hampton,,,Made,,,,,3.0,,,,,,,,,,,,,
63,PT06M53.00S,2022-04-03T22:22:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.72339027595268,62.99019607843137,1610612752,8,10,2022-04-03T22:26:47Z,630000,65.0,16.0,1,right,MISS R. Barrett 6' driving Layup - blocked,"[1629628, 1629962]",1610612752.0,NYK,,Barrett,R. Barrett,driving,6.69,Missed,,,,,,,,,,Cannady,1629962.0,,,,,,,
82,PT06M53.00S,2022-04-03T22:22:20.6Z,1,REGULAR,block,,[],1629962,,,1610612752,8,10,2022-04-03T22:24:22Z,635000,,,0,,D. Cannady BLOCK (1 BLK),[1629962],1610612753.0,ORL,,Cannady,D. Cannady,,,,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2022-04-03T22:22:21.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,8,10,2022-04-03T22:26:47Z,640000,,,0,,M. Robinson REBOUND (Off:2 Def:3),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,63.0,5.0,3.0,2.0,,,,,,,,,,,,,,
83,PT06M52.00S,2022-04-03T22:22:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,90.48948751642575,56.61764705882353,1610612752,8,10,2022-04-03T22:27:03Z,645000,33.0,37.0,1,right,MISS M. Robinson Layup - blocked,"[1629011, 1629962]",1610612752.0,NYK,,Robinson,M. Robinson,,4.96,Missed,,,,,,,,,,Cannady,1629962.0,,,,,,,
84,PT06M52.00S,2022-04-03T22:22:36.2Z,1,REGULAR,block,,[],1629962,,,1610612752,8,10,2022-04-03T22:25:25Z,647500,,,0,,D. Cannady BLOCK (2 BLK),[1629962],1610612753.0,ORL,,Cannady,D. Cannady,,,,,,,,,,,,,,,,,,,,,
85,PT06M50.00S,2022-04-03T22:22:38.2Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,8,10,2022-04-03T22:27:03Z,648750,,,0,,C. Okeke REBOUND (Off:0 Def:3),[1629643],1610612753.0,ORL,,Okeke,C. Okeke,,,,83.0,3.0,3.0,0.0,,,,,,,,,,,,,,
65,PT06M44.00S,2022-04-03T22:22:38.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629649,5.338370565045992,94.11764705882352,1610612753,8,10,2022-04-03T23:17:07Z,650000,-221.0,-2.0,1,left,MISS I. Brazdeikis running 3PT,[1629649],1610612753.0,ORL,,Brazdeikis,I. Brazdeikis,running,22.06,Missed,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2022-04-03T22:22:40.2Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,8,10,2022-04-03T23:17:07Z,660000,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612752.0,NYK,,Toppin,O. Toppin,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT06M27.00S,2022-04-03T22:22:44.3Z,1,REGULAR,3pt,Jump Shot,[],1630167,68.80749014454665,70.09803921568627,1610612752,8,13,2022-04-03T22:41:18Z,680000,100.0,241.0,1,right,O. Toppin 26' 3PT  (5 PTS) (R. Barrett 1 AST),"[1630167, 1629628]",1610612752.0,NYK,,Toppin,O. Toppin,,26.08,Made,,,,,5.0,,,,,,,R. Barrett,1629628.0,1.0,,,,
173,PT06M11.00S,2022-04-03T22:22:55.3Z,1,REGULAR,turnover,bad pass,[],1630181,,,1610612753,8,13,2022-04-03T22:40:41Z,700000,,,0,,R. Hampton bad pass TURNOVER (1 TO),"[1630181, 1629011]",1610612753.0,ORL,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,1.0,Robinson,1629011.0,
174,PT06M11.00S,2022-04-03T22:22:55.3Z,1,REGULAR,steal,,[],1629011,,,1610612752,8,13,2022-04-03T22:39:35Z,710000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2022-04-03T22:23:06.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629628,74.58935611038108,13.725490196078432,1610612752,8,13,2022-04-03T22:40:59Z,720000,-181.0,186.0,1,right,MISS R. Barrett 26' running 3PT,[1629628],1610612752.0,NYK,,Barrett,R. Barrett,running,26.01,Missed,,,,,,,,,,,,,,,,,,
73,PT06M02.00S,2022-04-03T22:23:09.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,8,13,2022-04-03T22:23:13Z,730000,,,0,,M. Bamba REBOUND (Off:1 Def:3),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,,,72.0,4.0,3.0,1.0,,,,,,,,,,,,,,
74,PT06M00.00S,2022-04-03T22:23:11.8Z,1,REGULAR,turnover,bad pass,[],1628964,,,1610612753,8,13,2022-04-03T22:23:18Z,740000,,,0,,M. Bamba bad pass TURNOVER (1 TO),"[1628964, 1629011]",1610612753.0,ORL,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,1.0,Robinson,1629011.0,
75,PT06M00.00S,2022-04-03T22:23:11.8Z,1,REGULAR,steal,,[],1629011,,,1610612752,8,13,2022-04-03T22:23:14Z,750000,,,0,,M. Robinson STEAL (2 STL),[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
76,PT05M54.00S,2022-04-03T22:23:18.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630167,91.67214191852825,2.941176470588235,1610612752,8,13,2022-04-03T22:23:26Z,760000,-235.0,26.0,1,right,MISS O. Toppin running 3PT,[1630167],1610612752.0,NYK,,Toppin,O. Toppin,running,23.67,Missed,,,,,,,,,,,,,,,,,,
77,PT05M51.00S,2022-04-03T22:23:21.5Z,1,REGULAR,rebound,defensive,[],1629649,,,1610612753,8,13,2022-04-03T22:23:26Z,770000,,,0,,I. Brazdeikis REBOUND (Off:0 Def:1),[1629649],1610612753.0,ORL,,Brazdeikis,I. Brazdeikis,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT05M42.00S,2022-04-03T22:23:29.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629649,7.046649145860711,55.88235294117647,1610612753,8,13,2022-04-03T22:23:37Z,780000,-29.0,14.0,1,left,MISS I. Brazdeikis driving Layup,[1629649],1610612753.0,ORL,,Brazdeikis,I. Brazdeikis,driving,3.24,Missed,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2022-04-03T22:23:34.3Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,8,13,2022-04-03T22:23:37Z,790000,,,0,,M. Bamba REBOUND (Off:2 Def:3),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,,,,78.0,5.0,3.0,2.0,,,,,,,,,,,,,,
80,PT05M37.00S,2022-04-03T22:23:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,5.590000152587891,50.0,1610612753,10,13,2022-04-03T22:23:34Z,800000,0.0,0.0,1,left,M. Bamba tip Layup (2 PTS),[1628964],1610612753.0,ORL,,Bamba,M. Bamba,tip,0.0,Made,,,,,2.0,,,,,,,,,,,,,
81,PT05M35.00S,2022-04-03T22:23:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,10,13,2022-04-03T22:23:50Z,810000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M35.00S,2022-04-03T22:25:26.2Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,10,13,2022-04-03T22:26:25Z,820000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,
87,PT05M35.00S,2022-04-03T22:25:26.2Z,1,REGULAR,substitution,in,[],1630579,,,1610612752,10,13,2022-04-03T22:26:25Z,830000,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,
