actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
25,PT10M28.00S,2021-12-18T00:14:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.732588699080158,52.69607843137255,1610612753,4,1,2021-12-18T00:14:54Z,250000,-13.0,1.0,1,left,F. Wagner driving Layup (2 PTS) (R. Lopez 2 AST),"[1630532, 201577]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,,,,,,1.36,Made,2.0,R. Lopez,201577.0,2.0,,,,,,,,,
27,PT10M16.00S,2021-12-18T00:14:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629216,66.70499342969777,66.17647058823529,1610612748,4,1,2021-12-18T00:15:04Z,270000,81.0,260.0,1,right,MISS G. Vincent 27' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,27.28,Missed,,,,,,,,,,,,,
28,PT10M13.00S,2021-12-18T00:15:02.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,1,2021-12-18T00:15:04Z,280000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT10M05.00S,2021-12-18T00:15:10.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,29.122864651773984,71.81372549019608,1610612753,4,1,2021-12-18T00:15:15Z,290000,-109.0,221.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,24.67,Missed,,,,,,,,,,,,,
30,PT10M02.00S,2021-12-18T00:15:13.8Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,4,1,2021-12-18T00:15:15Z,300000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,
31,PT09M54.00S,2021-12-18T00:15:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,92.19776609724047,52.20588235294118,1610612748,4,1,2021-12-18T00:15:29Z,310000,11.0,21.0,1,right,MISS P. Tucker cutting Layup,[200782],1610612748.0,MIA,cutting,,,Tucker,P. Tucker,,,,,,,,,,2.35,Missed,,,,,,,,,,,,,
32,PT09M47.00S,2021-12-18T00:15:28.7Z,1,REGULAR,rebound,offensive,[],203473,,,1610612748,4,1,2021-12-18T00:15:29Z,320000,,,0,,D. Dedmon REBOUND (Off:1 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,31.0,2.0,1.0,1.0,,,,,
33,PT09M47.00S,2021-12-18T00:15:28.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203473,94.40999984741211,50.0,1610612748,4,3,2021-12-18T00:15:33Z,330000,0.0,0.0,1,right,D. Dedmon tip DUNK (2 PTS),[203473],1610612748.0,MIA,tip,,,Dedmon,D. Dedmon,,,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,
34,PT09M36.00S,2021-12-18T00:15:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,32.013797634691194,52.450980392156865,1610612753,7,3,2021-12-18T00:17:09Z,340000,-12.0,248.0,1,left,C. Okeke 24' 3PT pullup (3 PTS) (W. Carter Jr. 1 AST),"[1629643, 1628976]",1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,,,,,,24.87,Made,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,
36,PT09M15.00S,2021-12-18T00:16:00.7Z,1,REGULAR,3pt,Jump Shot,[],203473,93.11760840998686,94.6078431372549,1610612748,7,3,2021-12-18T00:16:05Z,360000,223.0,12.0,1,right,MISS D. Dedmon 3PT,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,22.33,Missed,,,,,,,,,,,,,
37,PT09M12.00S,2021-12-18T00:16:03.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,3,2021-12-18T00:16:05Z,370000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,
38,PT09M03.00S,2021-12-18T00:16:13.6Z,1,REGULAR,3pt,Jump Shot,[],203914,26.757555847568987,78.18627450980392,1610612753,7,3,2021-12-18T00:16:21Z,380000,-141.0,199.0,1,left,MISS G. Harris 24' pullup 3PT,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,,,,,,24.38,Missed,,,,,,,,,,,,,
39,PT09M00.00S,2021-12-18T00:16:16.6Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,7,3,2021-12-18T00:16:21Z,390000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,
40,PT08M55.00S,2021-12-18T00:16:24.9Z,1,REGULAR,foul,personal,[],1628976,,,1610612748,7,3,2021-12-18T00:16:35Z,400000,,,0,,W. Carter Jr. personal FOUL (1 PF),"[1628976, 203473]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,2715.0,1.0,0.0,Dedmon,203473.0,,,,,,,,,,,,,,,
42,PT08M43.00S,2021-12-18T00:16:56.5Z,1,REGULAR,turnover,bad pass,[],203473,,,1610612748,7,3,2021-12-18T00:17:21Z,420000,,,0,,D. Dedmon bad pass TURNOVER (1 TO),"[203473, 1629643]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,1.0,Okeke,1629643.0,,
43,PT08M43.00S,2021-12-18T00:16:56.5Z,1,REGULAR,steal,,[],1629643,,,1610612753,7,3,2021-12-18T00:16:58Z,430000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M27.00S,2021-12-18T00:17:13.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629643,28.465834428383708,25.0,1610612753,7,3,2021-12-18T00:18:54Z,440000,125.0,215.0,1,left,MISS C. Okeke 24' pullup 3PT,[1629643],1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,,,,,,24.88,Missed,,,,,,,,,,,,,
45,PT08M24.00S,2021-12-18T00:17:18.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,7,3,2021-12-18T00:17:18Z,450000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,
46,PT08M24.00S,2021-12-18T00:17:19.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,7,3,2021-12-18T00:17:19Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M15.00S,2021-12-18T00:17:32.7Z,1,REGULAR,3pt,Jump Shot,[],203473,66.96780551905388,34.80392156862745,1610612748,7,6,2021-12-18T00:17:38Z,470000,-76.0,258.0,1,right,D. Dedmon 26' 3PT  (5 PTS) (K. Lowry 1 AST),"[203473, 200768]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,26.9,Made,5.0,K. Lowry,200768.0,1.0,,,,,,,,,
49,PT07M58.00S,2021-12-18T00:17:52.3Z,1,REGULAR,foul,personal,[],1629130,,,1610612753,7,6,2021-12-18T00:18:00Z,490000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1628976]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,2715.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,
51,PT07M52.00S,2021-12-18T00:18:18.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,7,6,2021-12-18T00:18:18Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2021-12-18T00:18:38.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,7.5722733245729295,59.80392156862745,1610612753,9,6,2021-12-18T00:18:42Z,520000,-49.0,19.0,1,left,R. Lopez Hook (2 PTS) (C. Okeke 1 AST),"[201577, 1629643]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,5.24,Made,2.0,C. Okeke,1629643.0,1.0,,,,,,,,,
54,PT07M33.00S,2021-12-18T00:18:51.9Z,1,REGULAR,turnover,traveling,[],1629216,,,1610612748,9,6,2021-12-18T00:18:58Z,540000,,,0,,G. Vincent traveling TURNOVER (1 TO),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,2715.0,,,,,,,,,,,,,,,1.0,,,,
55,PT07M21.00S,2021-12-18T00:19:15.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201577,8.09789750328515,58.08823529411765,1610612753,11,6,2021-12-18T00:19:19Z,550000,-40.0,24.0,1,left,R. Lopez turnaround Hook (4 PTS),[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,,,,,,4.68,Made,4.0,,,,,,,,,,,,
56,PT07M14.00S,2021-12-18T00:19:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,91.01511169513797,46.32352941176471,1610612748,11,8,2021-12-18T00:19:34Z,560000,-18.0,32.0,1,right,G. Vincent running Layup (2 PTS),[1629216],1610612748.0,MIA,running,,,Vincent,G. Vincent,,,,,,,,,,3.69,Made,2.0,,,,,,,,,,,,
57,PT06M51.00S,2021-12-18T00:19:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,8.492115637319317,49.01960784313725,1610612753,11,8,2021-12-18T00:19:54Z,570000,5.0,27.0,1,left,MISS W. Carter Jr. Layup - blocked,"[1628976, 1629216]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,2.77,Missed,,,,,,,,,,,,Vincent,1629216.0
58,PT06M51.00S,2021-12-18T00:19:49.7Z,1,REGULAR,block,,[],1629216,,,1610612753,11,8,2021-12-18T00:19:52Z,580000,,,0,,G. Vincent BLOCK (1 BLK),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M51.00S,2021-12-18T00:19:49.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,11,8,2021-12-18T00:19:54Z,590000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,
60,PT06M51.00S,2021-12-18T00:19:54.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,11,8,2021-12-18T00:19:54Z,600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2021-12-18T00:20:01.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,11,8,2021-12-18T00:20:01Z,610000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2021-12-18T00:22:05.5Z,1,REGULAR,substitution,out,[],200782,,,1610612753,11,8,2021-12-18T00:22:30Z,620000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2021-12-18T00:22:05.5Z,1,REGULAR,substitution,in,[],1629644,,,1610612753,11,8,2021-12-18T00:22:30Z,630000,,,0,,SUB in: K. Okpala,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M47.00S,2021-12-18T00:22:45.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630532,12.302890932982917,79.90196078431373,1610612753,13,8,2021-12-18T00:22:52Z,640000,-150.0,63.0,1,left,F. Wagner 16' turnaround Jump Shot (4 PTS) (G. Harris 1 AST),"[1630532, 203914]",1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,,,,,,16.23,Made,4.0,G. Harris,203914.0,1.0,,,,,,,,,
66,PT06M31.00S,2021-12-18T00:23:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629644,92.46057818659659,53.431372549019606,1610612748,13,8,2021-12-18T00:23:11Z,660000,17.0,18.0,1,right,MISS K. Okpala alley-oop Layup,[1629644],1610612748.0,MIA,alley-oop,,,Okpala,K. Okpala,,,,,,,,,,2.52,Missed,,,,,,,,,,,,,
67,PT06M25.00S,2021-12-18T00:23:07.1Z,1,REGULAR,rebound,offensive,[],1629644,,,1610612748,13,8,2021-12-18T00:23:07Z,670000,,,0,,K. Okpala REBOUND (Off:1 Def:0),[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,66.0,1.0,0.0,1.0,,,,,
68,PT06M25.00S,2021-12-18T00:23:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629644,94.40999984741211,50.0,1610612748,13,8,2021-12-18T00:23:07Z,680000,0.0,0.0,1,right,MISS K. Okpala tip Layup,[1629644],1610612748.0,MIA,tip,,,Okpala,K. Okpala,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
69,PT06M24.00S,2021-12-18T00:23:08.0Z,1,REGULAR,rebound,defensive,[],201577,,,1610612753,13,8,2021-12-18T00:23:08Z,690000,,,0,,R. Lopez REBOUND (Off:0 Def:1),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,
70,PT06M21.00S,2021-12-18T00:23:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,17.0335085413929,47.30392156862745,1610612753,13,8,2021-12-18T00:24:39Z,700000,13.0,108.0,1,left,MISS F. Wagner 10' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,,,,,,10.84,Missed,,,,,,,,,,,,,
71,PT06M21.00S,2021-12-18T00:23:10.6Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,13,8,2021-12-18T00:23:59Z,710000,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,70.0,1.0,0.0,1.0,,,,,
72,PT06M18.00S,2021-12-18T00:23:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,6.652431011826544,50.0,1610612753,15,8,2021-12-18T00:23:39Z,720000,0.0,10.0,1,left,F. Wagner putback Layup (6 PTS),[1630532],1610612753.0,ORL,putback,,,Wagner,F. Wagner,,,,,,,,,,1.0,Made,6.0,,,,,,,,,,,,
73,PT06M03.00S,2021-12-18T00:23:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629644,80.3712220762155,58.333333333333336,1610612748,15,8,2021-12-18T00:24:04Z,730000,42.0,132.0,1,right,MISS K. Okpala 13' Jump Shot,[1629644],1610612748.0,MIA,,,,Okpala,K. Okpala,,,,,,,,,,13.84,Missed,,,,,,,,,,,,,
74,PT06M00.00S,2021-12-18T00:23:32.3Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,15,8,2021-12-18T00:24:04Z,740000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,
75,PT05M49.00S,2021-12-18T00:23:43.1Z,1,REGULAR,3pt,Jump Shot,[],203914,31.882391590013142,49.26470588235294,1610612753,18,8,2021-12-18T00:24:07Z,750000,4.0,247.0,1,left,G. Harris 24' 3PT  (5 PTS) (C. Okeke 2 AST),"[203914, 1629643]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,24.72,Made,5.0,C. Okeke,1629643.0,2.0,,,,,,,,,
77,PT05M48.00S,2021-12-18T00:23:50.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612748,18,8,2021-12-18T00:23:50Z,770000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M48.00S,2021-12-18T00:26:05.9Z,1,REGULAR,substitution,out,[],1628976,,,1610612748,18,8,2021-12-18T00:26:34Z,780000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M48.00S,2021-12-18T00:26:05.9Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,18,8,2021-12-18T00:26:34Z,790000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M48.00S,2021-12-18T00:26:05.9Z,1,REGULAR,substitution,in,[],1628539,,,1610612748,18,8,2021-12-18T00:26:34Z,800000,,,0,,SUB in: M. Mulder,[1628539],1610612753.0,ORL,,,,Mulder,M. Mulder,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2021-12-18T00:26:05.9Z,1,REGULAR,substitution,in,[],1629622,,,1610612748,18,8,2021-12-18T00:26:34Z,810000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M26.00S,2021-12-18T00:26:59.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,86.94152431011827,96.32352941176471,1610612748,18,11,2021-12-18T00:27:39Z,820000,232.0,70.0,1,right,D. Robinson 24' 3PT pullup (3 PTS) (K. Lowry 2 AST),"[1629130, 200768]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,,,24.2,Made,3.0,K. Lowry,200768.0,2.0,,,,,,,,,
84,PT05M06.00S,2021-12-18T00:27:19.0Z,1,REGULAR,2pt,Hook,[],201577,10.068988173455978,66.17647058823529,1610612753,18,11,2021-12-18T00:27:25Z,840000,-81.0,42.0,1,left,MISS R. Lopez 9' turnaround Hook,[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,,,,,,9.12,Missed,,,,,,,,,,,,,
85,PT05M03.00S,2021-12-18T00:27:22.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,18,11,2021-12-18T00:27:25Z,850000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,
86,PT04M59.00S,2021-12-18T00:27:26.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,67.23061760840999,61.76470588235294,1610612748,18,14,2021-12-18T00:27:34Z,860000,59.0,256.0,1,right,K. Lowry 26' 3PT running (3 PTS),[200768],1610612748.0,MIA,running,,,Lowry,K. Lowry,,,,,,,,,,26.22,Made,3.0,,,,,,,,,,,,
87,PT04M46.00S,2021-12-18T00:27:39.2Z,1,REGULAR,3pt,Jump Shot,[],1630532,30.042706964520367,29.901960784313726,1610612753,18,14,2021-12-18T00:27:45Z,870000,100.0,230.0,1,left,MISS F. Wagner 25' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,,,,,,25.09,Missed,,,,,,,,,,,,,
88,PT04M42.00S,2021-12-18T00:27:43.2Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,18,14,2021-12-18T00:27:45Z,880000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,
89,PT04M30.00S,2021-12-18T00:27:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,92.85479632063075,46.568627450980394,1610612748,18,16,2021-12-18T00:28:01Z,890000,-17.0,15.0,1,right,D. Dedmon alley-oop Layup (7 PTS) (K. Lowry 3 AST),"[203473, 200768]",1610612748.0,MIA,alley-oop,,,Dedmon,D. Dedmon,,,,,,,,,,2.26,Made,7.0,K. Lowry,200768.0,3.0,,,,,,,,,
91,PT04M10.00S,2021-12-18T00:28:14.8Z,1,REGULAR,2pt,Jump Shot,[],1630532,15.588042049934298,33.82352941176471,1610612753,18,16,2021-12-18T00:28:25Z,910000,81.0,94.0,1,left,MISS F. Wagner 12' turnaround fadeaway Shot,[1630532],1610612753.0,ORL,turnaround fadeaway,,,Wagner,F. Wagner,,,,,,,,,,12.4,Missed,,,,,,,,,,,,,
92,PT04M07.00S,2021-12-18T00:28:17.8Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,18,16,2021-12-18T00:28:25Z,920000,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,91.0,2.0,2.0,0.0,,,,,
