actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
30,PT09M50.00S,2021-10-27T23:13:49.1Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612766,5,2,2021-10-27T23:14:01Z,300000,,,0,,J. Suggs shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1630591, 203486]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,,,,,,,,,,,1198.0,1.0,0.0,Plumlee,203486.0,,,,,
32,PT09M50.00S,2021-10-27T23:14:05.1Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,5,2,2021-10-27T23:14:05Z,320000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M50.00S,2021-10-27T23:14:05.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,5,2,2021-10-27T23:14:05Z,330000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,
34,PT09M50.00S,2021-10-27T23:14:24.0Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,5,3,2021-10-27T23:14:24Z,340000,,,0,,M. Plumlee Free Throw 2 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
35,PT09M41.00S,2021-10-27T23:14:37.1Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612753,5,3,2021-10-27T23:14:48Z,350000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1628970, 1628976]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1198.0,1.0,0.0,Carter Jr.,1628976.0,,,,,
37,PT09M41.00S,2021-10-27T23:15:06.5Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,6,3,2021-10-27T23:15:06Z,370000,,,0,,W. Carter Jr. Free Throw 1 of 2 (3 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
38,PT09M41.00S,2021-10-27T23:15:24.2Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,7,3,2021-10-27T23:15:24Z,380000,,,0,,W. Carter Jr. Free Throw 2 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
39,PT09M26.00S,2021-10-27T23:15:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,91.80354796320631,52.450980392156865,1610612766,7,3,2021-10-27T23:15:46Z,390000,12.0,25.0,1,right,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,2.74,Missed,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2021-10-27T23:15:42.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,3,2021-10-27T23:15:46Z,400000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT09M19.00S,2021-10-27T23:15:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,8.229303547963205,55.14705882352941,1610612753,9,3,2021-10-27T23:15:55Z,410000,-26.0,25.0,1,left,C. Anthony driving floating Jump Shot (2 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,3.58,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M57.00S,2021-10-27T23:16:08.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,72.22404730617609,16.666666666666664,1610612766,9,6,2021-10-27T23:16:16Z,420000,-167.0,209.0,1,right,M. Bridges 26' 3PT step back (5 PTS),[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,26.7,Made,,,,,5.0,,,,,,,,,,,,,
43,PT08M42.00S,2021-10-27T23:16:26.3Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,9,6,2021-10-27T23:16:34Z,430000,,,0,,F. Wagner bad pass out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,bad pass,,,Wagner,F. Wagner,,,,,,,,,,,,1.0,,,1628487.0,,,,,,,,,
44,PT08M31.00S,2021-10-27T23:16:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,66.96780551905388,58.333333333333336,1610612766,9,6,2021-10-27T23:17:39Z,440000,42.0,258.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2021-10-27T23:16:46.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,6,2021-10-27T23:16:48Z,450000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT08M21.00S,2021-10-27T23:16:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,15.719448094612352,41.17647058823529,1610612753,9,6,2021-10-27T23:17:00Z,460000,44.0,95.0,1,left,MISS C. Anthony 10' Jump Shot,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,10.5,Missed,,,,,,,,,,,,,,,,,,
47,PT08M19.00S,2021-10-27T23:16:56.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,9,6,2021-10-27T23:16:56Z,470000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
48,PT08M16.00S,2021-10-27T23:16:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,4.681340341655716,57.35294117647059,1610612753,11,6,2021-10-27T23:17:11Z,480000,-37.0,-8.0,1,left,W. Carter Jr. putback Layup (6 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,3.78,Made,,,,,6.0,,,,,,,,,,,,,
49,PT08M05.00S,2021-10-27T23:17:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612766,11,6,2021-10-27T23:17:25Z,490000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Bridges 2 FT),"[1628964, 1628970]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,1198.0,1.0,0.0,Bridges,1628970.0,,,,,
51,PT08M05.00S,2021-10-27T23:17:37.9Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,11,7,2021-10-27T23:17:37Z,510000,,,0,,M. Bridges Free Throw 1 of 2 (6 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
52,PT08M05.00S,2021-10-27T23:17:56.8Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,11,8,2021-10-27T23:17:56Z,520000,,,0,,M. Bridges Free Throw 2 of 2 (7 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
53,PT07M52.00S,2021-10-27T23:18:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.30946123521682,48.28431372549019,1610612753,13,8,2021-10-27T23:18:19Z,530000,9.0,16.0,1,left,F. Wagner driving finger roll Layup (2 PTS),[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,1.83,Made,,,,,2.0,,,,,,,,,,,,,
54,PT07M39.00S,2021-10-27T23:18:27.9Z,1,REGULAR,foul,offensive,[],1630163,,,1610612766,13,8,2021-10-27T23:18:36Z,540000,,,0,,L. Ball charge offensive FOUL (2 PF),"[1630163, 1630532]",1610612766.0,CHA,charge,,,Ball,L. Ball,,,,,,,,,,,,,,,1198.0,2.0,0.0,Wagner,1630532.0,,,,,
56,PT07M39.00S,2021-10-27T23:18:27.9Z,1,REGULAR,turnover,offensive foul,[],1630163,,,1610612766,13,8,2021-10-27T23:18:27Z,560000,,,0,,L. Ball offensive foul TURNOVER (1 TO),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,1.0,,,1198.0,,,,,,,,,
57,PT07M39.00S,2021-10-27T23:18:39.2Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,13,8,2021-10-27T23:18:52Z,570000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M39.00S,2021-10-27T23:18:39.2Z,1,REGULAR,substitution,out,[],1630163,,,1610612753,13,8,2021-10-27T23:18:52Z,580000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2021-10-27T23:18:39.2Z,1,REGULAR,substitution,in,[],203082,,,1610612753,13,8,2021-10-27T23:18:52Z,590000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M39.00S,2021-10-27T23:18:39.2Z,1,REGULAR,substitution,in,[],202397,,,1610612753,13,8,2021-10-27T23:18:52Z,600000,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M24.00S,2021-10-27T23:19:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628964,6.1268068331143235,48.77450980392157,1610612753,13,8,2021-10-27T23:19:21Z,610000,6.0,5.0,1,left,MISS M. Bamba Layup - blocked,"[1628964, 202330]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,0.8,Missed,,,,,,,,,,,,,,,,,Hayward,202330.0
65,PT07M24.00S,2021-10-27T23:19:14.0Z,1,REGULAR,block,,[],202330,,,1610612753,13,8,2021-10-27T23:19:52Z,615000,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M19.00S,2021-10-27T23:19:19.0Z,1,REGULAR,rebound,offensive,[],203082,,,1610612753,13,8,2021-10-27T23:20:13Z,620000,,,0,,T. Ross REBOUND (Off:1 Def:0),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,61.0,1.0,0.0,1.0,,,,,,,,,,,,,,
63,PT07M18.00S,2021-10-27T23:19:25.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630532,29.96057818659658,75.51317401960785,1610612753,16,8,2021-10-27T23:20:28Z,630000,-128.0,229.0,1,left,F. Wagner 26' 3PT  (5 PTS) (T. Ross 1 AST),"[1630532, 203082]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,26.22,Made,,,,,5.0,,,,,,,,,T. Ross,203082.0,1.0,,
66,PT07M18.00S,2021-10-27T23:20:20.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,16,8,2021-10-27T23:20:20Z,650000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2021-10-27T23:22:28.9Z,1,REGULAR,2pt,Jump Shot,[],202397,91.93495400788436,14.950980392156863,1610612766,16,8,2021-10-27T23:22:35Z,660000,-175.0,23.0,1,right,MISS I. Smith 17' pullup Shot,[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,17.67,Missed,,,,,,,,,,,,,,,,,,
68,PT07M00.00S,2021-10-27T23:22:31.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,16,8,2021-10-27T23:22:35Z,670000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT06M43.00S,2021-10-27T23:22:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,9.329829172141919,50.926776960784316,1610612753,18,8,2021-10-27T23:23:04Z,680000,-5.0,35.0,1,left,T. Ross driving floating Jump Shot (2 PTS) (M. Bamba 1 AST),"[203082, 1628964]",1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,3.55,Made,,,,,2.0,,,,,,,,,M. Bamba,1628964.0,1.0,,
71,PT06M29.00S,2021-10-27T23:23:03.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,89.96386333771353,50.98039215686274,1610612766,18,8,2021-10-27T23:23:16Z,700000,5.0,42.0,1,right,MISS M. Bridges driving Hook,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,4.21,Missed,,,,,,,,,,,,,,,,,,
72,PT06M26.00S,2021-10-27T23:23:05.7Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,18,8,2021-10-27T23:23:05Z,710000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,71.0,1.0,0.0,1.0,,,,,,,,,,,,,,
73,PT06M26.00S,2021-10-27T23:23:06.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,89.30683311432325,50.73529411764706,1610612766,18,8,2021-10-27T23:23:12Z,720000,4.0,48.0,1,right,MISS M. Bridges Layup - blocked,"[1628970, 1628964]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,4.81,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0
74,PT06M26.00S,2021-10-27T23:23:06.7Z,1,REGULAR,block,,[],1628964,,,1610612766,18,8,2021-10-27T23:23:09Z,730000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M22.00S,2021-10-27T23:23:10.7Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,18,8,2021-10-27T23:23:12Z,740000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT06M19.00S,2021-10-27T23:23:13.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203082,19.136005256241788,5.637254901960785,1610612753,18,8,2021-10-27T23:23:20Z,750000,222.0,127.0,1,left,MISS T. Ross 25' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,
77,PT06M17.00S,2021-10-27T23:23:15.6Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,18,8,2021-10-27T23:23:15Z,760000,,,0,,M. Bamba REBOUND (Off:2 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,76.0,2.0,0.0,2.0,,,,,,,,,,,,,,
78,PT06M15.00S,2021-10-27T23:23:17.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630175,16.113666228646515,93.87254901960785,1610612753,18,8,2021-10-27T23:23:25Z,770000,-219.0,99.0,1,left,MISS C. Anthony 24' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,24.07,Missed,,,,,,,,,,,,,,,,,,
79,PT06M15.00S,2021-10-27T23:23:17.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,18,8,2021-10-27T23:23:25Z,780000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT06M04.00S,2021-10-27T23:23:28.8Z,1,REGULAR,3pt,Jump Shot,[],1626162,87.46714848883047,94.11764705882352,1610612766,18,8,2021-10-27T23:23:33Z,790000,221.0,65.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,23.01,Missed,,,,,,,,,,,,,,,,,,
81,PT06M02.00S,2021-10-27T23:23:31.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,18,8,2021-10-27T23:23:31Z,800000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,80.0,2.0,1.0,1.0,,,,,,,,,,,,,,
82,PT06M00.00S,2021-10-27T23:23:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,92.19776609724047,50.49019607843137,1610612766,18,8,2021-10-27T23:23:38Z,810000,2.0,21.0,1,right,MISS M. Plumlee Layup,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,2.09,Missed,,,,,,,,,,,,,,,,,,
83,PT05M57.00S,2021-10-27T23:23:36.0Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,18,8,2021-10-27T23:23:38Z,820000,,,0,,M. Bamba REBOUND (Off:2 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,82.0,3.0,1.0,2.0,,,,,,,,,,,,,,
84,PT05M51.00S,2021-10-27T23:23:43.5Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612753,18,8,2021-10-27T23:24:00Z,830000,,,0,,M. Bridges shooting personal FOUL (2 PF) (Bamba 2 FT),"[1628970, 1628964]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1628487.0,2.0,0.0,Bamba,1628964.0,,,,,
86,PT05M51.00S,2021-10-27T23:24:07.6Z,1,REGULAR,freethrow,1 of 2,[],1628964,,,1610612753,19,8,2021-10-27T23:24:07Z,850000,,,0,,M. Bamba Free Throw 1 of 2 (3 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
87,PT05M51.00S,2021-10-27T23:24:09.2Z,1,REGULAR,substitution,out,[],1628970,,,1610612753,19,8,2021-10-27T23:24:21Z,860000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
