actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
17,PT10M35.00S,2021-12-24T00:11:59.3Z,1,REGULAR,2pt,Jump Shot,[],1630529,8.492115637319317,11.27450980392157,1610612740,2,2,2021-12-24T00:12:04Z,170000,194.0,27.0,1,left,MISS H. Jones 19' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,19.55,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-12-24T00:12:01.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,2,2021-12-24T00:12:04Z,180000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M25.00S,2021-12-24T00:12:09.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,88.64980289093299,48.529411764705884,1610612753,2,2,2021-12-24T00:12:14Z,190000,-7.0,54.0,1,right,MISS F. Wagner driving Hook,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,5.47,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2021-12-24T00:12:11.3Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,2,2,2021-12-24T00:12:14Z,200000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT10M19.00S,2021-12-24T00:12:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,7.095926412614981,46.534160539215684,1610612740,2,2,2021-12-24T00:12:31Z,210000,17.0,14.0,1,left,MISS H. Jones driving Layup - blocked,"[1630529, 1630532]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,2.24,Missed,,,,,,,,,,,,,,,,,Wagner,1630532.0,
22,PT10M19.00S,2021-12-24T00:12:17.2Z,1,REGULAR,block,,[],1630532,,,1610612740,2,2,2021-12-24T00:12:21Z,220000,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2021-12-24T00:12:17.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,2,2,2021-12-24T00:12:31Z,230000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
24,PT10M19.00S,2021-12-24T00:12:28.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,2,2021-12-24T00:12:28Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M04.00S,2021-12-24T00:12:41.7Z,1,REGULAR,3pt,Jump Shot,[],1628976,65.39093298291722,56.61764705882353,1610612753,2,2,2021-12-24T00:12:47Z,250000,33.0,273.0,1,right,MISS W. Carter Jr. 27' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2021-12-24T00:12:45.7Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,2,2,2021-12-24T00:12:47Z,260000,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,
27,PT09M58.00S,2021-12-24T00:12:47.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629643,79.84559789750328,94.11764705882352,1610612753,2,2,2021-12-24T00:12:51Z,270000,221.0,137.0,1,right,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M55.00S,2021-12-24T00:12:50.4Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,2,2,2021-12-24T00:12:51Z,280000,,,0,,W. Hernangomez REBOUND (Off:0 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,
29,PT09M51.00S,2021-12-24T00:12:55.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,7.966491458607096,49.01960784313725,1610612740,2,4,2021-12-24T00:13:02Z,290000,5.0,22.0,1,left,J. Hart running Layup (2 PTS) (D. Graham 1 AST),"[1628404, 1628984]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,2.29,Made,2.0,,,,,,,,,D. Graham,1628984.0,1.0,,,,,,,
31,PT09M36.00S,2021-12-24T00:13:09.3Z,1,REGULAR,2pt,Jump Shot,[],203914,78.66294349540078,54.166666666666664,1610612753,2,4,2021-12-24T00:13:14Z,310000,21.0,148.0,1,right,MISS G. Harris 14' driving floating Shot,[203914],1610612753.0,ORL,driving floating,,,Harris,G. Harris,,,,,14.96,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2021-12-24T00:13:12.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,4,2021-12-24T00:13:14Z,320000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,
33,PT09M28.00S,2021-12-24T00:13:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,8.09789750328515,50.73529411764706,1610612740,2,4,2021-12-24T00:13:28Z,330000,-4.0,24.0,1,left,MISS B. Ingram running Layup,[1627742],1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,2.39,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M25.00S,2021-12-24T00:13:20.6Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,2,4,2021-12-24T00:13:20Z,340000,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,
35,PT09M23.00S,2021-12-24T00:13:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,8.623521681997373,48.03921568627451,1610612740,2,6,2021-12-24T00:14:48Z,350000,10.0,29.0,1,left,H. Jones putback Layup (4 PTS),[1630529],1610612740.0,NOP,putback,,,Jones,H. Jones,,,,,3.02,Made,4.0,,,,,,,,,,,,,,,,,,
36,PT09M10.00S,2021-12-24T00:13:35.0Z,1,REGULAR,2pt,Jump Shot,[],1630175,79.31997371879106,23.774509803921568,1610612753,2,6,2021-12-24T00:13:39Z,360000,-131.0,142.0,1,right,MISS C. Anthony 19' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,19.32,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M08.00S,2021-12-24T00:13:37.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,6,2021-12-24T00:13:39Z,370000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,,
39,PT09M04.00S,2021-12-24T00:13:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,9.017739816031538,50.73529411764706,1610612740,2,8,2021-12-24T00:15:27Z,390000,-4.0,32.0,1,left,B. Ingram driving Layup (2 PTS),[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,3.25,Made,2.0,,,,,,,,,,,,,,,,,,
40,PT09M04.00S,2021-12-24T00:14:02.1Z,1,REGULAR,foul,personal,['1freethrow'],1629643,,,1610612740,2,8,2021-12-24T00:14:12Z,400000,,,0,,C. Okeke shooting personal FOUL (2 PF) (Ingram 1 FT),"[1629643, 1627742]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,,,,,,,201640.0,2.0,0.0,Ingram,1627742.0,,,,,,,,,,
42,PT09M04.00S,2021-12-24T00:14:15.4Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,2,9,2021-12-24T00:14:15Z,420000,,,0,,B. Ingram Free Throw 1 of 1 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
43,PT08M48.00S,2021-12-24T00:14:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629643,93.24901445466492,54.166666666666664,1610612753,4,9,2021-12-24T00:14:48Z,430000,21.0,11.0,1,right,C. Okeke driving Layup (2 PTS) (C. Anthony 1 AST),"[1629643, 1630175]",1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,2.35,Made,2.0,,,,,,,,,C. Anthony,1630175.0,1.0,,,,,,,
45,PT08M39.00S,2021-12-24T00:14:41.7Z,1,REGULAR,3pt,Jump Shot,[],1628984,29.122864651773984,24.264705882352942,1610612740,4,12,2021-12-24T00:14:52Z,450000,129.0,221.0,1,left,D. Graham 25' 3PT pullup (3 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,25.6,Made,3.0,,,,,,,,,,,,,,,,,,
46,PT08M31.00S,2021-12-24T00:14:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,92.9862023653088,51.470588235294116,1610612753,6,12,2021-12-24T00:14:55Z,460000,7.0,13.0,1,right,G. Harris driving Layup (2 PTS) (C. Anthony 2 AST),"[203914, 1630175]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,1.53,Made,2.0,,,,,,,,,C. Anthony,1630175.0,2.0,,,,,,,
48,PT08M13.00S,2021-12-24T00:15:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628984,14.668199737187912,65.44117647058823,1610612740,6,12,2021-12-24T00:15:11Z,480000,-77.0,85.0,1,left,MISS D. Graham 11' pullup Shot - blocked,"[1628984, 203914]",1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,11.51,Missed,,,,,,,,,,,,,,,,,Harris,203914.0,
70,PT08M13.00S,2021-12-24T00:15:06.8Z,1,REGULAR,block,,[],203914,,,1610612740,6,12,2021-12-24T00:18:17Z,485000,,,0,,G. Harris BLOCK (1 BLK),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M10.00S,2021-12-24T00:15:09.8Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,12,2021-12-24T00:15:11Z,490000,,,0,,F. Wagner REBOUND (Off:1 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,48.0,2.0,1.0,1.0,,,
50,PT08M07.00S,2021-12-24T00:15:13.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203914,68.54467805519053,74.01960784313727,1610612753,9,12,2021-12-24T00:15:21Z,500000,120.0,243.0,1,right,G. Harris 27' 3PT running (5 PTS) (C. Anthony 3 AST),"[203914, 1630175]",1610612753.0,ORL,running,,,Harris,G. Harris,,,,,27.12,Made,5.0,,,,,,,,,C. Anthony,1630175.0,3.0,,,,,,,
52,PT07M53.00S,2021-12-24T00:15:31.1Z,1,REGULAR,foul,personal,[],1629643,,,1610612740,9,12,2021-12-24T00:15:41Z,520000,,,0,,C. Okeke personal FOUL (3 PF),"[1629643, 1627742]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,1628171.0,3.0,0.0,Ingram,1627742.0,,,,,,,,,,
54,PT07M53.00S,2021-12-24T00:15:38.2Z,1,REGULAR,substitution,out,[],1629643,,,1610612740,9,12,2021-12-24T00:15:42Z,540000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M53.00S,2021-12-24T00:15:38.2Z,1,REGULAR,substitution,in,[],1630758,,,1610612740,9,12,2021-12-24T00:15:42Z,550000,,,0,,SUB in: A. Ford,[1630758],1610612753.0,ORL,,,,Ford,A. Ford,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M44.00S,2021-12-24T00:16:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,6.915243101182654,46.568627450980394,1610612740,9,12,2021-12-24T00:16:10Z,560000,17.0,13.0,1,left,MISS W. Hernangomez cutting Layup - blocked,"[1626195, 1628976]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,2.13,Missed,,,,,,,,,,,,,,,,,Carter Jr.,1628976.0,
57,PT07M44.00S,2021-12-24T00:16:05.2Z,1,REGULAR,block,,[],1628976,,,1610612740,9,12,2021-12-24T00:16:08Z,570000,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M41.00S,2021-12-24T00:16:08.2Z,1,REGULAR,rebound,defensive,[],1630758,,,1610612753,9,12,2021-12-24T00:16:10Z,580000,,,0,,A. Ford REBOUND (Off:0 Def:1),[1630758],1610612753.0,ORL,,,,Ford,A. Ford,,,,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,
59,PT07M35.00S,2021-12-24T00:16:13.8Z,1,REGULAR,3pt,Jump Shot,[],203914,74.58935611038108,85.04901960784314,1610612753,12,12,2021-12-24T00:16:18Z,590000,175.0,186.0,1,right,G. Harris 25' 3PT  (8 PTS) (C. Anthony 4 AST),"[203914, 1630175]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.58,Made,8.0,,,,,,,,,C. Anthony,1630175.0,4.0,,,,,,,
61,PT07M19.00S,2021-12-24T00:16:29.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,27.414586070959263,23.284313725490197,1610612740,12,15,2021-12-24T00:16:34Z,610000,134.0,205.0,1,left,D. Graham 24' 3PT  (6 PTS) (B. Ingram 1 AST),"[1628984, 1627742]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,24.49,Made,6.0,,,,,,,,,B. Ingram,1627742.0,1.0,,,,,,,
63,PT06M59.00S,2021-12-24T00:16:49.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630175,84.44480946123521,51.71568627450981,1610612753,12,15,2021-12-24T00:16:56Z,630000,9.0,94.0,1,right,MISS C. Anthony 9' driving Hook,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,9.41,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M57.00S,2021-12-24T00:16:51.9Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,12,15,2021-12-24T00:16:56Z,640000,,,0,,W. Hernangomez REBOUND (Off:0 Def:3),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,63.0,3.0,3.0,0.0,,,
65,PT06M37.00S,2021-12-24T00:17:11.7Z,1,REGULAR,2pt,Jump Shot,[],1628984,20.97568988173456,52.94117647058824,1610612740,12,15,2021-12-24T00:17:20Z,650000,-15.0,145.0,1,left,MISS D. Graham 14' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,14.54,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M35.00S,2021-12-24T00:17:13.7Z,1,REGULAR,rebound,defensive,[],1630758,,,1610612753,12,15,2021-12-24T00:17:20Z,660000,,,0,,A. Ford REBOUND (Off:0 Def:2),[1630758],1610612753.0,ORL,,,,Ford,A. Ford,,,,,,,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,
67,PT06M22.00S,2021-12-24T00:17:31.1Z,1,REGULAR,foul,personal,[],1626195,,,1610612753,12,15,2021-12-24T00:17:40Z,670000,,,0,,W. Hernangomez personal FOUL (1 PF),"[1626195, 1630532]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,201640.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,
69,PT06M22.00S,2021-12-24T00:17:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,15,2021-12-24T00:17:42Z,690000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2021-12-24T00:18:42.8Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,12,15,2021-12-24T00:20:19Z,700000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2021-12-24T00:18:42.8Z,1,REGULAR,substitution,in,[],201577,,,1610612753,12,15,2021-12-24T00:20:19Z,710000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M12.00S,2021-12-24T00:20:39.1Z,1,REGULAR,2pt,Jump Shot,[],203914,74.98357424441524,55.392156862745104,1610612753,12,15,2021-12-24T00:20:43Z,720000,27.0,183.0,1,right,MISS G. Harris 18' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,18.47,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2021-12-24T00:20:42.1Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,12,15,2021-12-24T00:20:43Z,730000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,
75,PT06M07.00S,2021-12-24T00:20:43.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630175,64.99671484888306,38.970588235294116,1610612753,12,15,2021-12-24T00:20:49Z,740000,-55.0,277.0,1,right,MISS C. Anthony 28' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,28.19,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M04.00S,2021-12-24T00:20:46.7Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,12,15,2021-12-24T00:20:49Z,750000,,,0,,H. Jones REBOUND (Off:1 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,75.0,2.0,1.0,1.0,,,
77,PT05M48.00S,2021-12-24T00:21:04.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,8.754927726675426,95.34313725490196,1610612740,12,15,2021-12-24T00:21:09Z,760000,-227.0,30.0,1,left,MISS D. Graham 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,22.87,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M43.00S,2021-12-24T00:21:09.0Z,1,REGULAR,rebound,defensive,[],1630758,,,1610612753,12,15,2021-12-24T00:21:09Z,770000,,,0,,A. Ford REBOUND (Off:0 Def:3),[1630758],1610612753.0,ORL,,,,Ford,A. Ford,,,,,,,,,,,,,,,,,,,77.0,3.0,3.0,0.0,,,
79,PT05M28.00S,2021-12-24T00:21:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,89.83245729303549,53.67647058823529,1610612753,14,15,2021-12-24T00:21:29Z,780000,18.0,43.0,1,right,R. Lopez Hook (2 PTS) (F. Wagner 1 AST),"[201577, 1630532]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,4.69,Made,2.0,,,,,,,,,F. Wagner,1630532.0,1.0,,,,,,,
81,PT05M15.00S,2021-12-24T00:21:38.2Z,1,REGULAR,foul,personal,[],1630758,,,1610612740,14,15,2021-12-24T00:21:47Z,800000,,,0,,A. Ford personal FOUL (1 PF),"[1630758, 1627742]",1610612753.0,ORL,,,,Ford,A. Ford,,,,,,,,,,,201638.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,
83,PT05M15.00S,2021-12-24T00:21:44.5Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,14,15,2021-12-24T00:21:48Z,820000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M15.00S,2021-12-24T00:21:44.5Z,1,REGULAR,substitution,in,[],203107,,,1610612740,14,15,2021-12-24T00:21:48Z,830000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M04.00S,2021-12-24T00:22:07.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,20.45006570302234,43.627450980392155,1610612740,14,17,2021-12-24T00:22:53Z,840000,32.0,140.0,1,left,B. Ingram 14' fadeaway Jump Shot (5 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,14.33,Made,5.0,,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2021-12-24T00:22:22.2Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,14,17,2021-12-24T00:22:28Z,850000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1628404]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,1.0,Hart,1628404.0,,,,,,,,,,,,,,,
87,PT04M49.00S,2021-12-24T00:22:22.2Z,1,REGULAR,steal,,[],1628404,,,1610612740,14,17,2021-12-24T00:22:24Z,860000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M44.00S,2021-12-24T00:22:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628404,7.966491458607096,49.754901960784316,1610612740,14,19,2021-12-24T00:22:36Z,870000,1.0,22.0,1,left,J. Hart running Layup (4 PTS),[1628404],1610612740.0,NOP,running,,,Hart,J. Hart,,,,,2.24,Made,4.0,,,,,,,,,,,,,,,,,,
89,PT04M29.00S,2021-12-24T00:22:42.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,84.31340341655716,45.83333333333333,1610612753,14,19,2021-12-24T00:22:46Z,880000,-21.0,95.0,1,right,MISS R. Lopez 9' turnaround Hook,[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,9.73,Missed,,,,,,,,,,,,,,,,,,,
