actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
19,PT09M55.00S,2022-04-01T23:13:45.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,66.83639947437582,46.07843137254902,1610612761,3,7,2022-04-01T23:14:15Z,190000,-20.0,259.0,1,right,G. Trent Jr. 25' 3PT pullup (5 PTS) (O. Anunoby 1 AST),"[1629018, 1628384]",1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,25.99,Made,5.0,,O. Anunoby,1628384.0,1.0,,,,,,,,,
21,PT09M31.00S,2022-04-01T23:14:09.6Z,1,REGULAR,turnover,bad pass,[],1629643,,,1610612753,3,7,2022-04-01T23:14:17Z,210000,,,0,,C. Okeke bad pass TURNOVER (2 TO),"[1629643, 1628384]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,2.0,,,,Anunoby,1628384.0,,,,,,,
22,PT09M31.00S,2022-04-01T23:14:09.6Z,1,REGULAR,steal,,[],1628384,,,1610612761,3,7,2022-04-01T23:14:11Z,220000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M27.00S,2022-04-01T23:14:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,92.19776609724047,55.14705882352941,1610612761,3,9,2022-04-01T23:14:24Z,230000,26.0,21.0,1,right,S. Barnes running finger roll Layup (2 PTS) (O. Anunoby 2 AST),"[1630567, 1628384]",1610612761.0,TOR,running finger roll,,,Barnes,S. Barnes,,,,,,,,,,3.31,Made,2.0,,O. Anunoby,1628384.0,2.0,,,,,,,,,
25,PT09M09.00S,2022-04-01T23:14:34.0Z,1,REGULAR,foul,personal,[],1627832,,,1610612753,3,9,2022-04-01T23:14:44Z,250000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1628964]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,200832.0,1.0,0.0,Bamba,1628964.0,,,,,,,,,,,,,,,,
27,PT08M59.00S,2022-04-01T23:14:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,6.1268068331143235,55.14705882352941,1610612753,5,9,2022-04-01T23:15:04Z,270000,-26.0,5.0,1,left,C. Anthony driving Layup (2 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,,,,,,2.62,Made,2.0,,,,,,,,,,,,,
28,PT08M48.00S,2022-04-01T23:15:10.0Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612761,5,9,2022-04-01T23:15:17Z,280000,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 1629643]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,1.0,,,,Okeke,1629643.0,,,,,,,
29,PT08M48.00S,2022-04-01T23:15:10.0Z,1,REGULAR,steal,,[],1629643,,,1610612753,5,9,2022-04-01T23:15:11Z,290000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M38.00S,2022-04-01T23:15:20.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629649,28.465834428383708,74.50980392156863,1610612753,8,9,2022-04-01T23:15:25Z,300000,-123.0,215.0,1,left,I. Brazdeikis 24' 3PT  (6 PTS) (R. Hampton 1 AST),"[1629649, 1630181]",1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,24.75,Made,6.0,,R. Hampton,1630181.0,1.0,,,,,,,,,
32,PT08M24.00S,2022-04-01T23:15:33.6Z,1,REGULAR,2pt,Jump Shot,[],1629018,76.95466491458606,34.068627450980394,1610612761,8,9,2022-04-01T23:15:40Z,320000,-80.0,164.0,1,right,MISS G. Trent Jr. 18' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,18.24,Missed,,,,,,,,,,,,,,
33,PT08M18.00S,2022-04-01T23:15:39.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,8,9,2022-04-01T23:15:40Z,330000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,
34,PT08M18.00S,2022-04-01T23:15:38.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630567,94.40999984741211,50.0,1610612761,8,11,2022-04-01T23:15:43Z,340000,0.0,0.0,1,right,S. Barnes tip Layup (4 PTS),[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,
35,PT08M11.00S,2022-04-01T23:15:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,33.065045992115635,40.68627450980392,1610612753,8,11,2022-04-01T23:15:52Z,350000,47.0,258.0,1,left,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,26.25,Missed,,,,,,,,,,,,,,
36,PT08M07.00S,2022-04-01T23:15:49.9Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,8,11,2022-04-01T23:15:52Z,360000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,35.0,1.0,0.0,1.0,,,
37,PT08M07.00S,2022-04-01T23:15:50.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612753,10,11,2022-04-01T23:15:55Z,370000,0.0,0.0,1,left,M. Bamba tip Layup (2 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,
38,PT08M01.00S,2022-04-01T23:15:59.4Z,1,REGULAR,foul,personal,['2freethrow'],1630181,,,1610612761,10,11,2022-04-01T23:16:09Z,380000,,,0,,R. Hampton shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1630181, 1628384]",1610612753.0,ORL,shooting,,,Hampton,R. Hampton,,,,,200832.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,
40,PT08M01.00S,2022-04-01T23:16:21.6Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,10,12,2022-04-01T23:16:21Z,400000,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
41,PT08M01.00S,2022-04-01T23:16:36.3Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612761,10,13,2022-04-01T23:16:36Z,410000,,,0,,O. Anunoby Free Throw 2 of 2 (2 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
42,PT07M44.00S,2022-04-01T23:16:54.8Z,1,REGULAR,turnover,lost ball,[],1629649,,,1610612753,10,13,2022-04-01T23:17:02Z,420000,,,0,,I. Brazdeikis lost ball TURNOVER (1 TO),"[1629649, 1627832]",1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,1.0,,,,VanVleet,1627832.0,,,,,,,
43,PT07M44.00S,2022-04-01T23:16:54.8Z,1,REGULAR,steal,,[],1627832,,,1610612761,10,13,2022-04-01T23:16:56Z,430000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M40.00S,2022-04-01T23:16:59.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,90.48948751642575,48.28431372549019,1610612761,10,15,2022-04-01T23:17:08Z,440000,-9.0,37.0,1,right,S. Barnes running DUNK (6 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,,,,,,3.79,Made,6.0,,P. Siakam,1627783.0,1.0,,,,,,,,,
46,PT07M23.00S,2022-04-01T23:17:18.3Z,1,REGULAR,foul,personal,[],1628384,,,1610612753,10,15,2022-04-01T23:17:26Z,460000,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 1630175]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1627524.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,,,,,,,,
48,PT07M23.00S,2022-04-01T23:17:31.0Z,1,REGULAR,foul,technical,['1freethrow'],1628384,,,1610612753,10,15,2022-04-01T23:18:00Z,480000,,,0,,O. Anunoby technical FOUL (1 Tech),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,200832.0,1.0,1.0,,,,,,,,,,,,,,,,,,
49,PT07M23.00S,2022-04-01T23:18:01.2Z,1,REGULAR,freethrow,1 of 1,[],1630175,,,1610612753,11,15,2022-04-01T23:18:01Z,490000,,,0,,C. Anthony technical Free Throw 1 of 1 (3 PTS),[1630175],1610612753.0,ORL,technical,,,Anthony,C. Anthony,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
50,PT07M15.00S,2022-04-01T23:18:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,6.307490144546648,56.86657475490196,1610612753,13,15,2022-04-01T23:19:19Z,500000,-34.0,7.0,1,left,M. Bamba reverse Layup (4 PTS) (R. Hampton 2 AST),"[1628964, 1630181]",1610612753.0,ORL,reverse,,,Bamba,M. Bamba,,,,,,,,,,3.5,Made,4.0,,R. Hampton,1630181.0,2.0,,,,,,,,,
52,PT06M59.00S,2022-04-01T23:18:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,90.88370565045992,39.46078431372549,1610612761,13,15,2022-04-01T23:19:04Z,520000,-53.0,33.0,1,right,MISS O. Anunoby 6' driving Layup - blocked,"[1628384, 1628964]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,,,,,,6.23,Missed,,,,,,,,,,,,Bamba,1628964.0,
53,PT06M59.00S,2022-04-01T23:18:35.5Z,1,REGULAR,block,,[],1628964,,,1610612761,13,15,2022-04-01T23:18:39Z,530000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M56.00S,2022-04-01T23:18:38.5Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,13,15,2022-04-01T23:18:48Z,540000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,52.0,1.0,0.0,1.0,,,
55,PT06M55.00S,2022-04-01T23:18:40.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,90.88370565045992,1.4705882352941175,1610612761,13,15,2022-04-01T23:18:50Z,550000,-243.0,33.0,1,right,MISS P. Siakam 24' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,24.49,Missed,,,,,,,,,,,,,,
56,PT06M54.00S,2022-04-01T23:18:42.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,13,15,2022-04-01T23:18:42Z,560000,,,0,,S. Barnes REBOUND (Off:2 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,55.0,2.0,0.0,2.0,,,
57,PT06M51.00S,2022-04-01T23:18:46.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630567,89.43823915900131,42.15686274509804,1610612761,13,15,2022-04-01T23:19:22Z,570000,-39.0,47.0,1,right,MISS S. Barnes 6' Hook,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,6.1,Missed,,,,,,,,,,,,,,
58,PT06M51.00S,2022-04-01T23:18:46.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,13,15,2022-04-01T23:18:55Z,580000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,
59,PT06M51.00S,2022-04-01T23:18:49.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,13,15,2022-04-01T23:18:49Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2022-04-01T23:18:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,13,15,2022-04-01T23:18:54Z,600000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M29.00S,2022-04-01T23:22:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,11.383048620236531,39.705882352941174,1610612753,13,15,2022-04-01T23:22:19Z,610000,51.0,55.0,1,left,MISS C. Anthony 7' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,,,,,,7.5,Missed,,,,,,,,,,,,,,
62,PT06M26.00S,2022-04-01T23:22:17.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,13,15,2022-04-01T23:22:19Z,620000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,61.0,2.0,1.0,1.0,,,
63,PT06M24.00S,2022-04-01T23:22:19.8Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,13,15,2022-04-01T23:22:25Z,630000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1629643]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,1.0,,,,Okeke,1629643.0,,,,,,,
64,PT06M24.00S,2022-04-01T23:22:19.8Z,1,REGULAR,steal,,[],1629643,,,1610612753,13,15,2022-04-01T23:22:22Z,640000,,,0,,C. Okeke STEAL (2 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M14.00S,2022-04-01T23:22:29.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628964,12.697109067017081,53.67647058823529,1610612753,15,15,2022-04-01T23:22:41Z,660000,-18.0,67.0,1,left,M. Bamba 6' floating Jump Shot (6 PTS) (C. Anthony 2 AST),"[1628964, 1630175]",1610612753.0,ORL,floating,,,Bamba,M. Bamba,,,,,,,,,,6.94,Made,6.0,,C. Anthony,1630175.0,2.0,,,,,,,,,
68,PT05M57.00S,2022-04-01T23:22:46.5Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,15,15,2022-04-01T23:22:52Z,680000,,,0,,F. VanVleet bad pass TURNOVER (2 TO),"[1627832, 1630181]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,2.0,,,,Hampton,1630181.0,,,,,,,
69,PT05M57.00S,2022-04-01T23:22:46.5Z,1,REGULAR,steal,,[],1630181,,,1610612753,15,15,2022-04-01T23:22:49Z,690000,,,0,,R. Hampton STEAL (1 STL),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M52.00S,2022-04-01T23:22:52.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630175,23.47240473061761,86.76470588235294,1610612753,15,15,2022-04-01T23:23:44Z,700000,-184.0,168.0,1,left,MISS C. Anthony 24' running pullup 3PT,[1630175],1610612753.0,ORL,running pullup,,,Anthony,C. Anthony,,,,,,,,,,24.91,Missed,,,,,,,,,,,,,,
71,PT05M50.00S,2022-04-01T23:22:54.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,15,15,2022-04-01T23:23:44Z,710000,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,70.0,3.0,2.0,1.0,,,
72,PT05M41.00S,2022-04-01T23:23:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,66.3107752956636,49.754901960784316,1610612761,15,18,2022-04-01T23:23:08Z,720000,-1.0,264.0,1,right,O. Anunoby 26' 3PT  (5 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,26.42,Made,5.0,,S. Barnes,1630567.0,1.0,,,,,,,,,
74,PT05M15.00S,2022-04-01T23:23:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630181,6.652431011826544,58.333333333333336,1610612753,17,18,2022-04-01T23:23:35Z,740000,-42.0,10.0,1,left,R. Hampton driving floating bank Jump Shot (2 PTS) (M. Bamba 1 AST),"[1630181, 1628964]",1610612753.0,ORL,driving floating bank,,,Hampton,R. Hampton,,,,,,,,,,4.29,Made,2.0,,M. Bamba,1628964.0,1.0,,,,,,,,,
76,PT05M02.00S,2022-04-01T23:23:41.5Z,1,REGULAR,2pt,Jump Shot,[],1629018,80.76544021024968,25.49019607843137,1610612761,17,18,2022-04-01T23:23:45Z,760000,-123.0,128.0,1,right,MISS G. Trent Jr. 17' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,17.74,Missed,,,,,,,,,,,,,,
77,PT04M59.00S,2022-04-01T23:23:44.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,17,18,2022-04-01T23:23:45Z,770000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,76.0,2.0,1.0,1.0,,,
78,PT04M53.00S,2022-04-01T23:23:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628964,32.802233902759525,49.754901960784316,1610612753,17,18,2022-04-01T23:23:55Z,780000,1.0,256.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,25.58,Missed,,,,,,,,,,,,,,
79,PT04M50.00S,2022-04-01T23:23:53.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,17,18,2022-04-01T23:23:55Z,790000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,
80,PT04M40.00S,2022-04-01T23:24:03.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,92.06636005256242,95.09803921568627,1610612761,17,21,2022-04-01T23:24:09Z,800000,225.0,22.0,1,right,O. Anunoby 3PT  (8 PTS) (S. Barnes 2 AST),"[1628384, 1630567]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,22.66,Made,8.0,,S. Barnes,1630567.0,2.0,,,,,,,,,
82,PT04M23.00S,2022-04-01T23:24:20.2Z,1,REGULAR,3pt,Jump Shot,[],1628964,23.866622864651774,85.29411764705883,1610612753,17,21,2022-04-01T23:24:24Z,820000,-176.0,172.0,1,left,MISS M. Bamba 24' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,24.63,Missed,,,,,,,,,,,,,,
83,PT04M21.00S,2022-04-01T23:24:22.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,17,21,2022-04-01T23:24:24Z,830000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,82.0,2.0,2.0,0.0,,,
84,PT04M05.00S,2022-04-01T23:24:39.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,80.23981603153744,90.19607843137256,1610612761,17,24,2022-04-01T23:24:47Z,840000,201.0,133.0,1,right,G. Trent Jr. 24' 3PT  (8 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,24.11,Made,8.0,,F. VanVleet,1627832.0,1.0,,,,,,,,,
86,PT03M41.00S,2022-04-01T23:25:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628964,6.783837056504599,57.35294117647059,1610612753,17,24,2022-04-01T23:25:06Z,860000,-37.0,11.0,1,left,MISS M. Bamba Layup - blocked,"[1628964, 1627832]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,3.85,Missed,,,,,,,,,,,,VanVleet,1627832.0,
87,PT03M41.00S,2022-04-01T23:25:02.2Z,1,REGULAR,block,,[],1627832,,,1610612753,17,24,2022-04-01T23:25:05Z,870000,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M38.00S,2022-04-01T23:25:05.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,17,24,2022-04-01T23:25:06Z,880000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,
89,PT03M36.00S,2022-04-01T23:25:07.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,68.28186596583443,74.50980392156863,1610612761,17,24,2022-04-01T23:28:27Z,890000,123.0,246.0,1,right,MISS F. VanVleet 27' running pullup 3PT,[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,,,,,,27.45,Missed,,,,,,,,,,,,,,
90,PT03M35.00S,2022-04-01T23:25:08.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,17,24,2022-04-01T23:25:15Z,900000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,
