actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
53,PT06M39.00S,2021-12-29T00:22:34.5Z,1,REGULAR,foul,personal,[],1628976,,,1610612749,13,13,2021-12-29T00:22:49Z,520000,,,0,,W. Carter Jr. personal FOUL (2 PF),"[1628976, 202326]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,202056.0,2.0,0.0,,Cousins,202326.0,,,,,
55,PT06M27.00S,2021-12-29T00:22:58.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202326,19.530223390275953,92.64705882352942,1610612749,13,13,2021-12-29T00:23:02Z,540000,-213.0,131.0,1,left,MISS D. Cousins 25' 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M23.00S,2021-12-29T00:23:02.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,13,13,2021-12-29T00:23:02Z,550000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,
57,PT06M12.00S,2021-12-29T00:23:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,89.43823915900131,52.94117647058824,1610612753,15,13,2021-12-29T00:23:18Z,560000,15.0,47.0,1,right,F. Wagner driving finger roll Layup (2 PTS),[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,4.91,Made,2.0,,,,,,,,,,,,,,,,,,
58,PT06M04.00S,2021-12-29T00:23:20.6Z,1,REGULAR,2pt,Jump Shot,[],203114,18.74178712220762,16.666666666666664,1610612749,15,15,2021-12-29T00:25:03Z,570000,167.0,124.0,1,left,K. Middleton 20' pullup Jump Shot (5 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,20.76,Made,5.0,,,,,,,,,,,,,,,,,,
59,PT05M50.00S,2021-12-29T00:23:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628976,64.33968462549278,43.627450980392155,1610612753,15,15,2021-12-29T00:23:41Z,580000,-32.0,283.0,1,right,MISS W. Carter Jr. 28' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,28.45,Missed,,,,,,,,,,,,,,,,,,,
60,PT05M49.00S,2021-12-29T00:23:35.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,15,15,2021-12-29T00:23:41Z,590000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
61,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,out,[],1628976,,,1610612749,15,15,2021-12-29T00:23:55Z,600000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,15,15,2021-12-29T00:23:55Z,610000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,out,[],203507,,,1610612749,15,15,2021-12-29T00:23:55Z,620000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,in,[],1629021,,,1610612749,15,15,2021-12-29T00:23:55Z,630000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,15,15,2021-12-29T00:23:55Z,640000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M49.00S,2021-12-29T00:23:40.6Z,1,REGULAR,substitution,in,[],1628978,,,1610612749,15,15,2021-12-29T00:23:55Z,650000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M30.00S,2021-12-29T00:24:13.0Z,1,REGULAR,3pt,Jump Shot,[],1628978,2.8416557161629434,95.09803921568627,1610612749,15,15,2021-12-29T00:24:32Z,660000,-225.0,-26.0,1,left,MISS D. DiVincenzo 3PT,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M26.00S,2021-12-29T00:24:17.0Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,15,15,2021-12-29T00:24:32Z,670000,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT05M17.00S,2021-12-29T00:24:26.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626192,3.4986859395532193,2.941176470588235,1610612749,15,15,2021-12-29T00:24:34Z,680000,235.0,-20.0,1,left,MISS P. Connaughton 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,23.61,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M16.00S,2021-12-29T00:24:27.0Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,15,15,2021-12-29T00:24:34Z,690000,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,,,,,
71,PT05M16.00S,2021-12-29T00:24:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203114,5.590000152587891,50.0,1610612749,15,17,2021-12-29T00:24:31Z,700000,0.0,0.0,1,left,K. Middleton putback Layup (7 PTS),[203114],1610612749.0,MIL,putback,,,Middleton,K. Middleton,,,,,0.0,Made,7.0,,,,,,,,,,,,,,,,,,
72,PT05M16.00S,2021-12-29T00:24:34.3Z,1,REGULAR,foul,personal,['1freethrow'],203914,,,1610612749,15,17,2021-12-29T00:24:41Z,710000,,,0,,G. Harris shooting personal FOUL (1 PF) (Middleton 1 FT),"[203914, 203114]",1610612753.0,ORL,shooting,,,Harris,G. Harris,,,,,,,,,,,,,,,1627541.0,1.0,0.0,,Middleton,203114.0,,,,,
74,PT05M16.00S,2021-12-29T00:24:54.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203114,,,1610612749,15,18,2021-12-29T00:24:54Z,730000,,,0,,K. Middleton Free Throw 1 of 1 (8 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
75,PT05M04.00S,2021-12-29T00:25:07.9Z,1,REGULAR,3pt,Jump Shot,[],1629021,78.9257555847569,7.107843137254902,1610612753,18,18,2021-12-29T00:25:13Z,740000,-214.0,146.0,1,right,M. Wagner 25' 3PT  (3 PTS) (G. Harris 1 AST),"[1629021, 203914]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,25.92,Made,3.0,,,,,G. Harris,203914.0,1.0,,,,,,,,,,,
77,PT04M50.00S,2021-12-29T00:25:21.4Z,1,REGULAR,2pt,Jump Shot,[],201950,3.1044678055190538,73.0392156862745,1610612749,18,20,2021-12-29T00:25:56Z,760000,-115.0,-23.0,1,left,J. Holiday 11' pullup Jump Shot (6 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,11.75,Made,6.0,,,,,,,,,,,,,,,,,,
78,PT04M40.00S,2021-12-29T00:25:35.5Z,1,REGULAR,foul,personal,[],1628978,,,1610612753,18,20,2021-12-29T00:25:43Z,770000,,,0,,D. DiVincenzo personal FOUL (1 PF),"[1628978, 203914]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,1151.0,1.0,0.0,,Harris,203914.0,,,,,
80,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,out,[],1629755,,,1610612753,18,20,2021-12-29T00:26:04Z,790000,,,0,,SUB out: H. Gravett,[1629755],1610612753.0,ORL,,,,Gravett,H. Gravett,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,out,[],201577,,,1610612753,18,20,2021-12-29T00:26:04Z,800000,,,0,,SUB out: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,out,[],203114,,,1610612753,18,20,2021-12-29T00:26:04Z,810000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,in,[],204025,,,1610612753,18,20,2021-12-29T00:26:04Z,820000,,,0,,SUB in: T. Frazier,[204025],1610612753.0,ORL,,,,Frazier,T. Frazier,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,in,[],1630273,,,1610612753,18,20,2021-12-29T00:26:04Z,830000,,,0,,SUB in: F. Gillespie,[1630273],1610612753.0,ORL,,,,Gillespie,F. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M40.00S,2021-12-29T00:25:41.9Z,1,REGULAR,substitution,in,[],202083,,,1610612753,18,20,2021-12-29T00:26:04Z,840000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2021-12-29T00:26:15.0Z,1,REGULAR,3pt,Jump Shot,[],204025,81.15965834428384,93.13725490196079,1610612753,18,20,2021-12-29T00:26:21Z,850000,216.0,125.0,1,right,MISS T. Frazier 24' 3PT,[204025],1610612753.0,ORL,,,,Frazier,T. Frazier,,,,,24.91,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M27.00S,2021-12-29T00:26:19.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,18,20,2021-12-29T00:26:21Z,860000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
