actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
29,PT09M28.00S,2021-11-27T00:14:14.6Z,1,REGULAR,freethrow,1 of 2,[],1630591,,,1610612753,7,5,2021-11-27T00:14:34Z,290000,,,0,,MISS J. Suggs Free Throw 1 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M28.00S,2021-11-27T00:14:14.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,7,5,2021-11-27T00:14:34Z,300000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2021-11-27T00:14:14.6Z,1,REGULAR,freethrow,2 of 2,[],1630591,,,1610612753,7,5,2021-11-27T00:14:34Z,310000,,,0,,MISS J. Suggs Free Throw 2 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M26.00S,2021-11-27T00:14:16.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,5,2021-11-27T00:14:34Z,320000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,31.0,,,,,2.0,2.0,0.0,,,,,,,,,,
33,PT09M15.00S,2021-11-27T00:14:43.2Z,1,REGULAR,3pt,Jump Shot,[],203897,30.699737187910642,63.970588235294116,1610612741,7,5,2021-11-27T00:14:48Z,330000,-70.0,236.0,1,left,MISS Z. LaVine 24' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,24.62,Missed,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2021-11-27T00:14:47.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,5,2021-11-27T00:14:48Z,340000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,33.0,,,,,2.0,2.0,0.0,,,,,,,,,,
35,PT09M00.00S,2021-11-27T00:14:58.0Z,1,REGULAR,2pt,Jump Shot,[],203914,86.94152431011827,86.76470588235294,1610612753,7,5,2021-11-27T00:18:09Z,350000,184.0,70.0,1,right,MISS G. Harris 19' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,19.67,Missed,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2021-11-27T00:15:01.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,7,5,2021-11-27T00:15:03Z,360000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,35.0,,,,,1.0,1.0,0.0,,,,,,,,,,
37,PT08M49.00S,2021-11-27T00:15:08.6Z,1,REGULAR,2pt,Jump Shot,[],201942,20.97568988173456,50.245098039215684,1610612741,7,5,2021-11-27T00:15:13Z,370000,-1.0,145.0,1,left,MISS D. DeRozan 14' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,14.47,Missed,,,,,,,,,,,,,,,,,,
38,PT08M46.00S,2021-11-27T00:15:11.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,7,5,2021-11-27T00:15:13Z,380000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,37.0,,,,,1.0,1.0,0.0,,,,,,,,,,
39,PT08M35.00S,2021-11-27T00:15:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.5407358738502,56.61764705882353,1610612753,7,5,2021-11-27T00:15:28Z,390000,33.0,27.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,4.27,Missed,,,,,,,,,,,,,,,,,,
40,PT08M32.00S,2021-11-27T00:15:26.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,7,5,2021-11-27T00:15:28Z,400000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,39.0,,,,,1.0,1.0,0.0,,,,,,,,,,
41,PT08M30.00S,2021-11-27T00:15:29.4Z,1,REGULAR,turnover,bad pass,[],1628366,,,1610612741,7,5,2021-11-27T00:15:51Z,410000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1628366, 1630591]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,1.0,Suggs,1630591.0,,
42,PT08M30.00S,2021-11-27T00:15:29.4Z,1,REGULAR,steal,,[],1630591,,,1610612753,7,5,2021-11-27T00:15:32Z,420000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M29.00S,2021-11-27T00:15:40.3Z,1,REGULAR,foul,personal,[],201942,,,1610612753,7,5,2021-11-27T00:19:09Z,430000,,,0,,D. DeRozan take personal FOUL (1 PF),"[201942, 203914]",1610612741.0,CHI,take,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,1628168.0,1.0,0.0,Harris,203914.0,,,,,
45,PT08M17.00S,2021-11-27T00:16:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203914,84.97043363994744,18.137254901960784,1610612753,9,5,2021-11-27T00:16:10Z,450000,-159.0,89.0,1,right,G. Harris 18' pullup Jump Shot (2 PTS),[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,18.24,Made,,2.0,,,,,,,,,,,,,,,,
94,PT07M59.00S,2021-11-27T00:16:15.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.82457293035479,50.245098039215684,1610612741,9,5,2021-11-27T00:25:05Z,455000,-1.0,49.0,1,left,MISS N. Vucevic Hook - blocked,"[202696, 1628976]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,4.93,Missed,,,,,,,,,,,,,,,,,Carter Jr.,1628976.0
95,PT07M59.00S,2021-11-27T00:16:15.2Z,1,REGULAR,block,,[],1628976,,,1610612741,9,5,2021-11-27T00:25:05Z,457500,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
96,PT07M59.00S,2021-11-27T00:16:15.2Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,9,5,2021-11-27T00:25:05Z,458750,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,94.0,,,,,1.0,0.0,1.0,,,,,,,,,,
46,PT07M57.00S,2021-11-27T00:16:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,13.485545335085414,49.50980392156863,1610612741,9,5,2021-11-27T00:25:41Z,460000,2.0,74.0,1,left,MISS J. Green 7' Layup,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,7.43,Missed,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2021-11-27T00:16:32.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,5,2021-11-27T00:16:43Z,480000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,46.0,,,,,3.0,3.0,0.0,,,,,,,,,,
49,PT07M39.00S,2021-11-27T00:16:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,91.01511169513797,53.67647058823529,1610612753,11,5,2021-11-27T00:16:52Z,490000,18.0,32.0,1,right,J. Suggs driving floating Jump Shot (2 PTS) (G. Harris 1 AST),"[1630591, 203914]",1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,3.69,Made,,2.0,G. Harris,203914.0,1.0,,,,,,,,,,,,,
51,PT07M25.00S,2021-11-27T00:16:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629750,5.732588699080158,42.8921568627451,1610612741,11,5,2021-11-27T00:26:28Z,510000,36.0,1.0,1,left,MISS J. Green floating Shot - blocked,"[1629750, 1628964]",1610612741.0,CHI,floating,,,Green,J. Green,,,,,3.55,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0
52,PT07M25.00S,2021-11-27T00:16:56.5Z,1,REGULAR,block,,[],1628964,,,1610612741,11,5,2021-11-27T00:16:59Z,520000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M19.00S,2021-11-27T00:17:02.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,11,5,2021-11-27T00:17:07Z,530000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,51.0,,,,,3.0,2.0,1.0,,,,,,,,,,
54,PT07M15.00S,2021-11-27T00:17:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,91.93495400788436,44.85294117647059,1610612753,11,5,2021-11-27T00:17:15Z,540000,-26.0,23.0,1,right,MISS J. Suggs running Layup,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,
55,PT07M12.00S,2021-11-27T00:17:09.9Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,11,5,2021-11-27T00:27:39Z,550000,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,54.0,,,,,2.0,1.0,1.0,,,,,,,,,,
56,PT07M09.00S,2021-11-27T00:17:13.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,25.04927726675427,13.725490196078432,1610612741,11,8,2021-11-27T00:17:28Z,560000,181.0,183.0,1,left,L. Ball 25' 3PT running (3 PTS) (D. DeRozan 2 AST),"[1628366, 201942]",1610612741.0,CHI,running,,,Ball,L. Ball,,,,,25.77,Made,,3.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,
57,PT06M49.00S,2021-11-27T00:17:33.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,91.93495400788436,48.03921568627451,1610612753,13,8,2021-11-27T00:28:47Z,570000,-10.0,23.0,1,right,W. Carter Jr. driving DUNK (5 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,2.53,Made,,5.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,
59,PT06M27.00S,2021-11-27T00:17:54.8Z,1,REGULAR,3pt,Jump Shot,[],1628366,25.969119579500656,14.950980392156863,1610612741,13,11,2021-11-27T00:18:01Z,590000,175.0,192.0,1,left,L. Ball 25' 3PT  (6 PTS) (D. DeRozan 3 AST),"[1628366, 201942]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.96,Made,,6.0,D. DeRozan,201942.0,3.0,,,,,,,,,,,,,
61,PT06M08.00S,2021-11-27T00:18:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.80354796320631,55.14705882352941,1610612753,15,11,2021-11-27T00:18:20Z,610000,26.0,25.0,1,right,F. Wagner driving Layup (4 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,3.55,Made,,4.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,
63,PT05M48.00S,2021-11-27T00:18:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,7.703679369250986,54.41176470588235,1610612741,15,11,2021-11-27T00:18:39Z,630000,-22.0,20.0,1,left,MISS D. DeRozan Layup - blocked,"[201942, 1628976]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,2.97,Missed,,,,,,,,,,,,,,,,,Carter Jr.,1628976.0
68,PT05M48.00S,2021-11-27T00:18:35.0Z,1,REGULAR,block,,[],1628976,,,1610612741,15,11,2021-11-27T00:19:41Z,635000,,,0,,W. Carter Jr. BLOCK (2 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M46.00S,2021-11-27T00:18:37.0Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,15,11,2021-11-27T00:19:41Z,640000,,,0,,G. Harris REBOUND (Off:1 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,63.0,,,,,2.0,1.0,1.0,,,,,,,,,,
65,PT05M42.00S,2021-11-27T00:18:41.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,65.91655716162943,51.470588235294116,1610612753,18,11,2021-11-27T00:18:48Z,650000,7.0,268.0,1,right,W. Carter Jr. 26' 3PT running (8 PTS) (G. Harris 2 AST),"[1628976, 203914]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,26.8,Made,,8.0,G. Harris,203914.0,2.0,,,,,,,,,,,,,
67,PT05M40.00S,2021-11-27T00:18:55.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,18,11,2021-11-27T00:18:55Z,670000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,out,[],1630591,,,1610612741,18,11,2021-11-27T00:21:38Z,680000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,out,[],201942,,,1610612741,18,11,2021-11-27T00:21:38Z,690000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,out,[],1628366,,,1610612741,18,11,2021-11-27T00:21:38Z,700000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,in,[],203082,,,1610612741,18,11,2021-11-27T00:21:38Z,710000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,18,11,2021-11-27T00:21:38Z,720000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M40.00S,2021-11-27T00:21:09.5Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,18,11,2021-11-27T00:21:38Z,730000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M16.00S,2021-11-27T00:22:02.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,29.25427069645204,25.735294117647058,1610612741,18,14,2021-11-27T00:22:13Z,740000,121.0,222.0,1,left,C. White 25' 3PT step back (3 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,step back,,,White,C. White,,,,,25.34,Made,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,
77,PT04M47.00S,2021-11-27T00:22:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,69.33311432325887,71.81372549019608,1610612753,18,14,2021-11-27T00:22:44Z,760000,109.0,236.0,1,right,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,
78,PT04M47.00S,2021-11-27T00:22:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,18,14,2021-11-27T00:22:36Z,770000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,
79,PT04M47.00S,2021-11-27T00:22:39.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,18,14,2021-11-27T00:22:58Z,780000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,201246.0,,,,,,,,,
80,PT04M47.00S,2021-11-27T00:22:45.8Z,1,REGULAR,substitution,out,[],202696,,,1610612741,18,14,2021-11-27T00:22:55Z,790000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M47.00S,2021-11-27T00:22:45.8Z,1,REGULAR,substitution,in,[],1627884,,,1610612741,18,14,2021-11-27T00:22:55Z,800000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M29.00S,2021-11-27T00:23:10.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629632,22.026938239159,62.99019607843137,1610612741,18,16,2021-11-27T00:23:16Z,810000,-65.0,155.0,1,left,C. White 16' step back Jump Shot (5 PTS),[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,16.77,Made,,5.0,,,,,,,,,,,,,,,,
83,PT04M10.00S,2021-11-27T00:23:28.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,91.01511169513797,39.46078431372549,1610612753,18,16,2021-11-27T00:23:33Z,820000,-53.0,32.0,1,right,MISS W. Carter Jr. 6' turnaround Hook,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,6.17,Missed,,,,,,,,,,,,,,,,,,
84,PT04M08.00S,2021-11-27T00:23:30.9Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,18,16,2021-11-27T00:23:33Z,830000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,83.0,,,,,1.0,1.0,0.0,,,,,,,,,,
85,PT04M06.00S,2021-11-27T00:23:35.9Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612741,18,16,2021-11-27T00:23:53Z,840000,,,0,,F. Wagner shooting personal FOUL (1 PF) (LaVine 2 FT),"[1630532, 203897]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,,,,,1628168.0,1.0,0.0,LaVine,203897.0,,,,,
