actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
21,PT09M52.00S,2021-11-07T23:13:03.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,7,4,2021-11-07T23:13:05Z,210000,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,
22,PT09M51.00S,2021-11-07T23:13:04.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,6.389618922470433,40.931372549019606,1610612762,7,6,2021-11-07T23:13:13Z,220000,45.0,8.0,1,left,R. Gobert putback DUNK (4 PTS),[203497],1610612762.0,UTA,putback,,,Gobert,R. Gobert,,,,,4.59,Made,4.0,,,,,,,,,,,,,,,,,
23,PT09M37.00S,2021-11-07T23:13:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,82.60512483574244,34.55882352941176,1610612753,9,6,2021-11-07T23:13:25Z,230000,-77.0,111.0,1,right,W. Carter Jr. 13' pullup Jump Shot (2 PTS),[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,13.52,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M21.00S,2021-11-07T23:13:34.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,32.670827858081466,63.23529411764706,1610612762,9,6,2021-11-07T23:13:43Z,240000,-66.0,255.0,1,left,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,
25,PT09M15.00S,2021-11-07T23:13:40.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,9,6,2021-11-07T23:13:43Z,250000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,
26,PT09M10.00S,2021-11-07T23:13:45.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,66.17936925098554,43.13725490196079,1610612753,12,6,2021-11-07T23:15:03Z,260000,-34.0,265.0,1,right,W. Carter Jr. 26' 3PT  (5 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.76,Made,5.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
28,PT09M09.00S,2021-11-07T23:13:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,12,6,2021-11-07T23:13:58Z,280000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M48.00S,2021-11-07T23:17:12.8Z,1,REGULAR,2pt,Jump Shot,[],1628378,24.392247043363994,70.83333333333334,1610612762,12,8,2021-11-07T23:17:23Z,290000,-104.0,177.0,1,left,D. Mitchell 20' pullup Jump Shot (4 PTS) (R. O'Neale 1 AST),"[1628378, 1626220]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,20.52,Made,4.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,
32,PT08M30.00S,2021-11-07T23:17:30.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,71.43561103810775,19.362745098039216,1610612753,15,8,2021-11-07T23:17:35Z,310000,-153.0,216.0,1,right,W. Carter Jr. 26' 3PT  (8 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.48,Made,8.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
34,PT08M14.00S,2021-11-07T23:17:53.0Z,1,REGULAR,foul,personal,[],1630591,,,1610612762,15,8,2021-11-07T23:18:13Z,330000,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1628378]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,202037.0,,,,,,,1.0,0.0,Mitchell,1628378.0,,,
36,PT08M06.00S,2021-11-07T23:18:15.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,33.196452036793694,50.49019607843137,1610612762,15,8,2021-11-07T23:18:24Z,350000,-2.0,260.0,1,left,MISS D. Mitchell 25' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,
37,PT08M06.00S,2021-11-07T23:18:15.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,15,8,2021-11-07T23:18:52Z,360000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,
38,PT07M57.00S,2021-11-07T23:18:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,86.81011826544021,62.5,1610612753,15,8,2021-11-07T23:19:20Z,370000,62.0,71.0,1,right,MISS C. Anthony 9' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,9.5,Missed,,,,,,,,,,,,,,,,,,
39,PT07M48.00S,2021-11-07T23:18:33.6Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,15,8,2021-11-07T23:18:35Z,380000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,
40,PT07M48.00S,2021-11-07T23:18:34.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628964,94.40999984741211,50.0,1610612753,15,8,2021-11-07T23:18:38Z,390000,0.0,0.0,1,right,MISS M. Bamba tip Layup,[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT07M48.00S,2021-11-07T23:18:34.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,15,8,2021-11-07T23:18:38Z,400000,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,
42,PT07M43.00S,2021-11-07T23:18:38.5Z,1,REGULAR,3pt,Jump Shot,[],202711,23.340998685939553,7.352941176470589,1610612762,15,8,2021-11-07T23:18:48Z,410000,213.0,167.0,1,left,MISS B. Bogdanovic 27' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,27.08,Missed,,,,,,,,,,,,,,,,,,
43,PT07M41.00S,2021-11-07T23:18:41.1Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,15,8,2021-11-07T23:18:41Z,420000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,
44,PT07M39.00S,2021-11-07T23:18:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630591,92.72339027595268,56.61764705882353,1610612753,17,8,2021-11-07T23:19:07Z,430000,33.0,16.0,1,right,J. Suggs running DUNK (4 PTS),[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,3.67,Made,4.0,,,,,,,,,,,,,,,,,
45,PT07M26.00S,2021-11-07T23:18:56.0Z,1,REGULAR,3pt,Jump Shot,[],202711,19.92444152431012,8.333333333333332,1610612762,17,8,2021-11-07T23:19:16Z,440000,208.0,135.0,1,left,MISS B. Bogdanovic 24' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,24.81,Missed,,,,,,,,,,,,,,,,,,
46,PT07M26.00S,2021-11-07T23:18:56.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,17,8,2021-11-07T23:19:16Z,450000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,,
47,PT07M16.00S,2021-11-07T23:19:09.1Z,1,REGULAR,foul,personal,[],1628378,,,1610612753,17,8,2021-11-07T23:19:15Z,460000,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1630175]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,202037.0,,,,,,,1.0,0.0,Anthony,1630175.0,,,
49,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,17,8,2021-11-07T23:19:48Z,480000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,out,[],203497,,,1610612753,17,8,2021-11-07T23:19:48Z,500000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,out,[],204060,,,1610612753,17,8,2021-11-07T23:19:48Z,510000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,in,[],203082,,,1610612753,17,8,2021-11-07T23:19:48Z,520000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,in,[],203903,,,1610612753,17,8,2021-11-07T23:19:48Z,540000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2021-11-07T23:19:19.0Z,1,REGULAR,substitution,in,[],202355,,,1610612753,17,8,2021-11-07T23:19:48Z,550000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M59.00S,2021-11-07T23:19:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,91.27792378449409,50.49019607843137,1610612753,17,8,2021-11-07T23:21:19Z,560000,2.0,29.0,1,right,MISS F. Wagner driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,2.96,Missed,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2021-11-07T23:19:52.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,17,8,2021-11-07T23:19:52Z,570000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,
59,PT06M45.00S,2021-11-07T23:20:03.3Z,1,REGULAR,3pt,Jump Shot,[],203903,8.623521681997373,95.34313725490196,1610612762,17,11,2021-11-07T23:20:10Z,580000,-227.0,29.0,1,left,J. Clarkson 3PT  (3 PTS) (D. Mitchell 2 AST),"[203903, 1628378]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,22.85,Made,3.0,D. Mitchell,1628378.0,2.0,,,,,,,,,,,,,,
61,PT06M38.00S,2021-11-07T23:20:09.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,90.62089356110381,50.245098039215684,1610612753,19,11,2021-11-07T23:20:19Z,600000,1.0,36.0,1,right,F. Wagner running DUNK (4 PTS) (C. Anthony 2 AST),"[1630532, 1630175]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,3.57,Made,4.0,C. Anthony,1630175.0,2.0,,,,,,,,,,,,,,
63,PT06M23.00S,2021-11-07T23:20:25.3Z,1,REGULAR,3pt,Jump Shot,[],203903,23.47240473061761,86.27450980392157,1610612762,19,11,2021-11-07T23:22:18Z,620000,-181.0,168.0,1,left,MISS J. Clarkson 24' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,
64,PT06M19.00S,2021-11-07T23:20:29.2Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,19,11,2021-11-07T23:20:29Z,630000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,
65,PT06M13.00S,2021-11-07T23:20:35.4Z,1,REGULAR,3pt,Jump Shot,[],203082,66.04796320630749,43.627450980392155,1610612753,19,11,2021-11-07T23:20:43Z,640000,-32.0,267.0,1,right,MISS T. Ross 26' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
66,PT06M07.00S,2021-11-07T23:20:41.4Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,19,11,2021-11-07T23:20:43Z,650000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,
67,PT06M00.00S,2021-11-07T23:20:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,10.5946123521682,34.80392156862745,1610612762,19,11,2021-11-07T23:23:27Z,660000,76.0,47.0,1,left,MISS D. Mitchell 8' driving finger roll Layup,[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,8.94,Missed,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2021-11-07T23:20:52.1Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,19,11,2021-11-07T23:23:27Z,670000,,,0,,H. Whiteside REBOUND (Off:1 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,67.0,2.0,1.0,1.0,,,,,,,
69,PT05M55.00S,2021-11-07T23:20:53.6Z,1,REGULAR,turnover,lost ball,[],202355,,,1610612762,19,11,2021-11-07T23:20:59Z,680000,,,0,,H. Whiteside lost ball TURNOVER (1 TO),"[202355, 1630175]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,1.0,Anthony,1630175.0
70,PT05M55.00S,2021-11-07T23:20:53.6Z,1,REGULAR,steal,,[],1630175,,,1610612753,19,11,2021-11-07T23:20:55Z,690000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2021-11-07T23:20:56.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203082,68.80749014454665,73.52941176470588,1610612753,19,11,2021-11-07T23:21:04Z,700000,118.0,241.0,1,right,MISS T. Ross 26' running 3PT,[203082],1610612753.0,ORL,running,,,Ross,T. Ross,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,
72,PT05M47.00S,2021-11-07T23:21:01.3Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,19,11,2021-11-07T23:21:01Z,710000,,,0,,M. Bamba REBOUND (Off:2 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,71.0,3.0,1.0,2.0,,,,,,,
73,PT05M44.00S,2021-11-07T23:21:04.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628964,93.9060446780552,2.2058823529411766,1610612753,22,11,2021-11-07T23:24:11Z,720000,-239.0,5.0,1,right,M. Bamba 3PT step back (3 PTS),[1628964],1610612753.0,ORL,step back,,,Bamba,M. Bamba,,,,,23.9,Made,3.0,,,,,,,,,,,,,,,,,
74,PT05M31.00S,2021-11-07T23:21:20.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,22,11,2021-11-07T23:21:20Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2021-11-07T23:21:22.2Z,1,REGULAR,substitution,out,[],1628964,,,1610612762,22,11,2021-11-07T23:21:36Z,740000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2021-11-07T23:21:22.2Z,1,REGULAR,substitution,in,[],203914,,,1610612762,22,11,2021-11-07T23:21:36Z,780000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,
662,PT05M31.00S,2021-11-07T23:21:22.2Z,1,REGULAR,substitution,out,[],1630532,,,1610612762,22,11,2021-11-08T02:58:37Z,790000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
663,PT05M31.00S,2021-11-07T23:21:22.2Z,1,REGULAR,substitution,in,[],1629643,,,1610612762,22,11,2021-11-08T02:58:37Z,795000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M20.00S,2021-11-07T23:21:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,16.63929040735874,48.77450980392157,1610612762,22,13,2021-11-07T23:24:34Z,800000,6.0,104.0,1,left,D. Mitchell 10' driving floating Jump Shot (6 PTS),[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,10.41,Made,6.0,,,,,,,,,,,,,,,,,
82,PT05M07.00S,2021-11-07T23:22:05.8Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,22,13,2021-11-07T23:22:12Z,810000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1626220]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,1.0,O'Neale,1626220.0
83,PT05M07.00S,2021-11-07T23:22:05.8Z,1,REGULAR,steal,,[],1626220,,,1610612762,22,13,2021-11-07T23:22:08Z,820000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M54.00S,2021-11-07T23:22:18.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202355,12.040078843626807,49.01960784313725,1610612762,22,13,2021-11-07T23:22:26Z,830000,5.0,61.0,1,left,MISS H. Whiteside 6' turnaround Hook - blocked,"[202355, 1628976]",1610612762.0,UTA,turnaround,,,Whiteside,H. Whiteside,,,,,6.09,Missed,,,,,,Carter Jr.,1628976.0,,,,,,,,,,,
85,PT04M54.00S,2021-11-07T23:22:18.7Z,1,REGULAR,block,,[],1628976,,,1610612762,22,13,2021-11-07T23:22:21Z,840000,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2021-11-07T23:22:22.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,22,13,2021-11-07T23:22:26Z,850000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,84.0,3.0,3.0,0.0,,,,,,,
87,PT04M42.00S,2021-11-07T23:22:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629643,71.30420499342969,19.362745098039216,1610612753,22,13,2021-11-07T23:25:24Z,860000,-153.0,217.0,1,right,MISS C. Okeke 26' pullup 3PT,[1629643],1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,
88,PT04M38.00S,2021-11-07T23:22:34.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,22,13,2021-11-07T23:22:37Z,870000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,
89,PT04M33.00S,2021-11-07T23:22:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,19.004599211563733,38.970588235294116,1610612762,22,13,2021-11-07T23:22:47Z,880000,55.0,126.0,1,left,MISS D. Mitchell 13' driving floating Shot - blocked,"[1628378, 1630175]",1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,13.76,Missed,,,,,,Anthony,1630175.0,,,,,,,,,,,
90,PT04M33.00S,2021-11-07T23:22:39.2Z,1,REGULAR,block,,[],1630175,,,1610612762,22,13,2021-11-07T23:22:41Z,890000,,,0,,C. Anthony BLOCK (1 BLK),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M29.00S,2021-11-07T23:22:43.2Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612762,22,13,2021-11-07T23:22:47Z,900000,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,89.0,2.0,1.0,1.0,,,,,,,
