actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
34,PT09M30.00S,2022-03-01T00:14:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,75.24638633377135,88.48039215686273,1610612754,5,11,2022-03-01T01:10:27Z,340000,192.0,180.0,1,right,J. Smith 26' 3PT running (6 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,26.36,Made,6.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,,
99,PT09M16.00S,2022-03-01T00:14:21.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,30.404073587385014,20.833333333333343,1610612753,5,11,2022-03-01T00:25:33Z,355000,146.0,233.0,1,left,MISS J. Suggs 27' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,27.51,Missed,,,,,,,,,,,,,,,,,,,
100,PT09M16.00S,2022-03-01T00:14:21.3Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,5,11,2022-03-01T00:25:33Z,357500,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,,,,
36,PT08M52.00S,2022-03-01T00:14:38.5Z,1,REGULAR,2pt,Jump Shot,[],1630169,76.82325886990802,46.568627450980394,1610612754,5,11,2022-03-01T00:25:58Z,360000,-17.0,165.0,1,right,MISS T. Haliburton 16' turnaround fadeaway Shot,[1630169],1610612754.0,IND,turnaround fadeaway,,,Haliburton,T. Haliburton,,,,,16.63,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2022-03-01T00:14:39.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,5,11,2022-03-01T00:14:45Z,370000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,
38,PT08M51.00S,2022-03-01T00:14:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,5,11,2022-03-01T00:14:43Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2022-03-01T00:15:03.8Z,1,REGULAR,3pt,Jump Shot,[],1628964,5.601182654402102,2.450980392156863,1610612753,5,11,2022-03-01T00:15:16Z,390000,238.0,0.0,1,left,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2022-03-01T00:15:07.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,5,11,2022-03-01T00:15:16Z,400000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,
41,PT08M28.00S,2022-03-01T00:15:13.9Z,1,REGULAR,3pt,Jump Shot,[],1630188,70.12155059132719,20.833333333333336,1610612754,5,11,2022-03-01T00:15:20Z,410000,-146.0,228.0,1,right,MISS J. Smith 27' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2022-03-01T00:15:13.9Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,5,11,2022-03-01T00:15:20Z,420000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,
43,PT08M21.00S,2022-03-01T00:15:23.1Z,1,REGULAR,foul,personal,[],1630543,,,1610612753,5,11,2022-03-01T00:15:38Z,430000,,,0,,I. Jackson personal FOUL (2 PF),"[1630543, 1630175]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,1198.0,2.0,0.0,Anthony,1630175.0,,,,,,,,,,
45,PT08M21.00S,2022-03-01T00:15:35.5Z,1,REGULAR,substitution,out,[],1630543,,,1610612753,5,11,2022-03-01T00:15:39Z,450000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2022-03-01T00:15:35.5Z,1,REGULAR,substitution,in,[],1629048,,,1610612753,5,11,2022-03-01T00:15:39Z,460000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M10.00S,2022-03-01T00:15:55.5Z,1,REGULAR,2pt,Jump Shot,[],1630175,7.835085413929041,32.84313725490196,1610612753,5,11,2022-03-01T00:16:01Z,470000,86.0,21.0,1,left,MISS C. Anthony 8' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,8.84,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2022-03-01T00:15:57.8Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,5,11,2022-03-01T00:15:57Z,480000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,
49,PT08M07.00S,2022-03-01T00:15:58.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,7.178055190538765,49.754901960784316,1610612753,7,11,2022-03-01T00:16:07Z,490000,1.0,15.0,1,left,W. Carter Jr. putback DUNK (3 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,1.5,Made,3.0,,,,,,,,,,,,,,,,,,
50,PT07M59.00S,2022-03-01T00:16:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630169,70.51576872536137,20.098039215686274,1610612754,7,14,2022-03-01T00:27:41Z,500000,-150.0,225.0,1,right,T. Haliburton 26' 3PT pullup (5 PTS) (G. Bitadze 1 AST),"[1630169, 1629048]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,26.99,Made,5.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,,
52,PT07M33.00S,2022-03-01T00:16:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628964,32.802233902759525,47.05882352941176,1610612753,7,14,2022-03-01T00:16:36Z,520000,15.0,256.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M31.00S,2022-03-01T00:16:34.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,7,14,2022-03-01T00:16:36Z,530000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,
54,PT07M12.00S,2022-03-01T00:16:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,90.75229960578186,55.63725490196079,1610612754,7,16,2022-03-01T00:17:02Z,540000,28.0,34.0,1,right,G. Bitadze Layup (2 PTS) (B. Hield 1 AST),"[1629048, 1627741]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,4.45,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,,
56,PT07M12.00S,2022-03-01T00:17:00.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,7,16,2022-03-01T00:17:00Z,560000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M12.00S,2022-03-01T00:19:20.0Z,1,REGULAR,substitution,out,[],1630169,,,1610612753,7,16,2022-03-01T00:19:37Z,570000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M12.00S,2022-03-01T00:19:20.0Z,1,REGULAR,substitution,in,[],1626208,,,1610612753,7,16,2022-03-01T00:19:37Z,580000,,,0,,SUB in: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2022-03-01T00:20:04.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,5.601182654402102,54.166666666666664,1610612753,9,16,2022-03-01T00:20:15Z,590000,-21.0,0.0,1,left,F. Wagner alley-oop DUNK (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,alley-oop,,,Wagner,F. Wagner,,,,,2.08,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,,
61,PT06M34.00S,2022-03-01T00:20:24.9Z,1,REGULAR,2pt,Jump Shot,[],1629052,80.3712220762155,27.941176470588236,1610612754,9,16,2022-03-01T00:20:35Z,610000,-110.0,132.0,1,right,MISS O. Brissett 17' step back Shot,[1629052],1610612754.0,IND,step back,,,Brissett,O. Brissett,,,,,17.2,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M31.00S,2022-03-01T00:20:27.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,9,16,2022-03-01T00:20:35Z,620000,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,,
63,PT06M23.00S,2022-03-01T00:20:35.7Z,1,REGULAR,2pt,Jump Shot,[],1630591,9.806176084099869,29.166666666666668,1610612753,11,16,2022-03-01T00:28:44Z,630000,104.0,40.0,1,left,J. Suggs 11' turnaround bank Jump Shot (4 PTS),[1630591],1610612753.0,ORL,turnaround bank,,,Suggs,J. Suggs,,,,,11.15,Made,4.0,,,,,,,,,,,,,,,,,,
64,PT06M09.00S,2022-03-01T00:20:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629048,66.96780551905388,60.5392156862745,1610612754,11,19,2022-03-01T00:20:53Z,640000,53.0,258.0,1,right,G. Bitadze 26' 3PT  (5 PTS) (B. Hield 2 AST),"[1629048, 1627741]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,26.33,Made,5.0,B. Hield,1627741.0,2.0,,,,,,,,,,,,,,,
66,PT05M51.00S,2022-03-01T00:21:07.5Z,1,REGULAR,3pt,Jump Shot,[],1630175,33.327858081471746,21.07843137254902,1610612753,11,19,2022-03-01T00:21:12Z,660000,145.0,261.0,1,left,MISS C. Anthony 29' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,29.82,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M48.00S,2022-03-01T00:21:10.5Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,11,19,2022-03-01T00:21:12Z,670000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,
68,PT05M46.00S,2022-03-01T00:21:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628964,5.338370565045992,52.69607843137255,1610612753,13,19,2022-03-01T00:21:20Z,680000,-13.0,-2.0,1,left,M. Bamba reverse Layup (4 PTS),[1628964],1610612753.0,ORL,reverse,,,Bamba,M. Bamba,,,,,1.37,Made,4.0,,,,,,,,,,,,,,,,,,
69,PT05M17.00S,2022-03-01T00:21:42.5Z,1,REGULAR,2pt,Jump Shot,[],1626208,85.89027595269383,33.33333333333333,1610612754,13,19,2022-03-01T00:21:46Z,690000,-83.0,80.0,1,right,MISS K. Sykes 11' driving floating Shot,[1626208],1610612754.0,IND,driving floating,,,Sykes,K. Sykes,,,,,11.56,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M15.00S,2022-03-01T00:21:44.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,13,19,2022-03-01T00:21:44Z,700000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
71,PT05M08.00S,2022-03-01T00:21:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,8.886333771353483,56.372549019607845,1610612753,13,19,2022-03-01T00:22:02Z,710000,-32.0,31.0,1,left,MISS J. Suggs driving Layup - blocked,"[1630591, 1626208]",1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,4.45,Missed,,,,,,,,,,,,,,Sykes,1626208.0,,,,
74,PT05M08.00S,2022-03-01T00:21:53.7Z,1,REGULAR,block,,[],1626208,,,1610612753,13,19,2022-03-01T00:21:57Z,720000,,,0,,K. Sykes BLOCK (1 BLK),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2022-03-01T00:21:53.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,13,19,2022-03-01T00:22:02Z,730000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,
76,PT05M08.00S,2022-03-01T00:22:00.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,13,19,2022-03-01T00:22:00Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,13,19,2022-03-01T00:22:18Z,750000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,13,19,2022-03-01T00:22:18Z,760000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,out,[],1630188,,,1610612753,13,19,2022-03-01T00:22:18Z,770000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,13,19,2022-03-01T00:22:18Z,780000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,in,[],203914,,,1610612753,13,19,2022-03-01T00:22:18Z,790000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2022-03-01T00:22:01.0Z,1,REGULAR,substitution,in,[],1630537,,,1610612753,13,19,2022-03-01T00:22:18Z,800000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M04.00S,2022-03-01T00:22:20.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203914,18.2161629434954,91.91176470588235,1610612753,13,19,2022-03-01T00:22:25Z,810000,-210.0,119.0,1,left,MISS G. Harris 24' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M01.00S,2022-03-01T00:22:23.6Z,1,REGULAR,rebound,defensive,[],1626208,,,1610612754,13,19,2022-03-01T00:22:25Z,820000,,,0,,K. Sykes REBOUND (Off:0 Def:1),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,
85,PT04M50.00S,2022-03-01T00:22:34.3Z,1,REGULAR,2pt,Jump Shot,[],1630537,93.38042049934296,71.56862745098039,1610612754,13,21,2022-03-01T00:22:43Z,830000,108.0,10.0,1,right,C. Duarte 10' driving floating Jump Shot (2 PTS),[1630537],1610612754.0,IND,driving floating,,,Duarte,C. Duarte,,,,,10.82,Made,2.0,,,,,,,,,,,,,,,,,,
86,PT04M37.00S,2022-03-01T00:22:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,7.966491458607096,59.80392156862745,1610612753,15,21,2022-03-01T00:22:52Z,840000,-49.0,22.0,1,left,C. Anthony driving finger roll Layup (2 PTS),[1630175],1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,5.39,Made,2.0,,,,,,,,,,,,,,,,,,
87,PT04M23.00S,2022-03-01T00:23:02.4Z,1,REGULAR,turnover,out-of-bounds,[],1630537,,,1610612754,15,21,2022-03-01T00:23:14Z,850000,,,0,,C. Duarte bad pass out-of-bounds TURNOVER (1 TO),[1630537],1610612754.0,IND,bad pass,,,Duarte,C. Duarte,,,,,,,,,,,1830.0,,,,,,,,,,,1.0,,,
