actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
54,PT07M03.00S,2022-03-22T23:17:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630175,33.327858081471746,33.57843137254902,1610612753,12,4,2022-03-22T23:17:27Z,540000,82.0,261.0,1,left,C. Anthony 27' 3PT  (6 PTS) (M. Bamba 2 AST),"[1630175, 1628964]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,27.34,Made,,,,,,,,,,6.0,M. Bamba,1628964.0,2.0,,,,,,
56,PT06M48.00S,2022-03-22T23:17:36.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,12,4,2022-03-22T23:17:48Z,560000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1630532]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,,
57,PT06M48.00S,2022-03-22T23:17:36.8Z,1,REGULAR,steal,,[],1630532,,,1610612753,12,4,2022-03-22T23:18:07Z,570000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2022-03-22T23:17:47.3Z,1,REGULAR,foul,personal,[],203110,,,1610612753,12,4,2022-03-22T23:25:34Z,580000,,,0,,D. Green take personal FOUL (1 PF),"[203110, 1630175]",1610612744.0,GSW,take,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Anthony,1630175.0,
60,PT06M45.00S,2022-03-22T23:17:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,4,2022-03-22T23:17:57Z,600000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M45.00S,2022-03-22T23:20:16.6Z,1,REGULAR,substitution,out,[],1626172,,,1610612753,12,4,2022-03-22T23:20:48Z,610000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2022-03-22T23:20:16.6Z,1,REGULAR,substitution,in,[],203490,,,1610612753,12,4,2022-03-22T23:20:48Z,620000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M32.00S,2022-03-22T23:21:05.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,20.71287779237845,88.97058823529412,1610612753,12,4,2022-03-22T23:21:11Z,630000,-195.0,142.0,1,left,MISS F. Wagner 24' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,24.13,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M29.00S,2022-03-22T23:21:08.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,12,4,2022-03-22T23:21:11Z,640000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
65,PT06M18.00S,2022-03-22T23:21:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203490,91.14651773981603,55.14705882352941,1610612744,12,6,2022-03-22T23:26:38Z,650000,26.0,31.0,1,right,O. Porter Jr. cutting Layup (2 PTS) (J. Poole 1 AST),"[203490, 1629673]",1610612744.0,GSW,cutting,,,Porter Jr.,O. Porter Jr.,,,,,4.0,Made,,,,,,,,,,2.0,J. Poole,1629673.0,1.0,,,,,,
67,PT06M18.00S,2022-03-22T23:21:26.7Z,1,REGULAR,foul,personal,['1freethrow'],1630181,,,1610612744,12,6,2022-03-22T23:21:38Z,670000,,,0,,R. Hampton shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1630181, 203490]",1610612753.0,ORL,shooting,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Porter Jr.,203490.0,
69,PT06M18.00S,2022-03-22T23:21:48.7Z,1,REGULAR,freethrow,1 of 1,[],203490,,,1610612744,12,7,2022-03-22T23:21:48Z,690000,,,0,,O. Porter Jr. Free Throw 1 of 1 (3 PTS),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
70,PT06M01.00S,2022-03-22T23:22:08.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,4.812746386333772,50.245098039215684,1610612753,14,7,2022-03-22T23:22:16Z,700000,-1.0,-7.0,1,left,M. Bamba alley-oop DUNK (2 PTS) (F. Wagner 1 AST),"[1628964, 1630532]",1610612753.0,ORL,alley-oop,,,Bamba,M. Bamba,,,,,0.74,Made,,,,,,,,,,2.0,F. Wagner,1630532.0,1.0,,,,,,
72,PT05M46.00S,2022-03-22T23:22:24.3Z,1,REGULAR,2pt,Jump Shot,[],202691,77.4802890932983,66.91176470588235,1610612744,14,9,2022-03-22T23:27:35Z,720000,85.0,159.0,1,right,K. Thompson 18' pullup Jump Shot (4 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,18.03,Made,,,,,,,,,,4.0,D. Green,203110.0,2.0,,,,,,
74,PT05M23.00S,2022-03-22T23:22:47.2Z,1,REGULAR,2pt,Jump Shot,[],1628976,12.302890932982917,74.26470588235294,1610612753,14,9,2022-03-22T23:22:54Z,740000,-121.0,63.0,1,left,MISS W. Carter Jr. 13' step back Shot,[1628976],1610612753.0,ORL,step back,,,Carter Jr.,W. Carter Jr.,,,,,13.67,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M19.00S,2022-03-22T23:22:51.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,14,9,2022-03-22T23:22:54Z,750000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
76,PT05M16.00S,2022-03-22T23:22:54.7Z,1,REGULAR,turnover,lost ball,[],203490,,,1610612744,14,9,2022-03-22T23:22:59Z,760000,,,0,,O. Porter Jr. lost ball TURNOVER (1 TO),"[203490, 1630181]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,1.0,Hampton,1630181.0,,,,,,,,,,,,
77,PT05M16.00S,2022-03-22T23:22:54.7Z,1,REGULAR,steal,,[],1630181,,,1610612753,14,9,2022-03-22T23:22:57Z,770000,,,0,,R. Hampton STEAL (1 STL),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M11.00S,2022-03-22T23:22:59.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,5.469776609724048,49.26470588235294,1610612753,16,9,2022-03-22T23:23:11Z,780000,4.0,-1.0,1,left,F. Wagner running DUNK (4 PTS) (R. Hampton 1 AST),"[1630532, 1630181]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,0.39,Made,,,,,,,,,,4.0,R. Hampton,1630181.0,1.0,,,,,,
80,PT05M09.00S,2022-03-22T23:23:16.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612744,16,9,2022-03-22T23:23:16Z,800000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M09.00S,2022-03-22T23:25:14.7Z,1,REGULAR,substitution,out,[],202691,,,1610612744,16,9,2022-03-22T23:25:54Z,810000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2022-03-22T23:25:14.7Z,1,REGULAR,substitution,out,[],203110,,,1610612744,16,9,2022-03-22T23:25:54Z,820000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2022-03-22T23:25:14.7Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,16,9,2022-03-22T23:25:54Z,830000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2022-03-22T23:25:14.7Z,1,REGULAR,substitution,in,[],202357,,,1610612744,16,9,2022-03-22T23:25:54Z,840000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M53.00S,2022-03-22T23:26:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.22667542706965,50.98039215686274,1610612744,16,11,2022-03-22T23:26:33Z,850000,5.0,39.0,1,right,A. Wiggins driving Layup (2 PTS) (J. Poole 2 AST),"[203952, 1629673]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,3.97,Made,,,,,,,,,,2.0,J. Poole,1629673.0,2.0,,,,,,
87,PT04M37.00S,2022-03-22T23:26:29.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,5.338370565045992,50.0,1610612753,18,11,2022-03-22T23:26:37Z,870000,0.0,-2.0,1,left,F. Wagner cutting DUNK (6 PTS) (C. Anthony 2 AST),"[1630532, 1630175]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,0.23,Made,,,,,,,,,,6.0,C. Anthony,1630175.0,2.0,,,,,,
89,PT04M23.00S,2022-03-22T23:26:46.5Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612744,18,11,2022-03-22T23:27:16Z,890000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1630532, 203952]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Wiggins,203952.0,
91,PT04M23.00S,2022-03-22T23:27:20.1Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,18,11,2022-03-22T23:27:20Z,910000,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M23.00S,2022-03-22T23:27:20.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,18,11,2022-03-22T23:27:20Z,920000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,
93,PT04M23.00S,2022-03-22T23:27:33.9Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,18,12,2022-03-22T23:27:33Z,930000,,,0,,A. Wiggins Free Throw 2 of 2 (3 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
