actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
31,PT08M40.00S,2022-01-18T00:13:54.1Z,1,REGULAR,foul,technical,['1freethrow'],1629642,,,1610612753,2,7,2022-01-18T00:14:01Z,310000,,,0,,N. Little defensive-3-second technical FOUL (1 Tech),[1629642],1610612757.0,POR,defensive-3-second,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,1626300.0,0.0,1.0,,,
32,PT08M40.00S,2022-01-18T00:14:12.0Z,1,REGULAR,freethrow,1 of 1,[],1630175,,,1610612753,2,7,2022-01-18T00:14:26Z,320000,,,0,,MISS C. Anthony technical Free Throw 1 of 1,[1630175],1610612753.0,ORL,technical,,,Anthony,C. Anthony,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M40.00S,2022-01-18T00:14:12.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,7,2022-01-18T00:14:26Z,330000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,
34,PT08M30.00S,2022-01-18T00:14:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,7.440867279894875,53.431372549019606,1610612753,4,7,2022-01-18T00:15:04Z,340000,-17.0,17.0,1,left,G. Harris reverse Layup (2 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,reverse,,,Harris,G. Harris,,,,,2.45,Made,2.0,,,,,,,F. Wagner,1630532.0,1.0,,,,,,,,,
36,PT08M20.00S,2022-01-18T00:14:45.3Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,4,7,2022-01-18T00:14:50Z,360000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 203914]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1.0,Harris,203914.0,,,,,,
37,PT08M20.00S,2022-01-18T00:14:45.3Z,1,REGULAR,steal,,[],203914,,,1610612753,4,7,2022-01-18T00:14:47Z,370000,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M13.00S,2022-01-18T00:14:52.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630175,8.886333771353483,5.637254901960785,1610612753,4,7,2022-01-18T00:15:08Z,380000,222.0,31.0,1,left,MISS C. Anthony 3PT - blocked,"[1630175, 203496]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,22.4,Missed,,,,,,Covington,203496.0,,,,,,,,,,,,
39,PT08M13.00S,2022-01-18T00:14:52.6Z,1,REGULAR,block,,[],203496,,,1610612753,4,7,2022-01-18T00:14:55Z,390000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2022-01-18T00:14:52.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,4,7,2022-01-18T00:15:08Z,400000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2022-01-18T00:14:58.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,7,2022-01-18T00:14:58Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M00.00S,2022-01-18T00:15:20.9Z,1,REGULAR,2pt,Hook,"['fromturnover', '2ndchance']",201577,7.440867279894875,32.84313725490196,1610612753,4,7,2022-01-18T00:15:26Z,420000,86.0,17.0,1,left,MISS R. Lopez 8' turnaround Hook,[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,8.75,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M57.00S,2022-01-18T00:15:23.4Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,4,7,2022-01-18T00:15:23Z,430000,,,0,,C. Anthony REBOUND (Off:1 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M56.00S,2022-01-18T00:15:24.5Z,1,REGULAR,turnover,lost ball,[],1630175,,,1610612753,4,7,2022-01-18T00:15:30Z,440000,,,0,,C. Anthony lost ball TURNOVER (1 TO),"[1630175, 203994]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,,,,,
45,PT07M56.00S,2022-01-18T00:15:24.5Z,1,REGULAR,steal,,[],203994,,,1610612757,4,7,2022-01-18T00:15:28Z,450000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M47.00S,2022-01-18T00:15:32.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,85.23324572930355,42.8921568627451,1610612757,4,9,2022-01-18T00:15:41Z,460000,-36.0,86.0,1,right,J. Nurkic 9' driving Hook (4 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,9.33,Made,4.0,,,,,,,,,,,,,,,,,,
47,PT07M41.00S,2022-01-18T00:15:44.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,4,9,2022-01-18T00:15:44Z,470000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2022-01-18T00:18:39.4Z,1,REGULAR,2pt,Jump Shot,[],203914,21.50131406044678,42.64705882352941,1610612753,4,9,2022-01-18T00:18:48Z,480000,37.0,150.0,1,left,MISS G. Harris 15' Jump Shot,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,15.41,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2022-01-18T00:18:43.4Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,4,9,2022-01-18T00:18:48Z,490000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M22.00S,2022-01-18T00:18:58.0Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,4,9,2022-01-18T00:19:13Z,510000,,,0,,J. Nurkic off-the-ball offensive FOUL (1 PF),"[203994, 203914]",1610612757.0,POR,off-the-ball,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Harris,203914.0,
53,PT07M22.00S,2022-01-18T00:18:58.0Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,4,9,2022-01-18T00:18:58Z,530000,,,0,,J. Nurkic offensive foul TURNOVER (2 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,2.0,,,2534.0,,,,,
54,PT07M05.00S,2022-01-18T00:19:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,30.436925098554536,30.392156862745097,1610612753,4,9,2022-01-18T00:19:30Z,540000,98.0,234.0,1,left,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2022-01-18T00:19:24.6Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,4,9,2022-01-18T00:19:30Z,550000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT06M56.00S,2022-01-18T00:19:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.01511169513797,55.88235294117647,1610612757,4,11,2022-01-18T00:19:40Z,560000,29.0,32.0,1,right,J. Nurkic cutting finger roll Layup (6 PTS) (C. McCollum 2 AST),"[203994, 203468]",1610612757.0,POR,cutting finger roll,,,Nurkic,J. Nurkic,,,,,4.35,Made,6.0,,,,,,,C. McCollum,203468.0,2.0,,,,,,,,,
58,PT06M40.00S,2022-01-18T00:19:48.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,6.389618922470433,53.67647058823529,1610612753,6,11,2022-01-18T00:20:07Z,580000,-18.0,8.0,1,left,F. Wagner cutting DUNK (2 PTS) (C. Anthony 1 AST),"[1630532, 1630175]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,1.99,Made,2.0,,,,,,,C. Anthony,1630175.0,1.0,,,,,,,,,
60,PT06M19.00S,2022-01-18T00:20:09.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629642,91.27792378449409,46.81372549019608,1610612757,6,11,2022-01-18T00:20:17Z,600000,-16.0,29.0,1,right,MISS N. Little driving Hook,[1629642],1610612757.0,POR,driving,,,Little,N. Little,,,,,3.35,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M14.00S,2022-01-18T00:20:13.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,11,2022-01-18T00:20:13Z,610000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT06M08.00S,2022-01-18T00:20:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,9.411957950065702,43.627450980392155,1610612753,6,11,2022-01-18T00:20:24Z,620000,32.0,36.0,1,left,MISS C. Anthony Layup - blocked,"[1630175, 203496]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,4.81,Missed,,,,,,Covington,203496.0,,,,,,,,,,,,
94,PT06M08.00S,2022-01-18T00:20:19.5Z,1,REGULAR,block,,[],203496,,,1610612753,6,11,2022-01-18T00:23:27Z,625000,,,0,,R. Covington BLOCK (2 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M06.00S,2022-01-18T00:20:21.5Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,6,11,2022-01-18T00:20:24Z,630000,,,0,,C. Anthony REBOUND (Off:2 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,62.0,3.0,1.0,2.0,,,,,,,,,,,,,,
64,PT06M06.00S,2022-01-18T00:20:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,8.09789750328515,44.11764705882353,1610612753,6,11,2022-01-18T00:28:46Z,640000,29.0,24.0,1,left,MISS F. Wagner Layup - blocked,"[1630532, 203468]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,3.77,Missed,,,,,,McCollum,203468.0,,,,,,,,,,,,
99,PT06M06.00S,2022-01-18T00:20:22.1Z,1,REGULAR,block,,[],203468,,,1610612753,6,11,2022-01-18T00:23:40Z,645000,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2022-01-18T00:20:22.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,6,11,2022-01-18T00:20:34Z,650000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT05M59.00S,2022-01-18T00:20:29.0Z,1,REGULAR,2pt,Jump Shot,[],203468,92.19776609724047,18.137254901960784,1610612757,6,11,2022-01-18T00:21:47Z,660000,-159.0,21.0,1,right,MISS C. McCollum 16' step back Shot,[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,16.07,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M55.00S,2022-01-18T00:20:33.0Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,6,11,2022-01-18T00:20:43Z,670000,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT05M51.00S,2022-01-18T00:20:36.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,5.601182654402102,94.36274509803921,1610612753,6,11,2022-01-18T00:20:48Z,680000,-222.0,0.0,1,left,MISS F. Wagner 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,22.18,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M47.00S,2022-01-18T00:20:40.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,6,11,2022-01-18T00:20:48Z,690000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,,
70,PT05M25.00S,2022-01-18T00:21:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,91.80354796320631,45.09803921568628,1610612757,6,13,2022-01-18T00:21:08Z,700000,-25.0,25.0,1,right,A. Simons driving Layup (2 PTS),[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,3.46,Made,2.0,,,,,,,,,,,,,,,,,,
71,PT05M13.00S,2022-01-18T00:21:17.7Z,1,REGULAR,turnover,out-of-bounds,[],203914,,,1610612753,6,13,2022-01-18T00:21:28Z,710000,,,0,,G. Harris step out-of-bounds TURNOVER (1 TO),[203914],1610612753.0,ORL,step,,,Harris,G. Harris,,,,,,,,,,,,,,,,,1.0,,,2534.0,,,,,
72,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,out,[],1630532,,,1610612757,6,13,2022-01-18T00:21:37Z,720000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,out,[],201577,,,1610612757,6,13,2022-01-18T00:21:37Z,730000,,,0,,SUB out: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,out,[],1629642,,,1610612757,6,13,2022-01-18T00:21:37Z,740000,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,out,[],203468,,,1610612757,6,13,2022-01-18T00:21:37Z,750000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,in,[],1628964,,,1610612757,6,13,2022-01-18T00:21:37Z,760000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,in,[],203082,,,1610612757,6,13,2022-01-18T00:21:37Z,770000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,in,[],203503,,,1610612757,6,13,2022-01-18T00:21:37Z,780000,,,0,,SUB in: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M13.00S,2022-01-18T00:21:21.9Z,1,REGULAR,substitution,in,[],203463,,,1610612757,6,13,2022-01-18T00:21:37Z,790000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2022-01-18T00:21:49.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203463,68.67608409986859,27.450980392156865,1610612757,6,16,2022-01-18T00:23:00Z,800000,-113.0,242.0,1,right,B. McLemore 26' 3PT  (3 PTS) (J. Nurkic 1 AST),"[203463, 203994]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,26.69,Made,3.0,,,,,,,J. Nurkic,203994.0,1.0,,,,,,,,,
82,PT04M53.00S,2022-01-18T00:22:02.3Z,1,REGULAR,3pt,Jump Shot,[],203914,6.783837056504599,95.09803921568627,1610612753,6,16,2022-01-18T00:22:12Z,820000,-225.0,11.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,22.58,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M49.00S,2022-01-18T00:22:06.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,6,16,2022-01-18T00:22:12Z,830000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,
84,PT04M49.00S,2022-01-18T00:22:11.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,6,16,2022-01-18T00:22:11Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M42.00S,2022-01-18T00:22:31.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630175,16.113666228646515,48.77450980392157,1610612753,6,16,2022-01-18T00:22:36Z,850000,6.0,99.0,1,left,MISS C. Anthony 9' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,9.92,Missed,,,,,,,,,,,,,,,,,,,
