actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
34,PT09M16.00S,2022-01-23T23:15:31.5Z,1,REGULAR,freethrow,1 of 2,[],1629076,,,1610612741,2,3,2022-01-23T23:15:47Z,340000,,,0,,MISS T. Cook Free Throw 1 of 2,[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M16.00S,2022-01-23T23:15:31.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,2,3,2022-01-23T23:15:47Z,350000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,
36,PT09M16.00S,2022-01-23T23:15:31.5Z,1,REGULAR,freethrow,2 of 2,[],1629076,,,1610612741,2,3,2022-01-23T23:15:47Z,360000,,,0,,MISS T. Cook Free Throw 2 of 2,[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2022-01-23T23:15:34.5Z,1,REGULAR,rebound,offensive,[],1629076,,,1610612741,2,3,2022-01-23T23:15:47Z,370000,,,0,,T. Cook REBOUND (Off:1 Def:2),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,
38,PT09M10.00S,2022-01-23T23:15:49.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630245,21.76412614980289,51.71568627450981,1610612741,2,3,2022-01-23T23:16:02Z,380000,-9.0,152.0,1,left,MISS A. Dosunmu 15' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,15.23,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M04.00S,2022-01-23T23:15:55.3Z,1,REGULAR,rebound,offensive,[],1630245,,,1610612741,2,3,2022-01-23T23:15:57Z,390000,,,0,,A. Dosunmu REBOUND (Off:1 Def:0),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40,PT08M55.00S,2022-01-23T23:16:04.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201942,21.23850197109067,34.55882352941176,1610612741,2,3,2022-01-23T23:16:11Z,400000,77.0,147.0,1,left,MISS D. DeRozan 16' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.61,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M51.00S,2022-01-23T23:16:08.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,3,2022-01-23T23:16:11Z,410000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M40.00S,2022-01-23T23:16:24.3Z,1,REGULAR,foul,personal,[],1629076,,,1610612753,2,3,2022-01-23T23:16:28Z,420000,,,0,,T. Cook personal FOUL (1 PF),"[1629076, 1630532]",1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,,,,,204059.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,
44,PT08M29.00S,2022-01-23T23:16:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,90.22667542706965,56.61764705882353,1610612753,2,3,2022-01-23T23:16:55Z,440000,33.0,39.0,1,right,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,5.15,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2022-01-23T23:16:55.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,2,3,2022-01-23T23:16:55Z,450000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT08M28.00S,2022-01-23T23:16:58.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,3,2022-01-23T23:16:58Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M26.00S,2022-01-23T23:17:08.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628976,68.28186596583443,22.058823529411764,1610612753,2,3,2022-01-23T23:17:12Z,470000,-140.0,246.0,1,right,MISS W. Carter Jr. 28' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,28.26,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M22.00S,2022-01-23T23:17:12.1Z,1,REGULAR,rebound,defensive,[],1629076,,,1610612741,2,3,2022-01-23T23:17:12Z,480000,,,0,,T. Cook REBOUND (Off:1 Def:3),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,47.0,4.0,3.0,1.0,,,,,,,,,,,,,,
49,PT08M00.00S,2022-01-23T23:17:33.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,33.196452036793694,29.166666666666668,1610612741,2,3,2022-01-23T23:17:38Z,490000,104.0,260.0,1,left,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,27.96,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M57.00S,2022-01-23T23:17:36.2Z,1,REGULAR,rebound,offensive,[],1629076,,,1610612741,2,3,2022-01-23T23:17:38Z,500000,,,0,,T. Cook REBOUND (Off:2 Def:3),[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,49.0,5.0,3.0,2.0,,,,,,,,,,,,,,
51,PT07M45.00S,2022-01-23T23:17:49.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201942,21.76412614980289,61.76470588235294,1610612741,2,5,2022-01-23T23:17:54Z,510000,-59.0,152.0,1,left,D. DeRozan 16' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.31,Made,4.0,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2022-01-23T23:17:54.0Z,1,REGULAR,foul,personal,['1freethrow'],1628976,,,1610612741,2,5,2022-01-23T23:18:04Z,520000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1628976, 201942]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,1626302.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,
54,PT07M45.00S,2022-01-23T23:18:19.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201942,,,1610612741,2,6,2022-01-23T23:18:19Z,540000,,,0,,D. DeRozan Free Throw 1 of 1 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
55,PT07M37.00S,2022-01-23T23:18:40.4Z,1,REGULAR,foul,offensive,[],1628964,,,1610612753,2,6,2022-01-23T23:18:56Z,550000,,,0,,M. Bamba off-the-ball offensive FOUL (3 PF),"[1628964, 1629076]",1610612753.0,ORL,off-the-ball,,,Bamba,M. Bamba,,,,,,,,,,,,204059.0,3.0,0.0,Cook,1629076.0,,,,,,,,,
57,PT07M37.00S,2022-01-23T23:18:40.4Z,1,REGULAR,turnover,offensive foul,[],1628964,,,1610612753,2,6,2022-01-23T23:18:40Z,570000,,,0,,M. Bamba offensive foul TURNOVER (1 TO),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,204059.0,,,,,1.0,,,,,,,,
58,PT07M37.00S,2022-01-23T23:19:03.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,2,6,2022-01-23T23:22:01Z,580000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,out,[],1630532,,,1610612741,2,6,2022-01-23T23:21:32Z,590000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,out,[],1628964,,,1610612741,2,6,2022-01-23T23:21:32Z,600000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,out,[],1630591,,,1610612741,2,6,2022-01-23T23:21:32Z,610000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,out,[],1629076,,,1610612741,2,6,2022-01-23T23:21:32Z,620000,,,0,,SUB out: T. Cook,[1629076],1610612741.0,CHI,,,,Cook,T. Cook,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,in,[],1629021,,,1610612741,2,6,2022-01-23T23:21:32Z,630000,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,in,[],1629643,,,1610612741,2,6,2022-01-23T23:21:32Z,640000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,in,[],1629649,,,1610612741,2,6,2022-01-23T23:21:32Z,650000,,,0,,SUB in: I. Brazdeikis,[1629649],1610612753.0,ORL,,,,Brazdeikis,I. Brazdeikis,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M37.00S,2022-01-23T23:20:37.3Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,2,6,2022-01-23T23:21:32Z,660000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M21.00S,2022-01-23T23:22:05.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,11.645860709592641,45.83333333333333,1610612741,2,6,2022-01-23T23:22:12Z,670000,21.0,57.0,1,left,MISS N. Vucevic 6' Hook - blocked,"[202696, 1628976]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,6.07,Missed,,,,,,,,,,,,Carter Jr.,1628976.0,,,,,,
68,PT07M21.00S,2022-01-23T23:22:05.0Z,1,REGULAR,block,,[],1628976,,,1610612741,2,6,2022-01-23T23:22:08Z,680000,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M17.00S,2022-01-23T23:22:09.0Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,2,6,2022-01-23T23:22:12Z,690000,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
70,PT07M16.00S,2022-01-23T23:22:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202696,6.652431011826544,48.03921568627451,1610612741,2,8,2022-01-23T23:22:17Z,700000,10.0,10.0,1,left,N. Vucevic Layup (2 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1.4,Made,2.0,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2022-01-23T23:22:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,92.19776609724047,50.0,1610612753,2,8,2022-01-23T23:22:38Z,710000,0.0,21.0,1,right,MISS W. Carter Jr. driving Layup,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M50.00S,2022-01-23T23:22:35.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,2,8,2022-01-23T23:27:13Z,720000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
75,PT06M43.00S,2022-01-23T23:22:43.5Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,2,8,2022-01-23T23:22:52Z,750000,,,0,,D. DeRozan bad pass TURNOVER (2 TO),"[201942, 1630175]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,2.0,,,Anthony,1630175.0,,,,
76,PT06M43.00S,2022-01-23T23:22:43.5Z,1,REGULAR,steal,,[],1630175,,,1610612753,2,8,2022-01-23T23:22:45Z,760000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M37.00S,2022-01-23T23:22:49.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630175,87.72996057818659,48.03921568627451,1610612753,2,8,2022-01-23T23:22:58Z,770000,-10.0,63.0,1,right,MISS C. Anthony 6' running Shot,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,6.36,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M35.00S,2022-01-23T23:22:51.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,8,2022-01-23T23:22:51Z,780000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,77.0,4.0,3.0,1.0,,,,,,,,,,,,,,
79,PT06M27.00S,2022-01-23T23:22:59.5Z,1,REGULAR,3pt,Jump Shot,[],202696,32.276609724047304,47.30392156862745,1610612741,2,8,2022-01-23T23:23:04Z,790000,13.0,251.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
80,PT06M23.00S,2022-01-23T23:23:03.1Z,1,REGULAR,rebound,offensive,[],201942,,,1610612741,2,8,2022-01-23T23:23:03Z,800000,,,0,,D. DeRozan REBOUND (Off:1 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,,
81,PT06M17.00S,2022-01-23T23:23:08.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201942,14.931011826544022,41.66666666666667,1610612741,2,10,2022-01-23T23:23:13Z,810000,42.0,88.0,1,left,D. DeRozan 9' turnaround Jump Shot (7 PTS),[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,9.73,Made,7.0,,,,,,,,,,,,,,,,,,
82,PT06M00.00S,2022-01-23T23:23:30.0Z,1,REGULAR,foul,personal,[],1629632,,,1610612753,2,10,2022-01-23T23:23:35Z,820000,,,0,,C. White personal FOUL (1 PF),"[1629632, 1629649]",1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,1201.0,1.0,0.0,Brazdeikis,1629649.0,,,,,,,,,
84,PT06M00.00S,2022-01-23T23:23:43.9Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,2,10,2022-01-23T23:23:54Z,840000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M00.00S,2022-01-23T23:23:43.9Z,1,REGULAR,substitution,out,[],201942,,,1610612753,2,10,2022-01-23T23:23:54Z,850000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M00.00S,2022-01-23T23:23:43.9Z,1,REGULAR,substitution,in,[],1629678,,,1610612753,2,10,2022-01-23T23:23:54Z,860000,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M00.00S,2022-01-23T23:23:43.9Z,1,REGULAR,substitution,in,[],1629744,,,1610612753,2,10,2022-01-23T23:23:54Z,870000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
