actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
37,PT08M58.00S,2021-11-11T00:15:03.8Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,5,8,2021-11-11T00:15:03Z,370000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,
38,PT08M57.00S,2021-11-11T00:15:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628976,7.440867279894875,48.28431372549019,1610612753,7,8,2021-11-11T00:15:42Z,380000,9.0,17.0,1,left,W. Carter Jr. Layup (5 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,1.94,Made,,,,,,,5.0,,,,,,,,
39,PT08M40.00S,2021-11-11T00:15:29.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,7,8,2021-11-11T00:15:29Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2021-11-11T00:15:46.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,7,8,2021-11-11T00:15:46Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M32.00S,2021-11-11T00:16:00.6Z,1,REGULAR,3pt,Jump Shot,[],201933,71.69842312746385,79.41176470588235,1610612751,7,8,2021-11-11T00:16:06Z,410000,147.0,214.0,1,right,MISS B. Griffin 25' step back 3PT,[201933],1610612751.0,BKN,step back,,,Griffin,B. Griffin,,,,,,,,25.93,Missed,,,,,,,,,,,,,,,
42,PT08M27.00S,2021-11-11T00:16:05.6Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,7,8,2021-11-11T00:16:06Z,420000,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
43,PT08M25.00S,2021-11-11T00:16:06.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,30.962549277266753,65.44117647058823,1610612753,7,8,2021-11-11T00:16:17Z,430000,-77.0,239.0,1,left,MISS J. Suggs 25' running pullup 3PT,[1630591],1610612753.0,ORL,running pullup,,,Suggs,J. Suggs,,,,,,,,25.07,Missed,,,,,,,,,,,,,,,
44,PT08M22.00S,2021-11-11T00:16:09.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,7,8,2021-11-11T00:16:17Z,440000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT08M17.00S,2021-11-11T00:16:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,92.06636005256242,52.69607843137255,1610612751,7,10,2021-11-11T00:16:26Z,450000,13.0,22.0,1,right,B. Brown running Layup (2 PTS) (J. Harden 2 AST),"[1628971, 201935]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,,,,2.59,Made,,,,,,,2.0,,,,,,J. Harden,201935.0,2.0
47,PT07M57.00S,2021-11-11T00:16:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,28.597240473061763,24.019607843137255,1610612753,10,10,2021-11-11T00:16:41Z,470000,130.0,216.0,1,left,M. Bamba 25' 3PT  (3 PTS) (F. Wagner 1 AST),"[1628964, 1630532]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,25.23,Made,,,,,,,3.0,,,,,,F. Wagner,1630532.0,1.0
49,PT07M40.00S,2021-11-11T00:16:51.7Z,1,REGULAR,2pt,Jump Shot,[],201142,76.2976346911958,37.745098039215684,1610612751,10,12,2021-11-11T00:17:00Z,490000,-61.0,170.0,1,right,K. Durant 18' pullup Jump Shot (5 PTS) (J. Harden 3 AST),"[201142, 201935]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,18.1,Made,,,,,,,5.0,,,,,,J. Harden,201935.0,3.0
51,PT07M25.00S,2021-11-11T00:17:11.0Z,1,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612753,10,12,2021-11-11T00:17:22Z,510000,,,0,,C. Anthony step out-of-bounds TURNOVER (1 TO),[1630175],1610612753.0,ORL,step,,,Anthony,C. Anthony,,,,,1.0,,,,,,,,,,,,202049.0,,,,,,,
52,PT07M25.00S,2021-11-11T00:17:16.0Z,1,REGULAR,substitution,out,[],1630591,,,1610612751,10,12,2021-11-11T00:17:21Z,520000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2021-11-11T00:17:16.0Z,1,REGULAR,substitution,in,[],203082,,,1610612751,10,12,2021-11-11T00:17:21Z,530000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M13.00S,2021-11-11T00:17:39.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,73.66951379763469,85.04901960784314,1610612751,10,15,2021-11-11T00:17:45Z,540000,175.0,195.0,1,right,J. Harden 26' 3PT step back (5 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,26.21,Made,,,,,,,5.0,,,,,,,,
55,PT06M55.00S,2021-11-11T00:17:56.8Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,10,15,2021-11-11T00:18:00Z,550000,,,0,,C. Anthony bad pass TURNOVER (2 TO),"[1630175, 1628971]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,2.0,Brown,1628971.0,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2021-11-11T00:17:56.8Z,1,REGULAR,steal,,[],1628971,,,1610612751,10,15,2021-11-11T00:17:58Z,560000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2021-11-11T00:18:01.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628971,91.67214191852825,54.166666666666664,1610612751,10,15,2021-11-11T00:20:33Z,570000,21.0,26.0,1,right,MISS B. Brown running Layup - blocked,"[1628971, 203082]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,,,,3.31,Missed,,,,,Ross,203082.0,,,,,,,,,
64,PT06M51.00S,2021-11-11T00:18:01.5Z,1,REGULAR,block,,[],203082,,,1610612751,10,15,2021-11-11T00:20:33Z,575000,,,0,,T. Ross BLOCK (1 BLK),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2021-11-11T00:18:02.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,10,15,2021-11-11T00:18:16Z,580000,,,0,,F. Wagner REBOUND (Off:1 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,,,,,,
59,PT06M50.00S,2021-11-11T00:18:09.4Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,10,15,2021-11-11T00:18:48Z,590000,,,0,,F. Wagner step out-of-bounds TURNOVER (2 TO),[1630532],1610612753.0,ORL,step,,,Wagner,F. Wagner,,,,,2.0,,,,,,,,,,,,1198.0,,,,,,,
60,PT06M50.00S,2021-11-11T00:18:26.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,15,2021-11-11T00:18:26Z,600000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M43.00S,2021-11-11T00:21:09.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,93.9060446780552,94.85294117647058,1610612751,10,15,2021-11-11T00:21:13Z,610000,224.0,5.0,1,right,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,22.44,Missed,,,,,,,,,,,,,,,
66,PT06M40.00S,2021-11-11T00:21:12.6Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,10,15,2021-11-11T00:21:13Z,620000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,
67,PT06M33.00S,2021-11-11T00:21:22.9Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612753,10,15,2021-11-11T00:21:48Z,630000,,,0,,K. Durant shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[201142, 1628976]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Carter Jr.,1628976.0,,,
69,PT06M33.00S,2021-11-11T00:21:56.9Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,10,15,2021-11-11T00:21:56Z,650000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,
70,PT06M33.00S,2021-11-11T00:21:56.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,10,15,2021-11-11T00:21:56Z,660000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,
71,PT06M33.00S,2021-11-11T00:21:58.6Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,10,15,2021-11-11T00:22:09Z,670000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M33.00S,2021-11-11T00:21:58.6Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,10,15,2021-11-11T00:22:09Z,680000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M33.00S,2021-11-11T00:22:18.9Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,11,15,2021-11-11T00:22:18Z,690000,,,0,,W. Carter Jr. Free Throw 2 of 2 (6 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,Made,,,,,,,6.0,,,,,,,,
74,PT06M23.00S,2021-11-11T00:22:30.1Z,1,REGULAR,2pt,Jump Shot,[],201142,93.51182654402102,72.54901960784314,1610612751,11,17,2021-11-11T00:22:36Z,700000,113.0,8.0,1,right,K. Durant 11' pullup Jump Shot (7 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,11.3,Made,,,,,,,7.0,,,,,,,,
75,PT06M05.00S,2021-11-11T00:22:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.258212877792378,46.32352941176471,1610612753,11,17,2021-11-11T00:24:09Z,710000,18.0,6.0,1,left,MISS W. Carter Jr. reverse Layup,[1628976],1610612753.0,ORL,reverse,,,Carter Jr.,W. Carter Jr.,,,,,,,,1.94,Missed,,,,,,,,,,,,,,,
76,PT06M03.00S,2021-11-11T00:22:50.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,11,17,2021-11-11T00:24:09Z,720000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,
77,PT06M02.00S,2021-11-11T00:22:54.1Z,1,REGULAR,foul,personal,[],1629643,,,1610612751,11,17,2021-11-11T00:23:10Z,730000,,,0,,C. Okeke personal FOUL (1 PF),"[1629643, 201935]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Harden,201935.0,,,
79,PT05M52.00S,2021-11-11T00:23:24.3Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,11,17,2021-11-11T00:23:29Z,750000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630532]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2021-11-11T00:23:24.3Z,1,REGULAR,steal,,[],1630532,,,1610612753,11,17,2021-11-11T00:23:26Z,760000,,,0,,F. Wagner STEAL (2 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M37.00S,2021-11-11T00:23:38.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629643,3.4986859395532193,3.6764705882352944,1610612753,11,17,2021-11-11T00:23:47Z,770000,232.0,-20.0,1,left,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,23.24,Missed,,,,,,,,,,,,,,,
82,PT05M36.00S,2021-11-11T00:23:39.8Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,11,17,2021-11-11T00:23:48Z,780000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,
83,PT05M25.00S,2021-11-11T00:23:51.0Z,1,REGULAR,3pt,Jump Shot,[],201933,67.62483574244416,69.36274509803921,1610612751,11,17,2021-11-11T00:23:55Z,790000,97.0,252.0,1,right,MISS B. Griffin 26' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,26.98,Missed,,,,,,,,,,,,,,,
84,PT05M23.00S,2021-11-11T00:23:53.0Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,11,17,2021-11-11T00:23:55Z,800000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,
85,PT05M11.00S,2021-11-11T00:24:05.4Z,1,REGULAR,2pt,Jump Shot,[],203082,20.97568988173456,51.9607843137255,1610612753,11,17,2021-11-11T00:24:16Z,810000,-10.0,145.0,1,left,MISS T. Ross 14' step back Shot,[203082],1610612753.0,ORL,step back,,,Ross,T. Ross,,,,,,,,14.5,Missed,,,,,,,,,,,,,,,
86,PT05M07.00S,2021-11-11T00:24:09.4Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,11,17,2021-11-11T00:24:16Z,820000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,
87,PT05M01.00S,2021-11-11T00:24:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,91.80354796320631,44.36274509803921,1610612751,11,19,2021-11-11T00:24:22Z,830000,-28.0,25.0,1,right,B. Brown cutting Layup (4 PTS) (J. Harden 4 AST),"[1628971, 201935]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,,,,3.74,Made,,,,,,,4.0,,,,,,J. Harden,201935.0,4.0
89,PT05M00.00S,2021-11-11T00:24:22.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,11,19,2021-11-11T00:24:22Z,850000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
