actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M38.00S,2022-01-27T00:12:24.8Z,1,REGULAR,foul,personal,[],202704,,,1610612753,3,2,2022-01-27T00:12:40Z,180000,,,0,,R. Jackson personal FOUL (2 PF),"[202704, 1630591]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,200834.0,2.0,0.0,Suggs,1630591.0,,,,,,,,,,,,,,,,
20,PT10M38.00S,2022-01-27T00:12:47.6Z,1,REGULAR,substitution,out,[],202704,,,1610612753,3,2,2022-01-27T00:12:51Z,200000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M38.00S,2022-01-27T00:12:47.6Z,1,REGULAR,substitution,in,[],202339,,,1610612753,3,2,2022-01-27T00:12:51Z,210000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2022-01-27T00:13:04.8Z,1,REGULAR,2pt,Jump Shot,[],1630175,90.48948751642575,71.56862745098039,1610612753,3,2,2022-01-27T00:13:38Z,220000,108.0,37.0,1,right,MISS C. Anthony 11' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,,,,,,Missed,,,,,,11.39,,,,,,,,,
23,PT10M25.00S,2022-01-27T00:13:08.8Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,3,2,2022-01-27T00:13:13Z,230000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,
24,PT10M25.00S,2022-01-27T00:13:09.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628976,94.40999984741211,50.0,1610612753,3,2,2022-01-27T00:14:00Z,240000,0.0,0.0,1,right,MISS W. Carter Jr. tip Layup,[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Missed,,,,,,0.0,,,,,,,,,
25,PT10M24.00S,2022-01-27T00:13:10.5Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,3,2,2022-01-27T00:24:02Z,250000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,
26,PT10M20.00S,2022-01-27T00:13:16.5Z,1,REGULAR,foul,personal,['2freethrow'],202339,,,1610612753,3,2,2022-01-27T00:13:33Z,260000,,,0,,E. Bledsoe shooting personal FOUL (1 PF) (Bamba 2 FT),"[202339, 1628964]",1610612746.0,LAC,shooting,,,Bledsoe,E. Bledsoe,,,,,1627541.0,1.0,0.0,Bamba,1628964.0,,,,,,,,,,,,,,,,
28,PT10M20.00S,2022-01-27T00:13:39.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628964,,,1610612753,3,2,2022-01-27T00:14:02Z,280000,,,0,,MISS M. Bamba Free Throw 1 of 2,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,Missed,,,,,,,,,,,,,,,
29,PT10M20.00S,2022-01-27T00:13:39.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,3,2,2022-01-27T00:14:02Z,290000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
30,PT10M20.00S,2022-01-27T00:13:39.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628964,,,1610612753,3,2,2022-01-27T00:14:02Z,300000,,,0,,MISS M. Bamba Free Throw 2 of 2,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,Missed,,,,,,,,,,,,,,,
31,PT10M18.00S,2022-01-27T00:13:41.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,2,2022-01-27T00:14:02Z,310000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT10M08.00S,2022-01-27T00:14:04.4Z,1,REGULAR,2pt,Jump Shot,[],1629611,25.57490144546649,41.911764705882355,1610612746,3,2,2022-01-27T00:14:10Z,320000,40.0,188.0,1,left,MISS T. Mann 19' pullup Shot,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,,,,,,Missed,,,,,,19.22,,,,,,,,,
33,PT10M04.00S,2022-01-27T00:14:08.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,3,2,2022-01-27T00:14:10Z,330000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,32.0,3.0,2.0,1.0,,,,,,,,,,
34,PT09M56.00S,2022-01-27T00:14:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,84.05059132720105,54.90196078431373,1610612753,5,2,2022-01-27T00:17:33Z,340000,25.0,97.0,1,right,W. Carter Jr. 10' floating Jump Shot (5 PTS) (C. Anthony 2 AST),"[1628976, 1630175]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Made,5.0,,,,,10.04,C. Anthony,1630175.0,2.0,,,,,,
36,PT09M43.00S,2022-01-27T00:14:28.2Z,1,REGULAR,3pt,Jump Shot,[],1629611,7.703679369250986,4.6568627450980395,1610612746,5,5,2022-01-27T00:14:33Z,360000,227.0,20.0,1,left,T. Mann 3PT  (3 PTS) (E. Bledsoe 1 AST),"[1629611, 202339]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,Made,3.0,,,,,22.76,E. Bledsoe,202339.0,1.0,,,,,,
38,PT09M29.00S,2022-01-27T00:14:42.2Z,1,REGULAR,2pt,Jump Shot,[],1628976,85.89027595269383,29.65686274509804,1610612753,5,5,2022-01-27T00:18:15Z,380000,-102.0,80.0,1,right,MISS W. Carter Jr. 12' turnaround fadeaway Shot,[1628976],1610612753.0,ORL,turnaround fadeaway,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,Missed,,,,,,12.95,,,,,,,,,
39,PT09M27.00S,2022-01-27T00:14:44.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,5,5,2022-01-27T00:15:03Z,390000,,,0,,M. Bamba REBOUND (Off:2 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,38.0,4.0,2.0,2.0,,,,,,,,,,
40,PT09M27.00S,2022-01-27T00:14:52.7Z,1,REGULAR,turnover,out-of-bounds,[],1628964,,,1610612753,5,5,2022-01-27T00:15:12Z,400000,,,0,,M. Bamba step out-of-bounds TURNOVER (1 TO),[1628964],1610612753.0,ORL,step,,,Bamba,M. Bamba,,,,,203593.0,,,,,,,,,,,,,,,1.0,,,,,
41,PT09M10.00S,2022-01-27T00:15:09.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202339,28.86005256241787,70.34313725490196,1610612746,5,5,2022-01-27T00:15:15Z,410000,-102.0,219.0,1,left,MISS E. Bledsoe 24' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,Missed,,,,,,24.13,,,,,,,,,
42,PT09M07.00S,2022-01-27T00:15:12.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,5,5,2022-01-27T00:15:15Z,420000,,,0,,M. Bamba REBOUND (Off:2 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,41.0,5.0,3.0,2.0,,,,,,,,,,
43,PT08M53.00S,2022-01-27T00:15:27.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628964,93.51182654402102,52.94117647058824,1610612753,5,5,2022-01-27T00:19:54Z,430000,15.0,8.0,1,right,MISS M. Bamba alley-oop DUNK,[1628964],1610612753.0,ORL,alley-oop,,,Bamba,M. Bamba,,,,,,,,,,Missed,,,,,,1.7,,,,,,,,,
44,PT08M51.00S,2022-01-27T00:15:29.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,5,2022-01-27T00:15:34Z,440000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,
45,PT08M46.00S,2022-01-27T00:15:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629611,8.09789750328515,51.470588235294116,1610612746,5,5,2022-01-27T00:15:41Z,450000,-7.0,24.0,1,left,MISS T. Mann running Layup,[1629611],1610612746.0,LAC,running,,,Mann,T. Mann,,,,,,,,,,Missed,,,,,,2.47,,,,,,,,,
46,PT08M43.00S,2022-01-27T00:15:36.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,5,2022-01-27T00:15:41Z,460000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT08M37.00S,2022-01-27T00:15:43.0Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,5,5,2022-01-27T00:15:50Z,470000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1627826]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,1.0,Zubac,1627826.0,,,
48,PT08M37.00S,2022-01-27T00:15:43.0Z,1,REGULAR,steal,,[],1627826,,,1610612746,5,5,2022-01-27T00:18:31Z,480000,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M22.00S,2022-01-27T00:15:57.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629599,15.719448094612352,22.794117647058822,1610612746,5,5,2022-01-27T00:16:08Z,490000,136.0,95.0,1,left,MISS A. Coffey 16' pullup Shot,[1629599],1610612746.0,LAC,pullup,,,Coffey,A. Coffey,,,,,,,,,,Missed,,,,,,16.61,,,,,,,,,
50,PT08M19.00S,2022-01-27T00:16:00.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,5,5,2022-01-27T00:16:08Z,500000,,,0,,M. Bamba REBOUND (Off:2 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,49.0,6.0,4.0,2.0,,,,,,,,,,
51,PT08M07.00S,2022-01-27T00:16:15.8Z,1,REGULAR,foul,personal,[],1629611,,,1610612753,5,5,2022-01-27T00:18:44Z,510000,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1630175]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,1627541.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-01-27T00:16:36.8Z,1,REGULAR,turnover,lost ball,[],1628976,,,1610612753,5,5,2022-01-27T00:19:11Z,530000,,,0,,W. Carter Jr. lost ball TURNOVER (1 TO),"[1628976, 201587]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,1.0,Batum,201587.0,,,
54,PT07M58.00S,2022-01-27T00:16:36.8Z,1,REGULAR,steal,,[],201587,,,1610612746,5,5,2022-01-27T00:16:40Z,540000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M39.00S,2022-01-27T00:16:55.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627826,11.12023653088042,77.69607843137256,1610612746,5,5,2022-01-27T00:17:02Z,550000,-138.0,52.0,1,left,MISS I. Zubac 14' Jump Shot,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,Missed,,,,,,14.79,,,,,,,,,
56,PT07M36.00S,2022-01-27T00:16:58.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,5,2022-01-27T00:17:02Z,560000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,
57,PT07M22.00S,2022-01-27T00:17:12.2Z,1,REGULAR,3pt,Jump Shot,[],1630591,67.09921156373193,26.225490196078432,1610612753,8,5,2022-01-27T00:17:17Z,570000,-119.0,257.0,1,right,J. Suggs 28' 3PT  (3 PTS) (C. Anthony 3 AST),"[1630591, 1630175]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,Made,3.0,,,,,28.3,C. Anthony,1630175.0,3.0,,,,,,
59,PT07M06.00S,2022-01-27T00:17:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,11.908672798948752,51.225490196078425,1610612746,8,5,2022-01-27T00:22:54Z,590000,-6.0,59.0,1,left,MISS I. Zubac floating Shot,[1627826],1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,,,,,,Missed,,,,,,5.97,,,,,,,,,
60,PT07M03.00S,2022-01-27T00:17:32.2Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,5,2022-01-27T00:17:34Z,600000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT06M55.00S,2022-01-27T00:17:42.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627826,,,1610612753,8,5,2022-01-27T00:20:34Z,610000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Anthony 2 FT),"[1627826, 1630175]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,203593.0,1.0,0.0,Anthony,1630175.0,,,,,,,,,,,,,,,,
63,PT06M55.00S,2022-01-27T00:17:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,5,2022-01-27T00:17:55Z,630000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M55.00S,2022-01-27T00:18:01.6Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,8,5,2022-01-27T00:20:30Z,640000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2022-01-27T00:18:01.6Z,1,REGULAR,substitution,in,[],203914,,,1610612753,8,5,2022-01-27T00:20:30Z,650000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M55.00S,2022-01-27T00:20:54.2Z,1,REGULAR,freethrow,1 of 2,[],1630175,,,1610612753,9,5,2022-01-27T00:20:54Z,660000,,,0,,C. Anthony Free Throw 1 of 2 (1 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
67,PT06M55.00S,2022-01-27T00:21:12.4Z,1,REGULAR,freethrow,2 of 2,[],1630175,,,1610612753,10,5,2022-01-27T00:21:12Z,670000,,,0,,C. Anthony Free Throw 2 of 2 (2 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
68,PT06M31.00S,2022-01-27T00:21:37.6Z,1,REGULAR,2pt,Jump Shot,[],202339,22.946780551905388,21.813725490196077,1610612746,10,5,2022-01-27T00:21:43Z,680000,141.0,163.0,1,left,MISS E. Bledsoe 21' pullup Shot,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,,,,,,Missed,,,,,,21.56,,,,,,,,,
69,PT06M27.00S,2022-01-27T00:21:40.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,10,5,2022-01-27T00:21:40Z,690000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,68.0,3.0,2.0,1.0,,,,,,,,,,
70,PT06M12.00S,2022-01-27T00:21:59.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201587,,,1610612753,10,5,2022-01-27T00:22:14Z,700000,,,0,,N. Batum personal FOUL (1 PF) (Wagner 2 FT),"[201587, 1630532]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,200834.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,,,,,,,
72,PT06M12.00S,2022-01-27T00:22:25.3Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,11,5,2022-01-27T00:22:49Z,720000,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
73,PT06M12.00S,2022-01-27T00:22:26.4Z,1,REGULAR,substitution,out,[],1629611,,,1610612753,11,5,2022-01-27T00:22:32Z,730000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2022-01-27T00:22:26.4Z,1,REGULAR,substitution,in,[],1628379,,,1610612753,11,5,2022-01-27T00:22:32Z,740000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2022-01-27T00:22:25.3Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,11,5,2022-01-27T00:22:49Z,750000,,,0,,MISS F. Wagner Free Throw 2 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,Missed,,,,,,,,,,,,,,,
76,PT06M10.00S,2022-01-27T00:22:27.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,5,2022-01-27T00:22:49Z,760000,,,0,,I. Zubac REBOUND (Off:0 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,75.0,4.0,4.0,0.0,,,,,,,,,,
77,PT06M00.00S,2022-01-27T00:22:58.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,16.63929040735874,54.166666666666664,1610612746,11,7,2022-01-27T00:23:02Z,770000,-21.0,104.0,1,left,L. Kennard 10' pullup Jump Shot (2 PTS),[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,,,,,,Made,2.0,,,,,10.6,,,,,,,,,
78,PT05M49.00S,2022-01-27T00:23:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,83.13074901445466,44.36274509803921,1610612753,13,7,2022-01-27T00:26:03Z,780000,-28.0,106.0,1,right,C. Anthony 10' driving floating Jump Shot (4 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,,,,,,Made,4.0,,,,,10.98,,,,,,,,,
79,PT05M33.00S,2022-01-27T00:23:24.4Z,1,REGULAR,2pt,Jump Shot,[],1629599,13.091327201051248,70.34313725490196,1610612746,13,9,2022-01-27T00:23:28Z,790000,-102.0,71.0,1,left,A. Coffey 12' pullup Jump Shot (2 PTS),[1629599],1610612746.0,LAC,pullup,,,Coffey,A. Coffey,,,,,,,,,,Made,2.0,,,,,12.38,,,,,,,,,
80,PT05M15.00S,2022-01-27T00:23:42.3Z,1,REGULAR,3pt,Jump Shot,[],203914,83.52496714848883,3.431372549019608,1610612753,16,9,2022-01-27T00:23:46Z,800000,-233.0,102.0,1,right,G. Harris 25' 3PT  (3 PTS) (C. Anthony 4 AST),"[203914, 1630175]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,Made,3.0,,,,,25.43,C. Anthony,1630175.0,4.0,,,,,,
82,PT04M56.00S,2022-01-27T00:24:01.4Z,1,REGULAR,3pt,Jump Shot,[],201587,27.808804204993432,75.24509803921569,1610612746,16,12,2022-01-27T00:24:08Z,820000,-126.0,209.0,1,left,N. Batum 24' 3PT  (3 PTS) (I. Zubac 1 AST),"[201587, 1627826]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,Made,3.0,,,,,24.41,I. Zubac,1627826.0,1.0,,,,,,
84,PT04M37.00S,2022-01-27T00:24:19.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,92.46057818659659,49.26470588235294,1610612753,18,12,2022-01-27T00:24:28Z,840000,-4.0,18.0,1,right,F. Wagner cutting DUNK (3 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,,,,,,Made,3.0,,,,,1.88,W. Carter Jr.,1628976.0,1.0,,,,,,
86,PT04M22.00S,2022-01-27T00:24:37.4Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,18,12,2022-01-27T00:24:52Z,860000,,,0,,I. Zubac lost ball out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,lost ball,,,Zubac,I. Zubac,,,,,200834.0,,,,,,,,,,,,,,,1.0,,,,,
87,PT04M22.00S,2022-01-27T00:24:46.0Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,18,12,2022-01-27T00:25:01Z,870000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M22.00S,2022-01-27T00:24:46.0Z,1,REGULAR,substitution,out,[],1627826,,,1610612753,18,12,2022-01-27T00:25:01Z,880000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M22.00S,2022-01-27T00:24:46.0Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,18,12,2022-01-27T00:25:01Z,890000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
