actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
17,PT11M04.00S,2021-11-25T00:12:24.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630532,11.383048620236531,52.450980392156865,1610612753,2,0,2021-11-25T00:12:29Z,170000,-12.0,55.0,1,left,F. Wagner driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,,,,,,,Wagner,F. Wagner,,,,5.59,Made,,,,,,,2.0,,,,,,
19,PT10M48.00S,2021-11-25T00:12:40.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,82.21090670170827,4.411764705882353,1610612766,2,0,2021-11-25T00:12:44Z,180000,-228.0,115.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,25.51,Missed,,,,,,,,,,,,,
20,PT10M46.00S,2021-11-25T00:12:42.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,0,2021-11-25T00:12:44Z,190000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,,,,,,,Suggs,J. Suggs,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M45.00S,2021-11-25T00:12:46.2Z,1,REGULAR,foul,personal,[],1630163,,,1610612753,2,0,2021-11-25T00:12:58Z,200000,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1630591]",1610612766.0,CHA,,,,,,,202901.0,1.0,0.0,Ball,L. Ball,Suggs,1630591.0,,,,,,,,,,,,,,,,
23,PT10M38.00S,2021-11-25T00:13:06.9Z,1,REGULAR,3pt,Jump Shot,[],203914,27.151773981603156,16.42156862745098,1610612753,2,0,2021-11-25T00:13:12Z,220000,168.0,203.0,1,left,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,,,,,,,Harris,G. Harris,,,,26.32,Missed,,,,,,,,,,,,,
24,PT10M34.00S,2021-11-25T00:13:10.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,2,0,2021-11-25T00:13:12Z,230000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M22.00S,2021-11-25T00:13:22.1Z,1,REGULAR,2pt,Hook,[],1628970,91.14651773981603,30.88235294117647,1610612766,2,0,2021-11-25T00:15:00Z,240000,-96.0,31.0,1,right,MISS M. Bridges 10' turnaround Hook,[1628970],1610612766.0,CHA,turnaround,,,,,,,,,Bridges,M. Bridges,,,,10.04,Missed,,,,,,,,,,,,,
26,PT10M20.00S,2021-11-25T00:13:24.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,0,2021-11-25T00:14:59Z,250000,,,0,,M. Plumlee REBOUND (Off:2 Def:0),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,25.0,2.0,0.0,2.0,,,,,,,,,
27,PT10M20.00S,2021-11-25T00:13:29.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203486,94.40999984741211,50.0,1610612766,2,0,2021-11-25T00:14:33Z,260000,0.0,0.0,1,right,MISS M. Plumlee tip Layup,[203486],1610612766.0,CHA,tip,,,,,,,,,Plumlee,M. Plumlee,,,,0.0,Missed,,,,,,,,,,,,,
28,PT10M20.00S,2021-11-25T00:13:29.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,0,2021-11-25T00:14:39Z,270000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT10M11.00S,2021-11-25T00:13:33.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628964,8.360709592641262,34.55882352941176,1610612753,2,0,2021-11-25T00:13:43Z,280000,77.0,26.0,1,left,MISS M. Bamba 8' Hook,[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,8.15,Missed,,,,,,,,,,,,,
30,PT10M08.00S,2021-11-25T00:13:36.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2021-11-25T00:13:43Z,290000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,,,,,,,Ball,L. Ball,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M52.00S,2021-11-25T00:13:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,69.85873850197109,78.18627450980392,1610612766,2,3,2021-11-25T00:13:57Z,300000,141.0,231.0,1,right,L. Ball 27' 3PT  (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,,,,,,,Ball,L. Ball,,,,27.04,Made,,,,,,,3.0,M. Bridges,1628970.0,1.0,,,
34,PT09M34.00S,2021-11-25T00:14:10.0Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,2,3,2021-11-25T00:14:14Z,320000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1626179]",1610612753.0,ORL,,,,,,,,,,Suggs,J. Suggs,,,1.0,,,,,,,,,,,,,Rozier,1626179.0,
35,PT09M34.00S,2021-11-25T00:14:10.0Z,1,REGULAR,steal,,[],1626179,,,1610612766,2,3,2021-11-25T00:14:13Z,330000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
36,PT09M24.00S,2021-11-25T00:14:21.9Z,1,REGULAR,foul,personal,[],1630532,,,1610612766,2,3,2021-11-25T00:14:44Z,340000,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 203486]",1610612753.0,ORL,,,,,,,204059.0,1.0,0.0,Wagner,F. Wagner,Plumlee,203486.0,,,,,,,,,,,,,,,,
39,PT09M21.00S,2021-11-25T00:14:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202330,92.85479632063075,45.588235294117645,1610612766,2,3,2021-11-25T00:19:38Z,370000,-22.0,15.0,1,right,MISS G. Hayward cutting Layup,[202330],1610612766.0,CHA,cutting,,,,,,,,,Hayward,G. Hayward,,,,2.65,Missed,,,,,,,,,,,,,
40,PT09M20.00S,2021-11-25T00:14:54.1Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,3,2021-11-25T00:19:38Z,380000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,
41,PT09M01.00S,2021-11-25T00:15:01.5Z,1,REGULAR,2pt,Jump Shot,[],1630591,22.815374507227332,33.088235294117645,1610612753,4,3,2021-11-25T00:20:33Z,390000,85.0,162.0,1,left,J. Suggs 18' step back Jump Shot (2 PTS),[1630591],1610612753.0,ORL,step back,,,,,,,,,Suggs,J. Suggs,,,,18.28,Made,,,,,,,2.0,,,,,,
42,PT08M45.00S,2021-11-25T00:15:12.5Z,1,REGULAR,3pt,Jump Shot,[],202330,73.80091984231275,82.35294117647058,1610612766,4,3,2021-11-25T00:15:29Z,400000,162.0,194.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,,,,,,,Hayward,G. Hayward,,,,25.25,Missed,,,,,,,,,,,,,
43,PT08M45.00S,2021-11-25T00:15:12.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,3,2021-11-25T00:15:29Z,410000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,,,,,,,Carter Jr.,W. Carter Jr.,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT08M33.00S,2021-11-25T00:15:24.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,28.991458607095925,24.264705882352942,1610612753,4,3,2021-11-25T00:15:36Z,420000,129.0,220.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,,,,,,,Carter Jr.,W. Carter Jr.,,,,25.49,Missed,,,,,,,,,,,,,
45,PT08M30.00S,2021-11-25T00:15:27.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,4,3,2021-11-25T00:15:36Z,430000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
46,PT08M21.00S,2021-11-25T00:15:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,92.19776609724047,53.67647058823529,1610612766,4,3,2021-11-25T00:21:43Z,440000,18.0,21.0,1,right,MISS L. Ball driving floating bank Shot,[1630163],1610612766.0,CHA,driving floating bank,,,,,,,,,Ball,L. Ball,,,,2.78,Missed,,,,,,,,,,,,,
47,PT08M20.00S,2021-11-25T00:15:39.0Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,4,3,2021-11-25T00:15:39Z,450000,,,0,,M. Plumlee REBOUND (Off:3 Def:0),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,46.0,3.0,0.0,3.0,,,,,,,,,
48,PT08M20.00S,2021-11-25T00:15:40.2Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612766,4,3,2021-11-25T00:15:53Z,460000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1628976, 203486]",1610612753.0,ORL,shooting,,,,,,202901.0,1.0,0.0,Carter Jr.,W. Carter Jr.,Plumlee,203486.0,,,,,,,,,,,,,,,,
50,PT08M20.00S,2021-11-25T00:16:18.2Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612766,4,3,2021-11-25T00:16:18Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M20.00S,2021-11-25T00:17:16.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203486,,,1610612766,4,4,2021-11-25T00:17:16Z,490000,,,0,,M. Plumlee Free Throw 1 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,Made,,,,,,,1.0,,,,,,
52,PT08M20.00S,2021-11-25T00:17:30.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203486,,,1610612766,4,5,2021-11-25T00:17:30Z,500000,,,0,,M. Plumlee Free Throw 2 of 2 (2 PTS),[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,Made,,,,,,,2.0,,,,,,
53,PT08M05.00S,2021-11-25T00:17:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,9.017739816031538,50.49019607843137,1610612753,4,5,2021-11-25T01:17:46Z,510000,-2.0,32.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,,,,,,,Wagner,F. Wagner,,,,3.24,Missed,,,,,,,,,,,,,
54,PT08M03.00S,2021-11-25T00:17:48.7Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,4,5,2021-11-25T01:17:46Z,520000,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,,,,,,,Wagner,F. Wagner,,,,,,53.0,1.0,0.0,1.0,,,,,,,,,
55,PT07M58.00S,2021-11-25T00:17:53.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628964,6.57030223390276,52.22886029411765,1610612753,6,5,2021-11-25T00:18:01Z,530000,-11.0,9.0,1,left,M. Bamba alley-oop DUNK (2 PTS) (J. Suggs 1 AST),"[1628964, 1630591]",1610612753.0,ORL,alley-oop,,,,,,,,,Bamba,M. Bamba,,,,1.45,Made,,,,,,,2.0,J. Suggs,1630591.0,1.0,,,
57,PT07M51.00S,2021-11-25T00:18:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,68.54467805519053,35.049019607843135,1610612766,6,5,2021-11-25T00:18:05Z,550000,-75.0,243.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,25.44,Missed,,,,,,,,,,,,,
58,PT07M49.00S,2021-11-25T00:18:02.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,6,5,2021-11-25T00:18:05Z,560000,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,,,,,,,Suggs,J. Suggs,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,
59,PT07M45.00S,2021-11-25T00:18:08.3Z,1,REGULAR,foul,personal,[],1628970,,,1610612753,6,5,2021-11-25T00:18:27Z,570000,,,0,,M. Bridges personal FOUL (1 PF),"[1628970, 1630591]",1610612766.0,CHA,,,,,,,203177.0,1.0,0.0,Bridges,M. Bridges,Suggs,1630591.0,,,,,,,,,,,,,,,,
61,PT07M42.00S,2021-11-25T00:18:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.469776609724048,51.470588235294116,1610612753,6,5,2021-11-25T00:20:40Z,590000,-7.0,-1.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,,,,,,,Wagner,F. Wagner,,,,0.75,Missed,,,,,,,,,,,,,
62,PT07M40.00S,2021-11-25T00:18:36.1Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,6,5,2021-11-25T00:20:40Z,600000,,,0,,M. Bamba REBOUND (Off:1 Def:2),[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,,,61.0,3.0,2.0,1.0,,,,,,,,,
65,PT07M37.00S,2021-11-25T00:18:41.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628964,8.623521681997373,44.11764705882353,1610612753,6,5,2021-11-25T00:22:19Z,630000,29.0,29.0,1,left,MISS M. Bamba Hook,[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,4.1,Missed,,,,,,,,,,,,,
66,PT07M37.00S,2021-11-25T00:18:41.4Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,6,5,2021-11-25T00:22:19Z,640000,,,0,,F. Wagner REBOUND (Off:2 Def:0),[1630532],1610612753.0,ORL,,,,,,,,,,Wagner,F. Wagner,,,,,,65.0,2.0,0.0,2.0,,,,,,,,,
67,PT07M35.00S,2021-11-25T00:18:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,6.783837056504599,44.85294117647059,1610612753,8,5,2021-11-25T00:29:49Z,650000,26.0,11.0,1,left,F. Wagner putback Layup (4 PTS),[1630532],1610612753.0,ORL,putback,,,,,,,,,Wagner,F. Wagner,,,,2.81,Made,,,,,,,4.0,,,,,,
68,PT07M20.00S,2021-11-25T00:18:54.3Z,1,REGULAR,2pt,Jump Shot,[],1626179,72.09264126149803,33.088235294117645,1610612766,8,5,2021-11-25T00:19:10Z,660000,-85.0,210.0,1,right,MISS T. Rozier 22' step back Shot,[1626179],1610612766.0,CHA,step back,,,,,,,,,Rozier,T. Rozier,,,,22.62,Missed,,,,,,,,,,,,,
69,PT07M20.00S,2021-11-25T00:18:54.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,5,2021-11-25T00:19:10Z,670000,,,0,,F. Wagner REBOUND (Off:2 Def:1),[1630532],1610612753.0,ORL,,,,,,,,,,Wagner,F. Wagner,,,,,,68.0,3.0,1.0,2.0,,,,,,,,,
70,PT07M11.00S,2021-11-25T00:19:03.3Z,1,REGULAR,3pt,Jump Shot,[],203914,15.193823915900131,95.58823529411765,1610612753,11,5,2021-11-25T00:19:14Z,680000,-228.0,90.0,1,left,G. Harris 24' 3PT  (3 PTS),[203914],1610612753.0,ORL,,,,,,,,,,Harris,G. Harris,,,,24.51,Made,,,,,,,3.0,,,,,,
71,PT07M00.00S,2021-11-25T00:19:14.7Z,1,REGULAR,3pt,Jump Shot,[],1628970,67.36202365308804,33.82352941176471,1610612766,11,5,2021-11-25T00:19:19Z,690000,-81.0,254.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,,,,,,,Bridges,M. Bridges,,,,26.69,Missed,,,,,,,,,,,,,
72,PT06M57.00S,2021-11-25T00:19:17.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,11,5,2021-11-25T00:19:19Z,700000,,,0,,M. Bamba REBOUND (Off:1 Def:3),[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,,,71.0,4.0,3.0,1.0,,,,,,,,,
73,PT06M47.00S,2021-11-25T00:19:26.7Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,11,5,2021-11-25T00:19:30Z,710000,,,0,,J. Suggs bad pass TURNOVER (2 TO),"[1630591, 1626179]",1610612753.0,ORL,,,,,,,,,,Suggs,J. Suggs,,,2.0,,,,,,,,,,,,,Rozier,1626179.0,
74,PT06M47.00S,2021-11-25T00:19:26.7Z,1,REGULAR,steal,,[],1626179,,,1610612766,11,5,2021-11-25T00:19:29Z,720000,,,0,,T. Rozier STEAL (2 STL),[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
75,PT06M41.00S,2021-11-25T00:19:33.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,73.14388961892247,86.51960784313727,1610612766,11,5,2021-11-25T00:32:57Z,730000,183.0,200.0,1,right,MISS L. Ball 27' running 3PT,[1630163],1610612766.0,CHA,running,,,,,,,,,Ball,L. Ball,,,,27.07,Missed,,,,,,,,,,,,,
76,PT06M37.00S,2021-11-25T00:19:36.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,11,5,2021-11-25T00:19:36Z,740000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,,,,,,,Carter Jr.,W. Carter Jr.,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,
77,PT06M22.00S,2021-11-25T00:19:51.7Z,1,REGULAR,3pt,Jump Shot,[],1628964,29.911300919842315,68.87254901960785,1610612753,11,5,2021-11-25T00:19:57Z,750000,-94.0,229.0,1,left,MISS M. Bamba 24' 3PT,[1628964],1610612753.0,ORL,,,,,,,,,,Bamba,M. Bamba,,,,24.74,Missed,,,,,,,,,,,,,
78,PT06M20.00S,2021-11-25T00:19:53.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,11,5,2021-11-25T00:19:57Z,760000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,,,,,,,Hayward,G. Hayward,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,
79,PT06M15.00S,2021-11-25T00:20:02.6Z,1,REGULAR,foul,personal,[],1630591,,,1610612766,11,5,2021-11-25T01:20:12Z,770000,,,0,,J. Suggs double personal FOUL (1 PF),"[1630591, 1630163]",1610612753.0,ORL,double,,,,,,202901.0,1.0,0.0,Suggs,J. Suggs,Ball,1630163.0,,,,,,,,,,,,,,,,
82,PT06M15.00S,2021-11-25T00:20:02.6Z,1,REGULAR,foul,personal,[],1630163,,,1610612766,11,5,2021-11-25T00:22:50Z,785000,,,0,,L. Ball double personal FOUL (2 PF),"[1630163, 1630591]",1610612766.0,CHA,double,,,,,,,2.0,0.0,Ball,L. Ball,Suggs,1630591.0,,,,,,,,,,,,,,,,
81,PT06M15.00S,2021-11-25T00:20:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,5,2021-11-25T00:20:21Z,790000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,out,[],202330,,,1610612766,11,5,2021-11-25T00:23:06Z,800000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,,,,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,
85,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,out,[],203486,,,1610612766,11,5,2021-11-25T00:23:06Z,810000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,,,,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,
86,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,11,5,2021-11-25T00:23:06Z,820000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,,,,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,
87,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,11,5,2021-11-25T00:23:06Z,830000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,,,,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,
88,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,11,5,2021-11-25T00:23:06Z,840000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,
89,PT06M15.00S,2021-11-25T00:22:40.8Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,11,5,2021-11-25T00:23:06Z,850000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
90,PT06M10.00S,2021-11-25T00:23:21.5Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,11,5,2021-11-25T00:23:21Z,860000,,,0,,Jump Ball M. Bridges vs. M. Bamba: Tip to L. Ball,"[1630163, 1628970, 1628964]",1610612766.0,CHA,heldball,L. Ball,Bridges,1628970.0,Bamba,1628964.0,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,1630163.0
