actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
19,PT10M19.00S,2021-11-14T00:15:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628988,8.722076215505908,44.11764705882353,1610612764,0,2,2021-11-14T00:16:37Z,190000,29.0,29.0,1,left,A. Holiday driving finger roll Layup (2 PTS) (S. Dinwiddie 1 AST),"[1628988, 203915]",1610612764.0,WAS,driving finger roll,,,Holiday,A. Holiday,,,,,,,,4.16,Made,,,,,,,,,,2.0,S. Dinwiddie,203915.0,1.0,,,
21,PT10M04.00S,2021-11-14T00:15:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,93.34756898817345,57.84313725490196,1610612753,0,2,2021-11-14T00:15:28Z,210000,39.0,10.0,1,right,MISS F. Wagner driving Layup - blocked,"[1630532, 1628398]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,,,,4.05,Missed,,,,,,,,,,,,,,Kuzma,1628398.0,
22,PT10M04.00S,2021-11-14T00:15:21.7Z,1,REGULAR,block,,[],1628398,,,1610612753,0,2,2021-11-14T00:15:24Z,220000,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2021-11-14T00:15:24.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,2,2021-11-14T00:15:54Z,230000,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT09M59.00S,2021-11-14T00:15:26.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,28.695795006570307,22.058823529411768,1610612764,0,2,2021-11-14T00:15:34Z,240000,140.0,217.0,1,left,MISS K. Kuzma 25' running 3PT,[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,,,,25.82,Missed,,,,,,,,,,,,,,,,
25,PT09M56.00S,2021-11-14T00:15:29.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,2,2021-11-14T00:15:34Z,250000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M49.00S,2021-11-14T00:15:36.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,67.06636005256242,60.53921568627451,1610612753,3,2,2021-11-14T00:15:43Z,260000,53.0,257.0,1,right,W. Carter Jr. 26' 3PT  (3 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,26.24,Made,,,,,,,,,,3.0,J. Suggs,1630591.0,1.0,,,
28,PT09M27.00S,2021-11-14T00:15:58.7Z,1,REGULAR,turnover,bad pass,[],1628988,,,1610612764,3,2,2021-11-14T00:16:05Z,280000,,,0,,A. Holiday bad pass TURNOVER (1 TO),"[1628988, 1630532]",1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2021-11-14T00:15:58.7Z,1,REGULAR,steal,,[],1630532,,,1610612753,3,2,2021-11-14T00:16:01Z,290000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2021-11-14T00:16:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630591,93.42969776609723,44.584865196078425,1610612753,3,2,2021-11-14T00:16:29Z,300000,-27.0,9.0,1,right,MISS J. Suggs running Layup - blocked,"[1630591, 203484]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,,,,2.87,Missed,,,,,,,,,,,,,,Caldwell-Pope,203484.0,
32,PT09M21.00S,2021-11-14T00:16:07.3Z,1,REGULAR,block,,[],203484,,,1610612753,3,2,2021-11-14T00:16:25Z,305000,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M21.00S,2021-11-14T00:16:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,3,2,2021-11-14T00:16:25Z,310000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
33,PT09M13.00S,2021-11-14T00:16:30.7Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628964,93.47897503285151,29.411764705882348,1610612753,5,2,2021-11-14T00:16:40Z,320000,-103.0,9.0,1,right,M. Bamba 10' turnaround fadeaway Jump Shot (2 PTS),[1628964],1610612753.0,ORL,turnaround fadeaway,,,Bamba,M. Bamba,,,,,,,,10.33,Made,,,,,,,,,,2.0,,,,,,
34,PT08M58.00S,2021-11-14T00:16:45.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,34.60906701708278,50.0,1610612764,5,2,2021-11-14T00:16:52Z,330000,0.0,273.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,27.28,Missed,,,,,,,,,,,,,,,,
35,PT08M54.00S,2021-11-14T00:16:50.1Z,1,REGULAR,rebound,offensive,[],203915,,,1610612764,5,2,2021-11-14T00:16:50Z,340000,,,0,,S. Dinwiddie REBOUND (Off:1 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,
36,PT08M52.00S,2021-11-14T00:16:54.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203484,16.080814717476997,38.970588235294116,1610612764,5,2,2021-11-14T00:19:30Z,350000,55.0,99.0,1,left,MISS K. Caldwell-Pope 11' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,11.3,Missed,,,,,,,,,,,,,,,,
37,PT08M50.00S,2021-11-14T00:16:56.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,5,2,2021-11-14T00:20:09Z,360000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,
38,PT08M50.00S,2021-11-14T00:17:02.1Z,1,REGULAR,foul,personal,[],1628964,,,1610612764,5,2,2021-11-14T00:20:14Z,370000,,,0,,M. Bamba loose ball personal FOUL (1 PF),"[1628964, 1629655]",1610612753.0,ORL,loose ball,,,Bamba,M. Bamba,,,,,,,,,,,,,,1193.0,1.0,0.0,Gafford,1629655.0,,,,,,,
134,PT08M46.00S,2021-11-14T00:17:10.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629655,11.744415243101187,46.32352941176471,1610612764,5,2,2021-11-14T00:34:31Z,385000,18.0,58.0,1,left,MISS D. Gafford 6' driving floating Shot,[1629655],1610612764.0,WAS,driving floating,,,Gafford,D. Gafford,,,,,,,,6.08,Missed,,,,,,,,,,,,,,,,
136,PT08M44.00S,2021-11-14T00:17:12.8Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,2,2021-11-14T00:34:31Z,388750,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT08M37.00S,2021-11-14T00:17:26.7Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,5,2,2021-11-14T00:17:31Z,410000,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1628988]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,1.0,Holiday,1628988.0,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2021-11-14T00:17:26.7Z,1,REGULAR,steal,,[],1628988,,,1610612764,5,2,2021-11-14T00:17:28Z,420000,,,0,,A. Holiday STEAL (1 STL),[1628988],1610612764.0,WAS,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2021-11-14T00:17:32.5Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612764,5,2,2021-11-14T00:17:46Z,430000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Gafford 2 FT),"[1630532, 1629655]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,,,,,,,,,,1627529.0,1.0,0.0,Gafford,1629655.0,,,,,,,
46,PT08M33.00S,2021-11-14T00:18:00.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629655,,,1610612764,5,3,2021-11-14T00:18:00Z,450000,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,Made,,,,,,,,,,1.0,,,,,,
47,PT08M33.00S,2021-11-14T00:18:17.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629655,,,1610612764,5,4,2021-11-14T00:18:17Z,460000,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,Made,,,,,,,,,,2.0,,,,,,
48,PT08M20.00S,2021-11-14T00:18:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,93.47897503285151,56.127450980392155,1610612753,5,4,2021-11-14T00:18:38Z,470000,31.0,9.0,1,right,MISS F. Wagner driving reverse Layup,[1630532],1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,,,,3.18,Missed,,,,,,,,,,,,,,,,
49,PT08M17.00S,2021-11-14T00:18:35.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,5,4,2021-11-14T00:18:38Z,480000,,,0,,S. Dinwiddie REBOUND (Off:1 Def:2),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,
50,PT08M01.00S,2021-11-14T00:18:50.5Z,1,REGULAR,2pt,Jump Shot,[],1628988,6.750985545335084,70.34313725490196,1610612764,5,4,2021-11-14T00:18:54Z,490000,-102.0,11.0,1,left,MISS A. Holiday 10' pullup Shot,[1628988],1610612764.0,WAS,pullup,,,Holiday,A. Holiday,,,,,,,,10.23,Missed,,,,,,,,,,,,,,,,
51,PT07M59.00S,2021-11-14T00:18:52.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,5,4,2021-11-14T00:18:54Z,500000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,
52,PT07M55.00S,2021-11-14T00:18:56.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,67.32917214191853,49.50980392156863,1610612753,8,4,2021-11-14T00:19:03Z,510000,-2.0,255.0,1,right,W. Carter Jr. 25' 3PT running (6 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,,,,25.46,Made,,,,,,,,,,6.0,C. Anthony,1630175.0,1.0,,,
54,PT07M39.00S,2021-11-14T00:19:12.0Z,1,REGULAR,2pt,Jump Shot,[],1628398,27.644546649145866,49.754901960784316,1610612764,8,6,2021-11-14T00:19:18Z,530000,1.0,207.0,1,left,K. Kuzma 20' pullup Jump Shot (2 PTS) (D. Gafford 1 AST),"[1628398, 1629655]",1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,,,,20.74,Made,,,,,,,,,,2.0,D. Gafford,1629655.0,1.0,,,
56,PT07M14.00S,2021-11-14T00:19:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,93.61038107752957,55.88235294117647,1610612753,10,6,2021-11-14T00:23:22Z,550000,29.0,8.0,1,right,J. Suggs driving finger roll Layup (2 PTS) (C. Anthony 2 AST),"[1630591, 1630175]",1610612753.0,ORL,driving finger roll,,,Suggs,J. Suggs,,,,,,,,3.04,Made,,,,,,,,,,2.0,C. Anthony,1630175.0,2.0,,,
58,PT07M06.00S,2021-11-14T00:19:48.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,10,6,2021-11-14T00:19:48Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M06.00S,2021-11-14T00:19:50.0Z,1,REGULAR,substitution,out,[],1630591,,,1610612764,10,6,2021-11-14T00:19:55Z,580000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M06.00S,2021-11-14T00:19:50.0Z,1,REGULAR,substitution,in,[],203082,,,1610612764,10,6,2021-11-14T00:19:55Z,590000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M59.00S,2021-11-14T00:20:15.2Z,1,REGULAR,3pt,Jump Shot,[],203915,28.43298291721419,80.63725490196079,1610612764,10,9,2021-11-14T00:20:20Z,600000,-153.0,215.0,1,left,S. Dinwiddie 26' 3PT pullup (3 PTS),[203915],1610612764.0,WAS,pullup,,,Dinwiddie,S. Dinwiddie,,,,,,,,26.38,Made,,,,,,,,,,3.0,,,,,,
62,PT06M46.00S,2021-11-14T00:20:27.7Z,1,REGULAR,3pt,Jump Shot,[],203082,67.32917214191853,46.568627450980394,1610612753,10,9,2021-11-14T00:20:31Z,610000,-17.0,255.0,1,right,MISS T. Ross 25' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,25.52,Missed,,,,,,,,,,,,,,,,
63,PT06M44.00S,2021-11-14T00:20:29.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,10,9,2021-11-14T00:20:31Z,620000,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,
64,PT06M33.00S,2021-11-14T00:20:41.2Z,1,REGULAR,3pt,Jump Shot,[],203484,7.408015768725363,5.392156862745097,1610612764,10,12,2021-11-14T00:20:47Z,630000,223.0,17.0,1,left,K. Caldwell-Pope 3PT  (3 PTS) (A. Holiday 1 AST),"[203484, 1628988]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,22.37,Made,,,,,,,,,,3.0,A. Holiday,1628988.0,1.0,,,
66,PT06M19.00S,2021-11-14T00:20:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,67.32917214191853,38.725490196078425,1610612753,13,12,2021-11-14T00:21:01Z,650000,-56.0,255.0,1,right,W. Carter Jr. 26' 3PT  (9 PTS) (C. Anthony 3 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,26.08,Made,,,,,,,,,,9.0,C. Anthony,1630175.0,3.0,,,
68,PT06M04.00S,2021-11-14T00:21:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,7.670827858081481,37.00980392156863,1610612764,13,12,2021-11-14T00:25:00Z,670000,65.0,20.0,1,left,MISS K. Caldwell-Pope 6' driving finger roll Layup,[203484],1610612764.0,WAS,driving finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,6.79,Missed,,,,,,,,,,,,,,,,
69,PT06M00.00S,2021-11-14T00:21:14.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,13,12,2021-11-14T00:21:17Z,680000,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,
70,PT05M56.00S,2021-11-14T00:21:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,94.3988173455979,46.32352941176471,1610612753,13,12,2021-11-14T00:23:23Z,690000,-18.0,0.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,,,,1.84,Missed,,,,,,,,,,,,,,,,
71,PT05M55.00S,2021-11-14T00:21:21.0Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,13,12,2021-11-14T00:23:23Z,700000,,,0,,M. Bamba REBOUND (Off:1 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,
72,PT05M55.00S,2021-11-14T00:21:24.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628964,94.40999984741211,50.0,1610612753,15,12,2021-11-14T00:21:31Z,710000,0.0,0.0,1,right,M. Bamba tip DUNK (4 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,,,,0.0,Made,,,,,,,,,,4.0,,,,,,
73,PT05M55.00S,2021-11-14T00:21:27.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,15,12,2021-11-14T00:21:27Z,720000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,out,[],1628964,,,1610612764,15,12,2021-11-14T00:24:15Z,730000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612764,15,12,2021-11-14T00:24:15Z,740000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,out,[],203484,,,1610612764,15,12,2021-11-14T00:24:15Z,750000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,15,12,2021-11-14T00:24:15Z,760000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,out,[],203915,,,1610612764,15,12,2021-11-14T00:24:15Z,770000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,in,[],203914,,,1610612764,15,12,2021-11-14T00:24:15Z,780000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612764,15,12,2021-11-14T00:24:15Z,790000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,15,12,2021-11-14T00:24:15Z,800000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,in,[],203526,,,1610612764,15,12,2021-11-14T00:24:15Z,810000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M55.00S,2021-11-14T00:23:49.4Z,1,REGULAR,substitution,in,[],1626149,,,1610612764,15,12,2021-11-14T00:24:15Z,820000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M31.00S,2021-11-14T00:24:42.8Z,1,REGULAR,2pt,Jump Shot,[],1626149,12.66425755584757,72.79411764705883,1610612764,15,14,2021-11-14T00:24:49Z,830000,-114.0,67.0,1,left,M. Harrell 13' Jump Shot (2 PTS),[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,13.2,Made,,,,,,,,,,2.0,,,,,,
85,PT05M15.00S,2021-11-14T00:24:58.5Z,1,REGULAR,3pt,Jump Shot,[],1629643,94.26741130091985,98.2843137254902,1610612753,18,14,2021-11-14T00:25:06Z,840000,241.0,1.0,1,right,C. Okeke 24' 3PT  (3 PTS) (T. Ross 1 AST),"[1629643, 203082]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,24.14,Made,,,,,,,,,,3.0,T. Ross,203082.0,1.0,,,
87,PT05M02.00S,2021-11-14T00:25:12.4Z,1,REGULAR,3pt,Jump Shot,[],203526,28.170170827858072,84.06862745098039,1610612764,18,17,2021-11-14T00:25:18Z,860000,-170.0,212.0,1,left,R. Neto 27' 3PT  (3 PTS) (M. Harrell 1 AST),"[203526, 1626149]",1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,27.22,Made,,,,,,,,,,3.0,M. Harrell,1626149.0,1.0,,,
