actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
22,PT09M58.00S,2022-03-09T00:12:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,11.251642575558476,2.941176470588235,1610612756,2,10,2022-03-09T00:12:46Z,220000,235.0,53.0,1,left,M. Bridges 24' 3PT  (3 PTS) (J. Crowder 1 AST),"[1628969, 203109]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,24.13,Made,3.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
24,PT09M46.00S,2022-03-09T00:12:57.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,10,2022-03-09T00:12:57Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M43.00S,2022-03-09T00:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,66.44218134034165,67.64705882352942,1610612753,2,10,2022-03-09T00:13:11Z,250000,88.0,263.0,1,right,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,27.73,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M39.00S,2022-03-09T00:13:11.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,10,2022-03-09T00:13:11Z,260000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M35.00S,2022-03-09T00:13:16.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628969,7.30946123521682,55.392156862745104,1610612756,2,10,2022-03-09T00:15:21Z,270000,-27.0,16.0,1,left,MISS M. Bridges driving reverse Layup,[1628969],1610612756.0,PHX,driving reverse,,,Bridges,M. Bridges,,,,,3.15,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2022-03-09T00:13:20.0Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,10,2022-03-09T00:15:21Z,280000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M23.00S,2022-03-09T00:13:26.7Z,1,REGULAR,3pt,Jump Shot,[],1628964,68.01905387647832,64.70588235294117,1610612753,2,10,2022-03-09T00:13:31Z,290000,74.0,248.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2022-03-09T00:13:28.7Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,10,2022-03-09T00:13:31Z,300000,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,
31,PT09M15.00S,2022-03-09T00:13:36.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,18.610381077529567,38.48039215686275,1610612756,2,12,2022-03-09T00:13:40Z,310000,58.0,122.0,1,left,D. Ayton 13' turnaround Hook (6 PTS) (C. Payne 3 AST),"[1629028, 1626166]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,13.53,Made,6.0,C. Payne,1626166.0,3.0,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-03-09T00:13:48.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,2,12,2022-03-09T00:13:48Z,330000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2022-03-09T00:16:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,85.3646517739816,60.78431372549019,1610612753,2,12,2022-03-09T00:17:24Z,340000,54.0,85.0,1,right,MISS C. Anthony 10' floating Shot,[1630175],1610612753.0,ORL,floating,,,Anthony,C. Anthony,,,,,10.07,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2022-03-09T00:16:42.6Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,12,2022-03-09T00:16:43Z,350000,,,0,,J. Crowder REBOUND (Off:0 Def:4),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,34.0,4.0,4.0,0.0,,,,,,,,,,,
36,PT08M49.00S,2022-03-09T00:16:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,12.828515111695138,50.0,1610612756,2,14,2022-03-09T00:16:59Z,360000,0.0,68.0,1,left,D. Ayton 6' floating Jump Shot (8 PTS) (L. Shamet 1 AST),"[1629028, 1629013]",1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,6.81,Made,8.0,L. Shamet,1629013.0,1.0,,,,,,,,,,,,,,,
38,PT08M42.00S,2022-03-09T00:17:02.9Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,2,14,2022-03-09T00:19:36Z,380000,,,0,,F. Wagner lost ball TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,1.0,,,,,,,,,,
39,PT08M34.00S,2022-03-09T00:17:15.8Z,1,REGULAR,foul,personal,[],1628964,,,1610612756,2,14,2022-03-09T00:17:24Z,390000,,,0,,M. Bamba personal FOUL (1 PF),"[1628964, 1629028]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Ayton,1629028.0,,,,,
41,PT08M24.00S,2022-03-09T00:17:40.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,3.1044678055190538,95.09803921568627,1610612756,2,14,2022-03-09T00:17:45Z,410000,-225.0,-23.0,1,left,MISS J. Crowder pullup 3PT,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M21.00S,2022-03-09T00:17:43.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,14,2022-03-09T00:17:45Z,420000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
43,PT08M14.00S,2022-03-09T00:17:50.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628976,85.62746386333771,41.66666666666667,1610612753,4,14,2022-03-09T00:17:54Z,430000,-42.0,83.0,1,right,W. Carter Jr. 9' turnaround Hook (2 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,9.25,Made,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,,
45,PT08M00.00S,2022-03-09T00:18:04.6Z,1,REGULAR,3pt,Jump Shot,[],1626166,30.436925098554536,73.2843137254902,1610612756,4,14,2022-03-09T00:18:08Z,450000,-116.0,234.0,1,left,MISS C. Payne 26' 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M58.00S,2022-03-09T00:18:06.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,14,2022-03-09T00:18:08Z,460000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M50.00S,2022-03-09T00:18:16.8Z,1,REGULAR,turnover,out-of-bounds,[],1630181,,,1610612753,4,14,2022-03-09T00:18:22Z,470000,,,0,,R. Hampton bad pass out-of-bounds TURNOVER (1 TO),[1630181],1610612753.0,ORL,bad pass,,,Hampton,R. Hampton,,,,,,,,,,,,,,,1.0,101284.0,,,,,,,,,
48,PT07M40.00S,2022-03-09T00:18:34.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626166,17.95335085413929,54.41176470588235,1610612756,4,14,2022-03-09T00:18:39Z,480000,-22.0,116.0,1,left,MISS C. Payne 11' driving floating Shot,[1626166],1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M36.00S,2022-03-09T00:18:38.1Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,4,14,2022-03-09T00:18:39Z,490000,,,0,,M. Bamba REBOUND (Off:0 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,48.0,4.0,4.0,0.0,,,,,,,,,,,
50,PT07M29.00S,2022-03-09T00:18:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,91.93495400788436,44.11764705882353,1610612753,4,14,2022-03-09T00:18:51Z,500000,-29.0,23.0,1,right,MISS W. Carter Jr. driving Layup,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M25.00S,2022-03-09T00:18:49.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,4,14,2022-03-09T00:18:51Z,510000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,50.0,2.0,1.0,1.0,,,,,,,,,,,
52,PT07M25.00S,2022-03-09T00:18:48.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,94.40999984741211,50.0,1610612753,6,14,2022-03-09T00:18:48Z,520000,0.0,0.0,1,right,W. Carter Jr. tip Layup (4 PTS),[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
53,PT07M16.00S,2022-03-09T00:18:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,14.011169513797633,42.8921568627451,1610612756,6,14,2022-03-09T00:19:02Z,530000,36.0,79.0,1,left,MISS L. Shamet 8' pullup Shot,[1629013],1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,8.68,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M13.00S,2022-03-09T00:19:00.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,14,2022-03-09T00:19:02Z,540000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,
55,PT07M09.00S,2022-03-09T00:19:05.0Z,1,REGULAR,2pt,Jump Shot,[],1630175,76.2976346911958,61.51960784313726,1610612753,6,14,2022-03-09T00:19:11Z,550000,58.0,170.0,1,right,MISS C. Anthony 17' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,17.98,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2022-03-09T00:19:08.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,6,14,2022-03-09T00:19:08Z,560000,,,0,,M. Bamba REBOUND (Off:1 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,55.0,5.0,4.0,1.0,,,,,,,,,,,
57,PT07M04.00S,2022-03-09T00:19:10.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628964,88.25558475689881,56.61764705882353,1610612753,8,14,2022-03-09T00:19:15Z,570000,33.0,58.0,1,right,M. Bamba 6' Hook (4 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,6.67,Made,4.0,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2022-03-09T00:19:26.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,2.578843626806833,95.34313725490196,1610612756,8,14,2022-03-09T00:19:41Z,580000,-227.0,-28.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,22.85,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2022-03-09T00:19:28.0Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,14,2022-03-09T00:19:41Z,590000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,
60,PT06M36.00S,2022-03-09T00:19:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,92.9862023653088,44.85294117647059,1610612753,10,14,2022-03-09T00:19:49Z,600000,-26.0,13.0,1,right,W. Carter Jr. driving Layup (6 PTS),[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,2.9,Made,6.0,,,,,,,,,,,,,,,,,,
61,PT06M26.00S,2022-03-09T00:19:49.2Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612756,10,14,2022-03-09T00:19:56Z,610000,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612756.0,PHX,bad pass,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1.0,101284.0,,,,,,,,,
62,PT06M10.00S,2022-03-09T00:20:25.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630532,89.30683311432325,42.40196078431372,1610612753,12,14,2022-03-09T00:20:29Z,620000,-38.0,48.0,1,right,F. Wagner 6' driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,6.12,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT05M49.00S,2022-03-09T00:20:45.4Z,1,REGULAR,3pt,Jump Shot,[],203109,28.465834428383708,23.774509803921568,1610612756,12,14,2022-03-09T00:20:51Z,630000,131.0,215.0,1,left,MISS J. Crowder 25' step back 3PT,[203109],1610612756.0,PHX,step back,,,Crowder,J. Crowder,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M46.00S,2022-03-09T00:20:48.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,14,2022-03-09T00:20:51Z,640000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,63.0,4.0,3.0,1.0,,,,,,,,,,,
65,PT05M33.00S,2022-03-09T00:21:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,69.20170827858082,21.323529411764707,1610612753,12,14,2022-03-09T00:21:06Z,650000,-143.0,237.0,1,right,MISS F. Wagner 27' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,27.7,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M30.00S,2022-03-09T00:21:04.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,12,14,2022-03-09T00:21:06Z,660000,,,0,,J. Crowder REBOUND (Off:0 Def:5),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,65.0,5.0,5.0,0.0,,,,,,,,,,,
67,PT05M24.00S,2022-03-09T00:21:10.1Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",1629028,6.389618922470433,56.86274509803921,1610612756,12,14,2022-03-09T00:21:48Z,670000,-34.0,8.0,1,left,MISS D. Ayton Hook,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,3.51,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M22.00S,2022-03-09T00:21:12.1Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,12,14,2022-03-09T00:21:18Z,680000,,,0,,M. Bamba REBOUND (Off:1 Def:5),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,67.0,6.0,5.0,1.0,,,,,,,,,,,
69,PT05M14.00S,2022-03-09T00:21:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,89.96386333771353,50.0,1610612753,14,14,2022-03-09T00:21:26Z,690000,0.0,42.0,1,right,R. Hampton driving Layup (2 PTS),[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,4.18,Made,2.0,,,,,,,,,,,,,,,,,,
70,PT04M54.00S,2022-03-09T00:21:40.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,23.73521681997372,58.08823529411765,1610612756,14,14,2022-03-09T00:21:44Z,700000,-40.0,171.0,1,left,MISS D. Ayton 17' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,17.53,Missed,,,,,,,,,,,,,,,,,,,
71,PT04M52.00S,2022-03-09T00:21:42.1Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,14,14,2022-03-09T00:21:44Z,710000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,
72,PT04M45.00S,2022-03-09T00:21:49.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,66.5735873850197,46.32352941176471,1610612753,17,14,2022-03-09T00:21:53Z,720000,-18.0,262.0,1,right,W. Carter Jr. 26' 3PT  (9 PTS) (C. Anthony 2 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.23,Made,9.0,C. Anthony,1630175.0,2.0,,,,,,,,,,,,,,,
74,PT04M45.00S,2022-03-09T00:21:55.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,17,14,2022-03-09T00:21:55Z,740000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,out,[],1628964,,,1610612756,17,14,2022-03-09T00:24:45Z,750000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,out,[],1630181,,,1610612756,17,14,2022-03-09T00:24:45Z,760000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,out,[],203109,,,1610612756,17,14,2022-03-09T00:24:45Z,770000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,out,[],1626166,,,1610612756,17,14,2022-03-09T00:24:45Z,780000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,in,[],203914,,,1610612756,17,14,2022-03-09T00:24:45Z,790000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,in,[],1629643,,,1610612756,17,14,2022-03-09T00:24:45Z,800000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,in,[],1628988,,,1610612756,17,14,2022-03-09T00:24:45Z,810000,,,0,,SUB in: A. Holiday,[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M45.00S,2022-03-09T00:21:56.2Z,1,REGULAR,substitution,in,[],1628470,,,1610612756,17,14,2022-03-09T00:24:45Z,820000,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M32.00S,2022-03-09T00:25:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,5.338370565045992,54.41176470588235,1610612756,17,14,2022-03-09T00:25:14Z,840000,-22.0,-2.0,1,left,MISS M. Bridges driving Layup,[1628969],1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M29.00S,2022-03-09T00:25:06.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,17,14,2022-03-09T00:25:06Z,850000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,84.0,5.0,4.0,1.0,,,,,,,,,,,
