actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
35,PT09M11.00S,2022-03-12T00:15:05.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,7,9,2022-03-12T00:15:08Z,350000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,
36,PT09M06.00S,2022-03-12T00:15:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,66.17936925098554,33.088235294117645,1610612750,7,12,2022-03-12T00:15:38Z,360000,-85.0,265.0,1,right,A. Edwards 27' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,27.86,Made,,,,,3.0,,,,,,,,,,
37,PT08M59.00S,2022-03-12T00:15:20.9Z,1,REGULAR,foul,personal,[],201976,,,1610612753,7,12,2022-03-12T00:15:28Z,370000,,,0,,P. Beverley personal FOUL (2 PF),"[201976, 1630175]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,2530.0,2.0,0.0,Anthony,1630175.0,,
39,PT08M53.00S,2022-03-12T00:15:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,13.091327201051248,52.69607843137255,1610612753,7,12,2022-03-12T00:15:53Z,390000,-13.0,71.0,1,left,MISS W. Carter Jr. 7' turnaround Shot,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,,,,7.19,Missed,,,,,,,,,,,,,,,
40,PT08M50.00S,2022-03-12T00:15:43.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,7,12,2022-03-12T00:15:47Z,400000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,
41,PT08M37.00S,2022-03-12T00:15:57.2Z,1,REGULAR,3pt,Jump Shot,[],201976,92.90407358738501,3.944546568627451,1610612750,7,15,2022-03-12T00:16:09Z,410000,-230.0,14.0,1,right,P. Beverley 3PT  (9 PTS) (D. Russell 1 AST),"[201976, 1626156]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,23.07,Made,,,,,9.0,D. Russell,1626156.0,1.0,,,,,,,
43,PT08M17.00S,2022-03-12T00:16:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,14.14257555847569,43.872549019607845,1610612753,9,15,2022-03-12T00:17:32Z,430000,31.0,80.0,1,left,F. Wagner 8' driving floating Jump Shot (4 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,,,,8.6,Made,,,,,4.0,J. Suggs,1630591.0,1.0,,,,,,,
45,PT08M06.00S,2022-03-12T00:16:31.2Z,1,REGULAR,foul,personal,[],1630591,,,1610612750,9,15,2022-03-12T00:16:48Z,450000,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1626156]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Russell,1626156.0,,
47,PT07M55.00S,2022-03-12T00:17:02.4Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612750,9,15,2022-03-12T00:18:20Z,470000,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1630591]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,1.0,Suggs,1630591.0,,,,,,,,,,,,,,,,,
48,PT07M55.00S,2022-03-12T00:17:02.4Z,1,REGULAR,steal,,[],1630591,,,1610612753,9,15,2022-03-12T00:37:34Z,480000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
