actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
25,PT09M32.00S,2022-02-17T00:14:40.9Z,1,REGULAR,2pt,Jump Shot,[],1628989,86.28449408672799,26.225490196078432,1610612737,6,5,2022-02-17T00:14:47Z,250000,-119.0,76.0,1,right,MISS K. Huerter 14' Jump Shot - blocked,"[1628989, 1630175]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,14.13,Missed,,,,,,,,,Anthony,1630175.0,,,,,,,,
26,PT09M32.00S,2022-02-17T00:14:40.9Z,1,REGULAR,block,,[],1630175,,,1610612737,6,5,2022-02-17T00:14:45Z,260000,,,0,,C. Anthony BLOCK (1 BLK),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M27.00S,2022-02-17T00:14:45.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,5,2022-02-17T00:14:47Z,270000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M25.00S,2022-02-17T00:14:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.488173455978973,47.549019607843135,1610612753,9,5,2022-02-17T00:14:59Z,280000,12.0,243.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (C. Anthony 2 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,24.38,Made,3.0,C. Anthony,1630175.0,2.0,,,,,,,,,,,,,,
30,PT09M12.00S,2022-02-17T00:15:00.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,69.99014454664915,74.50980392156863,1610612737,9,8,2022-02-17T00:15:07Z,300000,123.0,230.0,1,right,T. Young 26' 3PT pullup (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,26.02,Made,6.0,,,,,,,,,,,,,,,,,
31,PT09M03.00S,2022-02-17T00:15:09.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,10.988830486202366,55.392156862745104,1610612753,9,8,2022-02-17T00:15:22Z,310000,-27.0,51.0,1,left,MISS J. Suggs running pullup Shot,[1630591],1610612753.0,ORL,running pullup,,,Suggs,J. Suggs,,,,,5.75,Missed,,,,,,,,,,,,,,,,,,
32,PT09M03.00S,2022-02-17T00:15:09.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,9,8,2022-02-17T00:15:22Z,320000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,
33,PT09M03.00S,2022-02-17T00:15:17.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,9,8,2022-02-17T00:15:17Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M41.00S,2022-02-17T00:15:41.0Z,1,REGULAR,3pt,Jump Shot,[],201568,63.81406044678055,29.166666666666668,1610612737,9,8,2022-02-17T00:15:46Z,340000,-104.0,288.0,1,right,MISS D. Gallinari 30' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,30.59,Missed,,,,,,,,,,,,,,,,,,
35,PT08M38.00S,2022-02-17T00:15:44.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,9,8,2022-02-17T00:15:46Z,350000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M31.00S,2022-02-17T00:15:50.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630175,9.674770039421814,50.73529411764706,1610612753,11,8,2022-02-17T00:15:57Z,360000,-4.0,38.0,1,left,C. Anthony driving floating Jump Shot (6 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,3.86,Made,6.0,,,,,,,,,,,,,,,,,
37,PT08M18.00S,2022-02-17T00:16:03.1Z,1,REGULAR,2pt,Jump Shot,[],1628989,78.66294349540078,51.225490196078425,1610612737,11,10,2022-02-17T00:16:07Z,370000,6.0,148.0,1,right,K. Huerter 14' pullup Jump Shot (2 PTS),[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,14.82,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M10.00S,2022-02-17T00:16:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,7.30946123521682,54.90196078431373,1610612753,11,10,2022-02-17T00:16:20Z,380000,-25.0,16.0,1,left,MISS J. Suggs running Layup - blocked,"[1630591, 203991]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,2.94,Missed,,,,,,,,,Capela,203991.0,,,,,,,,
39,PT08M10.00S,2022-02-17T00:16:11.9Z,1,REGULAR,block,,[],203991,,,1610612753,11,10,2022-02-17T00:16:14Z,390000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M06.00S,2022-02-17T00:16:15.9Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,11,10,2022-02-17T00:16:20Z,400000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
41,PT08M06.00S,2022-02-17T00:16:21.2Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612737,11,10,2022-02-17T00:16:34Z,410000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Hunter 2 FT),"[1628976, 1629631]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Hunter,1629631.0,,,
43,PT08M06.00S,2022-02-17T00:16:42.2Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,11,11,2022-02-17T00:16:42Z,430000,,,0,,D. Hunter Free Throw 1 of 2 (3 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
44,PT08M06.00S,2022-02-17T00:16:57.9Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,11,12,2022-02-17T00:16:57Z,440000,,,0,,D. Hunter Free Throw 2 of 2 (4 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2022-02-17T00:17:13.7Z,1,REGULAR,foul,personal,[],1628989,,,1610612753,11,12,2022-02-17T00:17:31Z,450000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 1630175]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Anthony,1630175.0,,,
47,PT07M52.00S,2022-02-17T00:17:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630175,19.66162943495401,89.95098039215686,1610612753,11,12,2022-02-17T00:17:38Z,470000,-200.0,132.0,1,left,MISS C. Anthony 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,23.96,Missed,,,,,,,,,,,,,,,,,,
48,PT07M50.00S,2022-02-17T00:17:36.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,12,2022-02-17T00:17:38Z,480000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,
49,PT07M45.00S,2022-02-17T00:17:43.7Z,1,REGULAR,foul,offensive,[],201568,,,1610612737,11,12,2022-02-17T00:17:58Z,490000,,,0,,D. Gallinari off-the-ball offensive FOUL (1 PF),"[201568, 1630532]",1610612737.0,ATL,off-the-ball,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Wagner,1630532.0,,,
51,PT07M45.00S,2022-02-17T00:17:43.7Z,1,REGULAR,turnover,offensive foul,[],201568,,,1610612737,11,12,2022-02-17T00:17:43Z,510000,,,0,,D. Gallinari offensive foul TURNOVER (1 TO),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,1627529.0,,,,,1.0,,
52,PT07M34.00S,2022-02-17T00:18:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628964,8.09789750328515,48.77450980392157,1610612753,13,12,2022-02-17T00:28:04Z,520000,6.0,24.0,1,left,M. Bamba Layup (2 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,2.44,Made,2.0,,,,,,,,,,,,,,,,,
54,PT07M21.00S,2022-02-17T00:18:21.3Z,1,REGULAR,foul,personal,[],1628964,,,1610612737,13,12,2022-02-17T00:20:17Z,540000,,,0,,M. Bamba personal FOUL (1 PF),"[1628964, 201568]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Gallinari,201568.0,,,
70,PT07M12.00S,2022-02-17T00:18:45.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,13,12,2022-02-17T00:21:04Z,565000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2022-02-17T00:19:09.4Z,1,REGULAR,3pt,Jump Shot,[],201568,67.09921156373193,74.75490196078431,1610612737,13,15,2022-02-17T00:19:14Z,580000,124.0,257.0,1,right,D. Gallinari 28' 3PT  (3 PTS) (T. Young 1 AST),"[201568, 1629027]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,28.51,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
60,PT06M55.00S,2022-02-17T00:19:21.2Z,1,REGULAR,3pt,Jump Shot,[],1630591,32.802233902759525,49.26470588235294,1610612753,13,15,2022-02-17T00:19:32Z,600000,4.0,256.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2022-02-17T00:19:26.6Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,13,15,2022-02-17T00:19:26Z,610000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,
62,PT06M37.00S,2022-02-17T00:19:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,7.178055190538765,50.49019607843137,1610612753,15,15,2022-02-17T00:19:44Z,620000,-2.0,15.0,1,left,F. Wagner cutting Layup (4 PTS) (W. Carter Jr. 2 AST),"[1630532, 1628976]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,1.52,Made,4.0,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,,,,,
64,PT06M24.00S,2022-02-17T00:19:50.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,75.77201051248358,87.74509803921569,1610612737,15,18,2022-02-17T00:22:11Z,640000,189.0,175.0,1,right,T. Young 25' 3PT pullup (9 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,25.75,Made,9.0,,,,,,,,,,,,,,,,,
65,PT06M17.00S,2022-02-17T00:19:58.4Z,1,REGULAR,3pt,Jump Shot,[],1628964,31.09395532194481,32.1078431372549,1610612753,15,18,2022-02-17T00:20:03Z,650000,89.0,240.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2022-02-17T00:20:02.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,15,18,2022-02-17T00:20:03Z,660000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M12.00S,2022-02-17T00:20:06.3Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612737,15,18,2022-02-17T00:20:21Z,670000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Young 2 FT),"[1630175, 1629027]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Young,1629027.0,,,
69,PT06M12.00S,2022-02-17T00:20:29.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,15,18,2022-02-17T00:20:29Z,690000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,out,[],1628964,,,1610612737,15,18,2022-02-17T00:23:07Z,700000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,out,[],1630591,,,1610612737,15,18,2022-02-17T00:23:07Z,710000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,out,[],201568,,,1610612737,15,18,2022-02-17T00:23:07Z,720000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,in,[],203914,,,1610612737,15,18,2022-02-17T00:23:07Z,730000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,in,[],1629643,,,1610612737,15,18,2022-02-17T00:23:07Z,740000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M12.00S,2022-02-17T00:21:13.3Z,1,REGULAR,substitution,in,[],203992,,,1610612737,15,18,2022-02-17T00:23:07Z,750000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2022-02-17T00:23:19.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629027,,,1610612737,15,19,2022-02-17T00:23:19Z,760000,,,0,,T. Young Free Throw 1 of 2 (10 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
78,PT06M12.00S,2022-02-17T00:23:31.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629027,,,1610612737,15,20,2022-02-17T00:23:31Z,770000,,,0,,T. Young Free Throw 2 of 2 (11 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2022-02-17T00:23:51.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,5.863994743758213,50.49019607843137,1610612753,17,20,2022-02-17T00:23:58Z,780000,-2.0,3.0,1,left,W. Carter Jr. cutting Layup (5 PTS) (C. Anthony 3 AST),"[1628976, 1630175]",1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,0.36,Made,5.0,C. Anthony,1630175.0,3.0,,,,,,,,,,,,,,
81,PT05M47.00S,2022-02-17T00:23:58.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,74.32654402102497,83.82352941176471,1610612737,17,20,2022-02-17T00:24:05Z,800000,169.0,189.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,
82,PT05M42.00S,2022-02-17T00:24:04.6Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,17,20,2022-02-17T00:24:04Z,810000,,,0,,D. Hunter REBOUND (Off:1 Def:0),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,81.0,1.0,0.0,1.0,,,,,,,,,,
83,PT05M42.00S,2022-02-17T00:24:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629631,94.40999984741211,50.0,1610612737,17,20,2022-02-17T00:24:04Z,820000,0.0,0.0,1,right,MISS D. Hunter tip Layup,[1629631],1610612737.0,ATL,tip,,,Hunter,D. Hunter,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
84,PT05M41.00S,2022-02-17T00:24:05.6Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,17,20,2022-02-17T00:24:05Z,830000,,,0,,D. Hunter REBOUND (Off:2 Def:0),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,83.0,2.0,0.0,2.0,,,,,,,,,,
85,PT05M35.00S,2022-02-17T00:24:11.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,86.81011826544021,42.40196078431372,1610612737,17,20,2022-02-17T00:24:18Z,840000,-38.0,71.0,1,right,MISS T. Young 8' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,8.1,Missed,,,,,,,,,,,,,,,,,,
86,PT05M33.00S,2022-02-17T00:24:13.3Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,17,20,2022-02-17T00:24:18Z,850000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,85.0,3.0,2.0,1.0,,,,,,,,,,
87,PT05M20.00S,2022-02-17T00:24:31.7Z,1,REGULAR,foul,offensive,[],203914,,,1610612753,17,20,2022-02-17T00:24:48Z,860000,,,0,,G. Harris off-the-ball offensive FOUL (1 PF),"[203914, 1629631]",1610612753.0,ORL,off-the-ball,,,Harris,G. Harris,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Hunter,1629631.0,,,
89,PT05M20.00S,2022-02-17T00:24:31.7Z,1,REGULAR,turnover,offensive foul,[],203914,,,1610612753,17,20,2022-02-17T00:24:48Z,880000,,,0,,G. Harris offensive foul TURNOVER (1 TO),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,202007.0,,,,,1.0,,
90,PT05M04.00S,2022-02-17T00:24:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203992,90.75229960578186,53.92156862745098,1610612737,17,20,2022-02-17T00:25:02Z,890000,20.0,34.0,1,right,MISS B. Bogdanovic driving Layup - blocked,"[203992, 1630532]",1610612737.0,ATL,driving,,,Bogdanovic,B. Bogdanovic,,,,,3.96,Missed,,,,,,,,,Wagner,1630532.0,,,,,,,,
91,PT05M04.00S,2022-02-17T00:24:54.7Z,1,REGULAR,block,,[],1630532,,,1610612737,17,20,2022-02-17T00:24:57Z,900000,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M01.00S,2022-02-17T00:24:57.7Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,17,20,2022-02-17T00:25:02Z,910000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
