actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M50.00S,2022-01-29T00:12:08.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,0,2022-01-29T00:12:13Z,160000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,16.0,,,,,,,,,1.0,1.0,0.0,,,,,,,
18,PT10M33.00S,2022-01-29T00:12:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.440867279894875,53.92156862745098,1610612753,2,0,2022-01-29T00:12:32Z,170000,-20.0,17.0,1,left,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,2.62,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2022-01-29T00:12:28.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,0,2022-01-29T00:12:32Z,180000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,18.0,,,,,,,,,1.0,1.0,0.0,,,,,,,
20,PT10M24.00S,2022-01-29T00:12:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,80.76544021024968,57.59803921568627,1610612765,2,0,2022-01-29T00:13:52Z,190000,38.0,128.0,1,right,MISS C. Cunningham 13' turnaround fadeaway Shot,[1630595],1610612765.0,DET,turnaround fadeaway,,,Cunningham,C. Cunningham,,,,,13.38,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2022-01-29T00:12:41.9Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,2,0,2022-01-29T00:12:43Z,200000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,20.0,,,,,,,,,2.0,1.0,1.0,,,,,,,
22,PT10M18.00S,2022-01-29T00:12:41.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630191,94.40999984741211,50.0,1610612765,2,0,2022-01-29T00:14:23Z,210000,0.0,0.0,1,right,MISS I. Stewart tip Layup,[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2022-01-29T00:12:43.0Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,2,0,2022-01-29T00:14:43Z,220000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,22.0,,,,,,,,,1.0,1.0,0.0,,,,,,,
26,PT10M13.00S,2022-01-29T00:12:49.8Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,2,0,2022-01-29T00:13:00Z,250000,,,0,,F. Wagner bad pass out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,bad pass,,,Wagner,F. Wagner,,,,,,,,1627964.0,1.0,,,,,,,,,,,,,,,,
27,PT10M01.00S,2022-01-29T00:13:05.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628977,87.46714848883047,95.83333333333334,1610612765,2,3,2022-01-29T00:13:14Z,260000,229.0,65.0,1,right,H. Diallo 3PT  (3 PTS) (C. Cunningham 1 AST),"[1628977, 1630595]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,23.83,Made,,,,,,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,
29,PT09M40.00S,2022-01-29T00:13:30.0Z,1,REGULAR,foul,personal,[],1628977,,,1610612753,2,3,2022-01-29T00:13:50Z,280000,,,0,,H. Diallo personal FOUL (1 PF),"[1628977, 1630532]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,1627964.0,,,,,,,,,,,1.0,0.0,Wagner,1630532.0,,,
31,PT09M33.00S,2022-01-29T00:13:56.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,2,3,2022-01-29T00:13:56Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M27.00S,2022-01-29T00:14:15.5Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612753,2,3,2022-01-29T00:14:24Z,310000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630595, 1630532]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,,,,1627964.0,,,,,,,,,,,1.0,0.0,Wagner,1630532.0,,,
34,PT09M27.00S,2022-01-29T00:14:39.2Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,3,3,2022-01-29T00:14:39Z,330000,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,,,,,,3.0,,,,,,,,,,,,,
35,PT09M27.00S,2022-01-29T00:14:56.7Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,4,3,2022-01-29T00:14:56Z,340000,,,0,,F. Wagner Free Throw 2 of 2 (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,Made,,,,,,4.0,,,,,,,,,,,,,
36,PT09M12.00S,2022-01-29T00:15:12.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,74.32654402102497,72.05882352941177,1610612765,4,3,2022-01-29T00:15:20Z,350000,110.0,189.0,1,right,MISS C. Cunningham 21' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,21.87,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M09.00S,2022-01-29T00:15:15.5Z,1,REGULAR,rebound,offensive,[],202709,,,1610612765,4,3,2022-01-29T00:15:20Z,360000,,,0,,C. Joseph REBOUND (Off:1 Def:0),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,36.0,,,,,,,,,1.0,0.0,1.0,,,,,,,
38,PT08M58.00S,2022-01-29T00:15:26.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630180,80.89684625492772,4.901960784313726,1610612765,4,6,2022-01-29T00:15:32Z,370000,-225.0,127.0,1,right,S. Bey 25' 3PT  (3 PTS) (C. Cunningham 2 AST),"[1630180, 1630595]",1610612765.0,DET,,,,Bey,S. Bey,,,,,25.89,Made,,,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,
40,PT08M45.00S,2022-01-29T00:15:41.5Z,1,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612753,4,6,2022-01-29T00:15:49Z,390000,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (1 TO),[1630175],1610612753.0,ORL,bad pass,,,Anthony,C. Anthony,,,,,,,,202041.0,1.0,,,,,,,,,,,,,,,,
41,PT08M29.00S,2022-01-29T00:16:04.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630595,90.22667542706965,1.9607843137254901,1610612765,4,6,2022-01-29T00:16:11Z,400000,-240.0,39.0,1,right,MISS C. Cunningham 24' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,24.34,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2022-01-29T00:16:07.0Z,1,REGULAR,rebound,offensive,[],1628977,,,1610612765,4,6,2022-01-29T00:16:11Z,410000,,,0,,H. Diallo REBOUND (Off:1 Def:0),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,41.0,,,,,,,,,1.0,0.0,1.0,,,,,,,
43,PT08M24.00S,2022-01-29T00:16:08.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630595,93.24901445466492,50.73529411764706,1610612765,4,6,2022-01-29T00:20:40Z,420000,4.0,11.0,1,right,MISS C. Cunningham reverse Layup,[1630595],1610612765.0,DET,reverse,,,Cunningham,C. Cunningham,,,,,1.16,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M24.00S,2022-01-29T00:16:08.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,6,2022-01-29T00:16:18Z,430000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,43.0,,,,,,,,,2.0,2.0,0.0,,,,,,,
45,PT08M13.00S,2022-01-29T00:16:19.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,14.668199737187912,50.245098039215684,1610612753,6,6,2022-01-29T00:16:25Z,440000,-1.0,85.0,1,left,C. Anthony 8' driving floating Jump Shot (2 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,8.54,Made,,,,,,2.0,,,,,,,,,,,,,
46,PT07M58.00S,2022-01-29T00:16:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,90.75229960578186,47.549019607843135,1610612765,6,6,2022-01-29T00:17:51Z,450000,-12.0,34.0,1,right,MISS S. Bey driving finger roll Layup,[1630180],1610612765.0,DET,driving finger roll,,,Bey,S. Bey,,,,,3.65,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2022-01-29T00:16:37.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,6,2022-01-29T00:16:42Z,460000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,46.0,,,,,,,,,2.0,2.0,0.0,,,,,,,
48,PT07M50.00S,2022-01-29T00:16:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,9.411957950065702,51.470588235294116,1610612753,8,6,2022-01-29T00:16:48Z,470000,-7.0,36.0,1,left,J. Suggs running Layup (2 PTS) (C. Anthony 1 AST),"[1630591, 1630175]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,3.68,Made,,,,,,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,,
50,PT07M31.00S,2022-01-29T00:17:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,67.23061760840999,32.35294117647059,1610612765,8,6,2022-01-29T00:17:05Z,490000,-88.0,256.0,1,right,MISS S. Bey 27' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,27.03,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2022-01-29T00:17:03.9Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,6,2022-01-29T00:17:05Z,500000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,50.0,,,,,,,,,1.0,1.0,0.0,,,,,,,
52,PT07M24.00S,2022-01-29T00:17:09.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630591,6.389618922470433,56.372549019607845,1610612753,10,6,2022-01-29T00:17:25Z,510000,-32.0,8.0,1,left,J. Suggs running Jump Shot (4 PTS) (W. Carter Jr. 1 AST),"[1630591, 1628976]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,3.28,Made,,,,,,4.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,
54,PT07M09.00S,2022-01-29T00:17:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,92.46057818659659,51.71568627450981,1610612765,10,6,2022-01-29T00:17:29Z,530000,9.0,18.0,1,right,MISS C. Cunningham driving Layup - blocked,"[1630595, 1628964]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,2.03,Missed,,,,,,,,,,,,,,,,,Bamba,1628964.0,
55,PT07M09.00S,2022-01-29T00:17:23.1Z,1,REGULAR,block,,[],1628964,,,1610612765,10,6,2022-01-29T00:17:26Z,540000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M09.00S,2022-01-29T00:17:23.1Z,1,REGULAR,rebound,offensive,[],202709,,,1610612765,10,6,2022-01-29T00:17:29Z,550000,,,0,,C. Joseph REBOUND (Off:2 Def:0),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,54.0,,,,,,,,,2.0,0.0,2.0,,,,,,,
57,PT07M03.00S,2022-01-29T00:17:29.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202709,92.85479632063075,51.9607843137255,1610612765,10,8,2022-01-29T00:17:34Z,560000,10.0,15.0,1,right,C. Joseph driving Layup (2 PTS),[202709],1610612765.0,DET,driving,,,Joseph,C. Joseph,,,,,1.77,Made,,,,,,2.0,,,,,,,,,,,,,
58,PT06M57.00S,2022-01-29T00:17:36.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,5.075558475689881,48.77450980392157,1610612753,12,8,2022-01-29T00:20:47Z,570000,6.0,-5.0,1,left,F. Wagner cutting DUNK (6 PTS) (J. Suggs 2 AST),"[1630532, 1630591]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,0.78,Made,,,,,,6.0,J. Suggs,1630591.0,2.0,,,,,,,,,,
60,PT06M57.00S,2022-01-29T00:17:46.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612765,12,8,2022-01-29T00:17:46Z,590000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M57.00S,2022-01-29T00:18:44.6Z,1,REGULAR,substitution,out,[],1630591,,,1610612765,12,8,2022-01-29T00:20:28Z,600000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M57.00S,2022-01-29T00:18:44.6Z,1,REGULAR,substitution,in,[],203914,,,1610612765,12,8,2022-01-29T00:20:28Z,610000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2022-01-29T00:20:59.3Z,1,REGULAR,turnover,traveling,[],1628977,,,1610612765,12,8,2022-01-29T00:21:10Z,620000,,,0,,H. Diallo traveling TURNOVER (1 TO),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,1628951.0,1.0,,,,,,,,,,,,,,,,
64,PT06M17.00S,2022-01-29T00:21:28.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203914,23.340998685939553,40.931372549019606,1610612753,12,8,2022-01-29T00:21:33Z,630000,45.0,167.0,1,left,MISS G. Harris 17' step back Shot,[203914],1610612753.0,ORL,step back,,,Harris,G. Harris,,,,,17.29,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M14.00S,2022-01-29T00:21:31.0Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,12,8,2022-01-29T00:21:33Z,640000,,,0,,C. Joseph REBOUND (Off:2 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,64.0,,,,,,,,,3.0,1.0,2.0,,,,,,,
66,PT06M06.00S,2022-01-29T00:21:39.4Z,1,REGULAR,3pt,Jump Shot,[],1630595,65.69275624178712,39.85906862745098,1610612765,12,8,2022-01-29T00:22:10Z,650000,-51.0,270.0,1,right,MISS C. Cunningham 27' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2022-01-29T00:21:40.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,12,8,2022-01-29T00:21:49Z,660000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,
68,PT06M05.00S,2022-01-29T00:21:45.7Z,1,REGULAR,foul,personal,[],1630191,,,1610612753,12,8,2022-01-29T00:22:06Z,670000,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 1628976]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,,,,1627964.0,,,,,,,,,,,1.0,0.0,Carter Jr.,1628976.0,,,
70,PT05M52.00S,2022-01-29T00:22:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,26.757555847568987,19.362745098039216,1610612753,15,8,2022-01-29T00:22:20Z,690000,153.0,199.0,1,left,F. Wagner 25' 3PT  (9 PTS) (W. Carter Jr. 2 AST),"[1630532, 1628976]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,25.11,Made,,,,,,9.0,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,
72,PT05M49.00S,2022-01-29T00:22:21.9Z,1,REGULAR,turnover,out-of-bounds,[],1628977,,,1610612765,15,8,2022-01-29T00:22:32Z,710000,,,0,,H. Diallo bad pass out-of-bounds TURNOVER (2 TO),[1628977],1610612765.0,DET,bad pass,,,Diallo,H. Diallo,,,,,,,,1627964.0,2.0,,,,,,,,,,,,,,,,
73,PT05M46.00S,2022-01-29T00:22:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,7.703679369250986,46.32352941176471,1610612753,17,8,2022-01-29T00:22:49Z,720000,18.0,20.0,1,left,F. Wagner cutting finger roll Layup (11 PTS) (C. Anthony 2 AST),"[1630532, 1630175]",1610612753.0,ORL,cutting finger roll,,,Wagner,F. Wagner,,,,,2.71,Made,,,,,,11.0,C. Anthony,1630175.0,2.0,,,,,,,,,,
75,PT05M32.00S,2022-01-29T00:22:54.5Z,1,REGULAR,2pt,Jump Shot,[],1628977,78.53153745072274,45.34313725490196,1610612765,17,8,2022-01-29T00:23:00Z,740000,-23.0,149.0,1,right,MISS H. Diallo 15' Jump Shot,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,15.11,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2022-01-29T00:22:59.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,17,8,2022-01-29T00:23:00Z,750000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,75.0,,,,,,,,,3.0,3.0,0.0,,,,,,,
77,PT05M20.00S,2022-01-29T00:23:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,7.178055190538765,49.50980392156863,1610612753,17,8,2022-01-29T00:23:10Z,760000,2.0,15.0,1,left,MISS W. Carter Jr. Layup,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M18.00S,2022-01-29T00:23:07.4Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,17,8,2022-01-29T00:23:07Z,770000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,77.0,,,,,,,,,3.0,2.0,1.0,,,,,,,
79,PT05M17.00S,2022-01-29T00:23:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,7.30946123521682,49.50980392156863,1610612753,17,8,2022-01-29T00:23:16Z,780000,2.0,16.0,1,left,MISS W. Carter Jr. putback Layup - blocked,"[1628976, 1630191]",1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,1.64,Missed,,,,,,,,,,,,,,,,,Stewart,1630191.0,
80,PT05M17.00S,2022-01-29T00:23:08.1Z,1,REGULAR,block,,[],1630191,,,1610612753,17,8,2022-01-29T00:23:11Z,790000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M17.00S,2022-01-29T00:23:08.1Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,17,8,2022-01-29T00:29:31Z,800000,,,0,,H. Diallo REBOUND (Off:1 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,79.0,,,,,,,,,2.0,1.0,1.0,,,,,,,
82,PT05M06.00S,2022-01-29T00:23:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,86.15308804204993,45.09803921568628,1610612765,17,8,2022-01-29T00:23:25Z,810000,-25.0,78.0,1,right,MISS S. Bey 8' driving floating Shot,[1630180],1610612765.0,DET,driving floating,,,Bey,S. Bey,,,,,8.15,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M03.00S,2022-01-29T00:23:23.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,17,8,2022-01-29T00:23:25Z,820000,,,0,,M. Bamba REBOUND (Off:0 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,82.0,,,,,,,,,4.0,4.0,0.0,,,,,,,
84,PT05M01.00S,2022-01-29T00:23:26.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630175,30.56833114323259,72.54901960784314,1610612753,17,8,2022-01-29T00:26:27Z,830000,-113.0,235.0,1,left,MISS C. Anthony 26' running pullup 3PT,[1630175],1610612753.0,ORL,running pullup,,,Anthony,C. Anthony,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M59.00S,2022-01-29T00:23:28.7Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,17,8,2022-01-29T00:26:27Z,840000,,,0,,M. Bamba REBOUND (Off:1 Def:4),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,84.0,,,,,,,,,5.0,4.0,1.0,,,,,,,
86,PT04M59.00S,2022-01-29T00:23:32.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628964,5.590000152587891,50.0,1610612753,19,8,2022-01-29T00:26:34Z,850000,0.0,0.0,1,left,M. Bamba tip DUNK (2 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Made,,,,,,2.0,,,,,,,,,,,,,
87,PT04M36.00S,2022-01-29T00:23:49.3Z,1,REGULAR,2pt,Jump Shot,[],202709,70.38436268068331,58.333333333333336,1610612765,19,8,2022-01-29T00:23:56Z,860000,42.0,226.0,1,right,MISS C. Joseph 22' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,22.97,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M36.00S,2022-01-29T00:23:49.3Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612765,19,8,2022-01-29T00:23:56Z,870000,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,87.0,,,,,,,,,1.0,0.0,1.0,,,,,,,
89,PT04M26.00S,2022-01-29T00:23:59.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628977,71.43561103810775,77.45098039215686,1610612765,19,11,2022-01-29T00:24:05Z,880000,137.0,216.0,1,right,H. Diallo 25' 3PT  (6 PTS) (S. Bey 1 AST),"[1628977, 1630180]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,25.59,Made,,,,,,6.0,S. Bey,1630180.0,1.0,,,,,,,,,,
