actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
72,PT05M53.00S,2022-01-10T02:22:22.0Z,1,REGULAR,steal,,[],203496,,,1610612757,13,9,2022-01-10T02:22:23Z,720000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M49.00S,2022-01-10T02:22:26.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203463,93.24901445466492,95.09803921568627,1610612757,16,9,2022-01-10T02:22:33Z,730000,225.0,11.0,1,right,B. McLemore 3PT running (3 PTS) (N. Little 2 AST),"[203463, 1629642]",1610612757.0,POR,running,,,McLemore,B. McLemore,,,,,,,,,,,22.58,Made,,,,,3.0,N. Little,1629642.0,2.0,,,,,
75,PT05M41.00S,2022-01-10T02:22:34.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,33.85348226018397,16.666666666666664,1610612758,16,9,2022-01-10T02:25:17Z,750000,167.0,266.0,1,left,MISS B. Hield 31' running 3PT,[1627741],1610612758.0,SAC,running,,,Hield,B. Hield,,,,,,,,,,,31.37,Missed,,,,,,,,,,,,,
76,PT05M38.00S,2022-01-10T02:22:37.0Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,16,9,2022-01-10T02:22:37Z,760000,,,0,,H. Barnes REBOUND (Off:1 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,
77,PT05M32.00S,2022-01-10T02:22:43.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628368,25.312089356110377,49.754901960784316,1610612758,16,9,2022-01-10T02:22:47Z,770000,1.0,185.0,1,left,MISS D. Fox 18' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,,,,,,,18.54,Missed,,,,,,,,,,,,,
78,PT05M29.00S,2022-01-10T02:22:46.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,16,9,2022-01-10T02:22:47Z,780000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,
79,PT05M20.00S,2022-01-10T02:22:55.6Z,1,REGULAR,3pt,Jump Shot,[],203463,89.43823915900131,95.34313725490196,1610612757,16,9,2022-01-10T02:22:59Z,790000,227.0,47.0,1,right,MISS B. McLemore 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,23.15,Missed,,,,,,,,,,,,,
80,PT05M17.00S,2022-01-10T02:22:58.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,16,9,2022-01-10T02:22:59Z,800000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,
81,PT05M10.00S,2022-01-10T02:23:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,19.136005256241788,35.53921568627451,1610612758,16,11,2022-01-10T02:23:09Z,810000,72.0,127.0,1,left,B. Hield 14' step back Jump Shot (2 PTS),[1627741],1610612758.0,SAC,step back,,,Hield,B. Hield,,,,,,,,,,,14.65,Made,,,,,2.0,,,,,,,,
82,PT04M53.00S,2022-01-10T02:23:25.3Z,1,REGULAR,foul,offensive,[],1629014,,,1610612757,16,11,2022-01-10T02:23:41Z,820000,,,0,,A. Simons offensive FOUL (1 PF),"[1629014, 1628368]",1610612757.0,POR,,,,Simons,A. Simons,,,,,1627963.0,,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,,,
84,PT04M53.00S,2022-01-10T02:23:25.3Z,1,REGULAR,turnover,offensive foul,[],1629014,,,1610612757,16,11,2022-01-10T02:23:25Z,840000,,,0,,A. Simons offensive foul TURNOVER (2 TO),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,1627963.0,2.0,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2022-01-10T02:23:50.3Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,16,11,2022-01-10T02:23:53Z,850000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 203994]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,1.0,,,,,,,,,,,,,,,,,Nurkic,203994.0,
86,PT04M43.00S,2022-01-10T02:23:50.3Z,1,REGULAR,steal,,[],203994,,,1610612757,16,11,2022-01-10T02:23:51Z,860000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2022-01-10T02:24:02.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203994,70.38436268068331,16.42156862745098,1610612757,16,11,2022-01-10T02:24:06Z,870000,-168.0,226.0,1,right,MISS J. Nurkic 28' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,28.15,Missed,,,,,,,,,,,,,
