actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
17,PT10M58.00S,2021-12-05T03:12:56.2Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612757,0,2,2021-12-05T03:13:03Z,170000,,,0,,M. Smart shooting personal FOUL (1 PF) (Nurkic 2 FT),"[203935, 203994]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1179.0,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
19,PT10M58.00S,2021-12-05T03:13:15.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203994,,,1610612757,1,2,2021-12-05T03:13:15Z,190000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
20,PT10M58.00S,2021-12-05T03:13:36.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203994,,,1610612757,2,2,2021-12-05T03:13:36Z,200000,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
21,PT10M48.00S,2021-12-05T03:13:51.8Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612738,2,2,2021-12-05T03:14:28Z,210000,,,0,,D. Schroder bad pass out-of-bounds TURNOVER (1 TO),[203471],1610612738.0,BOS,bad pass,,,Schroder,D. Schroder,,,,,1179.0,1.0,,,,,,,,,,,,,,,,,,,
22,PT10M45.00S,2021-12-05T03:14:05.0Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612757,2,2,2021-12-05T03:14:13Z,220000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Powell 2 FT),"[1628369, 1626181]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,201246.0,,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,
24,PT10M45.00S,2021-12-05T03:14:21.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626181,,,1610612757,3,2,2021-12-05T03:14:21Z,240000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
25,PT10M45.00S,2021-12-05T03:14:38.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626181,,,1610612757,4,2,2021-12-05T03:14:38Z,250000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
26,PT10M32.00S,2021-12-05T03:14:54.5Z,1,REGULAR,foul,personal,['2freethrow'],1628372,,,1610612738,4,2,2021-12-05T03:15:05Z,260000,,,0,,D. Smith Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628372, 1628369]",1610612757.0,POR,shooting,,,Smith Jr.,D. Smith Jr.,,,,,202901.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
28,PT10M32.00S,2021-12-05T03:15:19.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,4,3,2021-12-05T03:15:19Z,280000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
29,PT10M32.00S,2021-12-05T03:15:32.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,4,4,2021-12-05T03:15:32Z,290000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
30,PT10M24.00S,2021-12-05T03:15:41.7Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612757,4,4,2021-12-05T03:15:53Z,300000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Smith Jr. 2 FT),"[1629057, 1628372]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,202901.0,,2.0,0.0,Smith Jr.,1628372.0,,,,,,,,,,,,,,,
32,PT10M24.00S,2021-12-05T03:16:09.7Z,1,REGULAR,freethrow,1 of 2,[],1628372,,,1610612757,4,4,2021-12-05T03:16:09Z,320000,,,0,,MISS D. Smith Jr. Free Throw 1 of 2,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,
33,PT10M24.00S,2021-12-05T03:16:09.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,4,4,2021-12-05T03:16:09Z,330000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,
34,PT10M24.00S,2021-12-05T03:16:10.6Z,1,REGULAR,substitution,out,[],1629057,,,1610612757,4,4,2021-12-05T03:16:14Z,340000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT10M24.00S,2021-12-05T03:16:10.6Z,1,REGULAR,substitution,in,[],202683,,,1610612757,4,4,2021-12-05T03:16:14Z,350000,,,0,,SUB in: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT10M24.00S,2021-12-05T03:16:28.8Z,1,REGULAR,freethrow,2 of 2,[],1628372,,,1610612757,5,4,2021-12-05T03:16:28Z,360000,,,0,,D. Smith Jr. Free Throw 2 of 2 (1 PTS),[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
37,PT10M12.00S,2021-12-05T03:16:42.0Z,1,REGULAR,3pt,Jump Shot,[],203935,84.70762155059133,93.87254901960785,1610612738,5,7,2021-12-05T03:16:46Z,370000,219.0,91.0,1,right,M. Smart 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,23.76,Made,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,
39,PT09M57.00S,2021-12-05T03:16:56.7Z,1,REGULAR,3pt,Jump Shot,[],203994,31.882391590013142,53.92156862745098,1610612757,5,7,2021-12-05T03:17:01Z,390000,-20.0,247.0,1,left,MISS J. Nurkic 24' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,24.8,Missed,,,,,,,,,,,,,
40,PT09M55.00S,2021-12-05T03:16:58.7Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,5,7,2021-12-05T03:17:01Z,400000,,,0,,E. Freedom REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT09M45.00S,2021-12-05T03:17:09.0Z,1,REGULAR,3pt,Jump Shot,[],203935,88.78120893561103,96.07843137254902,1610612738,5,7,2021-12-05T03:17:16Z,410000,230.0,53.0,1,right,MISS M. Smart step back 3PT,[203935],1610612738.0,BOS,step back,,,Smart,M. Smart,,,,,,,,,,,23.64,Missed,,,,,,,,,,,,,
42,PT09M41.00S,2021-12-05T03:17:13.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,5,7,2021-12-05T03:17:16Z,420000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,
43,PT09M34.00S,2021-12-05T03:17:19.6Z,1,REGULAR,2pt,Jump Shot,[],203994,24.52365308804205,67.8921568627451,1610612757,5,7,2021-12-05T03:17:24Z,430000,-89.0,178.0,1,left,MISS J. Nurkic 19' pullup Shot,[203994],1610612757.0,POR,pullup,,,Nurkic,J. Nurkic,,,,,,,,,,,19.92,Missed,,,,,,,,,,,,,
44,PT09M33.00S,2021-12-05T03:17:20.6Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,5,7,2021-12-05T03:17:24Z,440000,,,0,,E. Freedom REBOUND (Off:0 Def:2),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,
45,PT09M18.00S,2021-12-05T03:17:36.4Z,1,REGULAR,2pt,Jump Shot,[],202683,78.53153745072274,68.87254901960785,1610612738,5,9,2021-12-05T03:17:40Z,450000,94.0,149.0,1,right,E. Freedom 17' Jump Shot (2 PTS) (M. Smart 2 AST),"[202683, 203935]",1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,17.66,Made,,,,,,,2.0,M. Smart,203935.0,2.0,,,
47,PT08M53.00S,2021-12-05T03:18:00.9Z,1,REGULAR,3pt,Jump Shot,[],203496,22.683968462549277,87.99019607843137,1610612757,5,9,2021-12-05T03:18:05Z,470000,-190.0,161.0,1,left,MISS R. Covington 24' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,24.88,Missed,,,,,,,,,,,,,
48,PT08M51.00S,2021-12-05T03:18:02.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,9,2021-12-05T03:18:05Z,480000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,
49,PT08M33.00S,2021-12-05T03:18:24.4Z,1,REGULAR,foul,personal,[],1626181,,,1610612738,5,9,2021-12-05T03:18:30Z,490000,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1628369]",1610612757.0,POR,,,,Powell,N. Powell,,,,,1179.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
51,PT08M21.00S,2021-12-05T03:18:53.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,81.553876478318,92.8921568627451,1610612738,5,12,2021-12-05T03:18:59Z,510000,214.0,121.0,1,right,J. Tatum 24' 3PT step back (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,,24.62,Made,,,,,,,5.0,,,,,,
52,PT08M08.00S,2021-12-05T03:19:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,7.835085413929041,54.166666666666664,1610612757,5,12,2021-12-05T03:19:13Z,520000,-21.0,21.0,1,left,MISS R. Covington driving Layup - blocked,"[203496, 1629684]",1610612757.0,POR,driving,,,Covington,R. Covington,,,,,,,,,,,2.96,Missed,Williams,1629684.0,,,,,,,,,,,
53,PT08M08.00S,2021-12-05T03:19:07.8Z,1,REGULAR,block,,[],1629684,,,1610612757,5,12,2021-12-05T03:19:10Z,530000,,,0,,G. Williams BLOCK (2 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M08.00S,2021-12-05T03:19:07.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,5,12,2021-12-05T03:19:13Z,540000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,
55,PT08M08.00S,2021-12-05T03:19:11.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,5,12,2021-12-05T03:19:11Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M57.00S,2021-12-05T03:19:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,6.1268068331143235,51.71568627450981,1610612757,7,12,2021-12-05T03:19:41Z,560000,-9.0,5.0,1,left,J. Nurkic driving Layup (4 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,,1.0,Made,,,,,,,4.0,,,,,,
57,PT07M53.00S,2021-12-05T03:19:45.2Z,1,REGULAR,foul,personal,[],1628372,,,1610612738,7,12,2021-12-05T03:19:51Z,570000,,,0,,D. Smith Jr. personal FOUL (2 PF),"[1628372, 203471]",1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,202901.0,,2.0,0.0,Schroder,203471.0,,,,,,,,,,,,,,,
59,PT07M47.00S,2021-12-05T03:20:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.30026281208936,51.71568627450981,1610612738,7,14,2021-12-05T03:20:18Z,590000,9.0,1.0,1,right,J. Tatum driving Layup (7 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,,0.87,Made,,,,,,,7.0,,,,,,
60,PT07M47.00S,2021-12-05T03:20:15.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,7,14,2021-12-05T03:20:15Z,600000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M47.00S,2021-12-05T03:21:27.2Z,1,REGULAR,substitution,out,[],1628372,,,1610612757,7,14,2021-12-05T03:23:03Z,610000,,,0,,SUB out: D. Smith Jr.,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M47.00S,2021-12-05T03:21:27.2Z,1,REGULAR,substitution,in,[],203463,,,1610612757,7,14,2021-12-05T03:23:03Z,620000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M29.00S,2021-12-05T03:23:27.4Z,1,REGULAR,2pt,Jump Shot,[],203468,22.683968462549277,76.9607843137255,1610612757,7,14,2021-12-05T03:23:33Z,630000,-135.0,161.0,1,left,MISS C. McCollum 20' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,,20.98,Missed,,,,,,,,,,,,,
64,PT07M26.00S,2021-12-05T03:23:30.4Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,7,14,2021-12-05T03:23:33Z,640000,,,0,,E. Freedom REBOUND (Off:0 Def:3),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,
65,PT07M14.00S,2021-12-05T03:23:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,93.9060446780552,45.83333333333333,1610612738,7,16,2021-12-05T03:23:49Z,650000,-21.0,5.0,1,right,M. Smart driving Layup (5 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,,,,,2.13,Made,,,,,,,5.0,,,,,,
66,PT06M55.00S,2021-12-05T03:24:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,5.732588699080158,52.20588235294118,1610612757,9,16,2021-12-05T03:24:07Z,660000,-11.0,1.0,1,left,J. Nurkic driving Layup (6 PTS) (N. Powell 1 AST),"[203994, 1626181]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,,,,,,,1.11,Made,,,,,,,6.0,N. Powell,1626181.0,1.0,,,
68,PT06M38.00S,2021-12-05T03:24:19.4Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,9,16,2021-12-05T03:24:23Z,680000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203994]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,1.0,,,,,,,,,,,,,,,,,Nurkic,203994.0,
69,PT06M38.00S,2021-12-05T03:24:19.4Z,1,REGULAR,steal,,[],203994,,,1610612757,9,16,2021-12-05T03:24:20Z,690000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2021-12-05T03:24:25.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203468,17.16491458607096,35.049019607843135,1610612757,11,16,2021-12-05T03:24:37Z,700000,75.0,109.0,1,left,C. McCollum 13' running pullup Jump Shot (2 PTS),[203468],1610612757.0,POR,running pullup,,,McCollum,C. McCollum,,,,,,,,,,,13.21,Made,,,,,,,2.0,,,,,,
71,PT06M16.00S,2021-12-05T03:24:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,86.67871222076215,62.5,1610612738,11,18,2021-12-05T03:24:45Z,710000,62.0,73.0,1,right,D. Schroder 9' turnaround fadeaway Jump Shot (2 PTS),[203471],1610612738.0,BOS,turnaround fadeaway,,,Schroder,D. Schroder,,,,,,,,,,,9.59,Made,,,,,,,2.0,,,,,,
72,PT05M59.00S,2021-12-05T03:24:56.8Z,1,REGULAR,3pt,Jump Shot,[],203468,29.517082785808146,69.85294117647058,1610612757,11,18,2021-12-05T03:25:01Z,720000,-99.0,225.0,1,left,MISS C. McCollum 24' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,,24.59,Missed,,,,,,,,,,,,,
73,PT05M57.00S,2021-12-05T03:24:58.8Z,1,REGULAR,rebound,offensive,[],203463,,,1610612757,11,18,2021-12-05T03:25:01Z,730000,,,0,,B. McLemore REBOUND (Off:1 Def:0),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,72.0,1.0,0.0,1.0,,,,,,,
74,PT05M53.00S,2021-12-05T03:25:03.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,29.6484888304862,25.98039215686275,1610612757,11,18,2021-12-05T03:25:18Z,740000,120.0,226.0,1,left,MISS N. Powell 25' pullup 3PT,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,,,,,,,25.61,Missed,,,,,,,,,,,,,
75,PT05M53.00S,2021-12-05T03:25:03.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,11,18,2021-12-05T03:25:18Z,750000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,
76,PT05M53.00S,2021-12-05T03:25:08.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202683,,,1610612757,11,18,2021-12-05T03:25:16Z,760000,,,0,,E. Freedom loose ball personal FOUL (1 PF) (Nurkic 2 FT),"[202683, 203994]",1610612738.0,BOS,loose ball,,,Freedom,E. Freedom,,,,,201246.0,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
78,PT05M53.00S,2021-12-05T03:25:32.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203994,,,1610612757,12,18,2021-12-05T03:25:32Z,780000,,,0,,J. Nurkic Free Throw 1 of 2 (7 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
79,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,out,[],203496,,,1610612757,12,18,2021-12-05T03:25:42Z,790000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612757,12,18,2021-12-05T03:25:42Z,800000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,out,[],203935,,,1610612757,12,18,2021-12-05T03:25:42Z,810000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,in,[],1626204,,,1610612757,12,18,2021-12-05T03:25:42Z,820000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,in,[],1630174,,,1610612757,12,18,2021-12-05T03:25:42Z,830000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M53.00S,2021-12-05T03:25:33.2Z,1,REGULAR,substitution,in,[],1626196,,,1610612757,12,18,2021-12-05T03:25:42Z,840000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M53.00S,2021-12-05T03:25:52.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203994,,,1610612757,13,18,2021-12-05T03:25:52Z,850000,,,0,,J. Nurkic Free Throw 2 of 2 (8 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,,,,,,,8.0,,,,,,
86,PT05M39.00S,2021-12-05T03:26:07.9Z,1,REGULAR,3pt,Jump Shot,[],203471,69.07030223390277,33.088235294117645,1610612738,13,21,2021-12-05T03:26:12Z,860000,-85.0,238.0,1,right,D. Schroder 25' 3PT pullup (5 PTS),[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,,,,,,,25.28,Made,,,,,,,5.0,,,,,,
87,PT05M20.00S,2021-12-05T03:26:27.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,10.33180026281209,40.19607843137255,1610612757,15,21,2021-12-05T03:26:33Z,870000,49.0,45.0,1,left,J. Nurkic 6' turnaround bank Hook (10 PTS),[203994],1610612757.0,POR,turnaround bank,,,Nurkic,J. Nurkic,,,,,,,,,,,6.63,Made,,,,,,,10.0,,,,,,
88,PT05M08.00S,2021-12-05T03:26:38.0Z,1,REGULAR,3pt,Jump Shot,[],1629684,91.40932982917214,96.32352941176471,1610612738,15,24,2021-12-05T03:26:43Z,880000,232.0,28.0,1,right,G. Williams 3PT  (3 PTS) (J. Richardson 1 AST),"[1629684, 1626196]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,23.33,Made,,,,,,,3.0,J. Richardson,1626196.0,1.0,,,
90,PT04M55.00S,2021-12-05T03:26:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,6.258212877792378,58.82352941176471,1610612757,15,24,2021-12-05T03:26:56Z,900000,-44.0,6.0,1,left,MISS C. McCollum driving floating bank Shot,[203468],1610612757.0,POR,driving floating bank,,,McCollum,C. McCollum,,,,,,,,,,,4.45,Missed,,,,,,,,,,,,,
