actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M56.00S,2022-02-25T03:17:49.1Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2022-02-25T03:17:57Z,160000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
17,PT10M56.00S,2022-02-25T03:17:48.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626172,5.590000152587891,50.0,1610612744,0,2,2022-02-25T03:17:48Z,170000,0.0,0.0,1,left,K. Looney tip DUNK (2 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,,,,0.0,Made,,,,,,,,,,2.0,,,,,
18,PT10M49.00S,2022-02-25T03:17:59.0Z,1,REGULAR,foul,personal,[],1627780,,,1610612757,0,2,2022-02-25T03:18:11Z,180000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1629014]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,202027.0,1.0,0.0,Simons,1629014.0,,,,,,
20,PT10M43.00S,2022-02-25T03:18:21.3Z,1,REGULAR,2pt,Jump Shot,[],1628404,79.31997371879106,60.049019607843135,1610612757,2,2,2022-02-25T03:18:32Z,200000,50.0,142.0,1,right,J. Hart 15' Jump Shot (2 PTS) (A. Simons 1 AST),"[1628404, 1629014]",1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,15.05,Made,,,,,,,,,,2.0,A. Simons,1629014.0,1.0,,
21,PT10M29.00S,2022-02-25T03:18:35.0Z,1,REGULAR,3pt,Jump Shot,[],1627780,6.783837056504599,4.6568627450980395,1610612744,2,5,2022-02-25T03:18:41Z,210000,227.0,11.0,1,left,G. Payton II 3PT  (3 PTS) (S. Curry 1 AST),"[1627780, 201939]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,22.7,Made,,,,,,,,,,3.0,S. Curry,201939.0,1.0,,
23,PT10M19.00S,2022-02-25T03:18:48.1Z,1,REGULAR,foul,personal,[],1627780,,,1610612757,2,5,2022-02-25T03:18:57Z,230000,,,0,,G. Payton II personal FOUL (2 PF),"[1627780, 1629014]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,1146.0,2.0,0.0,Simons,1629014.0,,,,,,
25,PT10M04.00S,2022-02-25T03:19:18.4Z,1,REGULAR,2pt,Jump Shot,[],1628404,78.9257555847569,25.49019607843137,1610612757,4,5,2022-02-25T03:19:26Z,250000,-123.0,146.0,1,right,J. Hart 19' step back Jump Shot (4 PTS) (J. Winslow 1 AST),"[1628404, 1626159]",1610612757.0,POR,step back,,,Hart,J. Hart,,,,,,,,19.03,Made,,,,,,,,,,4.0,J. Winslow,1626159.0,1.0,,
26,PT09M52.00S,2022-02-25T03:19:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,8.754927726675426,45.09803921568628,1610612744,4,7,2022-02-25T03:19:39Z,260000,25.0,30.0,1,left,K. Looney driving Layup (4 PTS) (S. Curry 2 AST),"[1626172, 201939]",1610612744.0,GSW,driving,,,Looney,K. Looney,,,,,,,,3.86,Made,,,,,,,,,,4.0,S. Curry,201939.0,2.0,,
28,PT09M34.00S,2022-02-25T03:19:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,93.38042049934296,56.61764705882353,1610612757,4,7,2022-02-25T03:20:01Z,280000,33.0,10.0,1,right,MISS J. Winslow cutting Layup - blocked,"[1626159, 1626172]",1610612757.0,POR,cutting,,,Winslow,J. Winslow,,,,,,,,3.45,Missed,,,,,,,,,,,,,,Looney,1626172.0
29,PT09M34.00S,2022-02-25T03:19:47.7Z,1,REGULAR,block,,[],1626172,,,1610612757,4,7,2022-02-25T03:19:51Z,290000,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2022-02-25T03:19:47.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,4,7,2022-02-25T03:20:01Z,300000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT09M28.00S,2022-02-25T03:19:55.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627780,7.178055190538765,52.20588235294118,1610612744,4,7,2022-02-25T03:20:16Z,310000,-11.0,15.0,1,left,MISS G. Payton II Jump Shot,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,1.86,Missed,,,,,,,,,,,,,,,
32,PT09M25.00S,2022-02-25T03:19:58.0Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,4,7,2022-02-25T03:20:16Z,320000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M22.00S,2022-02-25T03:20:01.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629014,82.07950065703022,40.19607843137255,1610612757,6,7,2022-02-25T03:20:35Z,330000,-49.0,116.0,1,right,A. Simons 12' running pullup Jump Shot (2 PTS) (C. Elleby 1 AST),"[1629014, 1629604]",1610612757.0,POR,running pullup,,,Simons,A. Simons,,,,,,,,12.59,Made,,,,,,,,,,2.0,C. Elleby,1629604.0,1.0,,
35,PT09M13.00S,2022-02-25T03:20:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,6.915243101182654,45.588235294117645,1610612744,6,9,2022-02-25T03:20:29Z,350000,22.0,13.0,1,left,K. Thompson running Layup (2 PTS) (S. Curry 3 AST),"[202691, 201939]",1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,,,,2.54,Made,,,,,,,,,,2.0,S. Curry,201939.0,3.0,,
38,PT08M51.00S,2022-02-25T03:20:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.9862023653088,54.90196078431373,1610612757,8,9,2022-02-25T03:20:39Z,370000,25.0,13.0,1,right,J. Hart driving Layup (6 PTS),[1628404],1610612757.0,POR,driving,,,Hart,J. Hart,,,,,,,,2.79,Made,,,,,,,,,,6.0,,,,,
39,PT08M50.00S,2022-02-25T03:20:38.4Z,1,REGULAR,stoppage,other,[],0,,,1610612744,8,9,2022-02-25T03:20:38Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2022-02-25T03:20:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,6.783837056504599,54.166666666666664,1610612744,8,9,2022-02-25T03:21:01Z,390000,-21.0,11.0,1,left,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,,,,2.37,Missed,,,,,,,,,,,,,,,
41,PT08M36.00S,2022-02-25T03:20:58.5Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,8,9,2022-02-25T03:20:58Z,400000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT08M34.00S,2022-02-25T03:21:00.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,82.21090670170827,92.40196078431373,1610612757,11,9,2022-02-25T03:21:10Z,410000,212.0,115.0,1,right,A. Simons 24' 3PT running (5 PTS) (J. Winslow 2 AST),"[1629014, 1626159]",1610612757.0,POR,running,,,Simons,A. Simons,,,,,,,,24.1,Made,,,,,,,,,,5.0,J. Winslow,1626159.0,2.0,,
44,PT08M16.00S,2022-02-25T03:21:18.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627780,6.521024967148489,52.20588235294118,1610612744,11,11,2022-02-25T03:21:24Z,430000,-11.0,9.0,1,left,G. Payton II cutting DUNK (5 PTS) (K. Looney 1 AST),"[1627780, 1626172]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,,,,1.41,Made,,,,,,,,,,5.0,K. Looney,1626172.0,1.0,,
47,PT07M52.00S,2022-02-25T03:21:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,87.59855453350855,43.13725490196079,1610612757,11,11,2022-02-25T03:24:48Z,450000,-34.0,64.0,1,right,MISS C. Elleby 7' Layup,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,7.27,Missed,,,,,,,,,,,,,,,
48,PT07M51.00S,2022-02-25T03:21:47.0Z,1,REGULAR,rebound,offensive,[],1626159,,,1610612757,11,11,2022-02-25T03:24:48Z,460000,,,0,,J. Winslow REBOUND (Off:1 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,,,,
49,PT07M51.00S,2022-02-25T03:21:50.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626159,94.40999984741211,50.0,1610612757,13,11,2022-02-25T03:24:54Z,470000,0.0,0.0,1,right,J. Winslow tip Layup (2 PTS),[1626159],1610612757.0,POR,tip,,,Winslow,J. Winslow,,,,,,,,0.0,Made,,,,,,,,,,2.0,,,,,
50,PT07M41.00S,2022-02-25T03:21:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,29.122864651773984,15.931372549019606,1610612744,13,14,2022-02-25T03:25:39Z,480000,170.0,221.0,1,left,K. Thompson 27' 3PT  (5 PTS) (S. Curry 4 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,27.92,Made,,,,,,,,,,5.0,S. Curry,201939.0,4.0,,
52,PT07M22.00S,2022-02-25T03:22:12.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,70.38436268068331,24.754901960784316,1610612757,16,14,2022-02-25T03:22:16Z,500000,-126.0,226.0,1,right,A. Simons 25' 3PT  (8 PTS) (J. Hart 1 AST),"[1629014, 1628404]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,25.88,Made,,,,,,,,,,8.0,J. Hart,1628404.0,1.0,,
54,PT07M10.00S,2022-02-25T03:22:24.8Z,1,REGULAR,3pt,Jump Shot,[],201939,26.888961892247043,19.362745098039216,1610612744,16,14,2022-02-25T03:22:32Z,520000,153.0,200.0,1,left,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,25.22,Missed,,,,,,,,,,,,,,,
55,PT07M08.00S,2022-02-25T03:22:27.8Z,1,REGULAR,rebound,offensive,[],202691,,,1610612744,16,14,2022-02-25T03:22:27Z,530000,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,
56,PT07M06.00S,2022-02-25T03:22:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,28.465834428383708,82.59803921568627,1610612744,16,14,2022-02-25T03:22:34Z,540000,-163.0,215.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,26.99,Missed,,,,,,,,,,,,,,,
57,PT07M03.00S,2022-02-25T03:22:32.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,16,14,2022-02-25T03:22:32Z,550000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,
58,PT07M00.00S,2022-02-25T03:22:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,91.27792378449409,51.225490196078425,1610612757,18,14,2022-02-25T03:22:48Z,560000,6.0,29.0,1,right,J. Hart running Layup (8 PTS),[1628404],1610612757.0,POR,running,,,Hart,J. Hart,,,,,,,,3.01,Made,,,,,,,,,,8.0,,,,,
59,PT06M59.00S,2022-02-25T03:22:43.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,18,14,2022-02-25T03:22:43Z,570000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M59.00S,2022-02-25T03:25:42.4Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,18,14,2022-02-25T03:25:58Z,580000,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M59.00S,2022-02-25T03:25:42.4Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,18,14,2022-02-25T03:25:58Z,590000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2022-02-25T03:26:35.2Z,1,REGULAR,3pt,Jump Shot,[],203952,11.383048620236531,3.9215686274509802,1610612744,18,14,2022-02-25T03:26:39Z,600000,230.0,55.0,1,left,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,23.68,Missed,,,,,,,,,,,,,,,
63,PT06M33.00S,2022-02-25T03:26:37.2Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,18,14,2022-02-25T03:26:39Z,610000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,
64,PT06M17.00S,2022-02-25T03:26:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629604,67.49342969776609,61.51960784313726,1610612757,18,14,2022-02-25T03:27:00Z,620000,58.0,253.0,1,right,MISS C. Elleby 25' 3PT,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,25.96,Missed,,,,,,,,,,,,,,,
65,PT06M16.00S,2022-02-25T03:26:54.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,18,14,2022-02-25T03:27:00Z,630000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,
66,PT06M16.00S,2022-02-25T03:26:59.0Z,1,REGULAR,foul,personal,[],1629673,,,1610612757,18,14,2022-02-25T03:27:09Z,640000,,,0,,J. Poole loose ball personal FOUL (1 PF),"[1629673, 1629234]",1610612744.0,GSW,loose ball,,,Poole,J. Poole,,,,,,,,,,,,,,202027.0,1.0,0.0,Eubanks,1629234.0,,,,,,
68,PT06M13.00S,2022-02-25T03:27:22.0Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612757,18,14,2022-02-25T03:27:31Z,660000,,,0,,S. Curry shooting personal FOUL (1 PF) (Winslow 2 FT),"[201939, 1626159]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,,,,,,,,,,1146.0,1.0,0.0,Winslow,1626159.0,,,,,,
70,PT06M13.00S,2022-02-25T03:27:48.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626159,,,1610612757,19,14,2022-02-25T03:28:45Z,680000,,,0,,J. Winslow Free Throw 1 of 2 (3 PTS),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,Made,,,,,,,,,,3.0,,,,,
71,PT06M13.00S,2022-02-25T03:27:49.5Z,1,REGULAR,substitution,out,[],1629234,,,1610612757,19,14,2022-02-25T03:28:07Z,690000,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M13.00S,2022-02-25T03:27:49.5Z,1,REGULAR,substitution,out,[],203952,,,1610612757,19,14,2022-02-25T03:28:07Z,700000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M13.00S,2022-02-25T03:27:49.5Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,19,14,2022-02-25T03:28:07Z,710000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M13.00S,2022-02-25T03:27:49.5Z,1,REGULAR,substitution,in,[],1630228,,,1610612757,19,14,2022-02-25T03:28:07Z,720000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M13.00S,2022-02-25T03:28:15.3Z,1,REGULAR,substitution,out,[],202691,,,1610612757,19,14,2022-02-25T03:28:19Z,730000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2022-02-25T03:28:15.3Z,1,REGULAR,substitution,in,[],203952,,,1610612757,19,14,2022-02-25T03:28:19Z,740000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2022-02-25T03:27:48.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626159,,,1610612757,19,14,2022-02-25T03:28:45Z,750000,,,0,,MISS J. Winslow Free Throw 2 of 2,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,Missed,,,,,,,,,,,,,,,
78,PT06M11.00S,2022-02-25T03:27:50.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,19,14,2022-02-25T03:28:45Z,760000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,
79,PT06M11.00S,2022-02-25T03:28:37.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626172,,,1610612757,19,14,2022-02-25T03:28:49Z,770000,,,0,,K. Looney loose ball personal FOUL (1 PF) (Winslow 2 FT),"[1626172, 1626159]",1610612744.0,GSW,loose ball,,,Looney,K. Looney,,,,,,,,,,,,,,202037.0,1.0,0.0,Winslow,1626159.0,,,,,,
81,PT06M11.00S,2022-02-25T03:29:00.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626159,,,1610612757,19,14,2022-02-25T03:29:00Z,790000,,,0,,MISS J. Winslow Free Throw 1 of 2,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,Missed,,,,,,,,,,,,,,,
82,PT06M11.00S,2022-02-25T03:29:00.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,19,14,2022-02-25T03:29:00Z,800000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,
83,PT06M11.00S,2022-02-25T03:29:15.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626159,,,1610612757,20,14,2022-02-25T03:29:15Z,810000,,,0,,J. Winslow Free Throw 2 of 2 (4 PTS),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,Made,,,,,,,,,,4.0,,,,,
84,PT06M02.00S,2022-02-25T03:29:26.3Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,20,14,2022-02-25T03:29:31Z,820000,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1629604]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,1.0,Elleby,1629604.0,,,,,,,,,,,,,,,,,
85,PT06M02.00S,2022-02-25T03:29:26.3Z,1,REGULAR,steal,,[],1629604,,,1610612757,20,14,2022-02-25T03:29:29Z,830000,,,0,,C. Elleby STEAL (1 STL),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M56.00S,2022-02-25T03:29:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629604,92.85479632063075,47.794117647058826,1610612757,22,14,2022-02-25T03:29:40Z,840000,-11.0,15.0,1,right,C. Elleby running Layup (2 PTS),[1629604],1610612757.0,POR,running,,,Elleby,C. Elleby,,,,,,,,1.84,Made,,,,,,,,,,2.0,,,,,
87,PT05M47.00S,2022-02-25T03:29:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,14.4053876478318,46.32352941176471,1610612744,22,16,2022-02-25T03:29:50Z,850000,18.0,83.0,1,left,S. Curry 8' driving finger roll Layup (2 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,,,,8.49,Made,,,,,,,,,,2.0,A. Wiggins,203952.0,1.0,,
88,PT05M28.00S,2022-02-25T03:29:59.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626159,89.56964520367937,60.5392156862745,1610612757,22,16,2022-02-25T03:30:07Z,860000,53.0,46.0,1,right,MISS J. Winslow 6' bank Hook,[1626159],1610612757.0,POR,bank,,,Winslow,J. Winslow,,,,,,,,6.96,Missed,,,,,,,,,,,,,,,
89,PT05M24.00S,2022-02-25T03:30:03.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,22,16,2022-02-25T03:30:03Z,870000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,,
90,PT05M22.00S,2022-02-25T03:30:05.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,30.699737187910642,69.6078431372549,1610612744,22,19,2022-02-25T03:30:14Z,880000,-98.0,236.0,1,left,S. Curry 25' 3PT running (5 PTS) (J. Poole 1 AST),"[201939, 1629673]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,,,,25.56,Made,,,,,,,,,,5.0,J. Poole,1629673.0,1.0,,
93,PT05M01.00S,2022-02-25T03:30:26.4Z,1,REGULAR,2pt,Jump Shot,[],1629014,92.9862023653088,24.754901960784316,1610612757,24,19,2022-02-25T03:30:33Z,900000,-126.0,13.0,1,right,A. Simons 12' pullup Jump Shot (10 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,,12.69,Made,,,,,,,,,,10.0,,,,,
94,PT04M51.00S,2022-02-25T03:30:39.7Z,1,REGULAR,foul,personal,[],1629604,,,1610612744,24,19,2022-02-25T03:30:49Z,910000,,,0,,C. Elleby personal FOUL (1 PF),"[1629604, 1629673]",1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,202027.0,1.0,0.0,Poole,1629673.0,,,,,,
