actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
31,PT09M38.00S,2021-12-13T02:15:44.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,91.80354796320631,41.66666666666667,1610612757,2,4,2021-12-13T02:15:49Z,310000,-42.0,25.0,1,right,MISS J. Nurkic turnaround Hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,4.84,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2021-12-13T02:15:47.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,4,2021-12-13T02:15:49Z,320000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M30.00S,2021-12-13T02:15:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626156,5.732588699080158,51.470588235294116,1610612750,2,6,2021-12-13T02:15:59Z,330000,-7.0,1.0,1,left,D. Russell running Layup (2 PTS),[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,0.75,Made,,,,,,,,,,2.0,,,,,,,,,
34,PT09M20.00S,2021-12-13T02:16:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,95.0886990801577,50.98039215686274,1610612757,4,6,2021-12-13T02:16:08Z,340000,5.0,-6.0,1,right,J. Nurkic cutting Layup (2 PTS) (N. Powell 1 AST),"[203994, 1626181]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,0.8,Made,,,,,,,,,,2.0,,,,N. Powell,1626181.0,1.0,,,
36,PT09M07.00S,2021-12-13T02:16:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.863994743758213,44.6078431372549,1610612750,4,6,2021-12-13T02:16:20Z,360000,27.0,3.0,1,left,MISS J. Vanderbilt driving Layup,[1629020],1610612750.0,MIN,driving,,,Vanderbilt,J. Vanderbilt,,,,,2.71,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M04.00S,2021-12-13T02:16:19.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,4,6,2021-12-13T02:16:20Z,370000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT09M01.00S,2021-12-13T02:16:22.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626181,92.9862023653088,54.166666666666664,1610612757,6,6,2021-12-13T02:16:27Z,380000,21.0,13.0,1,right,N. Powell running Layup (2 PTS) (D. Lillard 1 AST),"[1626181, 203081]",1610612757.0,POR,running,,,Powell,N. Powell,,,,,2.47,Made,,,,,,,,,,2.0,,,,D. Lillard,203081.0,1.0,,,
40,PT08M40.00S,2021-12-13T02:16:43.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,4.5499342969776615,96.56862745098039,1610612750,6,9,2021-12-13T02:16:46Z,400000,-233.0,-10.0,1,left,D. Russell 3PT  (5 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,23.3,Made,,,,,,,,,,5.0,,,,K. Towns,1626157.0,1.0,,,
42,PT08M21.00S,2021-12-13T02:17:01.9Z,1,REGULAR,3pt,Jump Shot,[],203081,72.48685939553219,19.11764705882353,1610612757,6,9,2021-12-13T02:17:05Z,420000,-154.0,206.0,1,right,MISS D. Lillard 25' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,25.75,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M18.00S,2021-12-13T02:17:04.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,6,9,2021-12-13T02:17:05Z,430000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
44,PT08M03.00S,2021-12-13T02:17:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1629642,,,1610612750,6,9,2021-12-13T02:17:38Z,440000,,,0,,N. Little shooting personal FOUL (1 PF) (Vanderbilt 2 FT),"[1629642, 1629020]",1610612757.0,POR,shooting,,,Little,N. Little,,,,,,,,,,,202053.0,1.0,0.0,Vanderbilt,1629020.0,,,,,,,,,,
46,PT08M03.00S,2021-12-13T02:17:50.4Z,1,REGULAR,freethrow,1 of 2,[],1629020,,,1610612750,6,10,2021-12-13T02:20:38Z,460000,,,0,,J. Vanderbilt Free Throw 1 of 2 (3 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
47,PT08M03.00S,2021-12-13T02:17:50.4Z,1,REGULAR,freethrow,2 of 2,[],1629020,,,1610612750,6,10,2021-12-13T02:20:38Z,470000,,,0,,MISS J. Vanderbilt Free Throw 2 of 2,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2021-12-13T02:17:52.4Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,6,10,2021-12-13T02:18:07Z,480000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
49,PT07M55.00S,2021-12-13T02:18:13.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203081,94.1688567674113,50.73529411764706,1610612757,8,10,2021-12-13T02:18:25Z,490000,4.0,2.0,1,right,D. Lillard running reverse Layup (2 PTS),[203081],1610612757.0,POR,running reverse,,,Lillard,D. Lillard,,,,,0.44,Made,,,,,,,,,,2.0,,,,,,,,,
50,PT07M44.00S,2021-12-13T02:18:26.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626204,,,1610612750,8,10,2021-12-13T02:18:33Z,500000,,,0,,L. Nance Jr. shooting personal FOUL (2 PF) (Towns 2 FT),"[1626204, 1626157]",1610612757.0,POR,shooting,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,202053.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,
52,PT07M44.00S,2021-12-13T02:19:00.3Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,8,11,2021-12-13T02:19:00Z,520000,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
53,PT07M44.00S,2021-12-13T02:19:01.2Z,1,REGULAR,substitution,out,[],1626204,,,1610612750,8,11,2021-12-13T02:19:04Z,530000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2021-12-13T02:19:01.2Z,1,REGULAR,substitution,in,[],203496,,,1610612750,8,11,2021-12-13T02:19:04Z,540000,,,0,,SUB in: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M44.00S,2021-12-13T02:19:26.1Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,8,12,2021-12-13T02:19:26Z,550000,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
56,PT07M33.00S,2021-12-13T02:19:38.3Z,1,REGULAR,turnover,lost ball,[],1626181,,,1610612757,8,12,2021-12-13T02:19:42Z,560000,,,0,,N. Powell lost ball TURNOVER (1 TO),"[1626181, 201976]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,1.0,Beverley,201976.0,,,,,,
57,PT07M33.00S,2021-12-13T02:19:38.3Z,1,REGULAR,steal,,[],201976,,,1610612750,8,12,2021-12-13T02:19:40Z,570000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M30.00S,2021-12-13T02:19:42.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,5.601182654402102,50.245098039215684,1610612750,8,14,2021-12-13T02:19:49Z,580000,-1.0,0.0,1,left,K. Towns running DUNK (4 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,running,,,Towns,K. Towns,,,,,0.12,Made,,,,,,,,,,4.0,,,,P. Beverley,201976.0,1.0,,,
60,PT07M30.00S,2021-12-13T02:19:47.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,8,14,2021-12-13T02:19:47Z,600000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M10.00S,2021-12-13T02:22:56.6Z,1,REGULAR,2pt,Jump Shot,[],203081,77.87450722733246,28.186274509803923,1610612757,10,14,2021-12-13T02:23:00Z,610000,-109.0,155.0,1,right,D. Lillard 19' step back Jump Shot (4 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,19.0,Made,,,,,,,,,,4.0,,,,,,,,,
62,PT06M47.00S,2021-12-13T02:23:18.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.251642575558476,50.0,1610612750,10,16,2021-12-13T02:23:22Z,620000,0.0,53.0,1,left,K. Towns Hook (6 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,5.33,Made,,,,,,,,,,6.0,,,,,,,,,
63,PT06M41.00S,2021-12-13T02:23:24.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,80.1084099868594,91.66666666666666,1610612757,13,16,2021-12-13T02:23:30Z,630000,208.0,134.0,1,right,N. Powell 24' 3PT pullup (5 PTS) (R. Covington 1 AST),"[1626181, 203496]",1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,24.79,Made,,,,,,,,,,5.0,,,,R. Covington,203496.0,1.0,,,
65,PT06M28.00S,2021-12-13T02:23:40.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,13,16,2021-12-13T02:23:40Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2021-12-13T02:23:43.3Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,13,16,2021-12-13T02:23:48Z,660000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2021-12-13T02:23:43.3Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,13,16,2021-12-13T02:23:48Z,670000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2021-12-13T02:24:05.3Z,1,REGULAR,2pt,Jump Shot,[],1626157,8.360709592641262,89.2156862745098,1610612750,13,18,2021-12-13T02:28:47Z,680000,-196.0,26.0,1,left,K. Towns 19' Jump Shot (8 PTS) (M. Beasley 1 AST),"[1626157, 1627736]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,19.78,Made,,,,,,,,,,8.0,,,,M. Beasley,1627736.0,1.0,,,
99,PT06M22.00S,2021-12-13T02:24:12.6Z,1,REGULAR,instantreplay,request,[],0,,,1610612757,13,18,2021-12-13T02:30:20Z,695000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,202053.0,,,,,,,,,,,,Changed to 2-pt FG,,
70,PT06M10.00S,2021-12-13T02:24:20.0Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612757,13,18,2021-12-13T02:24:24Z,700000,,,0,,D. Lillard lost ball out-of-bounds TURNOVER (3 TO),[203081],1610612757.0,POR,lost ball,,,Lillard,D. Lillard,,,,,,,,,,,204059.0,,,,,,3.0,,,,,,,,
71,PT05M53.00S,2021-12-13T02:24:39.3Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,13,18,2021-12-13T02:24:42Z,710000,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 203994]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,,,,,
72,PT05M53.00S,2021-12-13T02:24:39.3Z,1,REGULAR,steal,,[],203994,,,1610612757,13,18,2021-12-13T02:24:41Z,720000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2021-12-13T02:24:49.8Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612757,13,18,2021-12-13T02:25:00Z,730000,,,0,,K. Towns shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1626157, 203994]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,,,,204059.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
75,PT05M45.00S,2021-12-13T02:25:14.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203994,,,1610612757,14,18,2021-12-13T02:25:14Z,750000,,,0,,J. Nurkic Free Throw 1 of 2 (3 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
76,PT05M45.00S,2021-12-13T02:25:15.1Z,1,REGULAR,substitution,out,[],1629642,,,1610612757,14,18,2021-12-13T02:25:23Z,760000,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M45.00S,2021-12-13T02:25:15.1Z,1,REGULAR,substitution,out,[],1629020,,,1610612757,14,18,2021-12-13T02:25:23Z,770000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2021-12-13T02:25:15.1Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,14,18,2021-12-13T02:25:23Z,780000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M45.00S,2021-12-13T02:25:15.1Z,1,REGULAR,substitution,in,[],1630183,,,1610612757,14,18,2021-12-13T02:25:23Z,790000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M45.00S,2021-12-13T02:25:36.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203994,,,1610612757,15,18,2021-12-13T02:25:36Z,800000,,,0,,J. Nurkic Free Throw 2 of 2 (4 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
81,PT05M18.00S,2021-12-13T02:26:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,13.748357424441524,50.73529411764706,1610612750,15,18,2021-12-13T02:26:07Z,810000,-4.0,77.0,1,left,MISS P. Beverley 7' driving floating Shot,[201976],1610612750.0,MIN,driving floating,,,Beverley,P. Beverley,,,,,7.68,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M17.00S,2021-12-13T02:26:04.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,15,18,2021-12-13T02:26:07Z,820000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
83,PT05M14.00S,2021-12-13T02:26:08.3Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,15,18,2021-12-13T02:26:14Z,830000,,,0,,D. Lillard bad pass TURNOVER (4 TO),"[203081, 1630162]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,4.0,Edwards,1630162.0,,,,,,
84,PT05M14.00S,2021-12-13T02:26:08.3Z,1,REGULAR,steal,,[],1630162,,,1610612750,15,18,2021-12-13T02:26:11Z,840000,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2021-12-13T02:26:13.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203496,,,1610612750,15,18,2021-12-13T02:26:19Z,850000,,,0,,R. Covington shooting personal FOUL (1 PF) (Edwards 2 FT),"[203496, 1630162]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,204059.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,
87,PT05M12.00S,2021-12-13T02:26:34.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630162,,,1610612750,15,19,2021-12-13T02:26:34Z,870000,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
88,PT05M12.00S,2021-12-13T02:26:49.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630162,,,1610612750,15,20,2021-12-13T02:26:49Z,880000,,,0,,A. Edwards Free Throw 2 of 2 (2 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
89,PT04M55.00S,2021-12-13T02:27:07.6Z,1,REGULAR,3pt,Jump Shot,[],1626181,92.19776609724047,6.127450980392156,1610612757,18,20,2021-12-13T02:27:12Z,890000,-219.0,21.0,1,right,N. Powell 3PT  (8 PTS) (D. Lillard 2 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,22.04,Made,,,,,,,,,,8.0,,,,D. Lillard,203081.0,2.0,,,
