actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
29,PT09M24.00S,2021-10-28T02:14:32.1Z,1,REGULAR,rebound,offensive,[],1629642,,,1610612757,6,7,2021-10-28T02:14:32Z,290000,,,0,,N. Little REBOUND (Off:1 Def:0),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M19.00S,2021-10-28T02:14:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203496,28.597240473061763,19.362745098039216,1610612757,6,7,2021-10-28T02:14:42Z,300000,153.0,216.0,1,left,MISS R. Covington 26' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,
31,PT09M16.00S,2021-10-28T02:14:40.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,7,2021-10-28T02:14:42Z,310000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M10.00S,2021-10-28T02:14:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,94.95729303547962,48.77450980392157,1610612763,6,7,2021-10-28T02:17:56Z,320000,-6.0,-5.0,1,right,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,0.8,Missed,,,,,,,,,,,,,,,,,,
33,PT09M09.00S,2021-10-28T02:14:47.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,6,7,2021-10-28T02:17:56Z,330000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,
34,PT09M03.00S,2021-10-28T02:14:53.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628991,68.9388961892247,74.26470588235294,1610612763,6,7,2021-10-28T02:14:57Z,340000,121.0,239.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2021-10-28T02:14:55.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,6,7,2021-10-28T02:14:57Z,350000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M54.00S,2021-10-28T02:15:03.5Z,1,REGULAR,3pt,Jump Shot,[],203994,32.276609724047304,58.57843137254902,1610612757,6,7,2021-10-28T02:15:07Z,360000,-43.0,251.0,1,left,MISS J. Nurkic 25' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,25.45,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2021-10-28T02:15:07.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,7,2021-10-28T02:15:07Z,370000,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M38.00S,2021-10-28T02:15:18.7Z,1,REGULAR,turnover,lost ball,[],1630217,,,1610612763,6,7,2021-10-28T02:15:22Z,380000,,,0,,D. Bane lost ball TURNOVER (1 TO),"[1630217, 203081]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,1.0,,,,,Lillard,203081.0
39,PT08M38.00S,2021-10-28T02:15:18.7Z,1,REGULAR,steal,,[],203081,,,1610612757,6,7,2021-10-28T02:15:21Z,390000,,,0,,D. Lillard STEAL (1 STL),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M38.00S,2021-10-28T02:15:25.1Z,1,REGULAR,foul,personal,[],203500,,,1610612757,6,7,2021-10-28T02:15:42Z,400000,,,0,,S. Adams take personal FOUL (1 PF),"[203500, 1629642]",1610612763.0,MEM,take,,,Adams,S. Adams,,,,,,,,,,,,,,,,,202053.0,,1.0,0.0,Little,1629642.0,,
42,PT08M30.00S,2021-10-28T02:15:43.2Z,1,REGULAR,foul,offensive,[],203468,,,1610612757,6,7,2021-10-28T02:15:52Z,420000,,,0,,C. McCollum offensive FOUL (1 PF),"[203468, 203500]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,1179.0,,1.0,0.0,Adams,203500.0,,
44,PT08M30.00S,2021-10-28T02:15:43.2Z,1,REGULAR,turnover,offensive foul,[],203468,,,1610612757,6,7,2021-10-28T02:15:43Z,440000,,,0,,C. McCollum offensive foul TURNOVER (1 TO),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,1179.0,1.0,,,,,,
45,PT08M13.00S,2021-10-28T02:16:12.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628991,89.30683311432325,33.33333333333333,1610612763,6,7,2021-10-28T02:16:20Z,450000,-83.0,48.0,1,right,MISS J. Jackson Jr. 9' driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,9.61,Missed,,,,,,,,,,,,,,,,,,
46,PT08M10.00S,2021-10-28T02:16:16.2Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,6,7,2021-10-28T02:16:16Z,460000,,,0,,S. Adams REBOUND (Off:2 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,45.0,2.0,0.0,2.0,,,,,,,,,,,,,,
47,PT08M10.00S,2021-10-28T02:16:16.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203500,94.40999984741211,50.0,1610612763,6,7,2021-10-28T02:16:16Z,470000,0.0,0.0,1,right,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2021-10-28T02:16:16.5Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,6,7,2021-10-28T02:16:16Z,480000,,,0,,S. Adams REBOUND (Off:3 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,47.0,3.0,0.0,3.0,,,,,,,,,,,,,,
49,PT08M10.00S,2021-10-28T02:16:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203500,93.11760840998686,49.50980392156863,1610612763,6,7,2021-10-28T02:16:33Z,490000,-2.0,12.0,1,right,MISS S. Adams putback Layup - blocked,"[203500, 203496]",1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,1.25,Missed,,,,,,,,,Covington,203496.0,,,,,,,,
50,PT08M10.00S,2021-10-28T02:16:17.5Z,1,REGULAR,block,,[],203496,,,1610612763,6,7,2021-10-28T02:16:19Z,500000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M10.00S,2021-10-28T02:16:17.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,6,7,2021-10-28T02:16:25Z,510000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,
52,PT08M10.00S,2021-10-28T02:16:21.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,6,7,2021-10-28T02:16:21Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M08.00S,2021-10-28T02:16:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629001,94.1688567674113,47.794117647058826,1610612763,6,7,2021-10-28T02:16:41Z,530000,-11.0,2.0,1,right,MISS D. Melton cutting Layup - blocked,"[1629001, 203468]",1610612763.0,MEM,cutting,,,Melton,D. Melton,,,,,1.12,Missed,,,,,,,,,McCollum,203468.0,,,,,,,,
54,PT08M08.00S,2021-10-28T02:16:37.1Z,1,REGULAR,block,,[],203468,,,1610612763,6,7,2021-10-28T02:16:39Z,540000,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M06.00S,2021-10-28T02:16:39.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,6,7,2021-10-28T02:16:41Z,550000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT07M57.00S,2021-10-28T02:16:48.1Z,1,REGULAR,3pt,Jump Shot,[],203468,30.699737187910642,32.84313725490196,1610612757,9,7,2021-10-28T02:16:55Z,560000,86.0,236.0,1,left,C. McCollum 25' 3PT step back (3 PTS) (D. Lillard 2 AST),"[203468, 203081]",1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,25.12,Made,,,,,3.0,D. Lillard,203081.0,2.0,,,,,,,,,,
58,PT07M36.00S,2021-10-28T02:17:09.6Z,1,REGULAR,3pt,Jump Shot,[],1628991,96.7969776609724,4.166666666666666,1610612763,9,7,2021-10-28T02:17:13Z,580000,-229.0,-22.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,
59,PT07M33.00S,2021-10-28T02:17:12.6Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,9,7,2021-10-28T02:17:13Z,590000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,58.0,1.0,0.0,1.0,,,,,,,,,,,,,,
60,PT07M30.00S,2021-10-28T02:17:15.2Z,1,REGULAR,2pt,Layup,['2ndchance'],1628991,94.95729303547962,33.57843137254902,1610612763,9,7,2021-10-28T02:21:52Z,600000,-82.0,-5.0,1,right,MISS J. Jackson Jr. 8' Layup,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,8.23,Missed,,,,,,,,,,,,,,,,,,
61,PT07M28.00S,2021-10-28T02:17:17.2Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,9,7,2021-10-28T02:17:18Z,610000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT07M17.00S,2021-10-28T02:17:28.4Z,1,REGULAR,turnover,lost ball,[],1629642,,,1610612757,9,7,2021-10-28T02:17:31Z,620000,,,0,,N. Little lost ball TURNOVER (1 TO),"[1629642, 1629630]",1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,1.0,,,,,Morant,1629630.0
63,PT07M17.00S,2021-10-28T02:17:28.4Z,1,REGULAR,steal,,[],1629630,,,1610612763,9,7,2021-10-28T02:17:29Z,630000,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2021-10-28T02:17:42.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,95.87713534822602,3.431372549019608,1610612763,9,10,2021-10-28T02:17:48Z,640000,-233.0,-14.0,1,right,D. Bane 3PT  (6 PTS) (J. Morant 2 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,23.32,Made,,,,,6.0,J. Morant,1629630.0,2.0,,,,,,,,,,
66,PT06M45.00S,2021-10-28T02:18:00.1Z,1,REGULAR,2pt,Jump Shot,[],203081,12.434296977660972,22.794117647058822,1610612757,9,10,2021-10-28T02:24:19Z,660000,136.0,64.0,1,left,MISS D. Lillard 15' fadeaway Shot,[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,15.05,Missed,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2021-10-28T02:18:03.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,9,10,2021-10-28T02:18:08Z,670000,,,0,,S. Adams REBOUND (Off:3 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,66.0,4.0,1.0,3.0,,,,,,,,,,,,,,
68,PT06M33.00S,2021-10-28T02:18:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,94.43166885676742,48.529411764705884,1610612763,9,12,2021-10-28T02:18:16Z,680000,-7.0,0.0,1,right,S. Adams driving Layup (4 PTS) (J. Morant 3 AST),"[203500, 1629630]",1610612763.0,MEM,driving,,,Adams,S. Adams,,,,,0.74,Made,,,,,4.0,J. Morant,1629630.0,3.0,,,,,,,,,,
70,PT06M28.00S,2021-10-28T02:18:16.5Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,9,12,2021-10-28T02:18:26Z,700000,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629001]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,1.0,,,,,Melton,1629001.0
71,PT06M28.00S,2021-10-28T02:18:16.5Z,1,REGULAR,steal,,[],1629001,,,1610612763,9,12,2021-10-28T02:18:19Z,710000,,,0,,D. Melton STEAL (1 STL),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2021-10-28T02:18:33.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629630,76.2976346911958,61.274509803921575,1610612763,9,12,2021-10-28T02:18:39Z,720000,56.0,170.0,1,right,MISS J. Morant 17' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,17.94,Missed,,,,,,,,,,,,,,,,,,
73,PT06M08.00S,2021-10-28T02:18:36.9Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,9,12,2021-10-28T02:18:39Z,730000,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT06M02.00S,2021-10-28T02:18:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203081,5.995400788436268,48.28431372549019,1610612757,11,12,2021-10-28T02:18:49Z,740000,9.0,4.0,1,left,D. Lillard running Layup (5 PTS),[203081],1610612757.0,POR,running,,,Lillard,D. Lillard,,,,,0.94,Made,,,,,5.0,,,,,,,,,,,,,
75,PT05M55.00S,2021-10-28T02:18:54.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,11,12,2021-10-28T02:18:54Z,750000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,out,[],203468,,,1610612763,11,12,2021-10-28T02:22:10Z,760000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,11,12,2021-10-28T02:22:10Z,770000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,11,12,2021-10-28T02:22:10Z,780000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,in,[],1629014,,,1610612763,11,12,2021-10-28T02:22:10Z,790000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,in,[],203937,,,1610612763,11,12,2021-10-28T02:22:10Z,800000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2021-10-28T02:21:12.8Z,1,REGULAR,substitution,in,[],1630533,,,1610612763,11,12,2021-10-28T02:22:10Z,810000,,,0,,SUB in: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M47.00S,2021-10-28T02:22:35.2Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,11,12,2021-10-28T02:22:39Z,820000,,,0,,J. Morant bad pass TURNOVER (2 TO),"[1629630, 203994]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,2.0,,,,,Nurkic,203994.0
83,PT05M47.00S,2021-10-28T02:22:35.2Z,1,REGULAR,steal,,[],203994,,,1610612757,11,12,2021-10-28T02:22:36Z,830000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M41.00S,2021-10-28T02:22:40.5Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612757,11,12,2021-10-28T02:22:43Z,840000,,,0,,D. Lillard bad pass TURNOVER (2 TO),"[203081, 1629001]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,2.0,,,,,Melton,1629001.0
85,PT05M41.00S,2021-10-28T02:22:40.5Z,1,REGULAR,steal,,[],1629001,,,1610612763,11,12,2021-10-28T02:22:42Z,850000,,,0,,D. Melton STEAL (2 STL),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M30.00S,2021-10-28T02:22:51.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,69.46452036793693,22.794117647058822,1610612763,11,12,2021-10-28T02:22:55Z,860000,-136.0,235.0,1,right,MISS D. Melton 27' 3PT,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,27.11,Missed,,,,,,,,,,,,,,,,,,
87,PT05M28.00S,2021-10-28T02:22:53.2Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,11,12,2021-10-28T02:27:49Z,870000,,,0,,K. Anderson REBOUND (Off:1 Def:0),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,86.0,1.0,0.0,1.0,,,,,,,,,,,,,,
88,PT05M27.00S,2021-10-28T02:22:55.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203937,90.09526938239159,38.970588235294116,1610612763,11,12,2021-10-28T02:23:07Z,880000,-55.0,41.0,1,right,MISS K. Anderson 6' Layup,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,6.84,Missed,,,,,,,,,,,,,,,,,,
