actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
16,PT11M02.00S,2021-11-21T03:13:15.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626181,,,1610612757,3,0,2021-11-21T03:13:15Z,160000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2021-11-21T03:13:33.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626181,,,1610612757,4,0,2021-11-21T03:13:33Z,170000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2021-11-21T03:13:49.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203552,10.775295663600525,39.22334558823529,1610612755,4,0,2021-11-21T03:14:00Z,180000,54.0,49.0,1,left,MISS S. Curry 7' driving bank Hook,[203552],1610612755.0,PHI,driving bank,,,Curry,S. Curry,,,,,7.27,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2021-11-21T03:13:49.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,4,0,2021-11-21T03:14:00Z,190000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2021-11-21T03:13:54.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,4,0,2021-11-21T03:13:54Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2021-11-21T03:14:15.4Z,1,REGULAR,3pt,Jump Shot,[],203081,66.04796320630749,15.931372549019606,1610612757,4,0,2021-11-21T03:14:19Z,210000,-170.0,267.0,1,right,MISS D. Lillard 31' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,31.64,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2021-11-21T03:14:17.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,0,2021-11-21T03:14:19Z,220000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M23.00S,2021-11-21T03:14:25.4Z,1,REGULAR,turnover,out-of-bounds,[],202699,,,1610612755,4,0,2021-11-21T03:14:35Z,230000,,,0,,T. Harris lost ball out-of-bounds TURNOVER (1 TO),[202699],1610612755.0,PHI,lost ball,,,Harris,T. Harris,,,,,,,,,,,,,,202035.0,,,,,1.0,,,,,,
24,PT10M14.00S,2021-11-21T03:14:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,72.48685939553219,15.931372549019606,1610612757,7,0,2021-11-21T03:14:44Z,240000,-170.0,206.0,1,right,D. Lillard 26' 3PT pullup (3 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,26.74,Made,3.0,,,,,,,,,,,,,,,,,,
25,PT09M55.00S,2021-11-21T03:14:59.7Z,1,REGULAR,3pt,Jump Shot,[],203552,18.873193166885677,92.15686274509804,1610612755,7,3,2021-11-21T03:15:05Z,250000,-211.0,125.0,1,left,S. Curry 24' 3PT step back (3 PTS),[203552],1610612755.0,PHI,step back,,,Curry,S. Curry,,,,,24.5,Made,3.0,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2021-11-21T03:15:03.9Z,1,REGULAR,foul,personal,['1freethrow'],203468,,,1610612755,7,3,2021-11-21T03:15:14Z,260000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Curry 1 FT),"[203468, 203552]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,,,,,,,,,,1830.0,1.0,0.0,Curry,203552.0,,,,,,,
28,PT09M55.00S,2021-11-21T03:15:38.7Z,1,REGULAR,freethrow,1 of 1,[],203552,,,1610612755,7,4,2021-11-21T03:15:38Z,280000,,,0,,S. Curry Free Throw 1 of 1 (4 PTS),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2021-11-21T03:15:44.3Z,1,REGULAR,3pt,Jump Shot,[],203468,69.72733245729303,76.22549019607843,1610612757,10,4,2021-11-21T03:17:06Z,290000,131.0,232.0,1,right,C. McCollum 26' 3PT pullup (3 PTS) (D. Lillard 1 AST),"[203468, 203081]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,26.66,Made,3.0,,,,,,,,,,,,,D. Lillard,203081.0,1.0,,,
31,PT09M28.00S,2021-11-21T03:16:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.206964520367937,51.225490196078425,1610612755,10,6,2021-11-21T03:16:08Z,310000,-6.0,-4.0,1,left,T. Harris driving Layup (2 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,0.71,Made,2.0,,,,,,,,,,,,,T. Maxey,1630178.0,1.0,,,
33,PT09M10.00S,2021-11-21T03:16:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,80.6340341655716,50.98039215686274,1610612757,10,6,2021-11-21T03:16:24Z,330000,5.0,130.0,1,right,MISS N. Powell 12' pullup Shot,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,12.96,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M09.00S,2021-11-21T03:16:22.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,6,2021-11-21T03:16:24Z,340000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT09M03.00S,2021-11-21T03:16:30.5Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612755,10,6,2021-11-21T03:16:36Z,350000,,,0,,R. Covington shooting personal FOUL (1 PF) (Harris 2 FT),"[203496, 202699]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,,,,203592.0,1.0,0.0,Harris,202699.0,,,,,,,
37,PT09M03.00S,2021-11-21T03:17:00.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202699,,,1610612755,10,7,2021-11-21T03:17:27Z,370000,,,0,,T. Harris Free Throw 1 of 2 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
38,PT09M03.00S,2021-11-21T03:17:00.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202699,,,1610612755,10,7,2021-11-21T03:17:27Z,380000,,,0,,MISS T. Harris Free Throw 2 of 2,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M01.00S,2021-11-21T03:17:02.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,10,7,2021-11-21T03:17:27Z,390000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M49.00S,2021-11-21T03:17:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,94.1688567674113,47.794117647058826,1610612757,12,7,2021-11-21T03:17:41Z,400000,-11.0,2.0,1,right,D. Lillard driving Layup (5 PTS),[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,1.12,Made,5.0,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2021-11-21T03:17:57.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,12,7,2021-11-21T03:17:57Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M29.00S,2021-11-21T03:18:12.5Z,1,REGULAR,3pt,Jump Shot,[],203552,38.18988173455979,49.01960784313725,1610612755,12,7,2021-11-21T03:18:17Z,420000,5.0,306.0,1,left,MISS S. Curry 30' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,30.65,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2021-11-21T03:18:14.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,12,7,2021-11-21T03:18:17Z,430000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
44,PT08M17.00S,2021-11-21T03:18:24.6Z,1,REGULAR,3pt,Jump Shot,[],203081,76.95466491458606,86.76470588235294,1610612757,12,7,2021-11-21T03:18:29Z,440000,184.0,164.0,1,right,MISS D. Lillard 24' step back 3PT,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,24.64,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M15.00S,2021-11-21T03:18:26.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,12,7,2021-11-21T03:18:29Z,450000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2021-11-21T03:18:30.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,12,7,2021-11-21T03:18:30Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M03.00S,2021-11-21T03:18:54.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203468,89.96386333771353,23.774509803921568,1610612757,12,7,2021-11-21T03:18:58Z,470000,-131.0,42.0,1,right,MISS C. McCollum 13' fadeaway Shot,[203468],1610612757.0,POR,fadeaway,,,McCollum,C. McCollum,,,,,13.76,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2021-11-21T03:18:55.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,12,7,2021-11-21T03:18:58Z,480000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,,,,,
49,PT07M55.00S,2021-11-21T03:19:03.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203552,8.623521681997373,47.549019607843135,1610612755,12,7,2021-11-21T03:19:13Z,490000,12.0,29.0,1,left,MISS S. Curry running pullup Shot - blocked,"[203552, 203496]",1610612755.0,PHI,running pullup,,,Curry,S. Curry,,,,,3.11,Missed,,,,,,Covington,203496.0,,,,,,,,,,,,
50,PT07M55.00S,2021-11-21T03:19:03.3Z,1,REGULAR,block,,[],203496,,,1610612755,12,7,2021-11-21T03:19:06Z,500000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M52.00S,2021-11-21T03:19:06.3Z,1,REGULAR,rebound,offensive,[],203552,,,1610612755,12,7,2021-11-21T03:19:13Z,510000,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,,,,,,
52,PT07M51.00S,2021-11-21T03:19:10.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,6.915243101182654,39.705882352941174,1610612755,12,9,2021-11-21T03:19:46Z,520000,51.0,13.0,1,left,T. Harris driving bank Jump Shot (5 PTS) (T. Maxey 2 AST),"[202699, 1630178]",1610612755.0,PHI,driving bank,,,Harris,T. Harris,,,,,5.3,Made,5.0,,,,,,,,,,,,,T. Maxey,1630178.0,2.0,,,
53,PT07M51.00S,2021-11-21T03:19:12.7Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612755,12,9,2021-11-21T03:20:00Z,530000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Harris 1 FT),"[203994, 202699]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,1830.0,1.0,0.0,Harris,202699.0,,,,,,,
55,PT07M51.00S,2021-11-21T03:19:36.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202699,,,1610612755,12,10,2021-11-21T03:19:36Z,550000,,,0,,T. Harris Free Throw 1 of 1 (6 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
57,PT07M39.00S,2021-11-21T03:19:50.4Z,1,REGULAR,2pt,Jump Shot,[],203468,91.01511169513797,24.509803921568626,1610612757,14,10,2021-11-21T03:19:55Z,560000,-127.0,32.0,1,right,C. McCollum 13' pullup Jump Shot (5 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,13.15,Made,5.0,,,,,,,,,,,,,J. Nurkic,203994.0,1.0,,,
58,PT07M23.00S,2021-11-21T03:20:07.0Z,1,REGULAR,2pt,Jump Shot,[],1630178,22.683968462549277,29.901960784313726,1610612755,14,12,2021-11-21T03:20:12Z,570000,100.0,161.0,1,left,T. Maxey 18' pullup Jump Shot (2 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,18.95,Made,2.0,,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2021-11-21T03:20:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,93.24901445466492,42.40196078431372,1610612757,16,12,2021-11-21T03:20:25Z,580000,-38.0,11.0,1,right,D. Lillard driving floating bank Jump Shot (7 PTS),[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,3.96,Made,7.0,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-11-21T03:20:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.469776609724048,50.98039215686274,1610612755,16,14,2021-11-21T03:20:40Z,590000,-5.0,-1.0,1,left,T. Harris driving Layup (8 PTS),[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,0.5,Made,8.0,,,,,,,,,,,,,,,,,,
61,PT06M43.00S,2021-11-21T03:20:46.1Z,1,REGULAR,3pt,Jump Shot,[],203468,74.45795006570303,84.06862745098039,1610612757,16,14,2021-11-21T03:20:49Z,600000,170.0,188.0,1,right,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2021-11-21T03:20:47.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,16,14,2021-11-21T03:20:49Z,610000,,,0,,T. Harris REBOUND (Off:0 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,61.0,4.0,4.0,0.0,,,,,,,,,,,,,,
63,PT06M33.00S,2021-11-21T03:20:56.7Z,1,REGULAR,3pt,Jump Shot,[],1627777,10.068988173455978,96.32352941176471,1610612755,16,17,2021-11-21T03:21:00Z,620000,-232.0,42.0,1,left,G. Niang 3PT  (3 PTS) (S. Curry 1 AST),"[1627777, 203552]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,23.54,Made,3.0,,,,,,,,,,,,,S. Curry,203552.0,1.0,,,
65,PT06M15.00S,2021-11-21T03:21:14.0Z,1,REGULAR,2pt,Jump Shot,[],1626181,92.19776609724047,19.607843137254903,1610612757,16,17,2021-11-21T03:21:17Z,640000,-152.0,21.0,1,right,MISS N. Powell 15' pullup Shot,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,15.34,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2021-11-21T03:21:16.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,16,17,2021-11-21T03:21:17Z,650000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT06M04.00S,2021-11-21T03:21:25.6Z,1,REGULAR,2pt,Jump Shot,[],1630178,19.530223390275953,75.73529411764706,1610612755,16,17,2021-11-21T03:21:31Z,660000,-129.0,131.0,1,left,MISS T. Maxey 18' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,18.37,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M58.00S,2021-11-21T03:21:31.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,16,17,2021-11-21T03:22:13Z,670000,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,,
69,PT05M52.00S,2021-11-21T03:21:37.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203081,94.1688567674113,48.529411764705884,1610612757,18,17,2021-11-21T03:21:42Z,680000,-7.0,2.0,1,right,D. Lillard running Layup (9 PTS),[203081],1610612757.0,POR,running,,,Lillard,D. Lillard,,,,,0.77,Made,9.0,,,,,,,,,,,,,,,,,,
70,PT05M46.00S,2021-11-21T03:21:47.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,18,17,2021-11-21T03:21:47Z,690000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,out,[],1626181,,,1610612755,18,17,2021-11-21T03:24:39Z,700000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,out,[],203994,,,1610612755,18,17,2021-11-21T03:24:39Z,710000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,out,[],203468,,,1610612755,18,17,2021-11-21T03:24:39Z,720000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,out,[],1627777,,,1610612755,18,17,2021-11-21T03:24:39Z,730000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,in,[],203469,,,1610612755,18,17,2021-11-21T03:24:39Z,740000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,in,[],1629642,,,1610612755,18,17,2021-11-21T03:24:39Z,750000,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,in,[],1629014,,,1610612755,18,17,2021-11-21T03:24:39Z,760000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M46.00S,2021-11-21T03:23:26.1Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,18,17,2021-11-21T03:24:39Z,770000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2021-11-21T03:24:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,6.915243101182654,46.32352941176471,1610612755,18,17,2021-11-21T03:25:01Z,780000,18.0,13.0,1,left,MISS T. Maxey driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M34.00S,2021-11-21T03:24:59.9Z,1,REGULAR,rebound,defensive,[],203469,,,1610612757,18,17,2021-11-21T03:25:01Z,790000,,,0,,C. Zeller REBOUND (Off:0 Def:1),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT05M14.00S,2021-11-21T03:25:20.3Z,1,REGULAR,3pt,Jump Shot,[],203081,93.64323258869908,4.166666666666666,1610612757,18,17,2021-11-21T03:25:25Z,800000,-229.0,7.0,1,right,MISS D. Lillard step back 3PT,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M10.00S,2021-11-21T03:25:24.3Z,1,REGULAR,rebound,offensive,[],1629642,,,1610612757,18,17,2021-11-21T03:25:25Z,810000,,,0,,N. Little REBOUND (Off:1 Def:0),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,,
84,PT05M09.00S,2021-11-21T03:25:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629642,94.1688567674113,48.77450980392157,1610612757,20,17,2021-11-21T03:25:28Z,820000,-6.0,2.0,1,right,N. Little putback Layup (2 PTS),[1629642],1610612757.0,POR,putback,,,Little,N. Little,,,,,0.65,Made,2.0,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2021-11-21T03:25:54.0Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612755,20,17,2021-11-21T03:26:10Z,830000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[203552],1610612755.0,PHI,bad pass,,,Curry,S. Curry,,,,,,,,,,,,,,203592.0,,,,,1.0,,,,,,
86,PT04M23.00S,2021-11-21T03:26:22.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203496,93.51182654402102,61.029411764705884,1610612757,20,17,2021-11-21T03:26:28Z,840000,55.0,8.0,1,right,MISS R. Covington driving floating Shot,[203496],1610612757.0,POR,driving floating,,,Covington,R. Covington,,,,,5.58,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M18.00S,2021-11-21T03:26:27.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,20,17,2021-11-21T03:26:27Z,850000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
