actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT11M11.00S,2022-03-31T02:15:19.3Z,1,REGULAR,steal,,[],1629637,,,1610612740,3,1,2022-03-31T02:16:06Z,170000,,,0,,J. Hayes STEAL (1 STL),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M04.00S,2022-03-31T02:15:24.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203468,66.3107752956636,25.49019607843137,1610612740,3,4,2022-03-31T02:18:45Z,180000,-123.0,264.0,1,right,C. McCollum 29' 3PT running (3 PTS) (B. Ingram 1 AST),"[203468, 1627742]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,,,,,,Made,,3.0,29.12,B. Ingram,1627742.0,1.0,,,,,,,,,
20,PT10M39.00S,2022-03-31T02:15:49.9Z,1,REGULAR,turnover,bad pass,[],1630314,,,1610612757,3,4,2022-03-31T02:15:56Z,200000,,,0,,B. Williams bad pass TURNOVER (1 TO),"[1630314, 1630529]",1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,,
21,PT10M39.00S,2022-03-31T02:15:49.9Z,1,REGULAR,steal,,[],1630529,,,1610612740,3,4,2022-03-31T02:15:51Z,210000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M35.00S,2022-03-31T02:15:53.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,73.01248357424441,16.42156862745098,1610612740,3,7,2022-03-31T02:16:00Z,220000,-168.0,201.0,1,right,C. McCollum 26' 3PT running pullup (6 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,,,,,,Made,,6.0,26.21,H. Jones,1630529.0,1.0,,,,,,,,,
24,PT10M20.00S,2022-03-31T02:16:08.9Z,1,REGULAR,turnover,lost ball,[],1630314,,,1610612757,3,7,2022-03-31T02:16:13Z,240000,,,0,,B. Williams lost ball TURNOVER (2 TO),"[1630314, 1630529]",1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,2.0,Jones,1630529.0,,,
25,PT10M20.00S,2022-03-31T02:16:08.9Z,1,REGULAR,steal,,[],1630529,,,1610612740,3,7,2022-03-31T02:16:11Z,250000,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2022-03-31T02:16:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,92.06636005256242,46.07843137254902,1610612740,3,7,2022-03-31T02:16:19Z,260000,-20.0,22.0,1,right,MISS H. Jones running Layup - blocked,"[1630529, 1630553]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,,,,,,Missed,,,2.95,,,,,,,,,,Johnson,1630553.0,
27,PT10M15.00S,2022-03-31T02:16:13.4Z,1,REGULAR,block,,[],1630553,,,1610612740,3,7,2022-03-31T02:16:16Z,270000,,,0,,K. Johnson BLOCK (1 BLK),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M12.00S,2022-03-31T02:16:16.4Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,3,7,2022-03-31T02:16:19Z,280000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,26.0,,,,,,1.0,1.0,0.0,,,,,,
29,PT10M10.00S,2022-03-31T02:16:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630535,19.136005256241788,7.352941176470589,1610612757,3,7,2022-03-31T02:20:30Z,290000,213.0,127.0,1,left,MISS G. Brown III 24' running 3PT,[1630535],1610612757.0,POR,running,,,Brown III,G. Brown III,,,,,,,,,,Missed,,,24.84,,,,,,,,,,,,
30,PT10M07.00S,2022-03-31T02:16:22.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,7,2022-03-31T02:16:32Z,300000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,29.0,,,,,,1.0,1.0,0.0,,,,,,
31,PT09M55.00S,2022-03-31T02:16:37.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,90.09526938239159,68.38235294117648,1610612740,3,9,2022-03-31T02:21:35Z,310000,92.0,41.0,1,right,B. Ingram 10' driving floating bank Jump Shot (3 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,driving floating bank,,,Ingram,B. Ingram,,,,,,,,,,Made,,3.0,10.05,J. Valanciunas,202685.0,1.0,,,,,,,,,
33,PT09M55.00S,2022-03-31T02:16:41.5Z,1,REGULAR,foul,personal,['1freethrow'],1630553,,,1610612740,3,9,2022-03-31T02:16:57Z,330000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Ingram 1 FT),"[1630553, 1627742]",1610612757.0,POR,shooting,,,Johnson,K. Johnson,,,,,202026.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,,
35,PT09M55.00S,2022-03-31T02:17:00.8Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,3,10,2022-03-31T02:17:00Z,350000,,,0,,B. Ingram Free Throw 1 of 1 (4 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
36,PT09M47.00S,2022-03-31T02:17:11.9Z,1,REGULAR,turnover,bad pass,[],1629234,,,1610612757,3,10,2022-03-31T02:17:17Z,360000,,,0,,D. Eubanks bad pass TURNOVER (1 TO),"[1629234, 202685]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,1.0,Valanciunas,202685.0,,,
37,PT09M47.00S,2022-03-31T02:17:11.9Z,1,REGULAR,steal,,[],202685,,,1610612740,3,10,2022-03-31T02:17:14Z,370000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M41.00S,2022-03-31T02:17:18.2Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629637,88.12417871222075,52.94117647058824,1610612740,3,12,2022-03-31T03:17:14Z,380000,15.0,59.0,1,right,J. Hayes 6' driving Hook (2 PTS) (H. Jones 2 AST),"[1629637, 1630529]",1610612740.0,NOP,driving,,,Hayes,J. Hayes,,,,,,,,,,Made,,2.0,6.09,H. Jones,1630529.0,2.0,,,,,,,,,
40,PT09M31.00S,2022-03-31T02:17:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630553,34.773324572930356,53.67647058823529,1610612757,6,12,2022-03-31T02:17:32Z,400000,-18.0,274.0,1,left,K. Johnson 27' 3PT  (3 PTS) (B. Williams 2 AST),"[1630553, 1630314]",1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,Made,,3.0,27.5,B. Williams,1630314.0,2.0,,,,,,,,,
42,PT09M16.00S,2022-03-31T02:17:43.5Z,1,REGULAR,turnover,lost ball,[],1630529,,,1610612740,6,12,2022-03-31T02:17:48Z,420000,,,0,,H. Jones lost ball TURNOVER (1 TO),"[1630529, 1630314]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,1.0,Williams,1630314.0,,,
43,PT09M16.00S,2022-03-31T02:17:43.5Z,1,REGULAR,steal,,[],1630314,,,1610612757,6,12,2022-03-31T02:17:46Z,430000,,,0,,B. Williams STEAL (1 STL),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M11.00S,2022-03-31T02:17:48.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630553,22.421156373193167,10.049019607843137,1610612757,6,12,2022-03-31T02:17:53Z,440000,200.0,158.0,1,left,MISS K. Johnson 25' running pullup 3PT,[1630553],1610612757.0,POR,running pullup,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,25.49,,,,,,,,,,,,
45,PT09M07.00S,2022-03-31T02:17:52.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,6,12,2022-03-31T02:17:53Z,450000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,44.0,,,,,,2.0,2.0,0.0,,,,,,
46,PT09M04.00S,2022-03-31T02:17:55.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627742,76.82325886990802,57.59803921568627,1610612740,6,14,2022-03-31T02:18:00Z,460000,38.0,165.0,1,right,B. Ingram 16' running pullup Jump Shot (6 PTS),[1627742],1610612740.0,NOP,running pullup,,,Ingram,B. Ingram,,,,,,,,,,Made,,6.0,16.97,,,,,,,,,,,,
47,PT08M47.00S,2022-03-31T02:18:12.7Z,1,REGULAR,turnover,bad pass,[],1630314,,,1610612757,6,14,2022-03-31T02:18:16Z,470000,,,0,,B. Williams bad pass TURNOVER (3 TO),"[1630314, 1627742]",1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,3.0,Ingram,1627742.0,,,
48,PT08M47.00S,2022-03-31T02:18:12.7Z,1,REGULAR,steal,,[],1627742,,,1610612740,6,14,2022-03-31T02:18:14Z,480000,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M41.00S,2022-03-31T02:18:19.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203468,93.24901445466492,52.450980392156865,1610612740,6,16,2022-03-31T02:18:26Z,490000,12.0,11.0,1,right,C. McCollum running Layup (8 PTS),[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,,,,,,Made,,8.0,1.65,,,,,,,,,,,,
50,PT08M28.00S,2022-03-31T02:18:31.4Z,1,REGULAR,3pt,Jump Shot,[],1630314,7.703679369250986,94.6078431372549,1610612757,9,16,2022-03-31T02:18:37Z,500000,-223.0,20.0,1,left,B. Williams 3PT step back (3 PTS),[1630314],1610612757.0,POR,step back,,,Williams,B. Williams,,,,,,,,,,Made,,3.0,22.39,,,,,,,,,,,,
51,PT08M12.00S,2022-03-31T02:18:46.8Z,1,REGULAR,3pt,Jump Shot,[],1629637,89.17542706964521,3.9215686274509802,1610612740,9,16,2022-03-31T02:18:51Z,510000,-230.0,49.0,1,right,MISS J. Hayes 3PT,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,Missed,,,23.56,,,,,,,,,,,,
52,PT08M09.00S,2022-03-31T02:18:49.8Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,9,16,2022-03-31T02:18:51Z,520000,,,0,,C. Elleby REBOUND (Off:0 Def:2),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,51.0,,,,,,2.0,2.0,0.0,,,,,,
53,PT08M05.00S,2022-03-31T02:18:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629604,8.229303547963205,42.15686274509804,1610612757,9,16,2022-03-31T02:19:03Z,530000,39.0,25.0,1,left,MISS C. Elleby running Layup,[1629604],1610612757.0,POR,running,,,Elleby,C. Elleby,,,,,,,,,,Missed,,,4.64,,,,,,,,,,,,
54,PT08M02.00S,2022-03-31T02:18:58.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,9,16,2022-03-31T02:19:03Z,540000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,53.0,,,,,,1.0,1.0,0.0,,,,,,
55,PT07M53.00S,2022-03-31T02:19:06.6Z,1,REGULAR,2pt,Jump Shot,[],203468,89.43823915900131,75.73529411764706,1610612740,9,18,2022-03-31T02:19:18Z,550000,129.0,47.0,1,right,C. McCollum 13' fadeaway Jump Shot (10 PTS),[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,,,,,,Made,,10.0,13.69,,,,,,,,,,,,
56,PT07M42.00S,2022-03-31T02:19:23.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,9,18,2022-03-31T02:19:23Z,560000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M42.00S,2022-03-31T02:21:54.1Z,1,REGULAR,substitution,out,[],1629637,,,1610612757,9,18,2022-03-31T02:22:12Z,570000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M42.00S,2022-03-31T02:21:54.1Z,1,REGULAR,substitution,in,[],1630530,,,1610612757,9,18,2022-03-31T02:22:12Z,580000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M30.00S,2022-03-31T02:22:39.0Z,1,REGULAR,3pt,Jump Shot,[],1630535,31.488173455978973,63.23529411764706,1610612757,12,18,2022-03-31T02:22:45Z,590000,-66.0,243.0,1,left,G. Brown III 25' 3PT  (6 PTS) (B. Williams 3 AST),"[1630535, 1630314]",1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,Made,,6.0,25.23,B. Williams,1630314.0,3.0,,,,,,,,,
61,PT07M13.00S,2022-03-31T02:22:56.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,79.31997371879106,62.5,1610612740,12,18,2022-03-31T02:23:00Z,610000,62.0,142.0,1,right,MISS B. Ingram 15' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,15.51,,,,,,,,,,,,
62,PT07M11.00S,2022-03-31T02:22:58.9Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,12,18,2022-03-31T02:23:00Z,620000,,,0,,C. Elleby REBOUND (Off:0 Def:3),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,61.0,,,,,,3.0,3.0,0.0,,,,,,
63,PT07M04.00S,2022-03-31T02:23:05.8Z,1,REGULAR,3pt,Jump Shot,[],1630314,29.122864651773984,24.264705882352942,1610612757,15,18,2022-03-31T02:23:10Z,630000,129.0,221.0,1,left,B. Williams 25' 3PT  (6 PTS) (G. Brown III 1 AST),"[1630314, 1630535]",1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,Made,,6.0,25.6,G. Brown III,1630535.0,1.0,,,,,,,,,
65,PT06M37.00S,2022-03-31T02:23:31.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,86.41590013140605,53.18627450980392,1610612740,15,20,2022-03-31T02:23:42Z,650000,16.0,75.0,1,right,J. Valanciunas 7' turnaround Hook (2 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,,,,,,Made,,2.0,7.69,,,,,,,,,,,,
66,PT06M16.00S,2022-03-31T02:23:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,12.959921156373195,51.9607843137255,1610612757,15,20,2022-03-31T02:24:00Z,660000,-10.0,69.0,1,left,MISS C. Elleby 7' finger roll Layup,[1629604],1610612757.0,POR,finger roll,,,Elleby,C. Elleby,,,,,,,,,,Missed,,,7.0,,,,,,,,,,,,
67,PT06M14.00S,2022-03-31T02:23:55.1Z,1,REGULAR,rebound,offensive,[],1629604,,,1610612757,15,20,2022-03-31T02:23:55Z,670000,,,0,,C. Elleby REBOUND (Off:1 Def:3),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,66.0,,,,,,4.0,3.0,1.0,,,,,,
68,PT06M14.00S,2022-03-31T02:23:56.8Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612757,15,20,2022-03-31T02:24:06Z,680000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Elleby 2 FT),"[202685, 1629604]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,1179.0,1.0,0.0,Elleby,1629604.0,,,,,,,,,,,,,,,,
70,PT06M14.00S,2022-03-31T02:24:28.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629604,,,1610612757,16,20,2022-03-31T02:24:28Z,700000,,,0,,C. Elleby Free Throw 1 of 2 (1 PTS),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
71,PT06M14.00S,2022-03-31T02:24:35.4Z,1,REGULAR,substitution,out,[],1630553,,,1610612757,16,20,2022-03-31T02:24:49Z,710000,,,0,,SUB out: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M14.00S,2022-03-31T02:24:35.4Z,1,REGULAR,substitution,in,[],203463,,,1610612757,16,20,2022-03-31T02:24:49Z,720000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M14.00S,2022-03-31T02:24:59.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629604,,,1610612757,17,20,2022-03-31T02:24:59Z,730000,,,0,,C. Elleby Free Throw 2 of 2 (2 PTS),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,Made,,2.0,,,,,,,,,,,,,
74,PT06M04.00S,2022-03-31T02:25:14.8Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,17,20,2022-03-31T02:25:19Z,740000,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1629234]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,1.0,Eubanks,1629234.0,,,
75,PT06M04.00S,2022-03-31T02:25:14.8Z,1,REGULAR,steal,,[],1629234,,,1610612757,17,20,2022-03-31T02:25:17Z,750000,,,0,,D. Eubanks STEAL (1 STL),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M59.00S,2022-03-31T02:25:19.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203463,8.229303547963205,94.6078431372549,1610612757,20,20,2022-03-31T02:25:32Z,760000,-223.0,25.0,1,left,B. McLemore 3PT running (3 PTS) (G. Brown III 2 AST),"[203463, 1630535]",1610612757.0,POR,running,,,McLemore,B. McLemore,,,,,,,,,,Made,,3.0,22.44,G. Brown III,1630535.0,2.0,,,,,,,,,
78,PT05M55.00S,2022-03-31T02:25:28.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,20,20,2022-03-31T02:25:28Z,780000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2022-03-31T02:27:59.2Z,1,REGULAR,substitution,out,[],1630535,,,1610612740,20,20,2022-03-31T02:28:20Z,790000,,,0,,SUB out: G. Brown III,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2022-03-31T02:27:59.2Z,1,REGULAR,substitution,in,[],1629833,,,1610612740,20,20,2022-03-31T02:28:20Z,800000,,,0,,SUB in: K. Blevins,[1629833],1610612757.0,POR,,,,Blevins,K. Blevins,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M36.00S,2022-03-31T02:28:40.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.21747700394218,51.71568627450981,1610612740,20,20,2022-03-31T02:28:52Z,810000,9.0,162.0,1,right,MISS B. Ingram 16' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,16.19,,,,,,,,,,,,
82,PT05M33.00S,2022-03-31T02:28:43.1Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612757,20,20,2022-03-31T02:28:52Z,820000,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,81.0,,,,,,1.0,1.0,0.0,,,,,,
83,PT05M16.00S,2022-03-31T02:28:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,8.754927726675426,58.57843137254902,1610612757,22,20,2022-03-31T02:29:04Z,830000,-43.0,30.0,1,left,D. Eubanks turnaround Hook (2 PTS) (B. Williams 4 AST),"[1629234, 1630314]",1610612757.0,POR,turnaround,,,Eubanks,D. Eubanks,,,,,,,,,,Made,,2.0,5.22,B. Williams,1630314.0,4.0,,,,,,,,,
85,PT05M05.00S,2022-03-31T02:29:11.1Z,1,REGULAR,2pt,Jump Shot,[],203468,78.79434954007884,25.735294117647058,1610612740,22,22,2022-03-31T02:29:15Z,850000,-121.0,147.0,1,right,C. McCollum 19' pullup Jump Shot (12 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,,,,,,Made,,12.0,19.04,,,,,,,,,,,,
86,PT04M49.00S,2022-03-31T02:29:27.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,15.588042049934298,42.8921568627451,1610612757,24,22,2022-03-31T02:30:42Z,860000,36.0,94.0,1,left,D. Eubanks 10' Hook (4 PTS) (B. Williams 5 AST),"[1629234, 1630314]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,Made,,4.0,10.05,B. Williams,1630314.0,5.0,,,,,,,,,
88,PT04M36.00S,2022-03-31T02:29:39.7Z,1,REGULAR,3pt,Jump Shot,[],203468,73.9323258869908,14.460784313725492,1610612740,24,22,2022-03-31T02:29:46Z,880000,-178.0,193.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,,,,,,Missed,,,26.2,,,,,,,,,,,,
89,PT04M36.00S,2022-03-31T02:29:39.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,24,22,2022-03-31T02:29:46Z,890000,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,88.0,,,,,,2.0,2.0,0.0,,,,,,
