actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
45,PT08M08.00S,2021-11-18T03:16:22.6Z,1,REGULAR,2pt,Jump Shot,[],203468,22.421156373193167,49.01960784313725,1610612757,6,13,2021-11-18T03:16:25Z,450000,5.0,158.0,1,left,MISS C. McCollum 15' turnaround fadeaway Shot,[203468],1610612757.0,POR,turnaround fadeaway,,,McCollum,C. McCollum,,,,,,,,,,15.84,Missed,,,,,,,,,,,,,,
46,PT08M05.00S,2021-11-18T03:16:25.6Z,1,REGULAR,rebound,defensive,[],1628396,,,1610612741,6,13,2021-11-18T03:16:25Z,460000,,,0,,T. Bradley REBOUND (Off:0 Def:1),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,
47,PT07M58.00S,2021-11-18T03:16:31.9Z,1,REGULAR,2pt,Jump Shot,[],203897,80.76544021024968,71.81372549019608,1610612741,6,15,2021-11-18T03:16:36Z,470000,109.0,128.0,1,right,Z. LaVine 16' fadeaway Jump Shot (5 PTS),[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,,,,,,16.84,Made,,,,,,,5.0,,,,,,,
48,PT07M57.00S,2021-11-18T03:16:39.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,6,15,2021-11-18T03:16:39Z,480000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M36.00S,2021-11-18T03:19:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203496,5.863994743758213,55.14705882352941,1610612757,8,15,2021-11-18T03:19:53Z,490000,-26.0,3.0,1,left,R. Covington driving floating bank Jump Shot (2 PTS) (D. Lillard 2 AST),"[203496, 203081]",1610612757.0,POR,driving floating bank,,,Covington,R. Covington,,,,,,,,,,2.58,Made,,,,,,,2.0,,,,D. Lillard,203081.0,2.0,
55,PT07M30.00S,2021-11-18T03:19:59.6Z,1,REGULAR,violation,kicked ball,[],203468,,,1610612741,8,15,2021-11-18T03:20:06Z,520000,,,0,,C. McCollum kicked ball VIOLATION,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,1627541.0,,,,,,,,,,,,,,,,,,,,
104,PT07M13.00S,2021-11-18T03:20:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627936,89.79960578186596,51.71568627450981,1610612741,8,15,2021-11-18T03:28:04Z,535000,9.0,43.0,1,right,MISS A. Caruso driving Layup - blocked,"[1627936, 203994]",1610612741.0,CHI,driving,,,Caruso,A. Caruso,,,,,,,,,,4.42,Missed,Nurkic,203994.0,,,,,,,,,,,,
105,PT07M13.00S,2021-11-18T03:20:19.3Z,1,REGULAR,block,,[],203994,,,1610612741,8,15,2021-11-18T03:28:04Z,542500,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT07M12.00S,2021-11-18T03:20:20.3Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,8,15,2021-11-18T03:28:04Z,546250,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,
58,PT07M10.00S,2021-11-18T03:20:39.1Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612757,8,15,2021-11-18T03:20:45Z,550000,,,0,,L. Ball shooting personal FOUL (1 PF) (Powell 2 FT),"[1628366, 1626181]",1610612741.0,CHI,shooting,,,Ball,L. Ball,,,,,1162.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,,
60,PT07M10.00S,2021-11-18T03:21:02.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1626181,,,1610612757,9,15,2021-11-18T03:26:36Z,570000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
61,PT07M10.00S,2021-11-18T03:21:17.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1626181,,,1610612757,10,15,2021-11-18T03:26:36Z,580000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,Made,,,,,,,2.0,,,,,,,
62,PT06M47.00S,2021-11-18T03:21:41.5Z,1,REGULAR,3pt,Jump Shot,[],201942,91.27792378449409,3.1862745098039214,1610612741,10,15,2021-11-18T03:21:45Z,590000,-234.0,29.0,1,right,MISS D. DeRozan pullup 3PT,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,,,,23.6,Missed,,,,,,,,,,,,,,
63,PT06M44.00S,2021-11-18T03:21:44.5Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,10,15,2021-11-18T03:21:45Z,600000,,,0,,A. Caruso REBOUND (Off:2 Def:0),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,62.0,2.0,0.0,2.0,,,,,,,,
64,PT06M43.00S,2021-11-18T03:21:46.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201942,94.56307490144546,51.470588235294116,1610612741,10,17,2021-11-18T03:21:51Z,610000,7.0,-1.0,1,right,D. DeRozan cutting Layup (6 PTS) (A. Caruso 2 AST),"[201942, 1627936]",1610612741.0,CHI,cutting,,,DeRozan,D. DeRozan,,,,,,,,,,0.75,Made,,,,,,,6.0,,,,A. Caruso,1627936.0,2.0,
66,PT06M32.00S,2021-11-18T03:21:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,5.469776609724048,47.794117647058826,1610612757,10,17,2021-11-18T03:22:06Z,630000,11.0,-1.0,1,left,MISS J. Nurkic cutting Layup - blocked,"[203994, 203897]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,,,,,,1.11,Missed,LaVine,203897.0,,,,,,,,,,,,
67,PT06M32.00S,2021-11-18T03:21:58.3Z,1,REGULAR,block,,[],203897,,,1610612757,10,17,2021-11-18T03:22:01Z,640000,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M32.00S,2021-11-18T03:21:58.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,10,17,2021-11-18T03:22:06Z,650000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,
69,PT06M32.00S,2021-11-18T03:22:03.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,10,17,2021-11-18T03:22:03Z,660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2021-11-18T03:22:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626181,5.863994743758213,47.05882352941176,1610612757,10,17,2021-11-18T03:22:28Z,670000,15.0,3.0,1,left,MISS N. Powell driving finger roll Layup,[1626181],1610612757.0,POR,driving finger roll,,,Powell,N. Powell,,,,,,,,,,1.49,Missed,,,,,,,,,,,,,,
71,PT06M18.00S,2021-11-18T03:22:25.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,10,17,2021-11-18T03:22:25Z,680000,,,0,,J. Nurkic REBOUND (Off:4 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,70.0,5.0,1.0,4.0,,,,,,,,
72,PT06M16.00S,2021-11-18T03:22:27.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203496,23.866622864651774,87.74509803921569,1610612757,10,17,2021-11-18T03:22:33Z,690000,-189.0,172.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,25.52,Missed,,,,,,,,,,,,,,
73,PT06M11.00S,2021-11-18T03:22:32.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,10,17,2021-11-18T03:22:33Z,700000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,
74,PT06M02.00S,2021-11-18T03:22:40.7Z,1,REGULAR,3pt,Jump Shot,[],201942,89.17542706964521,95.58823529411765,1610612741,10,17,2021-11-18T03:22:45Z,710000,228.0,49.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,23.32,Missed,,,,,,,,,,,,,,
75,PT06M01.00S,2021-11-18T03:22:41.7Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,10,17,2021-11-18T03:22:45Z,720000,,,0,,A. Caruso REBOUND (Off:3 Def:0),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,74.0,3.0,0.0,3.0,,,,,,,,
76,PT05M58.00S,2021-11-18T03:22:46.1Z,1,REGULAR,foul,personal,['2freethrow'],203081,,,1610612741,10,17,2021-11-18T03:22:55Z,730000,,,0,,D. Lillard shooting personal FOUL (1 PF) (Caruso 2 FT),"[203081, 1627936]",1610612757.0,POR,shooting,,,Lillard,D. Lillard,,,,,1627541.0,1.0,0.0,Caruso,1627936.0,,,,,,,,,,,,,,,,
78,PT05M58.00S,2021-11-18T03:23:27.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627936,,,1610612741,10,17,2021-11-18T03:23:27Z,750000,,,0,,MISS A. Caruso Free Throw 1 of 2,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,Missed,,,,,,,,,,,,,,
79,PT05M58.00S,2021-11-18T03:23:27.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,10,17,2021-11-18T03:23:27Z,760000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,
80,PT05M58.00S,2021-11-18T03:23:27.8Z,1,REGULAR,substitution,out,[],201942,,,1610612741,10,17,2021-11-18T03:23:32Z,770000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M58.00S,2021-11-18T03:23:27.8Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,10,17,2021-11-18T03:23:32Z,780000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M58.00S,2021-11-18T03:23:27.8Z,1,REGULAR,substitution,out,[],203468,,,1610612741,10,17,2021-11-18T03:24:06Z,785000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M58.00S,2021-11-18T03:23:27.8Z,1,REGULAR,substitution,in,[],1629014,,,1610612741,10,17,2021-11-18T03:24:06Z,787500,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2021-11-18T03:23:49.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627936,,,1610612741,10,18,2021-11-18T03:23:49Z,790000,,,0,,A. Caruso Free Throw 2 of 2 (1 PTS),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
85,PT05M36.00S,2021-11-18T03:24:13.3Z,1,REGULAR,3pt,Jump Shot,[],203496,28.33442838370565,22.30392156862745,1610612757,13,18,2021-11-18T03:24:17Z,800000,138.0,214.0,1,left,R. Covington 25' 3PT  (5 PTS) (D. Lillard 3 AST),"[203496, 203081]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,25.47,Made,,,,,,,5.0,,,,D. Lillard,203081.0,3.0,
87,PT05M22.00S,2021-11-18T03:24:26.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628396,91.27792378449409,51.71568627450981,1610612741,13,18,2021-11-18T03:24:31Z,820000,9.0,29.0,1,right,MISS T. Bradley cutting DUNK - blocked,"[1628396, 203081]",1610612741.0,CHI,cutting,,,Bradley,T. Bradley,,,,,,,,,,3.07,Missed,Lillard,203081.0,,,,,,,,,,,,
