actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value
33,PT09M04.00S,2022-02-05T03:14:53.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,5,2022-02-05T03:14:53Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2022-02-05T03:15:08.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,5.995400788436268,50.0,1610612760,2,7,2022-02-05T03:15:11Z,340000,0.0,4.0,1,left,T. Mann driving finger roll Layup (2 PTS),[1630544],1610612760.0,OKC,driving finger roll,,,Mann,T. Mann,,,,,0.39,Made,,,,,,,,,,,,,,,2.0,,,,
35,PT08M37.00S,2022-02-05T03:15:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.51182654402102,49.26470588235294,1610612757,4,7,2022-02-05T03:15:28Z,350000,-4.0,8.0,1,right,C. McCollum alley-oop Layup (2 PTS) (J. Nurkic 2 AST),"[203468, 203994]",1610612757.0,POR,alley-oop,,,McCollum,C. McCollum,,,,,0.93,Made,,,,,,,,,,,,,,,2.0,J. Nurkic,203994.0,2.0,
37,PT08M20.00S,2022-02-05T03:15:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,18.610381077529567,40.44117647058824,1610612760,4,7,2022-02-05T03:15:42Z,370000,48.0,122.0,1,left,MISS J. Giddey 13' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,13.14,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M17.00S,2022-02-05T03:15:41.5Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,4,7,2022-02-05T03:15:42Z,380000,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
39,PT08M17.00S,2022-02-05T03:15:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,5.590000152587891,50.0,1610612760,4,7,2022-02-05T03:15:41Z,390000,0.0,0.0,1,left,MISS J. Giddey tip Layup,[1630581],1610612760.0,OKC,tip,,,Giddey,J. Giddey,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M16.00S,2022-02-05T03:15:42.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,4,7,2022-02-05T03:15:42Z,400000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M12.00S,2022-02-05T03:15:46.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,76.03482260183968,85.04901960784314,1610612757,4,7,2022-02-05T03:15:51Z,410000,175.0,173.0,1,right,MISS A. Simons 24' running 3PT,[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M09.00S,2022-02-05T03:15:50.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,7,2022-02-05T03:15:50Z,420000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-02-05T03:15:52.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203503,94.30026281208936,95.58823529411765,1610612757,4,7,2022-02-05T03:15:56Z,430000,228.0,1.0,1,right,MISS T. Snell 3PT,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M04.00S,2022-02-05T03:15:55.2Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,7,2022-02-05T03:15:56Z,440000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,43.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
45,PT08M01.00S,2022-02-05T03:15:57.8Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612757,4,7,2022-02-05T03:16:03Z,450000,,,0,,J. Nurkic lost ball TURNOVER (1 TO),"[203994, 1630544]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,1.0,Mann,1630544.0,,,,,,,,,,
46,PT08M01.00S,2022-02-05T03:15:57.8Z,1,REGULAR,steal,,[],1630544,,,1610612760,4,7,2022-02-05T03:21:15Z,460000,,,0,,T. Mann STEAL (1 STL),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M48.00S,2022-02-05T03:16:11.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629647,21.23850197109067,91.91176470588235,1610612760,4,7,2022-02-05T03:16:15Z,470000,-210.0,147.0,1,left,MISS D. Bazley 25' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M46.00S,2022-02-05T03:16:13.6Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,4,7,2022-02-05T03:16:15Z,480000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT07M35.00S,2022-02-05T03:16:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629604,93.9060446780552,49.01960784313725,1610612757,6,7,2022-02-05T03:16:27Z,490000,-5.0,5.0,1,right,C. Elleby driving Layup (2 PTS) (C. McCollum 1 AST),"[1629604, 203468]",1610612757.0,POR,driving,,,Elleby,C. Elleby,,,,,0.69,Made,,,,,,,,,,,,,,,2.0,C. McCollum,203468.0,1.0,
51,PT07M26.00S,2022-02-05T03:16:37.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,6,7,2022-02-05T03:16:37Z,510000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M26.00S,2022-02-05T03:18:53.3Z,1,REGULAR,substitution,out,[],203503,,,1610612760,6,7,2022-02-05T03:19:23Z,520000,,,0,,SUB out: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2022-02-05T03:18:53.3Z,1,REGULAR,substitution,in,[],1630535,,,1610612760,6,7,2022-02-05T03:19:23Z,530000,,,0,,SUB in: G. Brown III,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M12.00S,2022-02-05T03:19:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,12.828515111695138,50.73529411764706,1610612760,6,9,2022-02-05T03:19:49Z,540000,-4.0,68.0,1,left,L. Dort 6' floating Jump Shot (5 PTS),[1629652],1610612760.0,OKC,floating,,,Dort,L. Dort,,,,,6.82,Made,,,,,,,,,,,,,,,5.0,,,,
55,PT06M51.00S,2022-02-05T03:20:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629604,85.10183968462549,49.01960784313725,1610612757,6,9,2022-02-05T03:20:06Z,550000,-5.0,88.0,1,right,MISS C. Elleby 8' driving floating Shot,[1629604],1610612757.0,POR,driving floating,,,Elleby,C. Elleby,,,,,8.76,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2022-02-05T03:20:05.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,6,9,2022-02-05T03:20:06Z,560000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M40.00S,2022-02-05T03:20:14.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,13.87976346911958,51.470588235294116,1610612760,6,11,2022-02-05T03:20:19Z,570000,-7.0,78.0,1,left,J. Giddey 7' driving floating Jump Shot (2 PTS) (M. Diakite 2 AST),"[1630581, 1629603]",1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,7.84,Made,,,,,,,,,,,,,,,2.0,M. Diakite,1629603.0,2.0,
59,PT06M22.00S,2022-02-05T03:20:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630535,66.70499342969777,47.794117647058826,1610612757,6,11,2022-02-05T03:20:35Z,590000,-11.0,260.0,1,right,MISS G. Brown III 26' 3PT,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M20.00S,2022-02-05T03:20:33.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,6,11,2022-02-05T03:20:35Z,600000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
61,PT06M11.00S,2022-02-05T03:20:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630544,19.267411300919843,92.64705882352942,1610612760,6,11,2022-02-05T03:20:48Z,610000,-213.0,129.0,1,left,MISS T. Mann 24' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,24.9,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M09.00S,2022-02-05T03:20:46.0Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612760,6,11,2022-02-05T03:20:46Z,620000,,,0,,T. Mann REBOUND (Off:1 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
63,PT06M06.00S,2022-02-05T03:20:49.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630544,6.783837056504599,53.431372549019606,1610612760,6,11,2022-02-05T03:20:53Z,630000,-17.0,11.0,1,left,MISS T. Mann driving Layup - blocked,"[1630544, 1630535]",1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,2.06,Missed,,,,,Brown III,1630535.0,,,,,,,,,,,,,
64,PT06M06.00S,2022-02-05T03:20:49.5Z,1,REGULAR,block,,[],1630535,,,1610612760,6,11,2022-02-05T03:20:52Z,640000,,,0,,G. Brown III BLOCK (1 BLK),[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2022-02-05T03:20:49.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,6,11,2022-02-05T03:20:53Z,650000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,
66,PT06M06.00S,2022-02-05T03:20:53.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,6,11,2022-02-05T03:20:53Z,660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M06.00S,2022-02-05T03:20:54.4Z,1,REGULAR,substitution,out,[],203468,,,1610612760,6,11,2022-02-05T03:20:59Z,670000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M06.00S,2022-02-05T03:20:54.4Z,1,REGULAR,substitution,in,[],203463,,,1610612760,6,11,2022-02-05T03:20:59Z,680000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2022-02-05T03:21:15.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630581,10.988830486202366,38.970588235294116,1610612760,6,11,2022-02-05T03:22:53Z,690000,55.0,51.0,1,left,MISS J. Giddey 7' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,7.49,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2022-02-05T03:21:17.8Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,6,11,2022-02-05T03:21:23Z,700000,,,0,,D. Bazley REBOUND (Off:1 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,69.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
71,PT05M55.00S,2022-02-05T03:21:17.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629647,5.590000152587891,50.0,1610612760,6,11,2022-02-05T03:21:33Z,710000,0.0,0.0,1,left,MISS D. Bazley tip Layup,[1629647],1610612760.0,OKC,tip,,,Bazley,D. Bazley,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M54.00S,2022-02-05T03:21:18.9Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,6,11,2022-02-05T03:26:38Z,720000,,,0,,C. Elleby REBOUND (Off:1 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,71.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
73,PT05M52.00S,2022-02-05T03:21:21.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630535,93.51182654402102,51.71568627450981,1610612757,8,11,2022-02-05T03:21:31Z,730000,9.0,8.0,1,right,G. Brown III running alley-oop DUNK (2 PTS) (C. Elleby 1 AST),"[1630535, 1629604]",1610612757.0,POR,running alley-oop,,,Brown III,G. Brown III,,,,,1.21,Made,,,,,,,,,,,,,,,2.0,C. Elleby,1629604.0,1.0,
75,PT05M37.00S,2022-02-05T03:21:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630544,34.247700394218136,45.588235294117645,1610612760,8,11,2022-02-05T03:26:48Z,750000,22.0,269.0,1,left,MISS T. Mann 27' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,27.03,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2022-02-05T03:21:39.1Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,8,11,2022-02-05T03:21:40Z,760000,,,0,,C. Elleby REBOUND (Off:1 Def:2),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
77,PT05M27.00S,2022-02-05T03:21:46.0Z,1,REGULAR,3pt,Jump Shot,[],203463,77.61169513797634,88.72549019607843,1610612757,8,11,2022-02-05T03:21:49Z,770000,194.0,158.0,1,right,MISS B. McLemore 24' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2022-02-05T03:21:46.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,8,11,2022-02-05T03:21:49Z,780000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,
79,PT05M27.00S,2022-02-05T03:21:50.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,8,11,2022-02-05T03:21:50Z,790000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2022-02-05T03:22:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.178055190538765,46.32352941176471,1610612760,8,11,2022-02-05T03:22:28Z,800000,18.0,15.0,1,left,MISS D. Bazley driving Layup - blocked,"[1629647, 1629604]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,2.37,Missed,,,,,Elleby,1629604.0,,,,,,,,,,,,,
89,PT05M09.00S,2022-02-05T03:22:19.8Z,1,REGULAR,block,,[],1629604,,,1610612760,8,11,2022-02-05T03:24:00Z,805000,,,0,,C. Elleby BLOCK (1 BLK),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M09.00S,2022-02-05T03:22:19.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,8,11,2022-02-05T03:22:53Z,810000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2022-02-05T03:22:29.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,8,11,2022-02-05T03:22:53Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2022-02-05T03:22:30.3Z,1,REGULAR,substitution,out,[],1629603,,,1610612760,8,11,2022-02-05T03:22:53Z,830000,,,0,,SUB out: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2022-02-05T03:22:30.3Z,1,REGULAR,substitution,in,[],1629660,,,1610612760,8,11,2022-02-05T03:22:53Z,840000,,,0,,SUB in: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
