actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
45,PT08M18.00S,2022-01-08T03:17:05.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,6,4,2022-01-08T03:17:09Z,450000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT08M03.00S,2022-01-08T03:17:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,15.062417871222076,59.068627450980394,1610612739,6,4,2022-01-08T03:17:23Z,460000,-45.0,89.0,1,left,MISS E. Mobley 10' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,10.0,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M02.00S,2022-01-08T03:17:21.1Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,6,4,2022-01-08T03:17:23Z,470000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
50,PT07M49.00S,2022-01-08T03:17:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,89.56964520367937,49.754901960784316,1610612757,6,4,2022-01-08T03:17:41Z,480000,-1.0,46.0,1,right,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,4.55,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M47.00S,2022-01-08T03:17:36.8Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,4,2022-01-08T03:17:41Z,490000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
52,PT07M45.00S,2022-01-08T03:17:42.9Z,1,REGULAR,foul,personal,[],1629642,,,1610612739,6,4,2022-01-08T03:17:55Z,500000,,,0,,N. Little take personal FOUL (1 PF),"[1629642, 1629636]",1610612757.0,POR,take,,,Little,N. Little,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Garland,1629636.0,,,,
54,PT07M27.00S,2022-01-08T03:18:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,8.492115637319317,49.50980392156863,1610612739,6,4,2022-01-08T03:18:22Z,520000,2.0,27.0,1,left,MISS D. Garland driving Layup - blocked,"[1629636, 203496]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,2.74,Missed,,,,,Covington,203496.0,,,,,,,,,,,,,
55,PT07M27.00S,2022-01-08T03:18:19.5Z,1,REGULAR,block,,[],203496,,,1610612739,6,4,2022-01-08T03:18:21Z,530000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M25.00S,2022-01-08T03:18:21.5Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,6,4,2022-01-08T03:18:22Z,540000,,,0,,N. Little REBOUND (Off:0 Def:3),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
57,PT07M23.00S,2022-01-08T03:18:24.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629642,92.06636005256242,45.34313725490196,1610612757,6,4,2022-01-08T03:18:29Z,550000,-23.0,22.0,1,right,MISS N. Little running Layup,[1629642],1610612757.0,POR,running,,,Little,N. Little,,,,,3.21,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2022-01-08T03:18:28.5Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612757,6,4,2022-01-08T03:18:29Z,560000,,,0,,N. Powell REBOUND (Off:1 Def:0),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
59,PT07M19.00S,2022-01-08T03:18:27.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626181,94.40999984741211,50.0,1610612757,6,4,2022-01-08T03:18:27Z,570000,0.0,0.0,1,right,MISS N. Powell tip Layup,[1626181],1610612757.0,POR,tip,,,Powell,N. Powell,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M18.00S,2022-01-08T03:18:28.3Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,6,4,2022-01-08T03:18:28Z,580000,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
61,PT07M16.00S,2022-01-08T03:18:31.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630205,7.440867279894875,45.83333333333333,1610612739,6,6,2022-01-08T03:23:13Z,590000,21.0,17.0,1,left,L. Stevens running finger roll Layup (2 PTS),[1630205],1610612739.0,CLE,running finger roll,,,Stevens,L. Stevens,,,,,2.71,Made,,,,,,,2.0,,,,,,,,,,,,
62,PT06M58.00S,2022-01-08T03:18:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,92.19776609724047,95.34313725490196,1610612757,6,6,2022-01-08T03:18:55Z,600000,227.0,21.0,1,right,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,22.77,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2022-01-08T03:18:54.8Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612757,6,6,2022-01-08T03:18:55Z,610000,,,0,,N. Powell REBOUND (Off:2 Def:0),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,62.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
64,PT06M52.00S,2022-01-08T03:18:57.0Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612757,6,6,2022-01-08T03:19:09Z,620000,,,0,,D. Garland shooting personal FOUL (1 PF) (Powell 2 FT),"[1629636, 1626181]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Powell,1626181.0,,,,
66,PT06M52.00S,2022-01-08T03:19:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,6,6,2022-01-08T03:19:09Z,640000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M52.00S,2022-01-08T03:21:25.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612757,6,6,2022-01-08T03:21:48Z,650000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2022-01-08T03:21:25.3Z,1,REGULAR,substitution,out,[],1630205,,,1610612757,6,6,2022-01-08T03:21:48Z,660000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M52.00S,2022-01-08T03:21:25.3Z,1,REGULAR,substitution,in,[],201567,,,1610612757,6,6,2022-01-08T03:21:48Z,670000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M52.00S,2022-01-08T03:21:25.3Z,1,REGULAR,substitution,in,[],1626224,,,1610612757,6,6,2022-01-08T03:21:48Z,680000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M52.00S,2022-01-08T03:22:16.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626181,,,1610612757,7,6,2022-01-08T03:22:35Z,690000,,,0,,N. Powell Free Throw 1 of 2 (3 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
