actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
22,PT10M27.00S,2021-11-06T02:13:25.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,4,0,2021-11-06T02:17:16Z,220000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
23,PT10M15.00S,2021-11-06T02:13:36.7Z,1,REGULAR,3pt,Jump Shot,[],203496,71.96123521681997,78.67647058823529,1610612757,4,0,2021-11-06T02:13:40Z,230000,143.0,211.0,1,right,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2021-11-06T02:13:38.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,0,2021-11-06T02:13:40Z,240000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,
25,PT10M06.00S,2021-11-06T02:13:47.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203468,94.1688567674113,47.794117647058826,1610612757,6,0,2021-11-06T02:13:51Z,250000,-11.0,2.0,1,right,C. McCollum driving DUNK (2 PTS) (J. Nurkic 2 AST),"[203468, 203994]",1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,1.12,Made,2.0,J. Nurkic,203994.0,2.0,,,,,,,,,,,,,,,
26,PT10M04.00S,2021-11-06T02:13:58.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,6,0,2021-11-06T02:13:58Z,260000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2021-11-06T02:16:58.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,31.225361366622867,31.372549019607842,1610612754,6,0,2021-11-06T02:17:02Z,270000,93.0,241.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M50.00S,2021-11-06T02:17:00.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,6,0,2021-11-06T02:17:02Z,280000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M41.00S,2021-11-06T02:17:10.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,69.99014454664915,68.13725490196079,1610612757,6,0,2021-11-06T02:17:14Z,290000,91.0,230.0,1,right,MISS N. Powell 24' step back 3PT,[1626181],1610612757.0,POR,step back,,,Powell,N. Powell,,,,,24.69,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M39.00S,2021-11-06T02:17:12.2Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,6,0,2021-11-06T02:17:14Z,300000,,,0,,T. McConnell REBOUND (Off:0 Def:2),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,
31,PT09M29.00S,2021-11-06T02:17:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,7.835085413929041,41.17647058823529,1610612754,6,0,2021-11-06T02:17:28Z,310000,44.0,21.0,1,left,MISS M. Turner turnaround Shot - blocked,"[1626167, 203081]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,4.89,Missed,,,,,,,,,,,,Lillard,203081.0,,,,,,
32,PT09M29.00S,2021-11-06T02:17:22.6Z,1,REGULAR,block,,[],203081,,,1610612754,6,0,2021-11-06T02:17:25Z,320000,,,0,,D. Lillard BLOCK (1 BLK),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M29.00S,2021-11-06T02:17:22.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,6,0,2021-11-06T02:17:28Z,330000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,
34,PT09M29.00S,2021-11-06T02:17:28.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,6,0,2021-11-06T02:17:28Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M23.00S,2021-11-06T02:17:41.1Z,1,REGULAR,turnover,lost ball,[],1630537,,,1610612754,6,0,2021-11-06T02:17:46Z,350000,,,0,,C. Duarte lost ball TURNOVER (1 TO),"[1630537, 203994]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,1.0,Nurkic,203994.0,,,,,,,,,,,,
36,PT09M23.00S,2021-11-06T02:17:41.1Z,1,REGULAR,steal,,[],203994,,,1610612757,6,0,2021-11-06T02:17:42Z,360000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M18.00S,2021-11-06T02:17:45.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626181,92.9862023653088,49.26470588235294,1610612757,8,0,2021-11-06T02:17:58Z,370000,-4.0,13.0,1,right,N. Powell running DUNK (4 PTS) (C. McCollum 1 AST),"[1626181, 203468]",1610612757.0,POR,running,,,Powell,N. Powell,,,,,1.39,Made,4.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
39,PT09M02.00S,2021-11-06T02:18:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,14.4053876478318,39.950980392156865,1610612754,8,2,2021-11-06T02:18:12Z,390000,50.0,83.0,1,left,T. McConnell 9' Jump Shot (2 PTS) (D. Sabonis 1 AST),"[204456, 1627734]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,9.69,Made,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
41,PT08M52.00S,2021-11-06T02:18:19.1Z,1,REGULAR,foul,offensive,[],203496,,,1610612757,8,2,2021-11-06T02:18:25Z,410000,,,0,,R. Covington offensive FOUL (1 PF),"[203496, 1627747]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,LeVert,1627747.0,
43,PT08M52.00S,2021-11-06T02:18:19.1Z,1,REGULAR,turnover,offensive foul,[],203496,,,1610612757,8,2,2021-11-06T02:18:19Z,430000,,,0,,R. Covington offensive foul TURNOVER (1 TO),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,1.0,,,,,,,,,1151.0,,,,,
44,PT08M34.00S,2021-11-06T02:18:48.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,13.485545335085414,63.725490196078425,1610612754,8,2,2021-11-06T02:18:53Z,440000,-69.0,74.0,1,left,MISS C. LeVert 10' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,10.11,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M31.00S,2021-11-06T02:18:51.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,8,2,2021-11-06T02:18:53Z,450000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,
46,PT08M15.00S,2021-11-06T02:19:07.2Z,1,REGULAR,2pt,Jump Shot,[],203468,77.87450722733246,48.77450980392157,1610612757,10,2,2021-11-06T02:19:11Z,460000,-6.0,155.0,1,right,C. McCollum 15' step back Jump Shot (4 PTS),[203468],1610612757.0,POR,step back,,,McCollum,C. McCollum,,,,,15.56,Made,4.0,,,,,,,,,,,,,,,,,,
47,PT07M56.00S,2021-11-06T02:19:26.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,6.389618922470433,95.09803921568627,1610612754,10,2,2021-11-06T02:19:30Z,470000,-225.0,8.0,1,left,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,22.56,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2021-11-06T02:19:29.3Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612754,10,2,2021-11-06T02:19:30Z,480000,,,0,,C. Duarte REBOUND (Off:1 Def:0),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,
49,PT07M51.00S,2021-11-06T02:19:31.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630537,5.601182654402102,53.18627450980392,1610612754,10,4,2021-11-06T02:21:45Z,490000,-16.0,0.0,1,left,C. Duarte Jump Shot (2 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,1.59,Made,2.0,,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2021-11-06T02:19:44.1Z,1,REGULAR,foul,personal,[],1630537,,,1610612757,10,4,2021-11-06T02:19:49Z,500000,,,0,,C. Duarte personal FOUL (1 PF),"[1630537, 203468]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,McCollum,203468.0,
52,PT07M28.00S,2021-11-06T02:20:15.7Z,1,REGULAR,3pt,Jump Shot,[],203468,90.62089356110381,4.6568627450980395,1610612757,10,4,2021-11-06T02:20:19Z,520000,-227.0,36.0,1,right,MISS C. McCollum 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2021-11-06T02:20:18.7Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,10,4,2021-11-06T02:20:19Z,530000,,,0,,T. McConnell REBOUND (Off:0 Def:3),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,
54,PT07M07.00S,2021-11-06T02:20:38.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,10,4,2021-11-06T02:20:38Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2021-11-06T02:20:53.6Z,1,REGULAR,2pt,Jump Shot,[],1630537,6.652431011826544,86.27450980392157,1610612754,10,4,2021-11-06T02:20:57Z,550000,-181.0,10.0,1,left,MISS C. Duarte 18' turnaround fadeaway Shot,[1630537],1610612754.0,IND,turnaround fadeaway,,,Duarte,C. Duarte,,,,,18.17,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M01.00S,2021-11-06T02:20:56.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,10,4,2021-11-06T02:20:57Z,560000,,,0,,J. Nurkic REBOUND (Off:1 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,55.0,4.0,3.0,1.0,,,,,,,,
57,PT06M52.00S,2021-11-06T02:21:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,94.43166885676742,47.05882352941176,1610612757,12,4,2021-11-06T02:21:15Z,570000,-15.0,0.0,1,right,N. Powell driving Layup (6 PTS),[1626181],1610612757.0,POR,driving,,,Powell,N. Powell,,,,,1.47,Made,6.0,,,,,,,,,,,,,,,,,,
58,PT06M52.00S,2021-11-06T02:21:08.2Z,1,REGULAR,foul,personal,['1freethrow'],1627747,,,1610612757,12,4,2021-11-06T02:21:16Z,580000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Powell 1 FT),"[1627747, 1626181]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Powell,1626181.0,
60,PT06M52.00S,2021-11-06T02:21:35.0Z,1,REGULAR,freethrow,1 of 1,[],1626181,,,1610612757,13,4,2021-11-06T02:21:35Z,600000,,,0,,N. Powell Free Throw 1 of 1 (7 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2021-11-06T02:21:46.6Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.831143232588698,31.862745098039213,1610612754,13,4,2021-11-06T02:21:52Z,610000,91.0,237.0,1,left,MISS C. LeVert 25' step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2021-11-06T02:21:51.4Z,1,REGULAR,rebound,offensive,[],204456,,,1610612754,13,4,2021-11-06T02:21:51Z,620000,,,0,,T. McConnell REBOUND (Off:1 Def:3),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,61.0,4.0,3.0,1.0,,,,,,,,
63,PT06M36.00S,2021-11-06T02:21:56.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,13,4,2021-11-06T02:21:56Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M29.00S,2021-11-06T02:22:20.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,6.1268068331143235,97.79411764705883,1610612754,13,4,2021-11-06T02:22:25Z,640000,-239.0,5.0,1,left,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,23.91,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2021-11-06T02:22:24.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,13,4,2021-11-06T02:22:25Z,650000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,
66,PT06M19.00S,2021-11-06T02:22:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,86.41590013140605,48.77450980392157,1610612757,13,4,2021-11-06T02:22:35Z,660000,-6.0,75.0,1,right,MISS C. McCollum 7' driving floating Shot - blocked,"[203468, 204456]",1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,7.54,Missed,,,,,,,,,,,,McConnell,204456.0,,,,,,
67,PT06M19.00S,2021-11-06T02:22:29.5Z,1,REGULAR,block,,[],204456,,,1610612757,13,4,2021-11-06T02:22:32Z,670000,,,0,,T. McConnell BLOCK (1 BLK),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2021-11-06T02:22:32.5Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,13,4,2021-11-06T02:23:08Z,680000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,
69,PT06M13.00S,2021-11-06T02:22:39.7Z,1,REGULAR,turnover,out-of-bounds,[],204456,,,1610612754,13,4,2021-11-06T02:22:57Z,690000,,,0,,T. McConnell bad pass out-of-bounds TURNOVER (2 TO),[204456],1610612754.0,IND,bad pass,,,McConnell,T. McConnell,,,,,,,,,,,2.0,,,,,,,,,1151.0,,,,,
70,PT06M13.00S,2021-11-06T02:22:44.1Z,1,REGULAR,substitution,out,[],203468,,,1610612757,13,4,2021-11-06T02:22:53Z,700000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M13.00S,2021-11-06T02:22:44.1Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,13,4,2021-11-06T02:22:53Z,710000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M55.00S,2021-11-06T02:23:16.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203081,80.73258869908015,34.06862745098039,1610612757,15,4,2021-11-06T02:26:51Z,730000,-80.0,129.0,1,right,D. Lillard 15' step back Jump Shot (2 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,15.13,Made,2.0,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2021-11-06T02:23:48.4Z,1,REGULAR,3pt,Jump Shot,[],1630537,19.398817345597898,94.85294117647058,1610612754,15,4,2021-11-06T02:37:38Z,750000,-224.0,130.0,1,left,MISS C. Duarte 25' pullup 3PT - blocked,"[1630537, 1626181]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,25.91,Missed,,,,,,,,,,,,Powell,1626181.0,,,,,,
319,PT05M36.00S,2021-11-06T02:23:48.4Z,1,REGULAR,block,,[],1626181,,,1610612754,15,4,2021-11-06T03:19:42Z,755000,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2021-11-06T02:23:51.4Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,15,4,2021-11-06T02:37:50Z,760000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT05M30.00S,2021-11-06T02:23:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,90.48948751642575,55.63725490196079,1610612757,15,4,2021-11-06T03:10:09Z,770000,28.0,37.0,1,right,MISS N. Powell pullup Shot,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,4.64,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2021-11-06T02:23:55.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,15,4,2021-11-06T03:10:09Z,780000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,
80,PT05M11.00S,2021-11-06T02:24:19.0Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612754,15,4,2021-11-06T02:24:29Z,800000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203994, 1627734]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Sabonis,1627734.0,
82,PT05M11.00S,2021-11-06T02:24:38.2Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,15,4,2021-11-06T02:26:23Z,820000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
94,PT05M11.00S,2021-11-06T02:24:38.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,15,4,2021-11-06T02:26:23Z,825000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,
132,PT05M11.00S,2021-11-06T02:24:51.5Z,1,REGULAR,substitution,out,[],1627747,,,1610612754,15,4,2021-11-06T02:31:33Z,827500,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT05M11.00S,2021-11-06T02:24:51.5Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,15,4,2021-11-06T02:31:33Z,828750,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT05M11.00S,2021-11-06T02:24:51.5Z,1,REGULAR,substitution,in,[],203200,,,1610612754,15,4,2021-11-06T02:31:33Z,829375,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT05M11.00S,2021-11-06T02:24:51.5Z,1,REGULAR,substitution,in,[],1628470,,,1610612754,15,4,2021-11-06T02:31:33Z,829687,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M11.00S,2021-11-06T02:24:38.2Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,15,4,2021-11-06T02:25:01Z,830000,,,0,,MISS D. Sabonis Free Throw 2 of 2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
