actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M52.00S,2021-12-15T03:09:31.2Z,1,REGULAR,foul,personal,['1freethrow'],1626181,,,1610612756,0,4,2021-12-15T03:09:38Z,160000,,,0,,N. Powell shooting personal FOUL (1 PF) (Ayton 1 FT),"[1626181, 1629028]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Ayton,1629028.0,,,
18,PT10M52.00S,2021-12-15T03:09:51.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629028,,,1610612756,0,5,2021-12-15T03:09:51Z,180000,,,0,,D. Ayton Free Throw 1 of 1 (3 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
20,PT10M42.00S,2021-12-15T03:10:08.3Z,1,REGULAR,foul,technical,['1freethrow'],1629028,,,1610612757,0,5,2021-12-15T03:10:17Z,190000,,,0,,D. Ayton defensive-3-second technical FOUL (1 Tech),[1629028],1610612756.0,PHX,defensive-3-second,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,2882.0,0.0,1.0,,,,,
21,PT10M42.00S,2021-12-15T03:10:24.0Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612757,1,5,2021-12-15T03:10:24Z,200000,,,0,,D. Lillard technical Free Throw 1 of 1 (1 PTS),[203081],1610612757.0,POR,technical,,,Lillard,D. Lillard,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
22,PT10M42.00S,2021-12-15T03:10:41.6Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612757,1,5,2021-12-15T03:10:51Z,210000,,,0,,POR 5-second-violation Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,2005.0,,,,,,,
23,PT10M26.00S,2021-12-15T03:11:08.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,1,5,2021-12-15T03:11:08Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2021-12-15T03:11:22.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629013,84.44480946123521,20.588235294117645,1610612756,1,7,2021-12-15T03:11:27Z,230000,-147.0,94.0,1,right,L. Shamet 17' Jump Shot (2 PTS) (C. Paul 3 AST),"[1629013, 101108]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,17.44,Made,,,,,2.0,C. Paul,101108.0,3.0,,,,,,,,
26,PT10M10.00S,2021-12-15T03:11:35.9Z,1,REGULAR,3pt,Jump Shot,[],203081,32.40801576872536,25.245098039215684,1610612757,1,7,2021-12-15T03:18:59Z,250000,124.0,252.0,1,left,MISS D. Lillard 28' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,28.09,Missed,,,,,,,,,,,,,,,,
78,PT10M09.00S,2021-12-15T03:11:36.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,1,7,2021-12-15T03:18:59Z,260000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,
28,PT10M07.00S,2021-12-15T03:11:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,6.521024967148489,48.03921568627451,1610612757,3,7,2021-12-15T03:18:59Z,270000,10.0,9.0,1,left,J. Nurkic putback Layup (2 PTS),[203994],1610612757.0,POR,putback,,,Nurkic,J. Nurkic,,,,,,,,1.32,Made,,,,,2.0,,,,,,,,,,,
30,PT09M57.00S,2021-12-15T03:11:50.9Z,1,REGULAR,2pt,Jump Shot,[],203109,94.69448094612353,88.23529411764706,1610612756,3,7,2021-12-15T03:11:56Z,290000,191.0,-3.0,1,right,MISS J. Crowder 19' Jump Shot,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,19.12,Missed,,,,,,,,,,,,,,,,
31,PT09M57.00S,2021-12-15T03:11:53.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,3,7,2021-12-15T03:11:53Z,300000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
32,PT09M57.00S,2021-12-15T03:11:57.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,3,7,2021-12-15T03:11:57Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2021-12-15T03:12:22.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203109,57.506570302233904,51.225490196078425,1610612756,3,7,2021-12-15T03:12:27Z,320000,6.0,347.0,1,right,MISS J. Crowder 34' pullup 3PT,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,,,,34.7,Missed,,,,,,,,,,,,,,,,
34,PT09M39.00S,2021-12-15T03:12:26.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,3,7,2021-12-15T03:12:27Z,330000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,
35,PT09M38.00S,2021-12-15T03:12:27.8Z,1,REGULAR,turnover,bad pass,[],1629028,,,1610612756,3,7,2021-12-15T03:12:33Z,340000,,,0,,D. Ayton bad pass TURNOVER (1 TO),"[1629028, 1629642]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,1.0,Little,1629642.0,,,,,,,,,,,,,,,,,,
36,PT09M38.00S,2021-12-15T03:12:27.8Z,1,REGULAR,steal,,[],1629642,,,1610612757,3,7,2021-12-15T03:12:33Z,350000,,,0,,N. Little STEAL (1 STL),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M32.00S,2021-12-15T03:12:35.6Z,1,REGULAR,turnover,bad pass,[],1629642,,,1610612757,3,7,2021-12-15T03:12:42Z,360000,,,0,,N. Little bad pass TURNOVER (1 TO),"[1629642, 101108]",1610612757.0,POR,,,,Little,N. Little,,,,,1.0,Paul,101108.0,,,,,,,,,,,,,,,,,,
38,PT09M32.00S,2021-12-15T03:12:35.6Z,1,REGULAR,steal,,[],101108,,,1610612756,3,7,2021-12-15T03:14:22Z,370000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M32.00S,2021-12-15T03:12:45.2Z,1,REGULAR,turnover,bad pass,[],203109,,,1610612756,3,7,2021-12-15T03:15:32Z,380000,,,0,,J. Crowder bad pass TURNOVER (1 TO),"[203109, 203994]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,1.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,
40,PT09M32.00S,2021-12-15T03:12:45.2Z,1,REGULAR,steal,,[],203994,,,1610612757,3,7,2021-12-15T03:18:16Z,390000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M30.00S,2021-12-15T03:12:51.0Z,1,REGULAR,foul,personal,[],101108,,,1610612757,3,7,2021-12-15T03:21:27Z,400000,,,0,,C. Paul take personal FOUL (1 PF),"[101108, 203994]",1610612756.0,PHX,take,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Nurkic,203994.0,,,
43,PT09M20.00S,2021-12-15T03:13:01.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,22.339027595269382,88.25827205882352,1610612757,6,7,2021-12-15T03:22:44Z,420000,-191.0,157.0,1,left,D. Lillard 24' 3PT  (4 PTS) (L. Nance Jr. 1 AST),"[203081, 1626204]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,24.78,Made,,,,,4.0,L. Nance Jr.,1626204.0,1.0,,,,,,,,
45,PT08M58.00S,2021-12-15T03:13:22.8Z,1,REGULAR,2pt,Jump Shot,[],1629013,77.61169513797634,58.08823529411765,1610612756,6,7,2021-12-15T03:13:27Z,440000,40.0,158.0,1,right,MISS L. Shamet 16' pullup Shot,[1629013],1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,,,,16.31,Missed,,,,,,,,,,,,,,,,
46,PT08M56.00S,2021-12-15T03:13:24.8Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,6,7,2021-12-15T03:13:27Z,450000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,
47,PT08M49.00S,2021-12-15T03:13:34.5Z,1,REGULAR,foul,personal,['2freethrow'],101108,,,1610612757,6,7,2021-12-15T03:13:45Z,460000,,,0,,C. Paul shooting personal FOUL (2 PF) (Nance Jr. 2 FT),"[101108, 1626204]",1610612756.0,PHX,shooting,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,2882.0,2.0,0.0,Nance Jr.,1626204.0,,,
49,PT08M49.00S,2021-12-15T03:13:58.5Z,1,REGULAR,freethrow,1 of 2,[],1626204,,,1610612757,6,7,2021-12-15T03:13:58Z,480000,,,0,,MISS L. Nance Jr. Free Throw 1 of 2,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,
50,PT08M49.00S,2021-12-15T03:13:58.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,6,7,2021-12-15T03:13:58Z,490000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,
51,PT08M49.00S,2021-12-15T03:14:14.9Z,1,REGULAR,freethrow,2 of 2,[],1626204,,,1610612757,7,7,2021-12-15T03:14:14Z,500000,,,0,,L. Nance Jr. Free Throw 2 of 2 (1 PTS),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
52,PT08M41.00S,2021-12-15T03:14:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,87.99277266754271,57.35294117647059,1610612756,7,7,2021-12-15T03:24:54Z,510000,37.0,60.0,1,right,MISS C. Paul 7' fadeaway Shot,[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,,,,7.07,Missed,,,,,,,,,,,,,,,,
53,PT08M38.00S,2021-12-15T03:14:32.9Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,7,7,2021-12-15T03:24:54Z,520000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,
79,PT08M35.00S,2021-12-15T03:14:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,20.02299605781866,63.23529411764706,1610612757,9,7,2021-12-15T03:20:23Z,530000,-66.0,136.0,1,left,D. Lillard 15' pullup Jump Shot (6 PTS),[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,15.1,Made,,,,,6.0,,,,,,,,,,,
55,PT08M15.00S,2021-12-15T03:14:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,93.11760840998686,55.14705882352941,1610612756,9,9,2021-12-15T03:14:53Z,540000,26.0,12.0,1,right,J. Crowder floating Jump Shot (4 PTS) (D. Ayton 1 AST),"[203109, 1629028]",1610612756.0,PHX,floating,,,Crowder,J. Crowder,,,,,,,,2.84,Made,,,,,4.0,D. Ayton,1629028.0,1.0,,,,,,,,
57,PT07M59.00S,2021-12-15T03:15:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.966491458607096,41.17647058823529,1610612757,9,9,2021-12-15T03:15:08Z,560000,44.0,22.0,1,left,MISS J. Nurkic Layup,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,4.95,Missed,,,,,,,,,,,,,,,,
58,PT07M57.00S,2021-12-15T03:15:07.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,9,9,2021-12-15T03:15:08Z,570000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,
59,PT07M49.00S,2021-12-15T03:15:17.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,9,9,2021-12-15T03:15:17Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M40.00S,2021-12-15T03:15:38.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,91.40932982917214,94.11764705882352,1610612756,9,9,2021-12-15T03:15:42Z,590000,221.0,28.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,22.24,Missed,,,,,,,,,,,,,,,,
61,PT07M38.00S,2021-12-15T03:15:40.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,9,9,2021-12-15T03:15:42Z,600000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,
62,PT07M32.00S,2021-12-15T03:15:47.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626204,7.703679369250986,52.20588235294118,1610612757,11,9,2021-12-15T03:15:50Z,610000,-11.0,20.0,1,left,L. Nance Jr. cutting DUNK (3 PTS) (D. Lillard 1 AST),"[1626204, 203081]",1610612757.0,POR,cutting,,,Nance Jr.,L. Nance Jr.,,,,,,,,2.27,Made,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,,
64,PT07M17.00S,2021-12-15T03:16:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203109,94.03745072273325,52.69607843137255,1610612756,11,9,2021-12-15T03:16:07Z,630000,13.0,4.0,1,right,MISS J. Crowder Layup - blocked,"[203109, 1629642]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,1.39,Missed,,,,,,,,,,,,,,Little,1629642.0,
65,PT07M17.00S,2021-12-15T03:16:00.9Z,1,REGULAR,block,,[],1629642,,,1610612756,11,9,2021-12-15T03:16:02Z,640000,,,0,,N. Little BLOCK (1 BLK),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M15.00S,2021-12-15T03:16:02.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,11,9,2021-12-15T03:16:07Z,650000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,
67,PT07M13.00S,2021-12-15T03:16:09.8Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612757,11,9,2021-12-15T03:16:15Z,660000,,,0,,N. Powell bad pass out-of-bounds TURNOVER (1 TO),[1626181],1610612757.0,POR,bad pass,,,Powell,N. Powell,,,,,1.0,,,,,,,,,,,,,2005.0,,,,,,,
68,PT07M04.00S,2021-12-15T03:16:28.4Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612756,11,9,2021-12-15T03:16:36Z,670000,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Ayton 2 FT),"[203994, 1629028]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Ayton,1629028.0,,,
70,PT07M04.00S,2021-12-15T03:16:55.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629028,,,1610612756,11,10,2021-12-15T03:16:55Z,690000,,,0,,D. Ayton Free Throw 1 of 2 (4 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
71,PT07M04.00S,2021-12-15T03:17:10.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629028,,,1610612756,11,11,2021-12-15T03:17:10Z,700000,,,0,,D. Ayton Free Throw 2 of 2 (5 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
72,PT06M57.00S,2021-12-15T03:17:19.4Z,1,REGULAR,3pt,Jump Shot,[],203081,35.955978975032856,21.07843137254902,1610612757,11,11,2021-12-15T03:27:10Z,710000,145.0,285.0,1,left,MISS D. Lillard 32' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,32.0,Missed,,,,,,,,,,,,,,,,
73,PT06M52.00S,2021-12-15T03:17:24.4Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,11,11,2021-12-15T03:17:27Z,720000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,
74,PT06M47.00S,2021-12-15T03:17:29.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629028,94.56307490144546,49.754901960784316,1610612756,11,13,2021-12-15T03:17:36Z,730000,-1.0,-1.0,1,right,D. Ayton DUNK (7 PTS) (C. Paul 4 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,0.18,Made,,,,,7.0,C. Paul,101108.0,4.0,,,,,,,,
76,PT06M30.00S,2021-12-15T03:17:50.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,11,13,2021-12-15T03:17:50Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M30.00S,2021-12-15T03:17:53.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,11,13,2021-12-15T03:17:53Z,760000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M30.00S,2021-12-15T03:20:42.8Z,1,REGULAR,substitution,in,[],203496,,,1610612757,11,13,2021-12-15T03:21:07Z,780000,,,0,,SUB in: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT06M30.00S,2021-12-15T03:20:42.8Z,1,REGULAR,substitution,out,[],1626204,,,1610612757,11,13,2021-12-15T03:22:23Z,787500,,,0,,SUB out: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M28.00S,2021-12-15T03:21:26.5Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,11,13,2021-12-15T03:21:46Z,790000,,,0,,J. Nurkic offensive FOUL (2 PF),"[203994, 203109]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,2005.0,2.0,0.0,Crowder,203109.0,,,
84,PT06M28.00S,2021-12-15T03:21:26.5Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,11,13,2021-12-15T03:21:26Z,810000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1.0,,,,,,,,,,,,,2005.0,,,,,,,
86,PT06M18.00S,2021-12-15T03:21:51.9Z,1,REGULAR,foul,offensive,[],1629028,,,1610612756,11,13,2021-12-15T03:22:00Z,820000,,,0,,D. Ayton offensive FOUL (1 PF),"[1629028, 203994]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,1627962.0,1.0,1.0,Nurkic,203994.0,,,
88,PT06M18.00S,2021-12-15T03:21:51.9Z,1,REGULAR,turnover,offensive foul,[],1629028,,,1610612756,11,13,2021-12-15T03:21:51Z,840000,,,0,,D. Ayton offensive foul TURNOVER (2 TO),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,2.0,,,,,,,,,,,,,1627962.0,,,,,,,
89,PT06M07.00S,2021-12-15T03:22:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,15.982260183968464,95.34313725490196,1610612757,14,13,2021-12-15T03:22:24Z,850000,-227.0,98.0,1,left,N. Powell 24' 3PT  (3 PTS) (J. Nurkic 1 AST),"[1626181, 203994]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,24.69,Made,,,,,3.0,J. Nurkic,203994.0,1.0,,,,,,,,
92,PT05M47.00S,2021-12-15T03:22:30.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,95.26938239159001,4.67984068627451,1610612756,14,13,2021-12-15T03:22:46Z,870000,-227.0,-8.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,22.67,Missed,,,,,,,,,,,,,,,,
93,PT05M42.00S,2021-12-15T03:22:35.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612757,14,13,2021-12-15T03:22:46Z,880000,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,,,,
94,PT05M41.00S,2021-12-15T03:22:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612757,14,13,2021-12-15T03:22:52Z,890000,,,0,,N. Powell step out-of-bounds TURNOVER (2 TO),[1626181],1610612757.0,POR,step,,,Powell,N. Powell,,,,,2.0,,,,,,,,,,,,,1627962.0,,,,,,,
96,PT05M19.00S,2021-12-15T03:23:06.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203109,90.22667542706965,89.2156862745098,1610612756,14,15,2021-12-15T03:23:11Z,900000,196.0,39.0,1,right,J. Crowder 20' Jump Shot (6 PTS) (C. Paul 5 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,20.0,Made,,,,,6.0,C. Paul,101108.0,5.0,,,,,,,,
98,PT05M08.00S,2021-12-15T03:23:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.258212877792378,54.65686274509803,1610612757,14,15,2021-12-15T03:23:24Z,920000,-23.0,6.0,1,left,MISS J. Nurkic cutting Layup,[203994],1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,,,,2.41,Missed,,,,,,,,,,,,,,,,
