actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
42,PT07M58.00S,2023-03-14T23:16:03.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630596,6.652431011826544,47.30392156862745,1610612739,9,10,2023-03-14T23:23:43Z,400000,False,13.0,10.0,1,left,E. Mobley DUNK (2 PTS) (C. LeVert 1 AST),"[1630596, 1627747]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.68,Made,,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,
44,PT07M45.00S,2023-03-14T23:16:17.4Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612766,9,10,2023-03-14T23:16:21Z,420000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1627747]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0
45,PT07M45.00S,2023-03-14T23:16:17.4Z,1,REGULAR,steal,,[],1627747,,,1610612739,9,10,2023-03-14T23:16:19Z,430000,False,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
127,PT07M36.00S,2023-03-14T23:16:27.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629636,7.046649145860711,51.71568627450981,1610612739,9,10,2023-03-14T23:39:42Z,450000,False,-9.0,14.0,1,left,MISS D. Garland driving Layup - blocked,"[1629636, 202330]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,Hayward,202330.0,,,,,,,,,,,
128,PT07M36.00S,2023-03-14T23:16:27.8Z,1,REGULAR,block,,[],202330,,,1610612739,9,10,2023-03-14T23:31:26Z,460000,False,,,0,,G. Hayward BLOCK (1 BLK),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
129,PT07M34.00S,2023-03-14T23:16:29.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,9,10,2023-03-14T23:39:42Z,465000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,127.0,,,,,,,,,,,,,,,,,
51,PT07M23.00S,2023-03-14T23:18:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630205,6.258212877792378,53.431372549019606,1610612739,9,12,2023-03-14T23:31:26Z,490000,False,-17.0,6.0,1,left,L. Stevens Layup (2 PTS) (D. Garland 1 AST),"[1630205, 1629636]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Restricted Area,0-8 Center,1.83,Made,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,
53,PT07M07.00S,2023-03-14T23:18:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,92.85479632063075,51.71568627450981,1610612766,11,12,2023-03-14T23:18:35Z,510000,False,9.0,15.0,1,right,K. Oubre Jr. driving Layup (6 PTS),[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.7,Made,,6.0,,,,,,,,,,,,,,,,
54,PT07M07.00S,2023-03-14T23:18:38.7Z,1,REGULAR,foul,personal,['1freethrow'],1630596,,,1610612766,11,12,2023-03-14T23:18:48Z,520000,False,,,0,,E. Mobley shooting personal FOUL (2 PF) (Oubre Jr. 1 FT),"[1630596, 1626162]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200832.0,2.0,0.0,Oubre Jr.,1626162.0,,,
56,PT07M07.00S,2023-03-14T23:18:51.4Z,1,REGULAR,substitution,out,[],1630596,,,1610612766,11,12,2023-03-14T23:21:48Z,540000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M07.00S,2023-03-14T23:18:51.4Z,1,REGULAR,substitution,in,[],1629731,,,1610612766,11,12,2023-03-14T23:21:48Z,550000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M07.00S,2023-03-14T23:19:09.9Z,1,REGULAR,freethrow,1 of 1,[],1626162,,,1610612766,12,12,2023-03-14T23:19:09Z,560000,False,,,0,,K. Oubre Jr. Free Throw 1 of 1 (7 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
60,PT06M53.00S,2023-03-14T23:19:27.6Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,12,12,2023-03-14T23:19:34Z,570000,False,,,0,,D. Garland lost ball out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628484.0,,,,,1.0,,
61,PT06M53.00S,2023-03-14T23:19:35.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,12,2023-03-14T23:19:35Z,580000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2023-03-14T23:22:03.3Z,1,REGULAR,substitution,out,[],1626162,,,1610612766,12,12,2023-03-14T23:22:30Z,590000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M53.00S,2023-03-14T23:22:03.3Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,12,12,2023-03-14T23:22:30Z,600000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2023-03-14T23:22:03.3Z,1,REGULAR,substitution,in,[],1628372,,,1610612766,12,12,2023-03-14T23:22:30Z,610000,False,,,0,,SUB in: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2023-03-14T23:22:03.3Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,12,12,2023-03-14T23:22:30Z,620000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2023-03-14T23:22:47.4Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612766,12,12,2023-03-14T23:30:52Z,630000,False,,,0,,N. Richards bad pass out-of-bounds TURNOVER (1 TO),[1630208],1610612766.0,CHA,bad pass,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,200832.0,,,,,1.0,,
67,PT06M19.00S,2023-03-14T23:23:17.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,32.14520367936925,67.64705882352942,1610612739,12,12,2023-03-14T23:31:44Z,640000,False,-88.0,250.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2023-03-14T23:23:19.9Z,1,REGULAR,rebound,offensive,[],1627747,,,1610612739,12,12,2023-03-14T23:23:19Z,650000,False,,,0,,C. LeVert REBOUND (Off:1 Def:0),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,67.0,,,,,,,1.0,0.0,1.0,,,,,,,,
69,PT06M12.00S,2023-03-14T23:23:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630171,7.966491458607096,43.872549019607845,1610612739,12,12,2023-03-14T23:23:29Z,660000,False,31.0,22.0,1,left,MISS I. Okoro cutting Layup,[1630171],1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2023-03-14T23:23:27.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,12,12,2023-03-14T23:23:29Z,670000,False,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,69.0,,,,,,,2.0,2.0,0.0,,,,,,,,
71,PT06M04.00S,2023-03-14T23:23:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,87.46714848883047,38.48039215686275,1610612766,12,12,2023-03-14T23:33:04Z,680000,False,-58.0,65.0,1,right,MISS T. Rozier 8' turnaround fadeaway Shot,[1626179],1610612766.0,CHA,turnaround fadeaway,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Left,8.71,Missed,,,,,,,,,,,,,,,,,,
72,PT06M02.00S,2023-03-14T23:23:34.0Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,12,12,2023-03-14T23:23:37Z,690000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,In The Paint (Non-RA),8-16 Left,,,71.0,,,,,,,1.0,1.0,0.0,,,,,,,,
73,PT05M52.00S,2023-03-14T23:23:44.4Z,1,REGULAR,3pt,Jump Shot,[],1630205,27.414586070959263,17.647058823529413,1610612739,12,15,2023-03-14T23:23:48Z,700000,False,162.0,205.0,1,left,L. Stevens 26' 3PT  (5 PTS) (C. LeVert 2 AST),"[1630205, 1627747]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,Above the Break 3,24+ Right Center,26.13,Made,,5.0,C. LeVert,1627747.0,2.0,,,,,,,,,,,,,
75,PT05M36.00S,2023-03-14T23:24:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630550,90.22667542706965,4.411764705882353,1610612766,12,15,2023-03-14T23:24:07Z,720000,False,-228.0,39.0,1,right,MISS J. Thor 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Left Corner 3,24+ Left,23.13,Missed,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2023-03-14T23:24:04.3Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,12,15,2023-03-14T23:24:07Z,730000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Left Corner 3,24+ Left,,,75.0,,,,,,,1.0,1.0,0.0,,,,,,,,
77,PT05M29.00S,2023-03-14T23:24:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630205,6.389618922470433,46.32352941176471,1610612739,12,15,2023-03-14T23:24:12Z,740000,False,18.0,8.0,1,left,MISS L. Stevens running Layup - blocked,"[1630205, 1630550]",1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,Thor,1630550.0,,,,,,,,,,,
78,PT05M29.00S,2023-03-14T23:24:06.9Z,1,REGULAR,block,,[],1630550,,,1610612739,12,15,2023-03-14T23:24:09Z,750000,False,,,0,,J. Thor BLOCK (1 BLK),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT05M26.00S,2023-03-14T23:24:09.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,12,15,2023-03-14T23:38:52Z,760000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,77.0,,,,,,,1.0,1.0,0.0,,,,,,,,
80,PT05M23.00S,2023-03-14T23:24:13.7Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,12,15,2023-03-14T23:24:19Z,770000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1629636]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Garland,1629636.0
81,PT05M23.00S,2023-03-14T23:24:13.7Z,1,REGULAR,steal,,[],1629636,,,1610612739,12,15,2023-03-14T23:24:17Z,780000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
82,PT05M18.00S,2023-03-14T23:24:18.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629636,6.915243101182654,48.03921568627451,1610612739,12,17,2023-03-14T23:24:23Z,790000,False,10.0,13.0,1,left,D. Garland running Layup (7 PTS),[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,1.59,Made,,7.0,,,,,,,,,,,,,,,,
84,PT05M00.00S,2023-03-14T23:24:45.2Z,1,REGULAR,substitution,out,[],1627747,,,1610612766,12,17,2023-03-14T23:24:49Z,810000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M00.00S,2023-03-14T23:24:45.2Z,1,REGULAR,substitution,in,[],1626224,,,1610612766,12,17,2023-03-14T23:24:49Z,820000,False,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
