actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M51.00S,2022-10-21T23:12:24.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,2,2,2022-10-21T23:15:05Z,160000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M50.00S,2022-10-21T23:12:35.2Z,1,REGULAR,turnover,bad pass,[],1626162,,,1610612766,2,2,2022-10-21T23:14:44Z,180000,,,0,,K. Oubre Jr. bad pass TURNOVER (1 TO),"[1626162, 202685]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Valanciunas,202685.0,,,,,
22,PT10M50.00S,2022-10-21T23:12:35.2Z,1,REGULAR,steal,,[],202685,,,1610612740,2,2,2022-10-21T23:13:01Z,185000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
26,PT10M49.00S,2022-10-21T23:12:38.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202685,93.64323258869908,48.03921568627451,1610612740,2,4,2022-10-21T23:14:52Z,187500,-10.0,7.0,1,right,J. Valanciunas running DUNK (2 PTS),[202685],1610612740.0,NOP,running,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M32.00S,2022-10-21T23:12:41.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,33.065045992115635,53.67647058823529,1610612766,2,4,2022-10-21T23:13:11Z,190000,-18.0,258.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2022-10-21T23:12:44.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,4,2022-10-21T23:12:44Z,200000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M27.00S,2022-10-21T23:12:53.0Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612740,2,4,2022-10-21T23:13:20Z,210000,,,0,,P. Washington shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1629023, 202685]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Valanciunas,202685.0
24,PT10M27.00S,2022-10-21T23:13:23.6Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,2,5,2022-10-21T23:13:23Z,230000,,,0,,J. Valanciunas Free Throw 1 of 2 (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
25,PT10M27.00S,2022-10-21T23:13:33.6Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,2,6,2022-10-21T23:13:33Z,240000,,,0,,J. Valanciunas Free Throw 2 of 2 (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
27,PT10M15.00S,2022-10-21T23:13:51.4Z,1,REGULAR,foul,personal,[],203468,,,1610612766,2,6,2022-10-21T23:14:19Z,250000,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 203486]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Plumlee,203486.0
29,PT09M59.00S,2022-10-21T23:14:20.8Z,1,REGULAR,3pt,Jump Shot,[],1629023,6.258212877792378,97.79411764705883,1610612766,2,6,2022-10-21T23:14:30Z,270000,-239.0,6.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.91,Missed,,,,,,,,,,,,,,,,,,
30,PT09M57.00S,2022-10-21T23:14:22.8Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,6,2022-10-21T23:14:30Z,280000,,,0,,M. Plumlee REBOUND (Off:2 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Left Corner 3,24+ Left,,,29.0,2.0,0.0,2.0,,,,,,,,,,,,,,
31,PT09M54.00S,2022-10-21T23:14:25.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202330,32.802233902759525,53.92156862745098,1610612766,5,6,2022-10-21T23:14:36Z,290000,-20.0,256.0,1,left,G. Hayward 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Center,25.65,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
33,PT09M45.00S,2022-10-21T23:14:38.3Z,1,REGULAR,foul,offensive,[],203468,,,1610612740,5,6,2022-10-21T23:17:02Z,310000,,,0,,C. McCollum offensive FOUL (2 PF),"[203468, 203486]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627524.0,2.0,0.0,Plumlee,203486.0
35,PT09M45.00S,2022-10-21T23:14:38.3Z,1,REGULAR,turnover,offensive foul,[],203468,,,1610612740,5,6,2022-10-21T23:14:38Z,330000,,,0,,C. McCollum offensive foul TURNOVER (1 TO),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,1627524.0,,,,
36,PT09M45.00S,2022-10-21T23:14:54.7Z,1,REGULAR,substitution,out,[],203468,,,1610612766,5,6,2022-10-21T23:14:59Z,340000,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M45.00S,2022-10-21T23:14:54.7Z,1,REGULAR,substitution,in,[],1630631,,,1610612766,5,6,2022-10-21T23:14:59Z,350000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M30.00S,2022-10-21T23:15:13.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626179,12.697109067017081,29.901960784313726,1610612766,5,6,2022-10-21T23:15:18Z,360000,100.0,67.0,1,left,MISS T. Rozier 12' fadeaway Shot,[1626179],1610612766.0,CHA,fadeaway,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,12.07,Missed,,,,,,,,,,,,,,,,,,
39,PT09M25.00S,2022-10-21T23:15:17.0Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,5,6,2022-10-21T23:15:17Z,370000,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Right,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT09M20.00S,2022-10-21T23:15:22.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202685,70.51576872536137,23.52941176470588,1610612740,5,6,2022-10-21T23:18:13Z,380000,-132.0,225.0,1,right,MISS J. Valanciunas 26' running 3PT,[202685],1610612740.0,NOP,running,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,26.08,Missed,,,,,,,,,,,,,,,,,,
41,PT09M17.00S,2022-10-21T23:15:25.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,5,6,2022-10-21T23:15:33Z,390000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,40.0,,,,,,,,,,,,,,,,,
43,PT09M02.00S,2022-10-21T23:15:49.5Z,1,REGULAR,2pt,Jump Shot,[],1626162,6.258212877792378,30.392156862745097,1610612766,5,6,2022-10-21T23:15:52Z,410000,98.0,6.0,1,left,MISS K. Oubre Jr. 9' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,9.82,Missed,,,,,,,,,,,,,,,,,,
44,PT09M00.00S,2022-10-21T23:15:51.5Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,5,6,2022-10-21T23:15:52Z,420000,,,0,,Z. Williamson REBOUND (Off:0 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Right,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT08M47.00S,2022-10-21T23:16:11.1Z,1,REGULAR,turnover,lost ball,[],1630631,,,1610612740,5,6,2022-10-21T23:16:17Z,440000,,,0,,J. Alvarado lost ball TURNOVER (1 TO),"[1630631, 1626179]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,
47,PT08M47.00S,2022-10-21T23:16:11.1Z,1,REGULAR,steal,,[],1626179,,,1610612766,5,6,2022-10-21T23:16:14Z,450000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M47.00S,2022-10-21T23:16:18.1Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,5,6,2022-10-21T23:19:29Z,460000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1627742]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Ingram,1627742.0,,,,,
49,PT08M47.00S,2022-10-21T23:16:18.1Z,1,REGULAR,steal,,[],1627742,,,1610612740,5,6,2022-10-21T23:16:28Z,470000,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
50,PT08M47.00S,2022-10-21T23:16:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612740,5,6,2022-10-21T23:16:43Z,480000,,,0,,P. Washington shooting personal FOUL (2 PF) (Ingram 2 FT),"[1629023, 1627742]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627524.0,2.0,0.0,Ingram,1627742.0
52,PT08M47.00S,2022-10-21T23:16:49.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627742,,,1610612740,5,7,2022-10-21T23:16:49Z,500000,,,0,,B. Ingram Free Throw 1 of 2 (3 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
53,PT08M47.00S,2022-10-21T23:16:49.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627742,,,1610612740,5,8,2022-10-21T23:23:04Z,510000,,,0,,B. Ingram Free Throw 2 of 2 (4 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
54,PT08M39.00S,2022-10-21T23:17:18.5Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,5,8,2022-10-21T23:17:25Z,520000,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1630631]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Alvarado,1630631.0,,,,,
55,PT08M39.00S,2022-10-21T23:17:18.5Z,1,REGULAR,steal,,[],1630631,,,1610612740,5,8,2022-10-21T23:17:20Z,530000,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
56,PT08M34.00S,2022-10-21T23:17:26.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202685,92.72339027595268,46.81372549019608,1610612740,5,10,2022-10-21T23:20:40Z,540000,-16.0,16.0,1,right,J. Valanciunas cutting Layup (6 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,6.0,H. Jones,1630529.0,1.0,,,,,,,,,,
58,PT08M34.00S,2022-10-21T23:17:30.3Z,1,REGULAR,foul,personal,['1freethrow'],203486,,,1610612740,5,10,2022-10-21T23:17:44Z,560000,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Valanciunas 1 FT),"[203486, 202685]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Valanciunas,202685.0
60,PT08M34.00S,2022-10-21T23:17:49.2Z,1,REGULAR,substitution,out,[],203486,,,1610612740,5,10,2022-10-21T23:17:52Z,580000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT08M34.00S,2022-10-21T23:17:49.2Z,1,REGULAR,substitution,in,[],1630208,,,1610612740,5,10,2022-10-21T23:17:52Z,590000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT08M34.00S,2022-10-21T23:18:02.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202685,,,1610612740,5,11,2022-10-21T23:18:02Z,600000,,,0,,J. Valanciunas Free Throw 1 of 1 (7 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
63,PT08M28.00S,2022-10-21T23:18:16.0Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612766,5,11,2022-10-21T23:18:23Z,610000,,,0,,P. Washington lost ball out-of-bounds TURNOVER (2 TO),[1629023],1610612766.0,CHA,lost ball,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2.0,,,1830.0,,,,
65,PT08M12.00S,2022-10-21T23:18:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,92.9862023653088,52.20588235294118,1610612740,5,13,2022-10-21T23:19:57Z,630000,11.0,13.0,1,right,B. Ingram driving Layup (6 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,6.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,
66,PT07M53.00S,2022-10-21T23:19:12.2Z,1,REGULAR,2pt,Jump Shot,[],202330,10.85742444152431,9.803921568627452,1610612766,5,13,2022-10-21T23:22:23Z,640000,201.0,50.0,1,left,MISS G. Hayward 20' Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right,20.7,Missed,,,,,,,,,,,,,,,,,,
67,PT07M50.00S,2022-10-21T23:19:15.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,13,2022-10-21T23:19:17Z,650000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT07M46.00S,2022-10-21T23:19:29.2Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612740,5,13,2022-10-21T23:19:51Z,660000,,,0,,N. Richards shooting personal FOUL (1 PF) (Williamson 2 FT),"[1630208, 1629627]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Williamson,1629627.0
71,PT07M46.00S,2022-10-21T23:20:01.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,5,13,2022-10-21T23:20:01Z,680000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M46.00S,2022-10-21T23:22:38.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629627,,,1610612740,5,13,2022-10-21T23:22:59Z,690000,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT07M46.00S,2022-10-21T23:22:38.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,5,13,2022-10-21T23:22:59Z,700000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,
74,PT07M46.00S,2022-10-21T23:22:38.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629627,,,1610612740,5,14,2022-10-21T23:22:59Z,710000,,,0,,Z. Williamson Free Throw 2 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
75,PT07M27.00S,2022-10-21T23:23:13.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,23.99802890932983,70.09803921568627,1610612766,5,14,2022-10-21T23:23:18Z,720000,-100.0,173.0,1,left,MISS T. Rozier 20' step back Shot - blocked,"[1626179, 202685]",1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Left Center,20.02,Missed,,,,,,,,,Valanciunas,202685.0,,,,,,,,
78,PT07M27.00S,2022-10-21T23:23:13.8Z,1,REGULAR,block,,[],202685,,,1610612766,5,14,2022-10-21T23:23:26Z,725000,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
76,PT07M24.00S,2022-10-21T23:23:16.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,14,2022-10-21T23:23:18Z,730000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,75.0,3.0,3.0,0.0,,,,,,,,,,,,,,
77,PT07M17.00S,2022-10-21T23:23:24.3Z,1,REGULAR,3pt,Jump Shot,[],202685,66.17936925098554,55.63725490196079,1610612740,5,14,2022-10-21T23:23:29Z,740000,28.0,265.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,26.69,Missed,,,,,,,,,,,,,,,,,,
79,PT07M17.00S,2022-10-21T23:23:24.3Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,5,14,2022-10-21T23:23:29Z,750000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT06M57.00S,2022-10-21T23:23:43.8Z,1,REGULAR,3pt,Jump Shot,[],1626162,28.86005256241787,9.558823529411764,1610612766,5,14,2022-10-21T23:23:48Z,760000,202.0,219.0,1,left,MISS K. Oubre Jr. 29' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,29.79,Missed,,,,,,,,,,,,,,,,,,
81,PT06M54.00S,2022-10-21T23:23:46.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,14,2022-10-21T23:23:48Z,770000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT06M47.00S,2022-10-21T23:23:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,91.67214191852825,49.50980392156863,1610612740,5,14,2022-10-21T23:23:58Z,780000,-2.0,26.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
83,PT06M44.00S,2022-10-21T23:23:56.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,5,14,2022-10-21T23:23:56Z,790000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,,
84,PT06M39.00S,2022-10-21T23:24:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,13.61695137976347,49.50980392156863,1610612766,5,14,2022-10-21T23:24:08Z,800000,2.0,75.0,1,left,MISS K. Oubre Jr. 7' driving Layup - blocked,"[1626162, 1627742]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.55,Missed,,,,,,,,,Ingram,1627742.0,,,,,,,,
85,PT06M39.00S,2022-10-21T23:24:00.9Z,1,REGULAR,block,,[],1627742,,,1610612766,5,14,2022-10-21T23:24:03Z,810000,,,0,,B. Ingram BLOCK (1 BLK),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
